State,COVID19 Data Type,State Source,Last Checked,M,T,W,R,F,Sa,Sun,Holidays,# reports/week
Alabama,Cases,https://alpublichealth.maps.arcgis.com/apps/dashboards/6d2771faa9da4a2786a509d82c8cf0f7,7/14/21,Y,Y,Y,Y,Y,Y,Y,,7
Alabama,Deaths,https://alpublichealth.maps.arcgis.com/apps/dashboards/6d2771faa9da4a2786a509d82c8cf0f7,7/14/21,Y,Y,Y,Y,Y,Y,Y,,7
Alabama,Tests,https://alpublichealth.maps.arcgis.com/apps/dashboards/6d2771faa9da4a2786a509d82c8cf0f7,7/14/21,Y,Y,Y,Y,Y,Y,Y,,7
Alabama,Vaccines,https://www.arcgis.com/apps/MapSeries/index.html?appid=d84846411471404c83313bfe7ab2a367,7/14/21,N,Y,N,Y,N,N,N,,2
Alaska,Cases,https://alaska-coronavirus-vaccine-outreach-alaska-dhss.hub.arcgis.com/,7/1/21,Y,N,Y,N,Y,N,N,N,3
Alaska,Deaths,https://alaska-coronavirus-vaccine-outreach-alaska-dhss.hub.arcgis.com/,7/1/21,Y,N,Y,N,Y,N,N,N,3
Alaska,Tests,https://alaska-coronavirus-vaccine-outreach-alaska-dhss.hub.arcgis.com/,7/1/21,Y,N,Y,N,Y,N,N,N,3
Alaska,Vaccines,https://alaska-coronavirus-vaccine-outreach-alaska-dhss.hub.arcgis.com/,7/1/21,Y,Y,Y,Y,Y,N,N,N,5
Arizona,Cases,https://www.azdhs.gov/covid19/data/index.php,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Arizona,Deaths,https://www.azdhs.gov/covid19/data/index.php,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Arizona,Tests,https://www.azdhs.gov/covid19/data/index.php,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Arizona,Vaccines,https://www.azdhs.gov/covid19/data/index.php,7/2/21,Y,Y,Y,Y,Y,Y,Y,,7
Arkansas,Cases,https://experience.arcgis.com/experience/633006d0782b4544bd5113a314f6268a/,7/24/21,Y,Y,Y,Y,Y,Y,Y,,7
Arkansas,Deaths,https://experience.arcgis.com/experience/633006d0782b4544bd5113a314f6268a/,7/24/21,Y,Y,Y,Y,Y,Y,Y,,7
Arkansas,Tests,https://experience.arcgis.com/experience/633006d0782b4544bd5113a314f6268a/,7/24/21,Y,Y,Y,Y,Y,Y,Y,,7
Arkansas,Vaccines,https://experience.arcgis.com/experience/633006d0782b4544bd5113a314f6268a/,7/24/21,Y,Y,Y,Y,Y,Y,Y,,7
California,Cases,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
California,Deaths,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
California,Tests,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
California,Vaccines,https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
Colorado,Cases,https://covid19.colorado.gov/data,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Colorado,Deaths,https://covid19.colorado.gov/data,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Colorado,Tests,https://covid19.colorado.gov/data,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Colorado,Vaccines,https://covid19.colorado.gov/vaccine-data-dashboard,7/19/21,Y,Y,Y,Y,Y,N,N,,5
Connecticut,Cases,https://data.ct.gov/stories/s/COVID-19-data/wa3g-tfvc/,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Connecticut,Deaths,https://data.ct.gov/stories/s/COVID-19-data/wa3g-tfvc/,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Connecticut,Tests,https://data.ct.gov/stories/s/COVID-19-data/wa3g-tfvc/,7/1/21,Y,Y,Y,Y,Y,N,N,,5
Connecticut,Vaccines,https://data.ct.gov/stories/s/CoVP-COVID-Vaccine-Distribution-Data/bhcd-4mnv/,7/1/21,N,N,N,Y,N,N,N,,1
Delaware,Cases,https://coronavirus.delaware.gov/,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
Delaware,Deaths,https://coronavirus.delaware.gov/,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
Delaware,Tests,https://coronavirus.delaware.gov/,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
Delaware,Vaccines,https://coronavirus.delaware.gov/,7/1/21,Y,Y,Y,Y,Y,Y,Y,,7
District of Columbia,Cases,https://coronavirus.dc.gov/data,7/1/21,Y,Y,Y,Y,Y,N,N,,5
District of Columbia,Deaths,https://coronavirus.dc.gov/data,7/1/21,Y,Y,Y,Y,Y,N,N,,5
District of Columbia,Tests,https://coronavirus.dc.gov/data,7/1/21,Y,Y,Y,Y,Y,N,N,,5
District of Columbia,Vaccines,https://coronavirus.dc.gov/sites/default/files/dc/sites/coronavirus/page_content/attachments/COVID-19-Vaccination-Data-Guide-2-06-21.pdf,7/1/21,Y,N,N,N,N,N,N,,1
Florida,Cases,http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/covid19-data/covid19_data_latest.pdf,7/1/21,N,N,N,N,Y,N,N,,1
Florida,Deaths,http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/covid19-data/covid19_data_latest.pdf,7/1/21,N,N,N,N,Y,N,N,,1
Florida,Tests,http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/covid19-data/covid19_data_latest.pdf,7/1/21,N,N,N,N,N,N,N,,0
Florida,Vaccines,http://ww11.doh.state.fl.us/comm/_partners/covid19_report_archive/covid19-data/covid19_data_latest.pdf,7/1/21,N,N,N,N,Y,N,N,,1
Georgia,Cases,https://dph.georgia.gov/covid-19-daily-status-report,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Georgia,Deaths,https://dph.georgia.gov/covid-19-daily-status-report,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
Georgia,Tests,https://dph.georgia.gov/covid-19-daily-status-report,7/2/21,Y,Y,Y,Y,Y,N,N,N,5
