Sort,TableName,VAR_NAME10,SHORT_DESC,LONG_DESC,WIDTH,PRECISION,Missing Values Possible (YES or blank),ACS Table/Field,SAS Var
1,ACSTRESTPOP,ACSNATIVE,2014-2018 ACS Native Born Population,2014-2018 ACS Native Born Population,9,0,,B05002e2,acsborn1
2,ACSTRESTPOP,ACSBORNRES,2014-2018 ACS Native/Born in State of Residence,2014-2018 ACS Native Population Born in State of Residence,9,0,,B05002e3,acsborn2
3,ACSTRESTPOP,ACSBORNOST,2014-2018 ACS Native/Born in Other State,2014-2018 ACS Native Population Born in Other State,9,0,,B05002e4,acsborn3
4,ACSTRESTPOP,ACSBORNNE,2014-2018 ACS Native/Born Oth State: Northeast,2014-2018 ACS Native Population Born in Other State: Northeast,9,0,,B05002e5,acsborn4
5,ACSTRESTPOP,ACSBORNMW,2014-2018 ACS Native/Born Oth State: Midwest,2014-2018 ACS Native Population Born in Other State: Midwest,9,0,,B05002e6,acsborn5
6,ACSTRESTPOP,ACSBORNS,2014-2018 ACS Native/Born Oth State: South,2014-2018 ACS Native Population Born in Other State: South,9,0,,B05002e7,acsborn6
7,ACSTRESTPOP,ACSBORNW,2014-2018 ACS Native/Born Oth State: West,2014-2018 ACS Native Population Born in Other State: West,9,0,,B05002e8,acsborn7
8,ACSTRESTPOP,ACSBORNOUT,2014-2018 ACS Native/Born Outside United States,2014-2018 ACS Native Population Born Outside of the United States,9,0,,B05002e9,acsborn8
9,ACSTRESTPOP,ACSBORNPR,2014-2018 ACS Native/Born in Puerto Rico,2014-2018 ACS Native Population Born in Puerto Rico,9,0,,B05002e10,acsborn9
10,ACSTRESTPOP,ACSBORNISL,2014-2018 ACS Native/Born US Island Area,2014-2018 ACS Native Population Born in US Island Areas,9,0,,B05002e11,acsborn10
11,ACSTRESTPOP,ACSBORNABR,2014-2018 ACS Native/Born Abroad/Amer Parents,2014-2018 ACS Native Population Born Abroad to American Parent(s),9,0,,B05002e12,acsborn11
12,ACSTRESTPOP,ACSFORBORN,2014-2018 ACS Foreign-born Population,2014-2018 ACS Foreign-born Population,9,0,,B05002e13,acsborn12
13,ACSTRESTPOP,ACSNATCTZN,2014-2018 ACS Foreign-born: Naturalized US Citizen,2014-2018 ACS Foreign-born Pop: Naturalized U.S. Citizen,9,0,,B05002e14,acsborn13
14,ACSTRESTPOP,ACSNOTCTZN,2014-2018 ACS Foreign-born: Not US Citizen,2014-2018 ACS Foreign-born Pop: Not a U.S. Citizen,9,0,,B05002e21,acsborn14
15,ACSTRESTPOP,ACSASNAPOP,2014-2018 ACS Asian Alone Population,2014-2018 ACS Asian Alone Population,9,0,,B02015e1,acsasian1
16,ACSTRESTPOP,ACSASNIND,2014-2018 ACS Asian Pop: Asian Indian,2014-2018 ACS Asian Population: Asian Indian,9,0,,B02015e2,acsasian2
17,ACSTRESTPOP,ACSASNBANG,2014-2018 ACS Asian Pop: Bangladeshi,2014-2018 ACS Asian Population: Bangladeshi,9,0,,B02015e3,acsasian3
18,ACSTRESTPOP,ACSASNBHUT,2014-2018 ACS Asian Pop: Bhutanese,2014-2018 ACS Asian Population: Bhutanese,9,0,,B02015e4,acsasian4
19,ACSTRESTPOP,ACSASNBURM,2014-2018 ACS Asian Pop: Burmese,2014-2018 ACS Asian Population: Burmese,9,0,,B02015e5,acsasian5
20,ACSTRESTPOP,ACSASNCAMB,2014-2018 ACS Asian Pop: Cambodian,2014-2018 ACS Asian Population: Cambodian,9,0,,B02015e6,acsasian6
21,ACSTRESTPOP,ACSASNCHIN,2014-2018 ACS Asian Pop: Chinese,2014-2018 ACS Asian Population: Chinese except Taiwanese,9,0,,B02015e7,acsasian7
22,ACSTRESTPOP,ACSASNFILI,2014-2018 ACS Asian Pop: Filipino,2014-2018 ACS Asian Population: Filipino,9,0,,B02015e8,acsasian8
23,ACSTRESTPOP,ACSASNHMON,2014-2018 ACS Asian Pop: Hmong,2014-2018 ACS Asian Population: Hmong,9,0,,B02015e9,acsasian9
24,ACSTRESTPOP,ACSASNINDO,2014-2018 ACS Asian Pop: Indonesian,2014-2018 ACS Asian Population: Indonesian,9,0,,B02015e10,acsasian10
25,ACSTRESTPOP,ACSASNJAP,2014-2018 ACS Asian Pop: Japanese,2014-2018 ACS Asian Population: Japanese,9,0,,B02015e11,acsasian11
26,ACSTRESTPOP,ACSASNKOR,2014-2018 ACS Asian Pop: Korean,2014-2018 ACS Asian Population: Korean,9,0,,B02015e12,acsasian12
27,ACSTRESTPOP,ACSASNLAOT,2014-2018 ACS Asian Pop: Laotian,2014-2018 ACS Asian Population: Laotian,9,0,,B02015e13,acsasian13
28,ACSTRESTPOP,ACSASNMALA,2014-2018 ACS Asian Pop: Malaysian,2014-2018 ACS Asian Population: Malaysian,9,0,,B02015e14,acsasian14
29,ACSTRESTPOP,ACSASNMONG,2014-2018 ACS Asian Pop: Mongolian,2014-2018 ACS Asian Population: Mongolian,9,0,,B02015e15,acsasian15
30,ACSTRESTPOP,ACSASNNEPA,2014-2018 ACS Asian Pop: Nepalese,2014-2018 ACS Asian Population: Nepalese,9,0,,B02015e16,acsasian16
31,ACSTRESTPOP,ACSASNOKIN,2014-2018 ACS Asian Pop: Okinawan,2014-2018 ACS Asian Population: Okinawan,9,0,,B02015e17,acsasian17
32,ACSTRESTPOP,ACSASNPAKI,2014-2018 ACS Asian Pop: Pakistani,2014-2018 ACS Asian Population: Pakistani,9,0,,B02015e18,acsasian18
33,ACSTRESTPOP,ACSASNSRIL,2014-2018 ACS Asian Pop: Sri Lankan,2014-2018 ACS Asian Population: Sri Lankan,9,0,,B02015e19,acsasian19
34,ACSTRESTPOP,ACSASNTAIW,2014-2018 ACS Asian Pop: Taiwanese,2014-2018 ACS Asian Population: Taiwanese,9,0,,B02015e20,acsasian20
35,ACSTRESTPOP,ACSASNTHAI,2014-2018 ACS Asian Pop: Thai,2014-2018 ACS Asian Population: Thai,9,0,,B02015e21,acsasian21
36,ACSTRESTPOP,ACSASNVIET,2014-2018 ACS Asian Pop: Vietnamese,2014-2018 ACS Asian Population: Vietnamese,9,0,,B02015e22,acsasian22
37,ACSTRESTPOP,ACSASNOTH,2014-2018 ACS Asian Pop: Other Asian Specified,2014-2018 ACS Asian Population: Other Asian Specified,9,0,,B02015e23,acsasian23
38,ACSTRESTPOP,ACSASNUNSP,2014-2018 ACS Asian Pop: Other Asian Not Specified,2014-2018 ACS Asian Population: Other Asian Not Specified,9,0,,B02015e24,acsasian24
39,ACSTRESTPOP,ACSASN2UP,2014-2018 ACS Asian Pop: Two or More Asian,2014-2018 ACS Asian Population: Two or More Asian,9,0,,B02015e25,acsasian25
40,ACSTRESTPOP,ACSHISPPOP,2014-2018 ACS Hispanic or Latino Population,2014-2018 ACS Hispanic or Latino Population,9,0,,B03001e3,acshisporigin1
41,ACSTRESTPOP,ACSHMEXICN,2014-2018 ACS Hispanic Pop: Mexican,2014-2018 ACS Hispanic Population: Mexican,9,0,,B03001e4,acshisporigin2
42,ACSTRESTPOP,ACSHPUERTO,2014-2018 ACS Hispanic Pop: Puerto Rican,2014-2018 ACS Hispanic Population: Puerto Rican,9,0,,B03001e5,acshisporigin3
43,ACSTRESTPOP,ACSHCUBAN,2014-2018 ACS Hispanic Pop: Cuban,2014-2018 ACS Hispanic Population: Cuban,9,0,,B03001e6,acshisporigin4
44,ACSTRESTPOP,ACSHDOMINC,2014-2018 ACS Hispanic Pop: Dominican,2014-2018 ACS Hispanic Population: Dominican,9,0,,B03001e7,acshisporigin5
45,ACSTRESTPOP,ACSHCOSTA,2014-2018 ACS Hispanic Pop: Costa Rican,2014-2018 ACS Hispanic Population: Costa Rican,9,0,,B03001e9,acshisporigin6
46,ACSTRESTPOP,ACSHGUATEM,2014-2018 ACS Hispanic Pop: Guatemalan,2014-2018 ACS Hispanic Population: Guatemalan,9,0,,B03001e10,acshisporigin7
47,ACSTRESTPOP,ACSHHONDUR,2014-2018 ACS Hispanic Pop: Honduran,2014-2018 ACS Hispanic Population: Honduran,9,0,,B03001e11,acshisporigin8
48,ACSTRESTPOP,ACSHNICARG,2014-2018 ACS Hispanic Pop: Nicaraguan,2014-2018 ACS Hispanic Population: Nicaraguan,9,0,,B03001e12,acshisporigin9
49,ACSTRESTPOP,ACSHPANAM,2014-2018 ACS Hispanic Pop: Panamanian,2014-2018 ACS Hispanic Population: Panamanian,9,0,,B03001e13,acshisporigin10
50,ACSTRESTPOP,ACSHSALVAD,2014-2018 ACS Hispanic Pop: Salvadoran,2014-2018 ACS Hispanic Population: Salvadoran,9,0,,B03001e14,acshisporigin11
51,ACSTRESTPOP,ACSHOTHCA,2014-2018 ACS Hispanic Pop: Other Central American,2014-2018 ACS Hispanic Population: Other Central American,9,0,,B03001e15,acshisporigin12
52,ACSTRESTPOP,ACSHARGENT,2014-2018 ACS Hispanic Pop: Argentinean,2014-2018 ACS Hispanic Population: Argentinean,9,0,,B03001e17,acshisporigin13
53,ACSTRESTPOP,ACSHBOLIVN,2014-2018 ACS Hispanic Pop: Bolivian,2014-2018 ACS Hispanic Population: Bolivian,9,0,,B03001e18,acshisporigin14
54,ACSTRESTPOP,ACSHCHILE,2014-2018 ACS Hispanic Pop: Chilean,2014-2018 ACS Hispanic Population: Chilean,9,0,,B03001e19,acshisporigin15
55,ACSTRESTPOP,ACSHCOLOMB,2014-2018 ACS Hispanic Pop: Colombian,2014-2018 ACS Hispanic Population: Colombian,9,0,,B03001e20,acshisporigin16
56,ACSTRESTPOP,ACSHECUADR,2014-2018 ACS Hispanic Pop: Ecuadorian,2014-2018 ACS Hispanic Population: Ecuadorian,9,0,,B03001e21,acshisporigin17
57,ACSTRESTPOP,ACSHPARAGY,2014-2018 ACS Hispanic Pop: Paraguayan,2014-2018 ACS Hispanic Population: Paraguayan,9,0,,B03001e22,acshisporigin18
58,ACSTRESTPOP,ACSHPERUVN,2014-2018 ACS Hispanic Pop: Peruvian,2014-2018 ACS Hispanic Population: Peruvian,9,0,,B03001e23,acshisporigin19
59,ACSTRESTPOP,ACSHURUGYN,2014-2018 ACS Hispanic Pop: Uruguayan,2014-2018 ACS Hispanic Population: Uruguayan,9,0,,B03001e24,acshisporigin20
60,ACSTRESTPOP,ACSHVENEZL,2014-2018 ACS Hispanic Pop: Venezuelan,2014-2018 ACS Hispanic Population: Venezuelan,9,0,,B03001e25,acshisporigin21
61,ACSTRESTPOP,ACSHOTHSA,2014-2018 ACS Hispanic Pop: Other South American,2014-2018 ACS Hispanic Population: Other South American,9,0,,B03001e26,acshisporigin22
62,ACSTRESTPOP,ACSHSPANRD,2014-2018 ACS Hispanic Pop: Spaniard,2014-2018 ACS Hispanic Population: Spaniard,9,0,,B03001e28,acshisporigin23
63,ACSTRESTPOP,ACSHSPANSH,2014-2018 ACS Hispanic Pop: Spanish,2014-2018 ACS Hispanic Population: Spanish,9,0,,B03001e29,acshisporigin24
64,ACSTRESTPOP,ACSHSPAMER,2014-2018 ACS Hispanic Pop: Spanish American,2014-2018 ACS Hispanic Population: Spanish American,9,0,,B03001e30,acshisporigin25
65,ACSTRESTPOP,ACSHISPOTH,2014-2018 ACS Hispanic Pop: Oth Hispanic/Latino,2014-2018 ACS Hispanic Population: Other Hispanic/Latino,9,0,,B03001e31,acshisporigin26
66,ACSTRESTPOP,ACSAPOP,2014-2018 ACS Pop Stating Single Ancestry,2014-2018 ACS Persons Reporting Single Ancestry,9,0,,B04004e1,acsancestry1
67,ACSTRESTPOP,ACSAAFGHAN,2014-2018 ACS Ancestry: Afghan,2014-2018 ACS Ancestry: Afghan,9,0,,B04004e2,acsancestry2
68,ACSTRESTPOP,ACSAALBAN,2014-2018 ACS Ancestry: Albanian,2014-2018 ACS Ancestry: Albanian,9,0,,B04004e3,acsancestry3
69,ACSTRESTPOP,ACSAALSATN,2014-2018 ACS Ancestry: Alsatian,2014-2018 ACS Ancestry: Alsatian,9,0,,B04004e4,acsancestry4
70,ACSTRESTPOP,ACSAAMER,2014-2018 ACS Ancestry: American,2014-2018 ACS Ancestry: American,9,0,,B04004e5,acsancestry5
71,ACSTRESTPOP,ACSAEGYPTN,2014-2018 ACS Ancestry: Arab-Egyptian,2014-2018 ACS Ancestry: Arab - Egyptian,9,0,,B04004e7,acsancestry6
72,ACSTRESTPOP,ACSAIRAQI,2014-2018 ACS Ancestry: Arab-Iraqi,2014-2018 ACS Ancestry: Arab - Iraqi,9,0,,B04004e8,acsancestry7
73,ACSTRESTPOP,ACSAJORDAN,2014-2018 ACS Ancestry: Arab-Jordanian,2014-2018 ACS Ancestry: Arab - Jordanian,9,0,,B04004e9,acsancestry8
74,ACSTRESTPOP,ACSALEBAN,2014-2018 ACS Ancestry: Arab-Lebanese,2014-2018 ACS Ancestry: Arab - Lebanese,9,0,,B04004e10,acsancestry9
75,ACSTRESTPOP,ACSAMOROCC,2014-2018 ACS Ancestry: Arab-Moroccan,2014-2018 ACS Ancestry: Arab - Moroccan,9,0,,B04004e11,acsancestry10
76,ACSTRESTPOP,ACSAPALEST,2014-2018 ACS Ancestry: Arab-Palestinian,2014-2018 ACS Ancestry: Arab - Palestinian,9,0,,B04004e12,acsancestry11
77,ACSTRESTPOP,ACSASYRIAN,2014-2018 ACS Ancestry: Arab-Syrian,2014-2018 ACS Ancestry: Arab - Syrian,9,0,,B04004e13,acsancestry12
78,ACSTRESTPOP,ACSAARAB,2014-2018 ACS Ancestry: Arab-Arab,2014-2018 ACS Ancestry: Arab - Arab,9,0,,B04004e14,acsancestry13
79,ACSTRESTPOP,ACSAOARAB,2014-2018 ACS Ancestry: Arab-Other,2014-2018 ACS Ancestry: Arab - Other,9,0,,B04004e15,acsancestry14
80,ACSTRESTPOP,ACSAARMEN,2014-2018 ACS Ancestry: Armenian,2014-2018 ACS Ancestry: Armenian,9,0,,B04004e16,acsancestry15
81,ACSTRESTPOP,ACSAASSYRN,2014-2018 ACS Ancestry: Assyrian/Chald/Syriac,2014-2018 ACS Ancestry: Assyrian/Chaldean/Syriac,9,0,,B04004e17,acsancestry16
82,ACSTRESTPOP,ACSAAUSTRL,2014-2018 ACS Ancestry: Australian,2014-2018 ACS Ancestry: Australian,9,0,,B04004e18,acsancestry17
83,ACSTRESTPOP,ACSAAUSTRN,2014-2018 ACS Ancestry: Austrian,2014-2018 ACS Ancestry: Austrian,9,0,,B04004e19,acsancestry18
84,ACSTRESTPOP,ACSABASQUE,2014-2018 ACS Ancestry: Basque,2014-2018 ACS Ancestry: Basque,9,0,,B04004e20,acsancestry19
85,ACSTRESTPOP,ACSABELGN,2014-2018 ACS Ancestry: Belgian,2014-2018 ACS Ancestry: Belgian,9,0,,B04004e21,acsancestry20
86,ACSTRESTPOP,ACSABRAZLN,2014-2018 ACS Ancestry: Brazilian,2014-2018 ACS Ancestry: Brazilian,9,0,,B04004e22,acsancestry21
87,ACSTRESTPOP,ACSABRIT,2014-2018 ACS Ancestry: British,2014-2018 ACS Ancestry: British,9,0,,B04004e23,acsancestry22
88,ACSTRESTPOP,ACSABULGAR,2014-2018 ACS Ancestry: Bulgarian,2014-2018 ACS Ancestry: Bulgarian,9,0,,B04004e24,acsancestry23
89,ACSTRESTPOP,ACSACAJUN,2014-2018 ACS Ancestry: Cajun,2014-2018 ACS Ancestry: Cajun,9,0,,B04004e25,acsancestry24
90,ACSTRESTPOP,ACSACANADN,2014-2018 ACS Ancestry: Canadian,2014-2018 ACS Ancestry: Canadian,9,0,,B04004e26,acsancestry25
91,ACSTRESTPOP,ACSACRUSYN,2014-2018 ACS Ancestry: Carpatho Rusyn,2014-2018 ACS Ancestry: Carpatho Rusyn,9,0,,B04004e27,acsancestry26
92,ACSTRESTPOP,ACSACELTIC,2014-2018 ACS Ancestry: Celtic,2014-2018 ACS Ancestry: Celtic,9,0,,B04004e28,acsancestry27
93,ACSTRESTPOP,ACSACROATN,2014-2018 ACS Ancestry: Croatian,2014-2018 ACS Ancestry: Croatian,9,0,,B04004e29,acsancestry28
94,ACSTRESTPOP,ACSACYPRIO,2014-2018 ACS Ancestry: Cypriot,2014-2018 ACS Ancestry: Cypriot,9,0,,B04004e30,acsancestry29
95,ACSTRESTPOP,ACSACZECH,2014-2018 ACS Ancestry: Czech,2014-2018 ACS Ancestry: Czech,9,0,,B04004e31,acsancestry30
96,ACSTRESTPOP,ACSACZECHO,2014-2018 ACS Ancestry: Czechoslovakian,2014-2018 ACS Ancestry: Czechoslovakian,9,0,,B04004e32,acsancestry31
97,ACSTRESTPOP,ACSADANISH,2014-2018 ACS Ancestry: Danish,2014-2018 ACS Ancestry: Danish,9,0,,B04004e33,acsancestry32
98,ACSTRESTPOP,ACSADUTCH,2014-2018 ACS Ancestry: Dutch,2014-2018 ACS Ancestry: Dutch,9,0,,B04004e34,acsancestry33
99,ACSTRESTPOP,ACSAEEUROP,2014-2018 ACS Ancestry: Eastern European,2014-2018 ACS Ancestry: Eastern European,9,0,,B04004e35,acsancestry34
100,ACSTRESTPOP,ACSAENGLSH,2014-2018 ACS Ancestry: English,2014-2018 ACS Ancestry: English,9,0,,B04004e36,acsancestry35
101,ACSTRESTPOP,ACSAESTON,2014-2018 ACS Ancestry: Estonian,2014-2018 ACS Ancestry: Estonian,9,0,,B04004e37,acsancestry36
102,ACSTRESTPOP,ACSAEUROPN,2014-2018 ACS Ancestry: European,2014-2018 ACS Ancestry: European,9,0,,B04004e38,acsancestry37
103,ACSTRESTPOP,ACSAFINNSH,2014-2018 ACS Ancestry: Finnish,2014-2018 ACS Ancestry: Finnish,9,0,,B04004e39,acsancestry38
104,ACSTRESTPOP,ACSAFRENCH,2014-2018 ACS Ancestry: French (excl Basque),2014-2018 ACS Ancestry: French (except Basque),9,0,,B04004e40,acsancestry39
105,ACSTRESTPOP,ACSAFRNCAN,2014-2018 ACS Ancestry: French Canadian,2014-2018 ACS Ancestry: French Canadian,9,0,,B04004e41,acsancestry40
106,ACSTRESTPOP,ACSAGERMAN,2014-2018 ACS Ancestry: German,2014-2018 ACS Ancestry: German,9,0,,B04004e42,acsancestry41
107,ACSTRESTPOP,ACSAGERRUS,2014-2018 ACS Ancestry: German Russian,2014-2018 ACS Ancestry: German Russian,9,0,,B04004e43,acsancestry42
108,ACSTRESTPOP,ACSAGREEK,2014-2018 ACS Ancestry: Greek,2014-2018 ACS Ancestry: Greek,9,0,,B04004e44,acsancestry43
109,ACSTRESTPOP,ACSAGUYAN,2014-2018 ACS Ancestry: Guyanese,2014-2018 ACS Ancestry: Guyanese,9,0,,B04004e45,acsancestry44
110,ACSTRESTPOP,ACSAHUNGAR,2014-2018 ACS Ancestry: Hungarian,2014-2018 ACS Ancestry: Hungarian,9,0,,B04004e46,acsancestry45
111,ACSTRESTPOP,ACSAICELAN,2014-2018 ACS Ancestry: Icelander,2014-2018 ACS Ancestry: Icelander,9,0,,B04004e47,acsancestry46
112,ACSTRESTPOP,ACSAIRAN,2014-2018 ACS Ancestry: Iranian,2014-2018 ACS Ancestry: Iranian,9,0,,B04004e48,acsancestry47
113,ACSTRESTPOP,ACSAIRISH,2014-2018 ACS Ancestry: Irish,2014-2018 ACS Ancestry: Irish,9,0,,B04004e49,acsancestry48
114,ACSTRESTPOP,ACSAISRAEL,2014-2018 ACS Ancestry: Israeli,2014-2018 ACS Ancestry: Israeli,9,0,,B04004e50,acsancestry49
115,ACSTRESTPOP,ACSAITALN,2014-2018 ACS Ancestry: Italian,2014-2018 ACS Ancestry: Italian,9,0,,B04004e51,acsancestry50
116,ACSTRESTPOP,ACSALATVIA,2014-2018 ACS Ancestry: Latvian,2014-2018 ACS Ancestry: Latvian,9,0,,B04004e52,acsancestry51
117,ACSTRESTPOP,ACSALITHUA,2014-2018 ACS Ancestry: Lithuanian,2014-2018 ACS Ancestry: Lithuanian,9,0,,B04004e53,acsancestry52
118,ACSTRESTPOP,ACSALUXEMB,2014-2018 ACS Ancestry: Luxemburger,2014-2018 ACS Ancestry: Luxemburger,9,0,,B04004e54,acsancestry53
119,ACSTRESTPOP,ACSAMACEDO,2014-2018 ACS Ancestry: Macedonian,2014-2018 ACS Ancestry: Macedonian,9,0,,B04004e55,acsancestry54
120,ACSTRESTPOP,ACSAMALT,2014-2018 ACS Ancestry: Maltese,2014-2018 ACS Ancestry: Maltese,9,0,,B04004e56,acsancestry55
121,ACSTRESTPOP,ACSANWZEAL,2014-2018 ACS Ancestry: New Zealander,2014-2018 ACS Ancestry: New Zealander,9,0,,B04004e57,acsancestry56
122,ACSTRESTPOP,ACSANEUROP,2014-2018 ACS Ancestry: Northern European,2014-2018 ACS Ancestry: Northern European,9,0,,B04004e58,acsancestry57
123,ACSTRESTPOP,ACSANORWEG,2014-2018 ACS Ancestry: Norwegian,2014-2018 ACS Ancestry: Norwegian,9,0,,B04004e59,acsancestry58
124,ACSTRESTPOP,ACSAPAGERM,2014-2018 ACS Ancestry: Pennsylvania German,2014-2018 ACS Ancestry: Pennsylvania German,9,0,,B04004e60,acsancestry59
125,ACSTRESTPOP,ACSAPOLISH,2014-2018 ACS Ancestry: Polish,2014-2018 ACS Ancestry: Polish,9,0,,B04004e61,acsancestry60
126,ACSTRESTPOP,ACSAPORTUG,2014-2018 ACS Ancestry: Portuguese,2014-2018 ACS Ancestry: Portuguese,9,0,,B04004e62,acsancestry61
127,ACSTRESTPOP,ACSARMNIAN,2014-2018 ACS Ancestry: Romanian,2014-2018 ACS Ancestry: Romanian,9,0,,B04004e63,acsancestry62
128,ACSTRESTPOP,ACSARUSSN,2014-2018 ACS Ancestry: Russian,2014-2018 ACS Ancestry: Russian,9,0,,B04004e64,acsancestry63
129,ACSTRESTPOP,ACSASCANDV,2014-2018 ACS Ancestry: Scandinavian,2014-2018 ACS Ancestry: Scandinavian,9,0,,B04004e65,acsancestry64
130,ACSTRESTPOP,ACSASIRISH,2014-2018 ACS Ancestry: Scotch-Irish,2014-2018 ACS Ancestry: Scotch-Irish,9,0,,B04004e66,acsancestry65
131,ACSTRESTPOP,ACSASCOTT,2014-2018 ACS Ancestry: Scottish,2014-2018 ACS Ancestry: Scottish,9,0,,B04004e67,acsancestry66
132,ACSTRESTPOP,ACSASERB,2014-2018 ACS Ancestry: Serbian,2014-2018 ACS Ancestry: Serbian,9,0,,B04004e68,acsancestry67
133,ACSTRESTPOP,ACSASLAVIC,2014-2018 ACS Ancestry: Slavic,2014-2018 ACS Ancestry: Slavic,9,0,,B04004e69,acsancestry68
134,ACSTRESTPOP,ACSASLOVAK,2014-2018 ACS Ancestry: Slovak,2014-2018 ACS Ancestry: Slovak,9,0,,B04004e70,acsancestry69
135,ACSTRESTPOP,ACSASLOVEN,2014-2018 ACS Ancestry: Slovene,2014-2018 ACS Ancestry: Slovene,9,0,,B04004e71,acsancestry70
136,ACSTRESTPOP,ACSASOVIET,2014-2018 ACS Ancestry: Soviet Union,2014-2018 ACS Ancestry: Soviet Union,9,0,,B04004e72,acsancestry71
137,ACSTRESTPOP,ACSACAPEVR,2014-2018 ACS Ancestry: Subsahrn African-Cape Verdean,2014-2018 ACS Ancestry: Sub-Saharan African-Cape Verdean,9,0,,B04004e74,acsancestry72
138,ACSTRESTPOP,ACSAETHIOP,2014-2018 ACS Ancestry: Subsahrn African-Ethiopian,2014-2018 ACS Ancestry: Sub-Saharan African-Ethiopian,9,0,,B04004e75,acsancestry73
139,ACSTRESTPOP,ACSAGHANAN,2014-2018 ACS Ancestry: Subsahrn African-Ghanaian,2014-2018 ACS Ancestry: Sub-Saharan African-Ghanaian,9,0,,B04004e76,acsancestry74
140,ACSTRESTPOP,ACSAKENYAN,2014-2018 ACS Ancestry: Subsahrn African-Kenyan,2014-2018 ACS Ancestry: Sub-Saharan African-Kenyan,9,0,,B04004e77,acsancestry75
141,ACSTRESTPOP,ACSALIBER,2014-2018 ACS Ancestry: Subsahrn African-Liberian,2014-2018 ACS Ancestry: Sub-Saharan African-Liberian,9,0,,B04004e78,acsancestry76
142,ACSTRESTPOP,ACSANIGER,2014-2018 ACS Ancestry: Subsahrn African-Nigerian,2014-2018 ACS Ancestry: Sub-Saharan African-Nigerian,9,0,,B04004e79,acsancestry77
143,ACSTRESTPOP,ACSASENEGL,2014-2018 ACS Ancestry: Subsahrn African-Senegalese,2014-2018 ACS Ancestry: Sub-Saharan African-Senegalese,9,0,,B04004e80,acsancestry78
144,ACSTRESTPOP,ACSASLEONE,2014-2018 ACS Ancestry: Subsahrn African-S.Leonean,2014-2018 ACS Ancestry: Sub-Saharan African-Sierra Leonean,9,0,,B04004e81,acsancestry79
145,ACSTRESTPOP,ACSASOMALI,2014-2018 ACS Ancestry: Subsahrn African-Somali,2014-2018 ACS Ancestry: Sub-Saharan African-Somali,9,0,,B04004e82,acsancestry80
146,ACSTRESTPOP,ACSASAFRIC,2014-2018 ACS Ancestry: Subsahrn African-South African,2014-2018 ACS Ancestry: Sub-Saharan African-South African,9,0,,B04004e83,acsancestry81
147,ACSTRESTPOP,ACSASUDAN,2014-2018 ACS Ancestry: Subsahrn African-Sudanese,2014-2018 ACS Ancestry: Sub-Saharan African-Sudanese,9,0,,B04004e84,acsancestry82
148,ACSTRESTPOP,ACSAUGANDN,2014-2018 ACS Ancestry: Subsahrn African-Ugandan,2014-2018 ACS Ancestry: Sub-Saharan African-Ugandan,9,0,,B04004e85,acsancestry83
149,ACSTRESTPOP,ACSAZIMBAB,2014-2018 ACS Ancestry: Subsahrn African-Zimbabwean,2014-2018 ACS Ancestry: Sub-Saharan African-Zimbabwean,9,0,,B04004e86,acsancestry84
150,ACSTRESTPOP,ACSAAFRIC,2014-2018 ACS Ancestry: Subsahrn African-African,2014-2018 ACS Ancestry: Sub-Saharan African-African,9,0,,B04004e87,acsancestry85
151,ACSTRESTPOP,ACSAOSSAFR,2014-2018 ACS Ancestry: Subsahrn African-Other,2014-2018 ACS Ancestry: Sub-Saharan African-Other,9,0,,B04004e88,acsancestry86
152,ACSTRESTPOP,ACSASWEDSH,2014-2018 ACS Ancestry: Swedish,2014-2018 ACS Ancestry: Swedish,9,0,,B04004e89,acsancestry87
153,ACSTRESTPOP,ACSASWISS,2014-2018 ACS Ancestry: Swiss,2014-2018 ACS Ancestry: Swiss,9,0,,B04004e90,acsancestry88
154,ACSTRESTPOP,ACSATURKSH,2014-2018 ACS Ancestry: Turkish,2014-2018 ACS Ancestry: Turkish,9,0,,B04004e91,acsancestry89
155,ACSTRESTPOP,ACSAUKRAIN,2014-2018 ACS Ancestry: Ukrainian,2014-2018 ACS Ancestry: Ukrainian,9,0,,B04004e92,acsancestry90
156,ACSTRESTPOP,ACSAWELSH,2014-2018 ACS Ancestry: Welsh,2014-2018 ACS Ancestry: Welsh,9,0,,B04004e93,acsancestry91
157,ACSTRESTPOP,ACSABAHAM,2014-2018 ACS Ancestry: W.Indian-Bahamian,2014-2018 ACS Ancestry: West Indian-Bahamian,9,0,,B04004e95,acsancestry92
158,ACSTRESTPOP,ACSABARBAD,2014-2018 ACS Ancestry: W.Indian-Barbadian,2014-2018 ACS Ancestry: West Indian-Barbadian,9,0,,B04004e96,acsancestry93
