0,State,MedianIncome,FIPS
1,Alabama,50536,1
2,Alaska,77640,2
3,Arizona,58945,4
4,Arkansas,47597,5
5,California,75235,6
6,Colorado,72331,8
7,Delaware,68287,10
8,District of Columbia,86420,11
9,Connecticut,78444,9
10,Florida,55660,12
11,Georgia,58700,13
12,Idaho,55785,16
13,Hawaii,81275,15
14,Illinois,65886,17
15,Indiana,56303,18
16,Iowa,60523,19
17,Kansas,59597,20
18,Kentucky,50589,21
19,Louisiana,49469,22
20,Maine,57918,23
21,Maryland,84805,24
22,Massachusetts,81215,25
23,Michigan,57144,26
24,Minnesota,71306,27
25,Mississippi,45081,28
26,Missouri,55461,29
27,Montana,54970,30
28,Nebraska,61439,31
29,Nevada,60365,32
30,New Hampshire,76768,33
31,New Jersey,82545,34
32,New Mexico,49754,35
33,New York,68486,36
34,North Carolina,54602,37
35,North Dakota,64894,38
36,Ohio,56602,39
37,Oklahoma,52919,40
38,Oregon,62818,41
39,Pennsylvania,61744,42
40,Rhode Island,67167,44
41,South Carolina,53199,45
42,South Dakota,58275,46
43,Tennessee,53320,47
44,Texas,61874,48
45,Vermont,61973,50
46,Utah,71621,49
47,Virginia,74222,51
48,Washington,73775,53
49,West Virginia,46711,54
50,Wisconsin,61747,55
51,Wyoming,64049,56
52,Puerto Rico,20539,72
