0,County,State,POVALL_2019,PCTPOVALL_2019,Unemployed_2019,Unemployment_rate_2019,Median_Household_Income_2019,state,county,FIPS
1,Fayette County, Illinois,3421,17.2,525,5.7,46650,17,51,17051
2,Logan County, Illinois,2323,9.3,738,5.6,57308,17,107,17107
3,Saline County, Illinois,4936,21.1,816,7.6,44090,17,165,17165
4,Lake County, Illinois,54273,7.9,19357,5.2,89427,17,97,17097
5,Massac County, Illinois,2331,16.7,259,4.4,47481,17,127,17127
6,Cass County, Illinois,1822,14.8,414,6.5,52373,17,17,17017
7,Huntington County, Indiana,3809,10.9,532,2.8,53632,18,69,18069
8,White County, Indiana,2198,9.2,465,4,54576,18,181,18181
9,Jay County, Indiana,2887,14.1,376,3.8,47658,18,75,18075
10,Shelby County, Indiana,4903,11.3,820,3.6,60404,18,145,18145
11,Sullivan County, Indiana,2209,12,440,4.9,50245,18,153,18153
12,Tippecanoe County, Indiana,32662,18.7,4129,4.1,53130,18,157,18157
13,Hamilton County, Indiana,14700,4.6,4891,2.8,98173,18,57,18057
14,Bartholomew County, Indiana,10859,13.4,1768,4.2,63431,18,5,18005
15,Fulton County, Indiana,2442,12.4,414,4.2,52034,18,49,18049
16,Noble County, Indiana,3453,7.4,943,3.9,56789,18,113,18113
17,Clark County, Indiana,11544,10.1,2984,4.9,55630,18,19,18019
18,Hendricks County, Indiana,8021,5,3239,3.6,81933,18,63,18063
19,Grant County, Indiana,10953,18,2250,7.2,44356,18,53,18053
20,Jackson County, Indiana,6268,14.6,939,4.3,51250,18,71,18071
21,Owen County, Indiana,3154,15.4,555,5.4,49543,18,119,18119
22,Whitley County, Indiana,3213,9.7,644,3.6,61741,18,183,18183
23,Clinton County, Indiana,3916,12.5,611,3.9,54286,18,23,18023
24,Union County, Indiana,513,7.4,50,1.5,50375,18,161,18161
25,Dearborn County, Indiana,4446,9.1,956,3.7,68658,18,29,18029
26,Lawrence County, Indiana,5549,12.4,958,4.4,53610,18,93,18093
27,Perry County, Indiana,2067,11.9,263,3,52348,18,123,18123
28,Posey County, Indiana,2255,8.9,533,4.1,64196,18,129,18129
29,Carroll County, Indiana,1912,9.6,300,3.1,54806,18,15,18015
30,Fountain County, Indiana,1802,11.1,345,4.3,52874,18,45,18045
31,Starke County, Indiana,3385,14.8,509,5,51190,18,149,18149
32,Greene County, Indiana,4527,14.3,719,4.8,51613,18,55,18055
33,Benton County, Iowa,2216,8.8,409,3,67729,19,11,19011
34,Dubuque County, Iowa,10646,11.4,2036,3.9,63031,19,61,19061
35,Pocahontas County, Iowa,713,10.7,112,3.3,52448,19,151,19151
36,Van Buren County, Iowa,906,12.8,168,5.2,48591,19,177,19177
37,Adams County, Iowa,508,14.1,68,3.9,49255,19,3,19003
38,Audubon County, Iowa,632,11.7,52,1.8,52055,19,9,19009
39,Davis County, Iowa,868,9.9,131,3,63404,19,51,19051
40,Ida County, Iowa,648,9.6,91,2.6,58427,19,93,19093
41,Monroe County, Iowa,809,10.5,155,3.9,58269,19,135,19135
42,Sioux County, Iowa,2047,6.3,518,2.7,69844,19,167,19167
43,Calhoun County, Iowa,1133,12.6,102,2.3,52323,19,25,19025
44,Cerro Gordo County, Iowa,4252,10.1,917,4,53963,19,33,19033
45,Hardin County, Iowa,1564,9.6,153,1.8,54196,19,83,19083
46,Lucas County, Iowa,991,11.8,145,3.4,55205,19,117,19117
47,Palo Alto County, Iowa,554,6.4,67,1.4,52932,19,147,19147
48,Henry County, Iowa,1972,10.7,538,5.5,53501,19,87,19087
49,Jasper County, Iowa,3186,9,707,3.8,58952,19,99,19099
50,Poweshiek County, Iowa,1654,9.9,398,4,53852,19,157,19157
51,Clayton County, Iowa,1993,11.5,226,2.4,53152,19,43,19043
52,Bremer County, Iowa,1725,7.4,309,2.3,70395,19,17,19017
53,Emmet County, Iowa,1055,12.4,175,3.6,51563,19,63,19063
54,Hancock County, Iowa,1063,10,127,2.2,61761,19,81,19081
55,Jackson County, Iowa,2500,13.1,364,3.7,55967,19,97,19097
56,Lee County, Iowa,4658,14.2,1161,6.9,49564,19,111,19111
57,Warren County, Iowa,3933,8.2,811,3,77048,19,181,19181
58,Mahaska County, Iowa,2949,13.7,446,3.9,54825,19,123,19123
59,Clay County, Iowa,1723,10.9,356,4.2,50521,19,41,19041
60,Delaware County, Iowa,1559,9.2,187,2,63750,19,55,19055
61,Bacon County, Georgia,2486,23.8,194,4.5,37519,13,5,13005
62,Brantley County, Georgia,3654,19.6,417,5.8,38857,13,25,13025
63,Ben Hill County, Georgia,4925,29.6,378,5.8,32229,13,17,13017
64,Burke County, Georgia,4928,22.2,426,4.4,44151,13,33,13033
65,Catoosa County, Georgia,6516,9.9,1359,4.2,56235,13,47,13047
66,Chattahoochee County, Georgia,1418,19.8,282,11.3,47096,13,53,13053
67,Chattooga County, Georgia,4415,19.4,543,5.6,36807,13,55,13055
68,Columbia County, Georgia,11173,7.5,3271,4.5,82339,13,73,13073
69,Decatur County, Georgia,6203,24.3,566,5.2,41481,13,87,13087
70,Floyd County, Georgia,17122,18.4,2385,5.4,48336,13,115,13115
71,Forsyth County, Georgia,12937,5.7,3862,3.2,107218,13,117,13117
72,Habersham County, Georgia,6381,15.1,596,3.1,50563,13,137,13137
73,Hart County, Georgia,3750,15.1,587,5.6,43204,13,147,13147
74,Lowndes County, Georgia,27120,24.4,3338,6.5,42441,13,185,13185
75,McIntosh County, Georgia,2465,17.6,390,6,49504,13,191,13191
76,Meriwether County, Georgia,4806,22.9,530,6.2,37121,13,199,13199
77,Monroe County, Georgia,3625,13.9,850,7,54754,13,207,13207
78,Putnam County, Georgia,3449,16.1,413,4.2,51606,13,237,13237
79,Sumter County, Georgia,7567,27.1,1095,8.5,36681,13,261,13261
80,Taliaferro County, Georgia,340,21.1,47,7.3,37446,13,265,13265
81,Warren County, Georgia,1402,26.8,107,4.8,37203,13,301,13301
82,Wayne County, Iowa,1086,17.2,96,1.7,44768,19,185,19185
83,Scott County, Iowa,20389,12.1,48,3.8,61183,19,163,19163
84,Sherman County, Kansas,660,11.5,3383,3.6,54754,20,181,20181
85,Thomas County, Kansas,883,12,108,2.2,60124,20,193,20193
86,Morris County, Kansas,493,9,67,2.4,55658,20,127,20127
87,Rooks County, Kansas,380,7.8,78,3.1,49415,20,163,20163
88,Clark County, Kansas,213,10.9,15,1.5,53348,20,25,20025
89,Harper County, Kansas,874,16.1,145,5.8,49865,20,77,20077
90,Lyon County, Kansas,5356,16.9,997,5.4,46338,20,111,20111
91,Pawnee County, Kansas,353,6.4,67,2.4,49917,20,145,20145
92,Comanche County, Kansas,175,10.5,29,3,54821,20,33,20033
93,Gove County, Kansas,259,10,21,1.6,48317,20,63,20063
94,Harvey County, Kansas,3172,9.6,584,3.3,57982,20,79,20079
95,Kearny County, Kansas,749,19.6,37,2.2,52599,20,93,20093
96,McPherson County, Kansas,2382,8.8,293,1.9,59089,20,113,20113
97,Desha County, Arkansas,3363,29.1,406,8.2,31893,5,41,05041
98,Fulton County, Arkansas,2491,20.7,245,5.7,35405,5,49,05049
99,Howard County, Arkansas,2539,19.4,410,6.8,36059,5,61,05061
100,Garland County, Arkansas,18032,18.6,2392,5.5,44777,5,51,05051
101,Mississippi County, Arkansas,10017,24.3,1764,9.2,39962,5,93,05093
102,Pope County, Arkansas,11349,18.8,1823,6.4,43462,5,115,05115
103,Prairie County, Arkansas,1180,14.8,262,7.1,42660,5,117,05117
104,Union County, Arkansas,7444,19.1,815,5,44663,5,139,05139
105,Woodruff County, Arkansas,1596,25.2,226,7.8,32845,5,147,05147
106,Cleburne County, Arkansas,3452,14,465,4.3,44483,5,23,05023
107,Cleveland County, Arkansas,1475,18.4,178,5.5,46684,5,25,05025
108,Jackson County, Arkansas,3489,24.4,450,7.5,34109,5,67,05067
109,Hempstead County, Arkansas,4892,22.7,445,4.6,42860,5,57,05057
110,Sharp County, Arkansas,3743,22.2,269,4.3,34671,5,135,05135
111,Stone County, Arkansas,2449,19.8,303,6.3,38188,5,137,05137
112,Washington County, Arkansas,36730,16.4,5587,4.8,50451,5,143,05143
113,Baxter County, Arkansas,5360,13.1,773,4.6,42260,5,5,05005
114,Ashley County, Arkansas,3347,16.7,446,5.4,44744,5,3,05003
115,Craighead County, Arkansas,17130,16.6,3290,6.2,47286,5,31,05031
116,Greene County, Arkansas,7246,16.4,1550,7.6,47056,5,55,05055
117,Perry County, Arkansas,1830,17.9,221,5.5,48667,5,105,05105
118,Poinsett County, Arkansas,5000,21.4,607,5.8,40921,5,111,05111
119,Sevier County, Arkansas,3590,21.3,427,5.5,47704,5,133,05133
120,Calhoun County, Arkansas,680,13.4,97,4.4,46417,5,13,05013
121,Clark County, Arkansas,4017,20.3,215,2,41620,5,19,05019
122,Lawrence County, Arkansas,2497,15.6,513,7.2,39993,5,75,05075
123,Monroe County, Arkansas,1887,27.1,242,7.5,38468,5,95,05095
124,Conway County, Arkansas,3649,17.6,642,6.7,42802,5,29,05029
125,Newton County, Arkansas,1226,15.8,105,3.5,38082,5,101,05101
126,Arkansas County, Arkansas,3041,17.3,486,5.8,46696,5,1,05001
127,Lonoke County, Arkansas,8775,12.2,1212,3.6,59094,5,85,05085
128,Carroll County, Arkansas,4096,14.8,457,3.7,46110,5,15,05015
129,St. Francis County, Arkansas,5585,24.9,560,6.2,35348,5,123,05123
130,Pulaski County, Arkansas,64988,16.8,8993,4.7,51749,5,119,05119
131,Merced County, California,56217,21.2,14137,11.9,53672,6,47,06047
132,Mariposa County, California,2616,15.2,634,8.3,48820,6,43,06043
133,Modoc County, California,1618,18.8,278,8.6,45507,6,49,06049
134,Contra Costa County, California,98595,8.7,31392,5.3,99716,6,13,06013
135,Inyo County, California,1635,9.3,355,4.1,57316,6,27,06027
136,Stanislaus County, California,81415,15.1,22800,9.1,60704,6,99,06099
137,Santa Barbara County, California,57556,13.5,13147,5.8,74624,6,83,06083
138,Tehama County, California,13930,22.1,2318,8.6,44514,6,103,06103
139,Mono County, California,1713,12.1,291,3.4,62260,6,51,06051
140,San Benito County, California,5061,8.4,2163,6.9,86958,6,69,06069
141,Bryan County, Georgia,4565,12.4,438,6.9,72624,13,29,13029
142,Butts County, Georgia,4565,21.6,1194,4.8,43471,13,35,13035
143,Camden County, Georgia,7961,15.5,480,7,56951,13,39,13039
144,Crawford County, Georgia,2430,19.9,1616,8.5,46283,13,79,13079
145,Early County, Georgia,3086,30.5,357,8.8,30640,13,99,13099
146,Coffee County, Georgia,7786,19.9,696,4,40859,13,69,13069
147,Coweta County, Georgia,15191,10.7,3021,4.1,75913,13,77,13077
148,Gilmer County, Georgia,5059,16.8,577,4.2,52625,13,123,13123
149,Walton County, Georgia,10901,12.1,2263,5.1,61599,13,297,13297
150,Wilkes County, Georgia,2294,23.7,128,3,37838,13,317,13317
151,Dodge County, Georgia,4075,21.8,472,5.7,39302,13,91,13091
152,Gordon County, Georgia,10186,18,904,3.3,45865,13,129,13129
153,Cherokee County, Georgia,18356,7.5,4846,3.7,82740,13,57,13057
154,Fayette County, Georgia,6167,5.5,2147,3.9,90145,13,113,13113
155,Lee County, Georgia,3632,12.8,954,6.7,69280,13,177,13177
156,Pickens County, Georgia,3175,10.2,730,4.9,67631,13,227,13227
157,Greene County, Georgia,3353,19.5,379,5.5,52129,13,133,13133
158,Cook County, Georgia,4051,24,426,5.6,41854,13,75,13075
159,Dawson County, Georgia,2084,8.6,497,4,66281,13,85,13085
160,Fulton County, Georgia,144224,14.4,31400,5.5,69673,13,121,13121
161,Hawaii County, Hawaii,30632,15.6,5782,6.2,62409,15,1,15001
162,Honolulu County, Hawaii,79070,8.3,19513,4,85857,15,3,15003
163,Kauai County, Hawaii,5752,8.1,1443,3.8,83554,15,7,15007
164,Kalawao County, Hawaii,6,10,0,0,69375,15,5,15005
165,Cassia County, Idaho,3334,14.3,297,2.8,52935,16,31,16031
166,Lincoln County, Idaho,641,12.1,97,3.7,50053,16,63,16063
167,Valley County, Idaho,764,7.2,82,1.7,64475,16,85,16085
168,Franklin County, Idaho,1394,10.4,91,1.5,57215,16,41,16041
169,Nez Perce County, Idaho,5215,13.3,753,3.8,58107,16,69,16069
170,Kootenai County, Idaho,18244,11.7,3148,4.1,57242,16,55,16055
