,FIPS,NAME,State,Age_85,Age_80_84,Age_75_79,Age_70_74,Age_65_69,AgedPop,ID,Beds_Licensed,Beds_Staffed,Beds_ICU,Ventilators_Average
0,1001,Autauga County,Alabama,815,1026,1498,2440,2271,8050,1001,85.0,55.0,6,2.0
1,1003,Baldwin County,Alabama,3949,4792,7373,11410,13141,40665,1003,386.0,362.0,51,8.0
2,1005,Barbour County,Alabama,422,551,841,1305,1515,4634,1005,74.0,30.0,5,2.0
3,1007,Bibb County,Alabama,427,488,624,842,1280,3661,1007,35.0,25.0,4,1.0
4,1009,Blount County,Alabama,866,1459,1776,2802,3330,10233,1009,25.0,25.0,6,2.0
5,1011,Bullock County,Alabama,175,182,248,436,575,1616,1011,61.0,30.0,5,1.0
6,1013,Butler County,Alabama,557,415,753,994,1087,3806,1013,72.0,44.0,7,2.0
7,1015,Calhoun County,Alabama,2050,2323,3524,4822,6667,19386,1015,486.0,435.0,30,15.0
8,1017,Chambers County,Alabama,702,747,1185,1686,2089,6409,1017,115.0,84.0,15,0.0
9,1019,Cherokee County,Alabama,479,528,1188,1492,1934,5621,1019,60.0,45.0,8,1.0
10,1021,Chilton County,Alabama,602,804,1385,2088,2048,6927,1021,30.0,26.0,6,2.0
11,1023,Choctaw County,Alabama,295,262,680,771,876,2884,1023,25.0,25.0,4,0.0
12,1025,Clarke County,Alabama,465,630,956,1041,1534,4626,1025,85.0,56.0,10,2.0
13,1027,Clay County,Alabama,249,332,527,740,804,2652,1027,45.0,46.0,4,2.0
14,1031,Coffee County,Alabama,906,967,1641,2137,2724,8375,1031,131.0,99.0,7,2.0
15,1033,Colbert County,Alabama,1216,1255,2028,2910,3093,10502,1033,383.0,300.0,22,6.0
16,1035,Conecuh County,Alabama,312,250,511,686,948,2707,1035,58.0,44.0,8,0.0
17,1039,Covington County,Alabama,862,1107,1451,1902,2328,7650,1039,187.0,128.0,13,4.0
18,1041,Crenshaw County,Alabama,311,263,433,741,794,2542,1041,93.0,57.0,5,2.0
19,1043,Cullman County,Alabama,1101,2297,2649,4277,4479,14803,1043,185.0,185.0,12,5.0
20,1045,Dale County,Alabama,864,958,1538,1909,2670,7939,1045,89.0,77.0,6,2.0
21,1047,Dallas County,Alabama,530,922,1260,1318,2675,6705,1047,175.0,109.0,23,2.0
22,1049,DeKalb County,Alabama,1039,1308,2225,3017,4030,11619,1049,134.0,97.0,12,3.0
23,1051,Elmore County,Alabama,1141,1396,1962,3270,4001,11770,1051,138.0,70.0,11,3.0
24,1053,Escambia County,Alabama,658,696,1381,1577,2164,6476,1053,142.0,95.0,14,4.0
25,1055,Etowah County,Alabama,1942,2402,3353,4518,6662,18877,1055,739.0,590.0,85,14.0
26,1057,Fayette County,Alabama,368,397,613,941,1073,3392,1057,61.0,45.0,8,2.0
27,1059,Franklin County,Alabama,565,588,990,1263,1694,5100,1059,125.0,74.0,11,3.0
28,1061,Geneva County,Alabama,439,737,987,1240,1749,5152,1061,83.0,73.0,6,2.0
29,1063,Greene County,Alabama,202,180,380,254,700,1716,1063,20.0,20.0,4,0.0
30,1065,Hale County,Alabama,342,397,405,620,953,2717,1065,39.0,28.0,5,0.0
31,1069,Houston County,Alabama,1923,2201,3208,4434,5849,17615,1069,790.0,784.0,72,18.0
32,1071,Jackson County,Alabama,997,1159,1868,2138,3810,9972,1071,170.0,92.0,10,2.0
33,1073,Jefferson County,Alabama,12719,12341,16767,22826,34493,99146,1073,4768.0,3816.0,393,92.0
34,1077,Lauderdale County,Alabama,2203,2398,3085,4844,5346,17876,1077,263.0,233.0,36,6.0
35,1079,Lawrence County,Alabama,529,647,1022,1488,2101,5787,1079,98.0,43.0,6,2.0
36,1081,Lee County,Alabama,1573,1936,3117,4374,6739,17739,1081,314.0,299.0,20,10.0
37,1083,Limestone County,Alabama,1427,1665,2312,4010,4309,13723,1083,102.0,97.0,18,6.0
38,1087,Macon County,Alabama,393,396,598,902,1253,3542,1087,143.0,143.0,0,0.0
39,1089,Madison County,Alabama,5568,7254,8909,13019,16558,51308,1089,1241.0,1240.0,99,24.0
40,1091,Marengo County,Alabama,356,578,709,942,1105,3690,1091,99.0,37.0,5,2.0
41,1093,Marion County,Alabama,684,596,1419,1657,1863,6219,1093,120.0,97.0,8,3.0
42,1095,Marshall County,Alabama,1523,1881,3135,4090,5312,15941,1095,150.0,150.0,20,7.0
43,1097,Mobile County,Alabama,7031,7295,11239,15823,22262,63650,1097,1930.0,1524.0,246,31.0
44,1099,Monroe County,Alabama,581,555,581,1127,1216,4060,1099,94.0,49.0,8,2.0
45,1101,Montgomery County,Alabama,3392,3999,6146,7608,11038,32183,1101,1204.0,1018.0,86,20.0
46,1103,Morgan County,Alabama,2204,2623,3407,5089,6542,19865,1103,273.0,222.0,23,3.0
47,1109,Pike County,Alabama,503,521,1043,1368,1451,4886,1109,97.0,97.0,9,2.0
48,1111,Randolph County,Alabama,425,480,935,1272,1400,4512,1111,15.0,15.0,3,1.0
49,1113,Russell County,Alabama,748,1067,1309,2059,2593,7776,1113,128.0,105.0,10,4.0
50,1115,St. Clair County,Alabama,1190,1796,2359,3515,5031,13891,1115,40.0,40.0,6,2.0
51,1117,Shelby County,Alabama,2710,3218,5458,7733,11006,30125,1117,286.0,246.0,32,6.0
52,1119,Sumter County,Alabama,247,414,353,568,616,2198,1119,33.0,33.0,6,0.0
53,1121,Talladega County,Alabama,1403,1628,2409,3554,4763,13757,1121,290.0,207.0,14,4.0
54,1123,Tallapoosa County,Alabama,850,1069,1320,2479,2556,8274,1123,127.0,80.0,14,2.0
55,1125,Tuscaloosa County,Alabama,2918,2943,4392,6725,8707,25685,1125,1003.0,804.0,57,33.0
56,1127,Walker County,Alabama,1216,1406,2275,3549,3578,12024,1127,267.0,207.0,12,4.0
57,1129,Washington County,Alabama,175,414,583,863,1003,3038,1129,25.0,15.0,3,1.0
58,1131,Wilcox County,Alabama,238,329,266,445,707,1985,1131,30.0,21.0,4,0.0
59,1133,Winston County,Alabama,532,543,967,1467,1518,5027,1133,49.0,49.0,4,2.0
60,2020,Anchorage Municipality,Alaska,2626,3030,4338,7997,11501,29492,2020,1102.0,979.0,109,21.0
61,2050,Bethel Census Area,Alaska,71,134,188,391,500,1284,2050,50.0,34.0,6,1.0
62,2070,Dillingham Census Area,Alaska,33,32,92,114,159,430,2070,16.0,16.0,3,1.0
63,2090,Fairbanks North Star Borough,Alaska,573,883,1263,1952,4453,9124,2090,175.0,145.0,13,2.0
64,2110,Juneau City and Borough,Alaska,412,188,578,935,1764,3877,2110,73.0,45.0,9,2.0
65,2122,Kenai Peninsula Borough,Alaska,759,908,1188,2377,3860,9092,2122,77.0,76.0,11,3.0
66,2130,Ketchikan Gateway Borough,Alaska,198,177,269,508,798,1950,2130,25.0,25.0,4,2.0
67,2150,Kodiak Island Borough,Alaska,70,90,174,265,649,1248,2150,25.0,24.0,4,2.0
68,2170,Matanuska-Susitna Borough,Alaska,819,931,1692,3201,4387,11030,2170,125.0,74.0,14,3.0
69,2180,Nome Census Area,Alaska,29,83,110,226,294,742,2180,18.0,18.0,3,1.0
70,2185,North Slope Borough,Alaska,33,39,92,193,270,627,2185,10.0,14.0,3,1.0
71,2188,Northwest Arctic Borough,Alaska,52,49,134,135,226,596,2188,17.0,17.0,3,0.0
72,2195,Petersburg Borough,Alaska,51,31,157,183,279,701,2195,12.0,12.0,2,0.0
73,2220,Sitka City and Borough,Alaska,154,206,162,314,432,1268,2220,25.0,27.0,4,1.0
74,2261,Valdez-Cordova Census Area,Alaska,67,25,95,276,689,1152,2261,24.0,24.0,4,1.0
75,2275,Wrangell City and Borough,Alaska,46,104,130,95,173,548,2275,8.0,8.0,1,0.0
76,4001,Apache County,Arizona,1037,1171,2029,2546,3637,10420,4001,162.0,162.0,29,5.0
77,4003,Cochise County,Arizona,2671,3270,5297,6291,9021,26550,4003,160.0,135.0,22,6.0
78,4005,Coconino County,Arizona,1527,1483,2801,4212,6236,16259,4005,418.0,396.0,61,12.0
79,4007,Gila County,Arizona,1385,1991,2755,3782,4870,14783,4007,50.0,50.0,8,4.0
80,4009,Graham County,Arizona,568,600,962,1286,1596,5012,4009,176.0,57.0,10,2.0
81,4012,La Paz County,Arizona,606,1414,1944,2277,1606,7847,4012,42.0,42.0,6,2.0
82,4013,Maricopa County,Arizona,72967,72560,111018,156980,201752,615277,4013,11544.0,9809.0,1137,281.0
83,4015,Mohave County,Arizona,5682,7493,11876,15327,18959,59337,4015,610.0,551.0,80,20.0
84,4017,Navajo County,Arizona,1774,1889,3504,5185,5999,18351,4017,188.0,176.0,24,5.0
85,4019,Pima County,Arizona,22676,23500,35822,47662,60592,190252,4019,3367.0,2860.0,377,59.0
86,4021,Pinal County,Arizona,6064,8725,15993,22997,27128,80907,4021,401.0,401.0,39,10.0
87,4023,Santa Cruz County,Arizona,851,991,1405,2199,2445,7891,4023,25.0,25.0,4,2.0
88,4025,Yavapai County,Arizona,7180,7337,12266,18362,21705,66850,4025,385.0,302.0,43,12.0
89,4027,Yuma County,Arizona,3463,5872,9039,9200,9855,37429,4027,456.0,447.0,42,7.0
90,5001,Arkansas County,Arkansas,381,434,650,799,1078,3342,5001,74.0,74.0,13,3.0
91,5003,Ashley County,Arkansas,447,406,767,1057,1303,3980,5003,33.0,25.0,6,2.0
92,5005,Baxter County,Arkansas,1425,1842,2548,3197,3638,12650,5005,268.0,170.0,17,4.0
93,5007,Benton County,Arkansas,3953,4213,6041,8257,11461,33925,5007,342.0,311.0,34,7.0
94,5009,Boone County,Arkansas,990,847,1388,2025,2241,7491,5009,174.0,120.0,24,3.0
95,5011,Bradley County,Arkansas,231,234,433,532,584,2014,5011,33.0,25.0,4,2.0
96,5015,Carroll County,Arkansas,574,710,1019,1635,2164,6102,5015,40.0,40.0,8,4.0
97,5017,Chicot County,Arkansas,275,320,418,468,631,2112,5017,35.0,35.0,4,2.0
98,5019,Clark County,Arkansas,546,506,581,767,1193,3593,5019,25.0,25.0,4,2.0
99,5021,Clay County,Arkansas,368,482,555,846,888,3139,5021,25.0,25.0,4,1.0
100,5023,Cleburne County,Arkansas,815,812,1464,1718,1888,6697,5023,25.0,25.0,4,1.0
101,5027,Columbia County,Arkansas,616,441,819,1077,1082,4035,5027,49.0,30.0,6,2.0
102,5029,Conway County,Arkansas,658,489,587,993,1204,3931,5029,25.0,25.0,4,2.0
103,5031,Craighead County,Arkansas,1543,1855,2549,3391,4766,14104,5031,730.0,561.0,74,17.0
104,5033,Crawford County,Arkansas,1073,1162,1879,2694,3260,10068,5033,103.0,35.0,8,2.0
105,5035,Crittenden County,Arkansas,689,806,1143,1673,2184,6495,5035,65.0,63.0,2,1.0
106,5037,Cross County,Arkansas,201,342,638,801,1070,3052,5037,25.0,15.0,3,2.0
107,5039,Dallas County,Arkansas,151,307,218,371,533,1580,5039,25.0,22.0,4,0.0
108,5041,Desha County,Arkansas,299,174,437,558,688,2156,5041,50.0,50.0,8,2.0
109,5043,Drew County,Arkansas,343,505,596,639,1008,3091,5043,49.0,49.0,5,2.0
110,5045,Faulkner County,Arkansas,1611,1610,2434,4088,4745,14488,5045,357.0,355.0,25,6.0
111,5047,Franklin County,Arkansas,410,414,694,801,1042,3361,5047,25.0,25.0,4,1.0
112,5049,Fulton County,Arkansas,451,488,381,806,945,3071,5049,25.0,25.0,4,2.0
113,5051,Garland County,Arkansas,2820,3037,3988,5462,7135,22442,5051,562.0,423.0,48,16.0
114,5055,Greene County,Arkansas,632,769,1479,1663,2403,6946,5055,129.0,114.0,8,3.0
115,5057,Hempstead County,Arkansas,553,476,677,875,1292,3873,5057,79.0,67.0,8,2.0
116,5059,Hot Spring County,Arkansas,491,970,912,1504,2271,6148,5059,72.0,64.0,6,2.0
117,5061,Howard County,Arkansas,298,236,474,670,660,2338,5061,20.0,20.0,6,2.0
118,5063,Independence County,Arkansas,864,944,983,1500,2107,6398,5063,235.0,184.0,12,4.0
119,5065,Izard County,Arkansas,309,424,786,727,1134,3380,5065,25.0,25.0,4,1.0
120,5069,Jefferson County,Arkansas,1675,1203,1759,2910,3921,11468,5069,471.0,271.0,34,7.0
121,5071,Johnson County,Arkansas,436,455,800,1262,1256,4209,5071,90.0,57.0,8,2.0
122,5075,Lawrence County,Arkansas,511,390,519,903,883,3206,5075,25.0,25.0,4,2.0
123,5081,Little River County,Arkansas,176,405,418,910,626,2535,5081,25.0,25.0,4,1.0
124,5083,Logan County,Arkansas,425,611,704,893,1551,4184,5083,41.0,40.0,7,3.0
125,5091,Miller County,Arkansas,765,691,1361,1820,2363,7000,5091,62.0,50.0,0,0.0
126,5093,Mississippi County,Arkansas,701,687,1087,1420,2133,6028,5093,124.0,124.0,9,3.0
127,5103,Ouachita County,Arkansas,665,448,891,1116,1482,4602,5103,98.0,87.0,8,2.0
128,5107,Phillips County,Arkansas,496,396,512,661,1281,3346,5107,155.0,127.0,6,2.0
129,5113,Polk County,Arkansas,496,510,839,1257,1369,4471,5113,65.0,41.0,6,2.0
130,5115,Pope County,Arkansas,1109,1078,1816,2206,3380,9589,5115,170.0,137.0,11,4.0
131,5119,Pulaski County,Arkansas,7541,6361,9116,13402,20568,56988,5119,4324.0,3570.0,220,63.0
132,5121,Randolph County,Arkansas,477,448,662,794,1101,3482,5121,50.0,32.0,2,1.0
133,5123,St. Francis County,Arkansas,315,323,921,997,1428,3984,5123,118.0,56.0,6,2.0
134,5125,Saline County,Arkansas,1850,2333,3944,5456,6667,20250,5125,257.0,207.0,16,3.0
135,5127,Scott County,Arkansas,218,212,418,589,640,2077,5127,24.0,24.0,4,1.0
136,5131,Sebastian County,Arkansas,2199,2173,3543,4765,6708,19388,5131,1081.0,779.0,80,27.0
137,5137,Stone County,Arkansas,228,493,717,1016,829,3283,5137,25.0,25.0,4,1.0
138,5139,Union County,Arkansas,648,938,1310,1759,2072,6727,5139,166.0,111.0,16,3.0
139,5141,Van Buren County,Arkansas,645,452,817,999,1310,4223,5141,25.0,25.0,4,2.0
140,5143,Washington County,Arkansas,3012,2773,4449,6439,8762,25435,5143,1068.0,836.0,78,17.0
141,5145,White County,Arkansas,1417,1695,2128,3049,4136,12425,5145,465.0,272.0,17,10.0
142,5149,Yell County,Arkansas,504,568,550,1093,948,3663,5149,76.0,55.0,9,3.0
143,6001,Alameda County,California,28149,25740,35208,51644,75176,215917,6001,3464.0,3570.0,331,74.0
144,6005,Amador County,California,1253,1175,1380,2519,3625,9952,6005,52.0,52.0,6,3.0
145,6007,Butte County,California,5326,4626,7104,10159,13004,40219,6007,401.0,471.0,47,19.0
146,6009,Calaveras County,California,1228,1383,2134,3446,4023,12214,6009,25.0,25.0,5,2.0
147,6013,Contra Costa County,California,21680,20224,28341,41610,57927,169782,6013,1696.0,1636.0,172,44.0
148,6015,Del Norte County,California,611,590,576,1135,1673,4585,6015,49.0,39.0,6,3.0
149,6017,El Dorado County,California,3830,3970,6275,9479,13197,36751,6017,190.0,189.0,28,6.0
