County GNIS Code,GEOID,FIPS,NAME,State,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E
161526,1001,1001,Autauga County,Alabama,438,646,1056,670,399,385,488,805,1385,1010,502,499
161527,1003,1003,Baldwin County,Alabama,2443,3906,5849,3623,2305,1609,2693,4392,6456,4518,2298,2439
161528,1005,1005,Barbour County,Alabama,266,305,728,398,237,93,312,570,663,457,369,312
161529,1007,1007,Bibb County,Alabama,155,444,466,311,87,133,192,398,443,322,324,309
161530,1009,1009,Blount County,Alabama,535,993,1360,684,603,434,952,819,1452,1010,863,621
161531,1011,1011,Bullock County,Alabama,143,110,252,134,64,0,115,175,225,139,112,171
161532,1013,1013,Butler County,Alabama,159,380,590,182,126,159,280,341,538,508,271,366
161533,1015,1015,Calhoun County,Alabama,1360,1694,2313,1506,861,638,1452,2164,2744,2160,1424,1422
161534,1017,1017,Chambers County,Alabama,419,579,907,487,202,177,554,650,849,732,438,476
161535,1019,1019,Cherokee County,Alabama,326,630,731,635,221,157,437,525,862,560,371,356
161536,1021,1021,Chilton County,Alabama,471,610,879,682,341,220,469,680,1043,755,510,392
161537,1023,1023,Choctaw County,Alabama,143,287,312,378,77,78,115,262,541,343,162,224
161538,1025,1025,Clarke County,Alabama,272,443,506,448,236,142,254,626,482,519,321,430
161539,1027,1027,Clay County,Alabama,111,192,408,270,108,119,178,275,375,305,190,167
161540,1029,1029,Cleburne County,Alabama,223,298,299,351,51,91,199,356,321,199,151,360
161541,1031,1031,Coffee County,Alabama,557,742,1075,628,389,365,693,692,1217,1066,600,526
161542,1033,1033,Colbert County,Alabama,641,778,1312,837,575,403,734,893,1697,1261,716,797
161543,1035,1035,Conecuh County,Alabama,197,154,541,174,107,78,159,253,404,351,92,236
161544,1037,1037,Coosa County,Alabama,106,311,222,322,60,112,232,264,238,165,267,131
161545,1039,1039,Covington County,Alabama,407,713,897,633,442,258,586,616,1050,856,697,571
161546,1041,1041,Crenshaw County,Alabama,184,205,356,201,128,54,87,274,485,241,179,215
161547,1043,1043,Cullman County,Alabama,1146,1044,2011,1244,866,429,936,1351,2473,1411,1428,777
161548,1045,1045,Dale County,Alabama,563,702,948,730,404,243,577,797,1121,834,610,552
161549,1047,1047,Dallas County,Alabama,501,646,701,386,475,156,650,816,764,786,466,462
161550,1049,1049,DeKalb County,Alabama,721,1330,1350,1129,529,199,883,1220,1667,1226,819,810
161551,1051,1051,Elmore County,Alabama,675,1064,1785,943,572,407,663,1380,1859,1117,897,691
161552,1053,1053,Escambia County,Alabama,363,688,637,612,322,209,494,762,821,708,474,476
161553,1055,1055,Etowah County,Alabama,1319,1777,2139,1491,995,536,1343,2351,2462,1968,1468,1408
161554,1057,1057,Fayette County,Alabama,251,275,385,275,192,125,293,270,528,340,251,253
161555,1059,1059,Franklin County,Alabama,241,480,659,500,274,191,461,623,580,538,334,423
161556,1061,1061,Geneva County,Alabama,293,545,597,378,273,239,278,654,593,590,492,343
161557,1063,1063,Greene County,Alabama,44,105,288,223,23,66,158,288,105,265,112,96
161558,1065,1065,Hale County,Alabama,195,255,333,203,107,126,197,300,329,231,315,186
161559,1067,1067,Henry County,Alabama,198,374,484,350,157,88,222,435,579,370,189,339
161560,1069,1069,Houston County,Alabama,1112,1590,2110,1376,918,661,1390,1716,2638,1893,1382,1266
161561,1071,1071,Jackson County,Alabama,651,1064,1048,808,553,328,908,1157,1191,1130,674,601
161562,1073,1073,Jefferson County,Alabama,7774,8939,9968,6494,4863,4067,8470,10208,14202,10338,7776,8686
161563,1075,1075,Lamar County,Alabama,203,184,377,237,122,170,106,461,287,357,255,224
161564,1077,1077,Lauderdale County,Alabama,1080,1483,2218,1251,1010,843,1414,1778,2485,1821,1509,1336
161565,1079,1079,Lawrence County,Alabama,284,662,717,453,301,210,541,602,859,623,414,332
161566,1081,1081,Lee County,Alabama,1323,1959,2194,1337,927,679,1602,2044,2548,1916,1042,1125
161567,1083,1083,Limestone County,Alabama,901,1171,2048,1064,787,443,1111,1186,2326,1156,1093,1042
161568,1085,1085,Lowndes County,Alabama,160,108,207,171,93,51,169,188,225,179,161,144
161569,1087,1087,Macon County,Alabama,313,294,357,352,97,100,382,310,528,317,258,306
161570,1089,1089,Madison County,Alabama,3399,4264,6450,3951,2947,2233,3996,5175,7447,5377,4313,3599
161572,1091,1091,Marengo County,Alabama,206,311,455,344,212,87,316,341,450,335,328,344
161573,1093,1093,Marion County,Alabama,289,596,740,635,305,173,211,715,929,721,479,495
161574,1095,1095,Marshall County,Alabama,1061,1436,1801,1464,676,543,1099,1661,2368,1680,1303,1001
161575,1097,1097,Mobile County,Alabama,4931,5790,7324,4950,3162,1909,4758,7162,9347,6447,4601,4958
161576,1099,1099,Monroe County,Alabama,191,447,455,342,169,180,225,427,580,378,282,424
161577,1101,1101,Montgomery County,Alabama,2288,2961,3363,2653,1516,1056,2824,3270,4673,3647,2354,2502
161578,1103,1103,Morgan County,Alabama,1354,1767,2298,1607,1055,765,1282,2188,2990,2022,1634,1450
161579,1105,1105,Perry County,Alabama,138,70,297,106,77,28,157,185,324,149,147,94
161580,1107,1107,Pickens County,Alabama,293,328,381,307,175,193,320,414,389,340,266,333
161581,1109,1109,Pike County,Alabama,322,428,590,481,234,158,294,402,810,550,336,341
161582,1111,1111,Randolph County,Alabama,316,362,679,454,177,89,324,396,640,515,398,272
161583,1113,1113,Russell County,Alabama,508,639,992,590,286,302,610,784,1319,836,743,420
164997,1115,1115,St. Clair County,Alabama,1041,1165,1906,1179,704,495,1291,1654,1694,1340,1177,671
161584,1117,1117,Shelby County,Alabama,1938,3122,4050,2422,1578,1015,2355,3832,4399,2973,2306,1726
161585,1119,1119,Sumter County,Alabama,164,121,279,147,137,54,133,186,343,200,280,190
161586,1121,1121,Talladega County,Alabama,824,1536,1598,1065,713,548,958,1576,1974,1354,1153,753
161587,1123,1123,Tallapoosa County,Alabama,381,790,1236,798,363,307,423,994,1287,744,719,463
161588,1125,1125,Tuscaloosa County,Alabama,1856,2387,3267,2135,1010,852,2179,2821,3700,2750,1829,1887
161589,1127,1127,Walker County,Alabama,574,993,1734,883,768,412,673,1309,1917,1276,661,991
161590,1129,1129,Washington County,Alabama,228,225,485,191,213,45,295,262,386,300,298,119
161591,1131,1131,Wilcox County,Alabama,90,154,329,146,115,54,133,257,229,155,191,173
161592,1133,1133,Winston County,Alabama,276,480,691,434,264,161,273,475,789,571,346,315
1419964,2013,2013,Aleutians East Borough,Alaska,16,39,45,20,15,18,49,27,32,21,19,17
1419965,2016,2016,Aleutians West Census Area,Alaska,55,37,42,28,2,0,49,36,38,25,23,12
1416061,2020,2020,Anchorage Municipality,Alaska,2726,3372,4056,2085,1385,886,2378,3396,4640,2314,1843,1792
1419966,2050,2050,Bethel Census Area,Alaska,133,170,169,124,29,14,102,95,215,84,76,90
1419967,2060,2060,Bristol Bay Borough,Alaska,7,14,14,7,6,6,4,7,7,6,6,3
1419988,2068,2068,Denali Borough,Alaska,42,42,13,31,4,0,16,22,10,23,6,0
1419968,2070,2070,Dillingham Census Area,Alaska,46,44,118,48,20,14,42,32,51,46,13,25
1419969,2090,2090,Fairbanks North Star Borough,Alaska,976,1456,1205,595,435,276,697,1456,1021,730,577,275
1419970,2100,2100,Haines Borough,Alaska,145,89,121,4,2,4,62,32,81,21,61,11
2371430,2105,2105,Hoonah-Angoon Census Area,Alaska,45,57,66,47,19,14,73,38,44,26,8,2
1419971,2110,2110,Juneau City and Borough,Alaska,389,463,580,234,96,183,366,502,546,303,141,236
1419972,2122,2122,Kenai Peninsula Borough,Alaska,863,1360,1316,712,442,345,705,1121,1235,595,414,523
1419973,2130,2130,Ketchikan Gateway Borough,Alaska,160,254,273,158,76,90,174,190,312,134,130,99
1419974,2150,2150,Kodiak Island Borough,Alaska,188,169,124,100,31,34,130,176,161,107,72,27
1419985,2158,2158,Kusilvak Census Area,Alaska,42,68,43,24,21,5,18,64,77,38,41,13
1419975,2164,2164,Lake and Peninsula Borough,Alaska,14,8,9,9,4,4,3,7,21,14,11,5
1419976,2170,2170,Matanuska-Susitna Borough,Alaska,1170,1398,1634,868,554,385,996,1400,1615,842,532,545
1419977,2180,2180,Nome Census Area,Alaska,63,86,104,56,36,6,55,67,118,42,49,20
1419978,2185,2185,North Slope Borough,Alaska,102,89,126,38,13,18,56,51,67,54,31,26
1419979,2188,2188,Northwest Arctic Borough,Alaska,32,62,83,62,21,9,36,91,56,56,38,29
2516404,2195,2195,Petersburg Borough,Alaska,63,80,69,115,15,18,40,91,123,59,15,29
1419980,2198,2198,Prince of Wales-Hyder Census Area,Alaska,134,146,133,85,76,12,111,86,124,68,20,32
1419981,2220,2220,Sitka City and Borough,Alaska,117,94,185,86,76,70,113,140,132,89,129,79
2339479,2230,2230,Skagway Municipality,Alaska,12,22,14,13,5,1,11,14,17,11,6,4
1419983,2240,2240,Southeast Fairbanks Census Area,Alaska,111,131,128,63,83,11,98,79,97,101,20,16
1419984,2261,2261,Valdez-Cordova Census Area,Alaska,267,97,111,87,30,19,130,155,132,63,19,24
2516402,2275,2275,Wrangell City and Borough,Alaska,17,66,55,52,84,31,60,43,50,58,41,12
1419986,2282,2282,Yakutat City and Borough,Alaska,14,10,10,16,0,4,3,8,11,9,8,1
1419987,2290,2290,Yukon-Koyukuk Census Area,Alaska,95,93,113,77,26,29,81,63,88,39,32,34
25441,4001,4001,Apache County,Arizona,661,1111,1233,958,518,371,867,1192,1413,1135,647,588
25442,4003,4003,Cochise County,Arizona,1919,2440,3256,2538,1800,1116,1749,2775,3539,2887,1637,1622
25443,4005,4005,Coconino County,Arizona,1326,1751,2273,1400,760,602,1303,1838,2397,1651,817,865
40471,4007,4007,Gila County,Arizona,1110,1435,1853,1276,1052,666,1165,1361,1983,1461,941,896
25444,4009,4009,Graham County,Arizona,447,299,704,517,236,235,380,475,678,478,346,407
42807,4011,4011,Greenlee County,Arizona,48,60,177,97,123,42,66,65,199,130,133,38
43540,4012,4012,La Paz County,Arizona,262,544,1204,1126,672,382,279,656,919,1068,715,198
37026,4013,4013,Maricopa County,Arizona,39064,56549,76952,54570,34006,28128,46171,65261,89694,63576,42184,45659
25445,4015,4015,Mohave County,Arizona,3533,5949,8045,6120,4360,2579,4158,6087,7400,6316,3697,3139
42808,4017,4017,Navajo County,Arizona,1255,1653,2669,1627,980,808,1314,2074,2626,1846,1169,1041
25446,4019,4019,Pima County,Arizona,11938,17114,23168,17260,10959,9132,14428,18801,26836,20300,13505,13920
25447,4021,4021,Pinal County,Arizona,5442,7766,11691,9079,4620,2856,6046,9020,12468,8640,4704,3642
40472,4023,4023,Santa Cruz County,Arizona,384,947,867,645,495,350,427,790,1257,894,424,557
42809,4025,4025,Yavapai County,Arizona,4388,5899,9715,6618,3811,2925,4905,7173,9745,6586,3822,4271
23901,4027,4027,Yuma County,Arizona,1968,2506,4515,4381,3285,1771,2033,3570,4847,4627,3057,2140
63755,5001,5001,Arkansas County,Arkansas,233,352,387,203,165,177,185,390,421,422,234,236
63756,5003,5003,Ashley County,Arkansas,395,281,462,405,135,153,288,325,638,333,257,364
69895,5005,5005,Baxter County,Arkansas,672,992,1521,1303,917,584,588,1399,1626,1548,824,805
69896,5007,5007,Benton County,Arkansas,2237,3679,3575,2985,1856,1486,2262,3886,4969,3518,2302,2516
69897,5009,5009,Boone County,Arkansas,465,579,997,715,325,374,530,648,1076,744,462,676
63757,5011,5011,Bradley County,Arkansas,143,102,243,217,78,93,168,142,259,274,144,131
63758,5013,5013,Calhoun County,Arkansas,27,93,155,129,53,44,70,95,144,119,118,55
