ObjectID,CountyGNIS,GEOIDFIPS,LandAreaSQM,WaterAreaSQM,Name,State,TotalPop,TotalPopMOE,NonHispWhPop,NonHispWhMOE,BlackPop,BlackPopMOE,AmIndop,AmeIndPopMOE,AsianPop,AsianPopMOE,PacIslPop,PacIslPopMOE,OtherPop,OtherPopMOE,TwoMorPop,TwoMorPopMOE,HispPop,HispPopMOE,PCPopNWh,PCPopNWhMOE,PCPopBk,PPCPopBkMOE,PCPopAI,PCPopAIMOEMOE,PCPopAs,PCPopAsMOE,PPCPopPI,PCPopPIMOE,PCPopOr,PCPopOrMOE,PCPopTm,CPopTmMOE,PCPopHL,PCPopHLMOE,ShpArea,ShpLength
1,00161526,01001,1539602123,25706961,Autauga County,Alabama,55200,,41412,59,10475,212,159,68,568,166,5,11,41,59,1012,251,1528,,75,,19,,0.3,,1,,0,,0.1,,1.8,,2.8,,2208587881.37109,249970.191752144
2,00161527,01003,4117546676,1133055836,Baldwin County,Alabama,208107,,172768,227,19529,317,1398,315,1668,360,9,13,410,288,2972,585,9353,,83,,9.4,,0.7,,0.8,,0,,0.2,,1.4,,4.5,,5909266212.63867,536067.253712654
3,00161528,01005,2292144655,50538698,Barbour County,Alabama,25782,,11898,22,12199,184,63,40,85,38,1,3,86,69,344,161,1106,,46.1,,47.3,,0.2,,0.3,,0,,0.3,,1.3,,4.3,,3257906792.11719,320882.847872505
4,00161529,01007,1612167481,9602089,Bibb County,Alabama,22527,,16801,22,4974,97,8,16,37,54,0,22,0,22,160,89,547,,74.6,,22.1,,0,,0.2,,0,,0,,0.7,,2.4,,2311990190.34766,227919.418077913
5,00161530,01009,1670103911,15015423,Blount County,Alabama,57645,,50232,229,820,159,124,67,198,33,18,32,174,229,818,166,5261,,87.1,,1.4,,0.2,,0.3,,0,,0.3,,1.4,,9.1,,2456904166.71094,292630.284060331
6,00161531,01011,1613059160,6054988,Bullock County,Alabama,10352,,2228,19,7893,146,122,139,56,71,0,19,2,4,0,19,51,51,21.5,,76.2,,1.2,,0.5,,0,,0,,0,,0.5,,2262904557.83203,249092.796454924
7,00161532,01013,2012002530,2701198,Butler County,Alabama,20025,,10384,22,9027,106,2,4,231,44,0,22,0,22,314,94,67,43,51.9,,45.1,,0,,1.2,,0,,0,,1.6,,0.3,,2794760969.16016,221283.357174484
8,00161533,01015,1569189622,16627597,Calhoun County,Alabama,115098,,83423,34,23618,387,227,83,1065,146,9,14,38,28,2515,444,4203,,72.5,,20.5,,0.2,,0.9,,0,,0,,2.2,,3.7,,2300902614.21484,263501.631686755
9,00161534,01017,1545085607,16971701,Chambers County,Alabama,33826,,18872,2,13319,159,97,43,405,38,0,25,18,29,347,159,768,,55.8,,39.4,,0.3,,1.2,,0,,0.1,,1,,2.3,,2222662394.16406,208606.04126474
10,00161535,01019,1433623321,120308339,Cherokee County,Alabama,25853,,23730,22,1267,76,236,130,42,47,0,22,0,22,180,136,398,,91.8,,4.9,,0.9,,0.2,,0,,0,,0.7,,1.5,,2276002222.62109,237079.593329762
