ObjectID,CountyGNIS,GEOIDFIPS,LandAreaSQM,WaterAreaSQM,Name,State,TotalPop,TotalPopMOE,NonHispWhPop,NonHispWhMOE,BlackPop,BlackPopMOE,AmIndop,AmeIndPopMOE,AsianPop,AsianPopMOE,PacIslPop,PacIslPopMOE,OtherPop,OtherPopMOE,TwoMorPop,TwoMorPopMOE,HispPop,HispPopMOE,PCPopNWh,PCPopNWhMOE,PCPopBk,PPCPopBkMOE,PCPopAI,PCPopAIMOEMOE,PCPopAs,PCPopAsMOE,PPCPopPI,PCPopPIMOE,PCPopOr,PCPopOrMOE,PCPopTm,CPopTmMOE,PCPopHL,PCPopHLMOE,ShpArea,ShpLength
1,161526,1001,1539602137,25706961,Autauga County,Alabama,55380,0,41315,52,10524,266,140,73,573,158,5,9,85,123,1173,304,1565,0,74.6,0.093896714,19,0.480317804,0.3,0.13181654,1,0.285301553,0,0.016251354,0.2,0.222101842,2.1,0.548934633,2.8,0,2208587901,249970.1915
2,161527,1003,4117621645,1132980868,Baldwin County,Alabama,212830,0,176803,245,19525,373,1391,313,1955,273,9,15,344,255,3092,594,9711,0,83.1,0.11511535,9.2,0.175257248,0.7,0.147065733,0.9,0.12827139,0,0.007047879,0.2,0.119813936,1.5,0.279095992,4.6,0,5909266213,536067.2537
3,161528,1005,2292160139,50523213,Barbour County,Alabama,25361,0,11618,32,12031,150,74,41,121,22,1,3,107,83,304,125,1105,0,45.8,0.12617799,47.4,0.591459327,0.3,0.161665549,0.5,0.086747368,0,0.011829187,0.4,0.327274161,1.2,0.492882773,4.4,0,3257906792,320882.8479
4,161529,1007,1612167476,9602089,Bibb County,Alabama,22493,0,16763,22,4981,108,30,60,27,45,0,22,0,22,113,76,579,0,74.5,0.097808207,22.1,0.48014938,0.1,0.266749655,0.1,0.200062242,0,0.097808207,0,0.097808207,0.5,0.337882897,2.6,0,2311990190,227919.4181
5,161530,1009,1670103866,15015467,Blount County,Alabama,57681,0,50121,261,881,149,40,38,212,25,25,40,214,261,846,141,5342,0,86.9,0.452488688,1.5,0.258317297,0.1,0.065879579,0.4,0.043341828,0,0.069346925,0.4,0.452488688,1.5,0.244447912,9.3,0,2456904167,292630.2818
6,161531,1011,1613076054,6038093,Bullock County,Alabama,10248,0,2191,19,7666,328,0,19,50,66,0,19,1,4,78,101,262,314,21.4,0.18540203,74.8,3.200624512,0,0.18540203,0.5,0.644028103,0,0.18540203,0,0.039032006,0.8,0.985558158,2.6,3.06401249,2262904558,249092.7965
7,161532,1013,2012002531,2701198,Butler County,Alabama,19828,0,10232,19,8928,133,11,11,69,59,0,19,0,19,311,101,277,0,51.6,0.095824087,45,0.67076861,0.1,0.055477103,0.3,0.297559007,0,0.095824087,0,0.095824087,1.6,0.509380674,1.4,0,2794760969,221283.3572
8,161533,1015,1569195268,16587192,Calhoun County,Alabama,114618,0,82608,204,23682,418,220,112,1007,162,14,21,185,199,2550,447,4352,0,72.1,0.177982516,20.7,0.364689665,0.2,0.097715891,0.9,0.141339057,0,0.01832173,0.2,0.173620199,2.2,0.389991101,3.8,0,2300852426,263781.3454
9,161534,1017,1545085607,16971700,Chambers County,Alabama,33660,0,18697,2,13316,167,112,50,376,55,0,25,17,26,342,190,800,0,55.5,0.005941771,39.6,0.496137849,0.3,0.148544266,1.1,0.163398693,0,0.074272133,0.1,0.077243018,1,0.564468212,2.4,0,2222662394,208606.0413
10,161535,1019,1433623319,120308342,Cherokee County,Alabama,25903,0,23759,22,1191,112,280,121,64,68,0,22,0,22,196,142,413,0,91.7,0.084932247,4.6,0.43238235,1.1,0.46712736,0.2,0.262517855,0,0.084932247,0,0.084932247,0.8,0.54819905,1.6,0,2276002224,237079.5935
11,161536,1021,1794477075,20592142,Chilton County,Alabama,44055,0,35302,57,4041,308,39,36,195,69,0,25,43,57,978,316,3457,0,80.1,0.129383725,9.2,0.699126092,0.1,0.081716037,0.4,0.156622404,0,0.056747248,0.1,0.129383725,2.2,0.717285212,7.8,0,2578838446,248662.8199
12,161537,1023,2365869841,19144469,Choctaw County,Alabama,12925,0,7287,19,5500,73,8,9,17,17,0,19,9,19,51,42,53,54,56.4,0.147001934,42.6,0.564796905,0.1,0.069632495,0.1,0.131528046,0,0.147001934,0.1,0.147001934,0.4,0.324951644,0.4,0.417794971,3327536437,324953.7809
13,161538,1025,3207494106,36657891,Clarke County,Alabama,24128,0,12720,22,11044,122,26,28,104,26,0,22,0,22,155,112,79,62,52.7,0.091180371,45.8,0.505636605,0.1,0.116047745,0.4,0.107758621,0,0.091180371,0,0.091180371,0.6,0.464190981,0.3,0.256962865,4492990576,455174.0147
14,161539,1027,1564251834,5285207,Clay County,Alabama,13337,0,10717,19,2068,78,0,19,21,27,0,19,18,24,94,67,419,0,80.4,0.142460823,15.5,0.584839169,0,0.142460823,0.2,0.202444328,0,0.142460823,0.1,0.179950514,0.7,0.50236185,3.1,0,2251227967,244308.319
15,161540,1029,1450663786,2354896,Cleburne County,Alabama,14916,0,13826,26,410,105,14,20,3,9,0,19,13,26,283,107,367,0,92.7,0.174309466,2.7,0.703942076,0.1,0.134084205,0,0.060337892,0,0.127379995,0.1,0.174309466,1.9,0.717350496,2.5,0,2103518756,264790.9458
16,161541,1031,1758565919,3907189,Coffee County,Alabama,51662,0,36239,53,8680,249,601,108,745,138,0,28,57,52,1577,310,3763,0,70.1,0.102589911,16.8,0.481979017,1.2,0.20905114,1.4,0.267120901,0,0.054198444,0.1,0.100654253,3.1,0.600054198,7.3,0,2426766484,203468.7142
17,161542,1033,1535202321,79700278,Colbert County,Alabama,54771,0,42830,32,8809,225,319,147,259,51,51,44,29,26,917,255,1557,0,78.2,0.058425079,16.1,0.410801336,0.6,0.268390206,0.5,0.09311497,0.1,0.080334484,0.1,0.047470377,1.7,0.465574848,2.8,0,2394898979,262716.073
18,161543,1035,2202007855,6632046,Conecuh County,Alabama,12394,0,6203,4,5919,171,25,38,56,45,0,19,2,4,105,100,84,122,50,0.032273681,47.8,1.379699855,0.2,0.306599968,0.5,0.363078909,0,0.153299984,0,0.032273681,0.8,0.80684202,0.7,0.984347265,3042810028,309795.3243
19,161544,1037,1685850815,39987271,Coosa County,Alabama,10757,0,6970,84,3615,98,8,12,0,19,0,19,55,84,0,19,109,98,64.8,0.780886864,33.6,0.911034675,0.1,0.111555266,0,0.176629172,0,0.176629172,0.5,0.780886864,0,0.176629172,1,0.911034675,2456907512,209661.8481
