,FIPS,POP_ESTIMATE_2018,FIPStxt,POVALL_2018,PCTPOVALL_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018
0,1000,4887871.0,1000.0,801758.0,16.8,86490.0,3.9,49881.0,100.0
1,1001,55601.0,1001.0,7587.0,13.8,942.0,3.6,59338.0,119.0
2,1003,218022.0,1003.0,21069.0,9.8,3393.0,3.6,57588.0,115.5
3,1005,24881.0,1005.0,6788.0,30.9,433.0,5.2,34382.0,68.9
4,1007,22400.0,1007.0,4400.0,21.8,344.0,4.0,46064.0,92.3
5,1009,57840.0,1009.0,7527.0,13.2,878.0,3.5,50412.0,101.1
6,1011,10138.0,1011.0,3610.0,42.5,224.0,4.7,29267.0,58.7
7,1013,19680.0,1013.0,4731.0,24.5,427.0,4.8,37365.0,74.9
8,1015,114277.0,1015.0,21719.0,19.5,2139.0,4.7,45400.0,91.0
9,1017,33615.0,1017.0,6181.0,18.7,597.0,3.9,39917.0,80.0
10,1019,26032.0,1019.0,4180.0,16.3,415.0,3.6,42132.0,84.5
11,1021,44153.0,1021.0,7542.0,17.3,703.0,3.6,47547.0,95.3
12,1023,12841.0,1023.0,2806.0,22.1,260.0,5.5,39907.0,80.0
13,1025,23920.0,1025.0,5381.0,22.8,570.0,7.5,40741.0,81.7
14,1027,13275.0,1027.0,2285.0,17.6,233.0,3.9,39201.0,78.6
15,1029,14987.0,1029.0,2356.0,16.0,244.0,4.2,46495.0,93.2
16,1031,51909.0,1031.0,7053.0,13.8,822.0,3.9,55122.0,110.5
17,1033,54762.0,1033.0,7459.0,13.8,1074.0,4.6,49055.0,98.3
18,1035,12277.0,1035.0,2979.0,24.4,235.0,5.2,32613.0,65.4
19,1037,10715.0,1037.0,1973.0,18.9,183.0,4.2,42423.0,85.0
20,1039,36986.0,1039.0,7239.0,19.9,715.0,4.6,40203.0,80.6
21,1041,13824.0,1041.0,2661.0,19.5,257.0,4.1,39057.0,78.3
