0,NAME,state,POP_ESTIMATE_2019,FIPS
1,Fayette County, Illinois,21565,17051
2,Logan County, Illinois,29003,17107
3,Saline County, Illinois,23994,17165
4,Lake County, Illinois,701473,17097
5,Massac County, Illinois,14219,17127
6,Cass County, Illinois,12493,17017
7,Huntington County, Indiana,36359,18069
8,White County, Indiana,24149,18181
9,Jay County, Indiana,20840,18075
10,Shelby County, Indiana,44438,18145
11,Sullivan County, Indiana,20730,18153
12,Tippecanoe County, Indiana,191553,18157
13,Hamilton County, Indiana,323117,18057
14,Bartholomew County, Indiana,82481,18005
15,Fulton County, Indiana,20096,18049
16,Noble County, Indiana,47506,18113
17,Clark County, Indiana,116507,18019
18,Hendricks County, Indiana,163799,18063
19,Grant County, Indiana,66452,18053
20,Jackson County, Indiana,44025,18071
21,Owen County, Indiana,20835,18119
22,Whitley County, Indiana,33730,18183
23,Clinton County, Indiana,32273,18023
24,Union County, Indiana,7113,18161
25,Dearborn County, Indiana,49479,18029
26,Lawrence County, Indiana,45548,18093
27,Perry County, Indiana,19102,18123
28,Posey County, Indiana,25560,18129
29,Carroll County, Indiana,20074,18015
30,Fountain County, Indiana,16430,18045
31,Starke County, Indiana,22952,18149
32,Greene County, Indiana,32159,18055
33,Benton County, Iowa,25636,19011
34,Dubuque County, Iowa,96982,19061
35,Pocahontas County, Iowa,6797,19151
36,Van Buren County, Iowa,7150,19177
37,Adams County, Iowa,3670,19003
38,Audubon County, Iowa,5571,19009
39,Davis County, Iowa,8920,19051
40,Ida County, Iowa,6901,19093
41,Monroe County, Iowa,7807,19135
42,Sioux County, Iowa,34827,19167
43,Calhoun County, Iowa,9744,19025
44,Cerro Gordo County, Iowa,42834,19033
45,Hardin County, Iowa,17061,19083
46,Lucas County, Iowa,8583,19117
47,Palo Alto County, Iowa,9003,19147
48,Henry County, Iowa,19941,19087
49,Jasper County, Iowa,36971,19099
50,Poweshiek County, Iowa,18388,19157
51,Clayton County, Iowa,17625,19043
52,Bremer County, Iowa,24864,19017
53,Emmet County, Iowa,9438,19063
54,Hancock County, Iowa,10802,19081
55,Jackson County, Iowa,19401,19097
56,Lee County, Iowa,34227,19111
57,Warren County, Iowa,50076,19181
58,Mahaska County, Iowa,22164,19123
59,Clay County, Iowa,16211,19041
60,Delaware County, Iowa,17183,19055
61,Bacon County, Georgia,11201,13005
62,Brantley County, Georgia,18756,13025
63,Ben Hill County, Georgia,17033,13017
64,Burke County, Georgia,22520,13033
65,Catoosa County, Georgia,66700,13047
66,Chattahoochee County, Georgia,10560,13053
67,Chattooga County, Georgia,24812,13055
68,Columbia County, Georgia,150705,13073
69,Decatur County, Georgia,26682,13087
70,Floyd County, Georgia,97369,13115
71,Forsyth County, Georgia,228383,13117
72,Habersham County, Georgia,44626,13137
73,Hart County, Georgia,25773,13147
74,Lowndes County, Georgia,115364,13185
75,McIntosh County, Georgia,14174,13191
76,Meriwether County, Georgia,21106,13199
77,Monroe County, Georgia,27171,13207
78,Putnam County, Georgia,21691,13237
79,Sumter County, Georgia,30064,13261
80,Taliaferro County, Georgia,1611,13265
81,Warren County, Georgia,5297,13301
82,Wayne County, Iowa,6429,19185
83,Scott County, Iowa,172446,19163
84,Sherman County, Kansas,5938,20181
85,Thomas County, Kansas,7810,20193
86,Morris County, Kansas,5566,20127
