FIPStxt,Stabr,Area_name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,POV04_2018,CI90LB04_2018,CI90UB04_2018,PCTPOV04_2018,CI90LB04P_2018,CI90UB04P_2018
00000,US,United States,,,,,"41,852,315","41,619,366","42,085,264",13.1,13.0,13.2,"12,997,532","12,873,127","13,121,937",18.0,17.8,18.2,"8,930,152","8,834,521","9,025,783",17.0,16.8,17.2,"61,937","61,843","62,031","3,758,704","3,714,862","3,802,546",19.5,19.3,19.7
01000,AL,Alabama,,,,,"801,758","785,668","817,848",16.8,16.5,17.1,"255,613","247,744","263,482",23.9,23.2,24.6,"178,175","171,349","185,001",22.8,21.9,23.7,"49,881","49,123","50,639","73,915","69,990","77,840",26.0,24.6,27.4
01001,AL,Autauga County,2,2,2,2,"7,587","6,334","8,840",13.8,11.5,16.1,"2,509","1,965","3,053",19.3,15.1,23.5,"1,891","1,469","2,313",19.5,15.1,23.9,"59,338","53,628","65,048",,,,,,
01003,AL,Baldwin County,4,5,3,2,"21,069","17,390","24,748",9.8,8.1,11.5,"6,442","4,723","8,161",13.9,10.2,17.6,"4,534","3,223","5,845",13.1,9.3,16.9,"57,588","54,437","60,739",,,,,,
01005,AL,Barbour County,6,6,6,6,"6,788","5,662","7,914",30.9,25.8,36.0,"2,242","1,788","2,696",43.9,35.0,52.8,"1,411","1,056","1,766",36.7,27.5,45.9,"34,382","31,157","37,607",,,,,,
01007,AL,Bibb County,1,1,1,1,"4,400","3,445","5,355",21.8,17.1,26.5,"1,238",923,"1,553",27.8,20.7,34.9,840,606,"1,074",26.3,19.0,33.6,"46,064","41,283","50,845",,,,,,
01009,AL,Blount County,1,1,1,1,"7,527","6,045","9,009",13.2,10.6,15.8,"2,374","1,784","2,964",18.0,13.5,22.5,"1,520","1,053","1,987",15.5,10.7,20.3,"50,412","46,157","54,667",,,,,,
01011,AL,Bullock County,6,6,6,6,"3,610","2,966","4,254",42.5,34.9,50.1,"1,433","1,207","1,659",68.3,57.5,79.1,"1,005",828,"1,182",66.5,54.8,78.2,"29,267","26,064","32,470",,,,,,
01013,AL,Butler County,6,6,6,6,"4,731","3,804","5,658",24.5,19.7,29.3,"1,566","1,170","1,962",36.3,27.1,45.5,"1,131",831,"1,431",35.3,25.9,44.7,"37,365","34,051","40,679",,,,,,
01015,AL,Calhoun County,3,2,3,2,"21,719","18,807","24,631",19.5,16.9,22.1,"6,397","5,152","7,642",26.5,21.3,31.7,"4,265","3,314","5,216",24.1,18.7,29.5,"45,400","41,668","49,132",,,,,,
01017,AL,Chambers County,6,5,6,5,"6,181","4,799","7,563",18.7,14.5,22.9,"2,103","1,524","2,682",30.7,22.2,39.2,"1,506","1,049","1,963",30.3,21.1,39.5,"39,917","36,435","43,399",,,,,,
01019,AL,Cherokee County,8,6,6,6,"4,180","3,215","5,145",16.3,12.5,20.1,"1,215",856,"1,574",24.7,17.4,32.0,830,554,"1,106",22.2,14.8,29.6,"42,132","37,915","46,349",,,,,,
01021,AL,Chilton County,1,1,1,1,"7,542","6,164","8,920",17.3,14.1,20.5,"2,401","1,770","3,032",23.3,17.2,29.4,"1,730","1,250","2,210",22.7,16.4,29.0,"47,547","42,940","52,154",,,,,,
01023,AL,Choctaw County,9,10,9,10,"2,806","2,161","3,451",22.1,17.0,27.2,813,608,"1,018",32.1,24.0,40.2,546,382,710,29.2,20.4,38.0,"39,907","36,327","43,487",,,,,,
01025,AL,Clarke County,7,11,7,11,"5,381","4,430","6,332",22.8,18.8,26.8,"1,625","1,203","2,047",31.7,23.5,39.9,"1,185",853,"1,517",31.4,22.6,40.2,"40,741","36,839","44,643",,,,,,
01027,AL,Clay County,9,10,9,10,"2,285","1,811","2,759",17.6,13.9,21.3,684,503,865,25.8,19.0,32.6,493,347,639,25.0,17.6,32.4,"39,201","35,145","43,257",,,,,,
01029,AL,Cleburne County,8,4,8,4,"2,356","1,859","2,853",16.0,12.6,19.4,764,574,954,22.9,17.2,28.6,563,419,707,22.9,17.1,28.7,"46,495","42,459","50,531",,,,,,
01031,AL,Coffee County,6,5,4,5,"7,053","5,821","8,285",13.8,11.4,16.2,"2,640","2,037","3,243",21.9,16.9,26.9,"1,794","1,305","2,283",20.1,14.6,25.6,"55,122","51,227","59,017",,,,,,
01033,AL,Colbert County,3,2,3,2,"7,459","6,059","8,859",13.8,11.2,16.4,"2,345","1,714","2,976",21.0,15.3,26.7,"1,567","1,089","2,045",19.3,13.4,25.2,"49,055","46,196","51,914",,,,,,
01035,AL,Conecuh County,9,11,7,11,"2,979","2,247","3,711",24.4,18.4,30.4,"1,005",730,"1,280",40.1,29.1,51.1,728,508,948,38.9,27.2,50.6,"32,613","29,644","35,582",,,,,,
