,NAME,racePop_total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Not Hispanic or Latino origin,Hispanic or Latino Origin,FIPS,Age_under15,Age_15_24,Age_25_34,Age_35_64,Age_65_74,Age_over75,Agetotal
0,"Washington County, Mississippi",47086.0,12097.0,33982.0,56.0,282.0,0.0,391.0,278.0,46357.0,729.0,28151,10275,6503,5844,17511,4282,2671,47086
1,"Perry County, Mississippi",12028.0,9475.0,2368.0,0.0,17.0,0.0,16.0,152.0,11847.0,181.0,28111,2310,1520,1279,4847,1247,825,12028
2,"Choctaw County, Mississippi",8321.0,5631.0,2596.0,23.0,15.0,8.0,13.0,35.0,8288.0,33.0,28019,1508,1014,866,3193,979,761,8321
3,"Itawamba County, Mississippi",23480.0,21346.0,1681.0,75.0,57.0,7.0,170.0,144.0,23120.0,360.0,28057,4207,3589,2753,8926,2250,1755,23480
4,"Carroll County, Mississippi",10129.0,6523.0,3503.0,6.0,0.0,0.0,0.0,97.0,10100.0,29.0,28015,1662,1219,812,4187,1353,896,10129
5,"Grenada County, Mississippi",21278.0,11736.0,9238.0,135.0,23.0,0.0,16.0,130.0,21138.0,140.0,28043,4217,2704,2475,8238,2141,1503,21278
6,"Jefferson County, Mississippi",7346.0,979.0,6310.0,11.0,33.0,0.0,7.0,6.0,7318.0,28.0,28063,1443,897,1007,2904,598,497,7346
7,"Greene County, Mississippi",13714.0,10054.0,3496.0,53.0,0.0,0.0,4.0,107.0,13552.0,162.0,28041,2216,1766,2090,5866,1062,714,13714
8,"Marshall County, Mississippi",35787.0,17657.0,17134.0,15.0,24.0,0.0,640.0,317.0,34506.0,1281.0,28093,6451,4815,4351,14313,3826,2031,35787
9,"Quitman County, Mississippi",7372.0,2027.0,5282.0,0.0,5.0,0.0,40.0,18.0,7265.0,107.0,28119,1475,967,797,2953,685,495,7372
10,"Bolivar County, Mississippi",32592.0,10803.0,20941.0,41.0,213.0,0.0,363.0,231.0,31891.0,701.0,28011,6809,4946,4438,11660,2967,1772,32592
11,"Lamar County, Mississippi",61223.0,46763.0,12240.0,80.0,780.0,0.0,340.0,1020.0,59622.0,1601.0,28073,12899,8005,9266,23276,4625,3152,61223
12,"Lee County, Mississippi",84915.0,57379.0,24653.0,206.0,720.0,6.0,910.0,1041.0,82687.0,2228.0,28081,18056,10849,11111,32810,7063,5026,84915
13,"Pike County, Mississippi",39737.0,17695.0,21263.0,153.0,239.0,4.0,103.0,280.0,39051.0,686.0,28113,8682,5535,4593,14438,3788,2701,39737
14,"Tallahatchie County, Mississippi",14361.0,5082.0,7089.0,22.0,206.0,13.0,1915.0,34.0,12383.0,1978.0,28135,2404,2001,2860,5042,1219,835,14361
15,"Smith County, Mississippi",16063.0,12182.0,3706.0,0.0,69.0,30.0,4.0,72.0,15793.0,270.0,28129,3181,1966,1801,6176,1717,1222,16063
16,"Stone County, Mississippi",18375.0,14373.0,3544.0,66.0,0.0,20.0,0.0,372.0,18002.0,373.0,28131,3337,3127,2046,7043,1656,1166,18375
17,"Warren County, Mississippi",47075.0,22859.0,23138.0,105.0,241.0,9.0,160.0,563.0,46052.0,1023.0,28149,9457,6050,5706,18433,4564,2865,47075
18,"Clarke County, Mississippi",15928.0,10113.0,5696.0,10.0,0.0,0.0,44.0,65.0,15862.0,66.0,28023,2939,1973,1791,6112,1804,1309,15928
19,"Kemper County, Mississippi",10107.0,3571.0,6156.0,370.0,0.0,0.0,0.0,10.0,9975.0,132.0,28069,1564,1719,1144,3789,1029,862,10107
20,"Montgomery County, Mississippi",10198.0,5398.0,4428.0,0.0,34.0,0.0,45.0,293.0,10063.0,135.0,28097,1943,1065,1268,3856,1173,893,10198
21,"Oktibbeha County, Mississippi",49481.0,28538.0,18344.0,47.0,1546.0,20.0,170.0,816.0,48663.0,818.0,28105,7319,16771,7092,13010,3075,2214,49481
22,"Pearl River County, Mississippi",55149.0,46341.0,7046.0,87.0,183.0,0.0,427.0,1065.0,53476.0,1673.0,28109,10235,7374,6165,21400,6187,3788,55149
23,"Leake County, Mississippi",22870.0,11754.0,9608.0,1289.0,85.0,0.0,17.0,117.0,21835.0,1035.0,28079,4828,3347,2767,8506,1961,1461,22870
24,"Noxubee County, Mississippi",10828.0,2940.0,7820.0,9.0,4.0,0.0,7.0,48.0,10680.0,148.0,28103,2211,1573,1438,3918,941,747,10828
25,"Neshoba County, Mississippi",29376.0,17673.0,6196.0,4754.0,136.0,8.0,44.0,565.0,28777.0,599.0,28099,6848,3847,3511,10637,2630,1903,29376
26,"Rankin County, Mississippi",151240.0,115013.0,31003.0,225.0,1738.0,41.0,1380.0,1840.0,147099.0,4141.0,28121,29597,18191,21396,60361,13044,8651,151240
27,"Tate County, Mississippi",28493.0,18908.0,8352.0,40.0,52.0,51.0,232.0,858.0,27733.0,760.0,28137,5452,4498,3506,10572,2773,1692,28493
28,"Lawrence County, Mississippi",12630.0,8259.0,4193.0,10.0,16.0,0.0,55.0,97.0,12551.0,79.0,28077,2577,1627,1306,4953,1292,875,12630
29,"Panola County, Mississippi",34243.0,16645.0,17101.0,59.0,6.0,11.0,87.0,334.0,33550.0,693.0,28107,7210,4515,4378,13031,3042,2067,34243
30,"Yalobusha County, Mississippi",12421.0,7220.0,5054.0,44.0,8.0,0.0,70.0,25.0,12223.0,198.0,28161,2357,1478,1330,4881,1423,952,12421
31,"Chickasaw County, Mississippi",17279.0,9063.0,7505.0,21.0,12.0,0.0,255.0,423.0,16464.0,815.0,28017,3564,2367,2242,6308,1649,1149,17279
32,"Copiah County, Mississippi",28721.0,13047.0,14895.0,9.0,92.0,0.0,405.0,273.0,27811.0,910.0,28029,5557,4265,3418,10780,2760,1941,28721
33,"George County, Mississippi",23710.0,21185.0,1908.0,227.0,98.0,0.0,149.0,143.0,23058.0,652.0,28039,5048,3342,3219,8712,2142,1247,23710
34,"Hinds County, Mississippi",241774.0,62129.0,174698.0,264.0,1897.0,53.0,1235.0,1498.0,238033.0,3741.0,28049,49466,38033,35177,87412,18670,13016,241774
35,"Newton County, Mississippi",21524.0,13436.0,6519.0,1109.0,110.0,0.0,64.0,286.0,21122.0,402.0,28101,4578,3248,2527,7746,2001,1424,21524
36,"Union County, Mississippi",28356.0,22687.0,4172.0,17.0,112.0,49.0,705.0,614.0,27148.0,1208.0,28145,5935,3433,3707,10658,2626,1997,28356
37,"Sharkey County, Mississippi",4511.0,1132.0,3337.0,6.0,28.0,0.0,8.0,0.0,4506.0,5.0,28125,885,613,374,1855,497,287,4511
38,"Tippah County, Mississippi",21990.0,17301.0,3755.0,17.0,82.0,12.0,522.0,301.0,20967.0,1023.0,28139,4469,3169,2309,8513,2176,1354,21990
39,"Forrest County, Mississippi",75517.0,44901.0,27900.0,132.0,678.0,31.0,178.0,1697.0,73271.0,2246.0,28035,14695,14084,11216,25738,5579,4205,75517
40,"Hancock County, Mississippi",46653.0,40709.0,3776.0,272.0,332.0,0.0,385.0,1179.0,44861.0,1792.0,28045,8044,5440,5262,18966,5464,3477,46653
41,"Lafayette County, Mississippi",53459.0,38345.0,12726.0,82.0,1117.0,17.0,550.0,622.0,52048.0,1411.0,28071,8149,14436,7691,16958,3772,2453,53459
42,"Issaquena County, Mississippi",1328.0,521.0,799.0,0.0,0.0,0.0,8.0,0.0,1312.0,16.0,28055,191,83,328,512,143,71,1328
43,"Lowndes County, Mississippi",59437.0,31869.0,25961.0,113.0,539.0,17.0,182.0,756.0,58225.0,1212.0,28087,11859,8266,8095,22300,5203,3714,59437
44,"Leflore County, Mississippi",29804.0,7209.0,21859.0,0.0,183.0,0.0,302.0,251.0,29018.0,786.0,28083,6992,4741,3812,10263,2267,1729,29804
45,"Wilkinson County, Mississippi",8990.0,2517.0,6402.0,0.0,7.0,0.0,30.0,34.0,8953.0,37.0,28157,1591,1114,1248,3557,884,596,8990
46,"Harrison County, Mississippi",202626.0,138089.0,49879.0,1122.0,5721.0,84.0,2070.0,5661.0,191594.0,11032.0,28047,41200,27922,29053,75994,17138,11319,202626
47,"Jefferson Davis County, Mississippi",11495.0,4360.0,7036.0,0.0,20.0,0.0,11.0,68.0,11461.0,34.0,28065,1942,1419,1143,4563,1442,986,11495
48,"Lincoln County, Mississippi",34432.0,23505.0,10700.0,4.0,160.0,0.0,0.0,63.0,34057.0,375.0,28085,6861,4456,4081,13438,3263,2333,34432
49,"Scott County, Mississippi",28415.0,16565.0,10889.0,136.0,84.0,0.0,610.0,131.0,25267.0,3148.0,28123,6368,3593,3724,10581,2461,1688,28415
50,"Winston County, Mississippi",18358.0,9241.0,8769.0,112.0,6.0,0.0,135.0,95.0,18133.0,225.0,28159,3513,2185,2126,7015,1987,1532,18358
51,"Yazoo County, Mississippi",27974.0,10583.0,15929.0,143.0,120.0,0.0,554.0,645.0,26169.0,1805.0,28163,5595,3563,4535,10652,1986,1643,27974
52,"Benton County, Mississippi",8253.0,5058.0,2956.0,0.0,0.0,0.0,104.0,135.0,8040.0,213.0,28009,1349,1129,931,3394,780,670,8253
53,"Franklin County, Mississippi",7757.0,4926.0,2793.0,0.0,3.0,0.0,2.0,33.0,7706.0,51.0,28037,1595,846,881,2986,852,597,7757
54,"Jasper County, Mississippi",16529.0,7408.0,8997.0,1.0,0.0,0.0,57.0,66.0,16465.0,64.0,28061,3145,2114,1789,6309,1801,1371,16529
55,"Jones County, Mississippi",68454.0,47003.0,19989.0,159.0,231.0,36.0,288.0,748.0,65461.0,2993.0,28067,14622,8969,8730,25127,6338,4668,68454
56,"Monroe County, Mississippi",35840.0,24396.0,11070.0,9.0,30.0,0.0,14.0,321.0,35402.0,438.0,28095,6778,4332,4092,13977,3788,2873,35840
57,"Sunflower County, Mississippi",26532.0,6638.0,19623.0,113.0,21.0,0.0,51.0,86.0,26075.0,457.0,28133,5079,3833,4230,10087,1941,1362,26532
58,"Webster County, Mississippi",9828.0,7805.0,1895.0,9.0,14.0,0.0,6.0,99.0,9684.0,144.0,28155,1943,1222,1066,3877,971,749,9828
59,"Adams County, Mississippi",31547.0,12782.0,17855.0,75.0,183.0,0.0,225.0,427.0,29771.0,1776.0,28001,5482,3624,3940,12915,3140,2446,31547
60,"Clay County, Mississippi",19808.0,7845.0,11807.0,59.0,26.0,0.0,0.0,71.0,19671.0,137.0,28025,3777,2613,2493,7473,2001,1451,19808
61,"Covington County, Mississippi",19091.0,11656.0,7215.0,0.0,28.0,17.0,0.0,175.0,18999.0,92.0,28031,3974,2690,2101,7232,1777,1317,19091
62,"Humphreys County, Mississippi",8539.0,1848.0,6489.0,14.0,6.0,3.0,179.0,0.0,8272.0,267.0,28053,1927,1094,1018,3177,756,567,8539
63,"Saline County, Missouri",23102.0,19781.0,1090.0,87.0,204.0,247.0,826.0,867.0,20806.0,2296.0,29195,4444,3449,2706,8381,2294,1828,23102
64,"Madison County, Missouri",12205.0,11852.0,123.0,34.0,30.0,0.0,0.0,166.0,11914.0,291.0,29123,2275,1366,1564,4730,1267,1003,12205
65,"Wright County, Missouri",18293.0,17629.0,105.0,68.0,88.0,0.0,187.0,216.0,17969.0,324.0,29229,3730,2148,1881,6962,1978,1594,18293
66,"Vernon County, Missouri",20691.0,19771.0,184.0,127.0,138.0,0.0,33.0,438.0,20257.0,434.0,29217,4023,2857,2264,7739,2134,1674,20691
67,"Nodaway County, Missouri",22547.0,21111.0,637.0,47.0,310.0,29.0,107.0,306.0,22173.0,374.0,29147,3020,7065,2544,6654,1696,1568,22547
