NAME,racePop_total,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Not Hispanic or Latino origin,Hispanic or Latino Origin,FIPS,Age_under15,Age_15_24,Age_25_34,Age_35_64,Age_65_74,Age_over75,Agetotal
"Autauga County, Alabama",55380,42527,10538,140,573,26,378,1198,53815,1565,1001,10631,7382,7056,22028,4818,3465,55380
"Baldwin County, Alabama",212830,183471,19718,1645,1969,9,2429,3589,203119,9711,1003,38009,23709,23942,84639,25739,16792,212830
"Barbour County, Alabama",25361,11869,12066,82,134,1,905,304,24256,1105,1005,4393,3004,3642,9612,2844,1866,25361
"Bibb County, Alabama",22493,17272,5014,30,27,0,9,141,21914,579,1007,3666,2659,3276,9308,2098,1486,22493
"Blount County, Alabama",57681,55062,928,46,212,25,492,916,52339,5342,1009,11056,6834,6839,22626,6111,4215,57681
"Bullock County, Alabama",10248,2244,7666,0,50,0,210,78,9986,262,1011,1734,1413,1271,4190,1020,620,10248
"Butler County, Alabama",19828,10280,9001,11,69,0,42,425,19551,277,1013,3644,2365,2339,7580,2288,1612,19828
"Calhoun County, Alabama",114618,84439,23830,379,1014,14,2202,2740,110266,4352,1015,20376,15134,15129,44241,11727,8011,114618
"Chambers County, Alabama",33660,19423,13316,112,376,0,91,342,32860,800,1017,5864,4007,4128,13191,3958,2512,33660
"Cherokee County, Alabama",25903,24052,1191,280,64,0,91,225,25490,413,1019,4130,2899,2495,10568,3511,2300,25903
"Chilton County, Alabama",44055,36835,4041,361,195,0,1530,1093,40598,3457,1021,8641,5368,5782,17212,4152,2900,44055
"Choctaw County, Alabama",12925,7337,5500,8,17,0,12,51,12872,53,1023,2106,1490,1276,5131,1660,1262,12925
"Clarke County, Alabama",24128,12781,11044,26,104,0,0,173,24049,79,1025,4270,3088,2611,9480,2583,2096,24128
"Clay County, Alabama",13337,11092,2075,37,21,0,18,94,12918,419,1027,2327,1551,1503,5258,1539,1159,13337
"Cleburne County, Alabama",14916,14000,410,14,3,0,198,291,14549,367,1029,2799,1636,1757,5825,1696,1203,14916
"Coffee County, Alabama",51662,39118,8733,640,745,0,696,1730,47899,3763,1031,10147,6222,6609,20134,4976,3574,51662
"Colbert County, Alabama",54771,43289,8872,319,259,51,866,1115,53214,1557,1033,9518,6294,6588,21727,6055,4589,54771
"Conecuh County, Alabama",12394,6287,5919,25,56,0,2,105,12310,84,1035,2144,1417,1340,4747,1708,1038,12394
"Coosa County, Alabama",10757,7078,3615,9,0,0,55,0,10648,109,1037,1469,1029,1089,4740,1373,1057,10757
"Covington County, Alabama",37200,31460,5018,22,184,34,66,416,36571,629,1039,6732,4144,4363,14235,4269,3457,37200
"Crenshaw County, Alabama",13844,9879,3228,97,175,9,22,434,13734,110,1041,2555,1599,1670,5411,1591,1018,13844
"Cullman County, Alabama",82853,78804,1073,234,314,0,747,1681,79242,3611,1043,15445,9682,10328,32282,8961,6155,82853
"Dale County, Alabama",49277,35655,10000,386,699,4,913,1620,46067,3210,1045,9488,6280,7146,18282,4708,3373,49277
"Dallas County, Alabama",39149,10906,27693,37,222,21,27,243,38730,419,1047,7713,5236,4571,14820,4078,2731,39149
"DeKalb County, Alabama",71310,60924,1039,841,86,561,6136,1723,60934,10376,1049,14326,8994,8484,27623,7171,4712,71310
"Elmore County, Alabama",81144,61104,17449,214,439,0,589,1349,78740,2404,1051,14950,10101,11465,32575,7426,4627,81144
"Escambia County, Alabama",37057,23053,11878,1479,102,55,108,382,36192,865,1053,6863,4335,5005,14288,3765,2801,37057
"Etowah County, Alabama",102748,82027,16330,581,764,24,1181,1841,98766,3982,1055,18144,12572,12248,40527,11391,7866,102748
"Fayette County, Alabama",16494,14068,1948,0,78,7,0,393,16197,297,1057,2865,1923,1921,6347,2002,1436,16494
"Franklin County, Alabama",31466,26118,1385,408,117,0,3030,408,26066,5400,1059,6527,4153,4071,11411,3044,2260,31466
"Geneva County, Alabama",26417,22870,2538,250,115,12,210,422,25366,1051,1061,4777,2980,2927,10458,2960,2315,26417
"Greene County, Alabama",8324,1439,6618,37,0,0,8,222,8179,145,1063,1554,977,1002,3018,988,785,8324
"Hale County, Alabama",14809,5854,8796,30,33,0,32,64,14805,4,1065,2845,2043,1630,5514,1609,1168,14809
"Henry County, Alabama",17133,12118,4565,30,68,17,134,201,16684,449,1067,2942,2023,1636,6747,2292,1493,17133
"Houston County, Alabama",104702,72344,28157,271,930,63,634,2303,101223,3479,1069,20008,12495,13645,40502,10556,7496,104702
"Jackson County, Alabama",51852,47456,1809,629,232,55,262,1409,50333,1519,1071,8955,5898,5924,20962,6019,4094,51852
"Jefferson County, Alabama",659680,341768,283311,1443,10433,201,11610,10914,634123,25557,1073,126300,83637,95535,252423,59561,42224,659680
"Lamar County, Alabama",13885,12154,1479,3,17,0,121,111,13656,229,1075,2506,1542,1456,5398,1618,1365,13885
"Lauderdale County, Alabama",92556,80436,9596,363,593,62,225,1281,90080,2476,1077,15007,13943,11095,34283,10458,7770,92556
"Lawrence County, Alabama",33058,25799,3502,1852,65,27,98,1715,32334,724,1079,5985,3759,3974,13342,3665,2333,33058
"Lee County, Alabama",161152,113359,36920,296,6899,23,643,3012,155227,5925,1081,28722,35375,23055,55304,11670,7026,161152
"Limestone County, Alabama",94727,76003,13028,723,1309,78,1859,1727,89027,5700,1083,17464,11321,12568,39046,8743,5585,94727
"Lowndes County, Alabama",10079,2497,7522,13,0,0,0,47,10029,50,1085,1853,1164,1314,3892,1057,799,10079
"Macon County, Alabama",18708,3000,15560,16,32,0,11,89,18556,152,1087,2658,4017,2049,6370,2184,1430,18708
"Madison County, Alabama",362276,246132,88011,2124,9555,316,4939,11199,344348,17928,1089,65623,48893,50436,144173,30731,22420,362276
"Marengo County, Alabama",19321,8840,10348,21,0,0,28,84,19125,196,1091,3622,2607,2034,7329,2079,1650,19321
"Marion County, Alabama",29866,27739,1070,141,54,0,355,507,29089,777,1093,5093,3501,3278,11706,3480,2808,29866
"Marshall County, Alabama",95643,88969,2549,378,573,51,1401,1722,82286,13357,1095,19865,11823,11702,36160,9426,6667,95643
"Mobile County, Alabama",414114,242715,148050,3192,7928,47,4542,7640,402096,12018,1097,81070,54206,57737,155762,39312,26027,414114
"Monroe County, Alabama",21270,11587,9026,372,58,6,22,199,21189,81,1099,3841,2711,2277,8341,2325,1775,21270
"Montgomery County, Alabama",226941,81265,131408,468,6383,53,3104,4260,218963,7978,1101,44697,31674,32909,84554,19379,13728,226941
"Morgan County, Alabama",119213,95265,15230,574,760,91,4612,2681,109251,9962,1103,22437,14298,14607,47459,11879,8533,119213
"Perry County, Alabama",9293,2737,6491,3,8,0,54,0,9183,110,1105,1612,1798,804,3307,1171,601,9293
"Pickens County, Alabama",20243,11477,8134,28,12,12,278,302,19258,985,1107,3279,2469,2516,8240,2125,1614,20243
"Pike County, Alabama",33333,19301,12277,188,734,3,23,807,32583,750,1109,5449,8586,3933,10419,2846,2100,33333
"Randolph County, Alabama",22647,17452,4622,38,47,0,83,405,21979,668,1111,4023,2848,2382,8772,2717,1905,22647
"Russell County, Alabama",57952,28519,25300,179,553,23,1290,2088,54770,3182,1113,11976,7056,8645,22246,4852,3177,57952
"St. Clair County, Alabama",87989,76774,8447,351,745,11,619,1042,85856,2133,1115,16618,9947,11390,35717,8751,5566,87989
"Shelby County, Alabama",213432,170998,25878,736,4399,51,7096,4274,201224,12208,1117,41334,26671,26300,87411,19696,12020,213432
"Sumter County, Alabama",12797,3229,9204,9,274,0,50,31,12729,68,1119,2034,2675,1536,4318,1226,1008,12797
"Talladega County, Alabama",80387,51398,26215,342,494,90,510,1338,78545,1842,1121,14038,10356,9864,32077,8466,5586,80387
