objectid_1,OBJECTID,NAME,STATE_NAME,FIPS,SQMI,Cnty_Name,County_ST,County_ST_Long,ECODE,Chapter,RCODE,Region,DCODE,Division,Time_Zone,FEMA_Region,Notes,Last Update,Local Public Emergency,DRO - DOCC Use Only,created_date,created_user,last_edited_date,last_edited_user,Shape__Area,Shape__Length,ORIG_FID,x,y
1,1,Aleutians East,Alaska,02013,7036.89000000,Aleutians East Borough,AK,Alaska,02012,ARC serving Alaska,02R04,Alaska Region,D21,Pacific Division,Alaska,X,,3/28/2020 5:26:59 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,48862299112.71093750,3299974.83925812,1,-161.209363836619,55.6948305989414
2,1201,Traill,North Dakota,38097,862.51000000,Traill,ND,North Dakota,34118,ARC serving Eastern North Dakota and Northwest Minnesota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/17/2020 12:15:16 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,4881825511.59375000,283774.46452436,2,-97.1640871757704,47.4579399816527
3,1202,Walsh,North Dakota,38099,1294.14000000,Walsh,ND,North Dakota,34118,ARC serving Eastern North Dakota and Northwest Minnesota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/17/2020 12:15:16 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,7683728314.28906250,411795.18473486,3,-97.7210966667242,48.3715988994882
4,2,Aleutians West,Alaska,02016,3597.77000000,Aleutians West Census Area,AK,Alaska,02012,ARC serving Alaska,02R04,Alaska Region,D21,Pacific Division,Alaska,X,,3/28/2020 5:26:59 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,18314912682.22656250,2455084.55751532,4,-166.916233639678,53.6498420017093
5,1203,Ward,North Dakota,38101,2055.85000000,Ward,ND,North Dakota,34204,ARC serving Western North Dakota,34R08,Dakotas Region,D23,North Central Division,Mountain,VIII,,3/17/2020 12:15:16 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,11921048653.42578125,596478.70568746,5,-101.54133053565,48.2258075973424
6,3,Anchorage,Alaska,02020,1733.41000000,Anchorage Municipality,AK,Alaska,02012,ARC serving Alaska,02R04,Alaska Region,D21,Pacific Division,Alaska,X,,3/28/2020 5:26:59 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,19718437875.68750000,604125.12637392,6,-149.104952311756,61.1605960197282
7,1204,Wells,North Dakota,38103,1290.51000000,Wells,ND,North Dakota,34118,ARC serving Eastern North Dakota and Northwest Minnesota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/17/2020 12:15:16 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,7415106821.21875000,353015.19307643,7,-99.6653474071621,47.5925455878963
8,4,Bethel,Alaska,02050,41706.31000000,Bethel Census Area,AK,Alaska,02012,ARC serving Alaska,02R04,Alaska Region,D21,Pacific Division,Alaska,X,,3/28/2020 5:26:59 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,461653603044.15625000,6883974.65361371,8,-159.213402017924,61.2828182802991
9,1205,Williams,North Dakota,38105,2148.32000000,Williams,ND,North Dakota,34204,ARC serving Western North Dakota,34R08,Dakotas Region,D23,North Central Division,Mountain,VIII,,3/17/2020 12:15:16 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,12731302206.62109375,519301.93376832,9,-103.482586030622,48.3510043770904
10,1206,Baker,Oregon,41001,3088.35000000,Baker,OR,Oregon,37036,ARC of Central and Eastern Oregon,37R04,Cascades Region,D21,Pacific Division,Pacific,X,Governor Brown closed all schools,3/23/2020 9:50:22 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,15756772745.80468750,696814.72872298,10,-117.677991999866,44.703191921604
11,1207,Morrow,Oregon,41049,2048.55000000,Morrow,OR,Oregon,37036,ARC of Central and Eastern Oregon,37R04,Cascades Region,D21,Pacific Division,Pacific,X,Governor Brown closed all schools,3/23/2020 9:50:22 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,10670502123.50000000,479469.20375338,11,-119.583878613146,45.4122381018588
12,1208,Umatilla,Oregon,41059,3231.42000000,Umatilla,OR,Oregon,37036,ARC of Central and Eastern Oregon,37R04,Cascades Region,D21,Pacific Division,Pacific,X,Governor Brown closed all schools,3/23/2020 9:50:22 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,17381723366.03906250,683521.92030593,12,-118.735595952786,45.5896160014774
13,1209,Union,Oregon,41061,2038.61000000,Union,OR,Oregon,37036,ARC of Central and Eastern Oregon,37R04,Cascades Region,D21,Pacific Division,Pacific,X,Governor Brown closed all schools,3/23/2020 9:50:22 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,10656372953.32031250,625618.95091768,13,-118.006558677986,45.3009801500115
14,1210,Wallowa,Oregon,41063,3151.70000000,Wallowa,OR,Oregon,37036,ARC of Central and Eastern Oregon,37R04,Cascades Region,D21,Pacific Division,Pacific,X,Governor Brown closed all schools,3/23/2020 9:50:22 PM,Red,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,16771014339.14062500,582706.11685838,14,-117.185074282501,45.5797353524344
15,1211,Brown,South Dakota,46013,1731.20000000,Brown,SD,South Dakota,41208,ARC serving Eastern South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:26 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,9129207517.65234375,386538.01321123,15,-98.3549784056466,45.5921858592812
16,1212,Butte,South Dakota,46019,2266.18000000,Butte,SD,South Dakota,41016,ARC serving Central and Western South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,per dde designee,3/21/2020 1:34:19 PM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,11628380345.84375000,441216.21599437,16,-103.512426338697,44.907105704134
17,1213,Campbell,South Dakota,46021,771.05000000,Campbell,SD,South Dakota,41016,ARC serving Central and Western South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:26 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,4062022553.57812500,301738.02735833,17,-100.055434918258,45.774247222863
18,1214,Clark,South Dakota,46025,967.61000000,Clark,SD,South Dakota,41208,ARC serving Eastern South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:26 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,5044990401.22265625,300693.30431296,18,-97.7349078707554,44.8601115973304
19,1215,Codington,South Dakota,46029,717.30000000,Codington,SD,South Dakota,41208,ARC serving Eastern South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:26 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,3799033923.23437500,247886.44181929,19,-97.1925063876932,44.9786374116542
20,1216,Corson,South Dakota,46031,2529.63000000,Corson,SD,South Dakota,41016,ARC serving Central and Western South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:26 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,13241303390.23437500,535078.79463059,20,-101.200509590192,45.709482072211
21,1217,Day,South Dakota,46037,1091.11000000,Day,SD,South Dakota,41208,ARC serving Eastern South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:26 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,5666553503.49218750,303928.20236262,21,-97.6099016054479,45.3702237984079
22,1218,Deuel,South Dakota,46039,636.68000000,Deuel,SD,South Dakota,41208,ARC serving Eastern South Dakota,34R08,Dakotas Region,D23,North Central Division,Central,VIII,,3/14/2020 2:50:42 AM,Orange,,4/2/2020 4:09:31 PM,alow_rconline,4/2/2020 4:09:31 PM,alow_rconline,3254595523.88281250,231916.02578442,22,-96.6713344465842,44.7563905882178
