State,Emergency_Declaration,National_Guard_State_Activation,State_Employee_Travel_Restrictions,Statewide_Limits_Gatherings,Statewide_School_Closures,Statewide_Clusre_NonEssential,Statewide_Closure_of_Some_All,Essential_Business_Designations,Statewide_Curfew_List,F1135_Waiver_Status,Extension_of_Individual_Income,Primary_Election,Domestic_Travel_Limits,Statewide_Mask_Policy,Major_Disaster_Declaration
West Virginia,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses      Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,"Mandatory; Executive Order - All Travelers Coming from CT, LA, NJ, NY",Recommendation,Request Approved
Florida,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - recommended through end of year,"Limited operations required - restaurants, bars                        Closures required- gyms",Yes - Some,No,Local,Approved,N/A,Already held,"Mandatory; Executive Order - All Air Travelers Coming from CT, NJ, NY and All Travelers from LA",Mandatory (for essential business employees),Request Approved
Illinois,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses     Limited operatios required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory,Request Approved
Minnesota,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses
Limited operations required - restaurants",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees),Request Approved
Maryland,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,In-person workforce prohibited at non-essential businesses Limited operations required - restaurants,Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,Recommendation; All Travelers,Mandatory,Request Approved
Rhode Island,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"Closure required - non-essential businesses Limited operations required - restaurants, bars, entertainment venues",Yes - Some,No,No,Approved,Yes- filing and payment,Delayed/Rescheduled,Mandatory; Executive Order - All Travelers,Mandatory,Request Approved
Idaho,Yes,Yes,Yes,Yes - stay at home guidance,Yes - recommended through end of year,In-person workforce prohibited at non-essential businesses,Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,Recommendation; Stay Healthy Order - Some Nonresident Travelers,Recommendation,Request Approved
New Hampshire,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businessesLimited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,N/A,Primary on schedule; already held caucus,Recommendation; All Travelers,Mandatory (for essential business employees and patrons while on premises),Request Approved
North Carolina,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars Closure required - gyms, theaters, bowling alleys, recreation facilities ",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,No,Recommendation,Request Approved
Vermont,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,Yes- filing and payment,Already held,Mandatory; Addendum 7 to Executive order - All Travelers,Mandatory (for essential business employees),Request Approved
Connecticut,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"Closure required - gyms, fitness studios, movie theaters
Limited operations required - restaurants ",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,Recommendation; All Travelers,Mandatory (for essential business employees and patrons while on premises),Request Approved
Delaware,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at all non-essential businesses Closure required - bowling alleys, movie theaters, fitness centers, health spas
Limited operations required - restaurants, brewpubs, taverns, taprooms",Yes - Some,Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,Mandatory; Seventh Modification of the Declaration of a State Emergency - All Non-resident Travelers,Mandatory,Request Approved
New Mexico,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses Limited operations required - restaurants, bars, food establishments",Yes - Some,Yes,Local,Approved,Yes- filing and payment,On Schedule,Mandatory; Executive Order - All Air Travelers,Mandatory,Request Approved
California,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"Closure recommended - bars, wineries, nightclubs and brewpubs                                         In-person workforce prohibited at all non-essential businesses ",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees),Request Approved
New Jersey,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce at non-essential businesses encouraged to be limited Closure required - non-essential retail
Limited operations required - restaurants, bars",Yes - Some,Yes,Local,Approved,Yes- filing and payment,On Schedule,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Wisconsin,Yes,Yes,Yes,N/A,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses      Limited operations required - restaurants, bars",*see local ordinances,Yes,No,Approved,Yes- filing and payment,Already held,Recommendation; All Travelers,Recommendation,Request Approved
Oregon,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"Limited operations required - restaurants, bars
Closures required - recreational venies, spas, salons, theaters",Yes - Some,Yes,No,Approved,Yes- filing and payment,On Schedule,No,Mandatory (for essential business employees),Request Approved
Nebraska,Yes,Yes,Yes,N/A,Yes - through May 31st,"Limited operations required - restaurants, bars",Yes - Some,No,No,Approved,Yes- filing and payment,On Schedule,Recommendation; All Travelers,Mandatory (for essential business employees and patrons while on premises),Request Approved
Pennsylvania,Yes,Yes,Yes,"Yes - stay at home order (counties in ""red"" phase)",Yes - ordered through end of year,"Required closures of all non-life-sustaining businesses
Limited operations required – restaurants","Yes - All (counties in ""red"" phase); Some (counties in ""yellow"" phase)",Yes,No,Approved,Yes- filing and payment,Delayed/Rescheduled,Recommendation; All Travelers,Mandatory (for essential business employees),Request Approved
Washington,Yes,Yes,Yes,Yes - stay at home order,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses      Limited operations required - restaurants, bars",Yes - Some,Yes,No,Approved,N/A,Already held,No,Mandatory (for essential business employees and patrons while on premises),Request Approved
Louisiana,Yes,Yes,Yes,Yes - stay at home guidance,Yes - ordered through end of year,"In-person workforce prohibited at non-essential businesses
Limited operations required - restaurants",Yes - Some,Yes,Local,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees),Request Approved
Georgia,Yes,Yes,Yes,Yes - stay at home guidance for vulnerable populations,Yes - ordered through end of year,Closure required - bars,Yes - Some,No,Local,Approved,Yes- filing and payment,Delayed/Rescheduled,No,Mandatory (for essential business employees),Request Approved
Alabama,Yes,Yes,Not Reported,Yes - stay at home guidance,Yes - ordered through end of year,"Closure Required - entertainment venues, athletic facilities, non-essential “close contact” service establishments, and non-essential retail stores Limited operations required - restaurants, bars, breweries",Yes - Some,No,Local,Approved,Yes- filing and payment,Already held,No,Mandatory (for essential business employees),Request Approved
