date,policy,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
"March 7, 2020",Governor Lamont announced thatConnecticutis partnering with United Way of Connecticut tolaunch an information hotlinefor questions from the public regarding issues related to the spread of coronavirus (COVID-19).
"March 9, 2020",The Governor also issuedan immediate freeze on state employee travel on state business outside of Connecticut until further notice.
"March 9, 2020",TheDepartmentof Insurance hasabulletinwhich encouragesinsurers to consider waiving cost sharing forCOVID-19 testing and also highlights other related benefits.
"March 10, 2020","Governor Lamontdeclared civil preparedness and public health emergencies.The declarationstriggerprice gouging laws, and make clear that municipal leaders have emergency powers to mitigate disasters and emergencies"
"March 10, 2020",The Connecticut Insurance Department is notifying travel insurance companies about the emergency declarations and will be monitoring their compliance with the terms of their policies.
"March 10, 2020",Governor Lamont announcedthathis administration isworking with health insurance carriers in Connecticut to cover the costs for COVID-19 testingand to assureaccess to maintenance prescription drug medications (excluding controlled substances).
"March 11, 2020",Connecticut Insurance Department CommissionerMaisissueda notice to all travel insurersconducting business in Connecticut. The notice instructs insurers to accommodate travel cancellation requests under the terms of the policiestaking into accounttheseriousness of the circumstances and the civil preparedness and public health emergencies issued by Governor Lamont.
"March 11, 2020","Governor Lamontmadean emergency requestfrom the Strategic National Supply for a total of 540,000 additional N-95 protective masks."
"March 12, 2020","Connecticutsignedan executive order that takes several actions:

Prohibits all events in the state with over 250people;
Modifies the state law requiring schools to be in for 180days;
Clarifies visitor restrictions at all nursing and convalescenthomes;
Authorizes DMV to extend renewal deadlines to reduce crowds at DMV branches; and
Relaxes attendance rules for police academy trainees.
The Connecticut Department of Motor Vehiclesordereda 90-day extension on all license renewals.
Connecticut has made anemergency requestfrom the Strategic National Supply for a total of 540,000 additional N-95 protective masks.

"
"March 13, 2020"," The Governor signed an executive order granting the commissioner of the Department of Public Health additional authority to restrict visitation to facilitates such as nursing home facilities, residential care homes, and chronic disease hospitals."
"March 14, 2020"," The Governor signed his third executive order since the enactment of the emergency declarations earlier in the week. The latest order:

Relaxes in-person open meeting requirements to minimize large gatherings, with safeguards to provide remote public access;


Allows pharmacists to compound and sell hand sanitizer;


Waives requirements for pharmacists to use certain personal protective equipment when working with non-hazardous, sterile compounds;


Authorizes refunds of liquor permit fees for special events that have since been canceled;


Waives face-to-face interview requirements for Temporary Family Assistance;


Authorizes the Commissioner of Early Childhood to waive certain licensing and other requirements to maintain and increase the availability of childcare; and


Authorizes the Office of Health Strategy to waive Certificates of Need and other requirements to ensure adequate availability of healthcare resources and facilities.

"
"March 14, 2020"," The Governor directed telework requirements to be eased for certain executive branch state employees, allowing an increased number of employees to work from home. He is also providing executive branch state employees who cannot report to work due to COVID-19 14 days of paid time off."
"March 14, 2020", The Connecticut National Guard is aiding the state with requests for assistance.
"March 15, 2020"," The Governor signed an executive order taking the following actions:

Cancels classes at all public schools statewide effective March 17 through at least March 31, 2020.


Provides flexibility for municipal budget deadlines and related issues.


Authorizes the DMV commissioner to close branches to the public, conduct business remotely, and extend deadlines.


Allows restrictions on visitor access to psychiatric facilities in order to protect vulnerable residents, patients, and staff.


Requests the Small Business Administration issue a declaration enabling Connecticuts small business owners to receive disaster assistance.


Extends the Department of Revenue Services filing deadline for certain annual state business tax returns.


Releases a set of rules to pharmacies so they can begin producing and selling their own hand sanitizer while ensuring its effectiveness and safety.

"
"March 15, 2020", The State Department of Education received a waiver from the federal government allowing students who receive meals under the school lunch program to continue receiving those meals during school closures and consume them at home.
"March 15 – The Connecticut Department of Economic and Community Development offered business resources through the state’s Coronavirus website, 2020","March 15  The Connecticut Department of Economic and Community Development offered business resources through the states Coronavirus website, including: A Small Business hotline phone number; tax filing extensions from the Department of Revenue Services; information on business interruption insurance from the states Insurance Department; and information on SBA assistance and unemployment assistance."
"March 16, 2020", The Governor announced that small businesses and nonprofit organizations in Connecticut that have been negatively impacted by the global COVID-19 outbreak are now eligible for disaster relief loans of up to $2 million from the U.S. Small Business Administration.
"March 16, 2020"," The Governor signed his fifth executive order, which directs the following actions:

Revises the previously enacted prohibition on large gatherings to a capacity of 50 people, and adds religious gatherings to the list of activities subject to the limit.


Limits restaurants to non-alcoholic beverage and take-out/delivery services only, effective 8:00 PM on March 16;


Requires closure of on-side operations at off-track betting facility operations, effective 8:00 PM on March 16; and


Requires closure of gyms, fitness studios, and movie theaters, effective 8:00 PM on March 16.

"
"March 16, 2020", Drive-through testing has been approved at seven Connecticut hospitals.
"March 16, 2020"," The Connecticut Office of Health Strategy provided guidelines for a streamlined application, review, and approval process so healthcare providers can adjust treatment services for those afflicted with COVID-19."
"March 16, 2020"," The Mashantucket Pequot and Mohegan Tribal Nations will temporarily close casino and resort properties on sovereign reservation lands in eastern Connecticut amid concerns about the coronavirus. The casinos will close at 8PM on Tuesday, March 17 for a two-week period."
"March 16, 2020"," The Governors of Connecticut, New York and New Jersey announced a regional approach to combatting the novel coronavirus throughout the tri-state area."
"March 17, 2020"," The Governor signed his sixth executive order building upon his efforts to encourage mitigation strategies that slow down transmission of the virus. The provisions of the order include the following:

Modifies previously enacted waiver of 180-day school year to grant broader flexibility to school districts;


Allows police departments to limit or eliminate fingerprinting for background checks;


Extends expiration dates for permits, licenses, and other credentials administered by the Department of Emergency Services and Public Protection; and


Suspends the requirement that public assistance benefit overpayments be immediately recouped.

"
"March 17, 2020", The Department of Economic and Community Development launched the COVID-19 Business Emergency Response Unit to aid businesses in economic recovery.
"March 17, 2020"," The Department of Motor Vehicles and Revenue Services suspended in-person visits at all of their branches. Certain deadlines are being extended, and customers are also encouraged to conduct transactions online."
"March 17, 2020"," The Department of Energy and Environmental Protection suspended enforcement activities at bottle collection facilities, giving stores discretion to shut them down. They are also suspending in-person visits at their main office."
"March 18, 2020"," The Governor issued an executive order to:

Closed large indoor malls and places of amusement (but not parks and open space areas) effective 8:00 p.m. on March 19;


Allow Medicaid to cover audio-only telehealth services;


Provide flexibility for critical legal functions regarding conservators and competency hearings to ensure the safety of nursing home patients; and


Exempt certain schools inside state facilities from the school cancellation order.

"
"March 18, 2020", Connecticuts health insurance marketplace announced a new special enrollment period for residents who are uninsured.
"March 18, 2020"," The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include:

Limiting crowd capacity for social and recreational gatherings to 50 people;


Closing restaurants and bars for on premise service and move to take-out and delivery services only; and


Temporary closing of movie theaters, gyms, and casinos.

"
"March 19, 2020"," The Governor issued an executive order taking the following actions:

Postponing Connecticuts presidential primary from April 28 to June 2, 2020.


Suspending non-critical court operations and associated requirements, deadlines, and statutes of limitations.


Permitting certain restaurants and other eating establishments to sell alcohol with takeout food orders and certain other licensees to sell for off-premise beverages.


Directing the temporary closure of barbershops, hair salons, tattoo or piercing parlors, and related businesses.


Expanding the ability of patients and doctors to use telehealth for healthcare services.


Temporarily suspending in-person investigation visits regarding suspected elder abuse and extending timelines for reporting investigation results.

"
"March 19, 2020", The Governor announced Connecticuts 2020 presidential primary election will be rescheduled to June 2.
"March 20, 2020", The Governor launched a framework for the donation of Personal Protective Equipment (PPE).
"March 20, 2020"," The Governor issued an executive order directing all non-essential businesses and not-for-profit entities in Connecticut to prohibit all in-person functions if they are able to, effective March 23, 2020 at 8:00 PM."
"March 20, 2020"," The Connecticut Department of Revenue Services announced it is extending filing and payment deadlines for personal income tax returns to July 15, 2020."
"March 20, 2020"," The Connecticut Department of Motor Vehicles announced a series of new extensions and waivers on several credentials, including vehicle registrations, emissions testing, and other items."
"March 21, 2020"," The Governor issued an executive order providing broad relief for municipalities regarding procedures, notice requirements, and deadlines for various proceedings and decisions. In addition, the executive order enacts several necessary changes related to Medicare Part D and HUSKY B costs, student privacy, visitation in the Department of Children and Families facilities, pharmacy regulations, and corporate meetings."
