date,policy
"March 6, 2020",Governor Beshear declared astate of emergencyto ensure all state entities have the necessary resources to respond.
"March 7, 2020","The Governor issuedguidancefor high risk populations, as well as state employees on how to protect themselves and others. This includes modification to state sick leave policies."
"March 10, 2020",GovernorBeshearannouncedin a press conference that Kentucky nursing homes will be limiting patient visits. Patients receiving end-of-life-care are the only group allowed to receive visitors to helpprevent andlimit the spread of COVID-19.
"March 11, 2020","Governor Beshearinstructedschooldistricts tobepreparedto close schools on short notice,closed all state prisons tovisitors,suspended out-of-state travel for state employees, urged more businesses to allow employees to tele-commute and to provide paid sick leave,andasked places of worship to temporarilycancelservices."
"March 15, 2020", The Governor asked all Kentucky hospitals to cease providing elective surgery and for daycare facilities to begin planning for closures.
"March 16, 2020", The Governor ordered all bars and restaurant and dining rooms to close. The order will take effect at 5 PM on March 16.
"March 17, 2020"," The Governor announced the following steps to continue to respond to the COVID-19 pandemic:

All childcare centers, with the exception of those providing services to health care workers and some on-site employers, will close by March 20.


All public-facing businesses that encourage public congregation or, that by the nature of the service to the public, cannot comply with CDC guidelines concerning social distancing, shall cease all in-person operations. These public-facing businesses that must close include entertainment, hospitality and recreational facilities, community and recreation centers, gyms and exercise facilities, hair salons, nail salons, spas, concert venues, theaters, and sporting event facilities.


All acute care facilities should discourage all visitors except for visits in end-of-life circumstances. The Governor also advised psychiatric facilities to restrict visitation, only allowing it if deemed medically necessary by the attending physician, administrator and the medical director.


The Governor recommended personal care homes, assisted living, senior care facilities and intermediate care facilities limit visitation only to loved ones that are receiving end-of-life care.


The Governor also announced a three-month extension of drivers licenses and the postponement of primary elections.

"
"March 18, 2020"," The Governor announced several new actions to supplement previous guidance for closing public-facing businesses, including the suspension of all charitable gaming licenses and temporary closing of bingo halls."
"March 18, 2020",The Governor announced that the state is working with federal partners to continue Child Care Assistance Program payments on behalf of qualified families during the mandatory closure period. The state will also be covering copayments typically covered by families.
"March 19, 2020", The Governor signed an order allowing restaurants that have food delivery options and a liquor license to deliver sealed alcoholic beverages in their original containers to customers.
"March 20, 2020", The Governor announced Kentucky unemployment insurance implements new procedures to manage the influx of claims including new phonelines and video conference services.
"March 20, 2020", The Governor requested school superintendents keep schools closed for in-person classes until at least April 20 and delayed the states income tax filing deadline until July 15.
"March 22, 2020", The Governor ordered all nonessential retailers to close within 24 hours and that he is mandating all elective medical procedures to end.
"March 23, 2020"," The Governor announced the new following actions:

Changes in mass layoff parameters. Any employer with at least 50 employees, who is laying off at least 15 employees, is encouraged to file a claim on behalf of their employees through the E-Claims process.


Establish the Team Kentucky Fund, a fundraising platform designed to provide financial assistance to Kentuckians whose employment has been affected by COVID-19

"
"March 24, 2020", The Governor ordered all non-life sustaining business to close in-person service.
"March 24, 2020", The Governor announced that state workers would begin helping at food banks.
"March 24, 2020"," The Governor announced many businesses, including food and beverage industries, are making barrels of hand sanitizers for hospitals and first responders."
"March 25, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Kentuckys request for a Section 1135 Medicaid waiver. The approved waiver enables Kentucky to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines."
"March 25, 2020", The Governor signed legislation waiving in-person school attendance requirements and giving school districts permission to engage in nontraditional/remote learning.
"March 26, 2020", The Governor asked mayors and county judge-executives to monitor people gathering in public places such as parks and stop them if people are not practicing social distancing.
"March 27, 2020", The Governor urged residents to avoid crossing into Tennessee to limit their exposure to COVID-19.
"March 30, 2020"," The Governor signed an executive order limiting out of state travel for residents of Kentucky, except when required for employment, to obtain medicine or groceries, to seek or obtain care by a healthcare provider, to provide care to dependents or when mandated by court order."
"April 1, 2020", The Governor stated that the National Guard would be assisting to help feed seniors and displaced workers.
"April 2, 2020"," The Governor announced the following:

Recommendation for school districts to extend their suspension of in-person instruction to at least May 1;


Plans to commute the sentences of hundreds of non-violent offenders;


All state parks would be closed for overnight stays; and


Move plans forward to convert state fairgrounds in Louisville into a 2,000 hospital makeshift bed.

"
"April 3, 2020", The Governor announced the Centers for Medicare and Medicaid Services (CMS) approved Kentuckys request to recover Medicaid federal match rates and provide federal funds for a payment benefiting over 50 rural hospitals. 
"April 3, 2020", The Governor announced a new initiative aimed at making it easier for people to donate personal protective equipment (PPE).
"April 6, 2020"," The Governor issued a call to action for any person, organization or business that can donate more personal protective equipment (PPE) for frontline workers. "
"April 6, 2020"," The Governor announced that he would allow first responders and front-line health care workers to quarantine in cabins at state parks in five locations across the commonwealth, which would allow them to quarantine away from their families and other loved ones if necessary."
"April 8, 2020", The Governor announced Kentucky received the federal funding stream to begin making the additional $600 per week payment to those Kentuckians receiving unemployment insurance benefits. 
"April 8, 2020", The Governor extended a previous executive order that allows pharmacists to dispense emergency refills for up to another 30-day supply of non-scheduled medications to Kentucky residents.
"April 11, 2020", The Governor announced that all individuals who attend an in-person worship service or mass gathering of any kind Easter Weekend will face quarantine orders.
"April 13, 2020"," The Governor announced that the United Postal Service (UPS) donated 16,000 N95 masks. "
"April 14, 2020", The Governor announced that the Honorable Order of Kentucky Colonels made $1 million gift to the Team Kentucky Fund.
"April 16, 2020"," The Governor has joined a partnership with 6 other states in the region (Michigan, Ohio, Wisconsin, Minnesota, Illinois, and Indiana) to develop a plan for reopening the region economy."
"April 16, 2020", The Governor announced an expansion of the states partnership with Kroger to provide drive-through testing for the coronavirus.
"April 18, 2020", The Governor announced seven benchmarks that must be met in order to start reopening the states economy. They include: 14 days where cases are decreasingIncreased testing capacity and contact tracingPersonal protective equipment (PPE) availabilityAbility to protect at-risk populationsAbility to social distance and follow Centers for Disease Control and Prevention (CDC) guidelines on large gatheringsPreparedness for a possible future spikeStatus of vaccine and treatment
"April 18, 2020", The Governor announced the creation of a new Long-Term Care Task Force that will assist the Kentuckians most vulnerable to COVID-19 and the healthcare workers who serve them.
"April 20, 2020", The Governor advised the commonwealths education leaders to keep facilities closed to in-person instruction for the rest of the school year.
"April 22, 2020"," The Governor announced the launch of Healthy at Work, a new initiative to help Kentucky businesses reopen safely. Healthy at Work offers a phased approach to reopening Kentuckys economy, based on criteria set by public health experts and advice from industry experts."
"April 22, 2020"," The Governor announced that the phased restart of Kentuckys economy will begin on Monday, April 27th, with a segment of the health care services industry. Initially, the easing of restrictions will allow for diagnostic and radiology testing, as well as non-urgent, emergent, in-person office and ambulatory visits."
"April 23, 2020"," The Governor announced that on April 27, the state will begin the gradual restart and reopening of the Phase 1 health care services and facilities, although they will operate differently than prior to the outbreak of COVID-19. "
"April 24, 2020"," The Governor announced that Kentucky has received more than $450,000 in funding to provide novel coronavirus (COVID-19) prevention, preparedness and response assistance to non-profit arts organizations. "
"April 24, 2020"," The Governor and Secretary of State Michael Adams have reached an agreement on how the states primary elections, special elections and local option elections scheduled for June 23, 2020. The Governor signed an executive order on the issue outlining: The expansion and promotion of absentee ballots Prioritizing voting by appointment PPE for clerks and poll workers "
"April 24, 2020", The Governor announced Kentuckys local public safety agencies and eligible local governments can apply for part of more than $9 million in grant funding from the U.S. Department of Justices (USDOJ) Coronavirus Emergency Supplemental Funding Program (CESF).
"April 24, 2020", The Governor announced the expansion of testing sites across the state
"April 27, 2020", The Governor announced that by May 11 everybody working for an essential business that is reopening should be wearing a mask. 
