date,policy,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
2-Mar-20,Governor Cuomo announced the state will institute a new cleaning protocol at schools and in the public transportation system to help stop any potential spread of the virus.,,,,,,,,,,,Y
2-Mar-20,The Governor will also propose legislation to clarify authority for governor to take certain statewide actions and measures in response to the novel coronavirus outbreak as needed.,,,,,,,,,,,
2-Mar-20,"The public health laboratory housed within the State Department of Health (DOH) is partnering with hospitals to expand surge testing capacity to 1,000 tests per day statewide for the novel coronavirus. The Wadsworth Center will provide these hospitals with instructions on how to replicate the States test, as well as help them purchase some of the equipment necessary to develop and validate the test.",,,,,,,,,,,
2-Mar-20,"DOHisconvening local health departments and hospitals statewide to review protocols, best practices and procedures to help ensure they are prepared to combat the spread of the novel coronavirus.",,,,,,,,,,,
2-Mar-20,"Under a directive by the Governor, the State Department of Financial Serviceswill requirehealth insurers to waive cost sharing associated with testing forcoronavirus.",,,,,,,,,,,
3-Mar-20,Governor Cuomosigned into lawa $40 million emergency management authorization for New York States novel coronavirus response.,,,,,,,,,,,
3-Mar-20,The Governor also announced he will amend his Paid Sick Leave budget proposal to specifically protect from termination people who are required to stay home from work because they are being isolated or quarantined as a result of the novel coronavirus.,,,,,,,,,,,
3-Mar-20,Stateuniversityinstitutions willbring backstudents who are in study abroad programs in countries with high prevalence of novel coronavirusandreview all study abroad programs ahead of potential expanded travel restrictions by the federal government.,,,,,,,,,,,
5-Mar-20,"The Governor has activatedtheirstatewide emergency operations centerin Albany,along withtwooutpostsin Westchester County.",,,,,,,,,,,
7-Mar-20,Governor Cuomo declared adisaster emergencyin the state.,,,,,,,,,,,
10-Mar-20, Governor CuomodeployedNational Guard troops to a Health Department command post in New Rochelle to assist with the outbreak  an area with 108 confirmed cases at the time of mobilization.,,,,,,,,,,,
11-Mar-20,"Governor CuomoannouncedthatNew York will contract with 28 private labs to increase COVID-19 testing capacity. Additionally, he announced that the state will provide two weeks paid leave for workers who are quarantined as well as$200,000 to local food banks in New Rochelleforfamilies who rely on free school lunches.",,,,,,,,,,,
12-Mar-20,Governor Cuomo announced that gatherings larger than 500 people should be cancelled or postponed.,,,,,,,,,,,
13-Mar-20,#NAME?,,,,,,,,,,,
15-Mar-20,"- The Governor sent a letter to President Trump calling for comprehensive federal action to combat COVID-19, including a national strategy for testing, school closures, and hospital surge capacity.",,,,,,,,,,,
15-Mar-20,"- The Governor announced that all NYC, Westchester, Suffolk, and Nassau Public Schools are closed for two weeks beginning on March 16.",,,,,,,,,,,
16-Mar-20,"- The Governor issued an executive order which: Increases hospital capacity in the state; Directs all nonessential state workers to work from home; Opens drive-through mobile testing facilities in State Island and Rockland County; and Waives all park fees in state, local, and county parks. ",,,,,,,,,,,
16-Mar-20,- The Governor issued an executive order delaying village elections until the April 28 primary election.,,,,,,,,,,,
16-Mar-20,- The Governor issued an executive order directing all New York schools to close from March 19  April 1.,,,,,,,,,,,
16-Mar-20," The Governors of Connecticut, New York and New Jersey announced a regional approach to combatting the novel coronavirus throughout the tri-state area.",,,,,,,,,,,
17-Mar-20,#NAME?,,,,,,,,,,,
17-Mar-20,- The Governor and State Attorney General announced that the state will temporarily halt the collection of medical and student debt for at least a 30-day period.,,,,,,,,,,,
17-Mar-20,#NAME?,,,,,,,,,,,
18-Mar-20," The Governor announced the United States Navy Ship Comfort, a 1000-bed hospital ship, will be deployed to New York harbor.",,,,,,,,,,,
18-Mar-20," The Governor directed all non-essential businesses to implement work from home policies, with exceptions for specific essential services determined by the state.",,,,,,,,,,,
18-Mar-20," The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos. ",,,,,,,,,,,
19-Mar-20," The Governor signed an executive order requiring in-office personnel to decrease in-office workforce by 75 percent, with exceptions for essential businesses.",,,,,,,,,,,
19-Mar-20, The Governor announced the Department of Financial Services issued a new directive providing 90-day mortgage relief for all New Yorkers.,,,,,,,,,,,
19-Mar-20, The Governor created an online portal for retired health care professionals to sign up to enlist as reserve medical staff.,,,,,,,,,,,
19-Mar-20, New York waived the one-week waiting requirment for accessing Unemployment Insurance.,,,,,,,,,,,
20-Mar-20," The Governor, together with Governor Murphy, Governor Lamont, and Governor Wolf directed the temporary closure of barber shops, nail and hair salons, and related personal care services.",,,,,,,,,,,
20-Mar-20," The Governor issued guidance on essential services under the New York State on PAUSE executive order, a ten-point policy to assured uniform safety for everyone signed on Friday, March 20.",,,,,,,,,,,
22-Mar-20," The Governor unveiled a suite of strategies aimed at equipping the state prepare for a medical surge, including: Leveraging the Army Corps of Engineers to repurpose four temporary hospital sites in New York State; Implementing drugs trials and acquiring hydroxychloroquine, Zithromax, and chloroquine as treatment candidates; Announcing that all hospitals will be required to develop plans to expand capacity with hospitals; and, Suspending all elective, non-critical surgeries to help expand hospital capacity. ",,,,,,,,,,,
21-Mar-20, The Governor issued Executive Order 202.9 which continues the temporary suspension and modification of laws relating to the disaster emergency.,,,,,,,,,,,
25-Mar-20, The Governor issued a statement on the third supplemental package that passed the Senate on March 26.,,,,,,,,,,,
26-Mar-20," The Governor announced the state received significant donations from several major corporations, philanthropic organizations and celebrities to help increase the states medical material supply capacity.",,,,,,,,,,,
26-Mar-20,"- The Centers for Medicare & Medicaid Services (CMS) approved New Yorks request for a Section 1135 Medicaid waiver. The approved waiver enables New York to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,,,,,,
27-Mar-20, The Governor issued Executive Order 202.11 continuing the temporary suspension and modification of laws relating to the disaster emergency.,,,,,,,,,,,
28-Mar-20, The Governor issued Executive Order 202.12 moving the presidential primary from April 28 to June 23 and enabling the tax filing deadline for personal and corporate taxes to be pushed back to July 15,,,,,,,,,,,
28-Mar-20," The Governor made several announcements detailing recent actions the state has taken to increase testing and health system capacity: The State Department of Health Wadsworth Lab is working in partnership with other labs to evaluate antibody testing;The first 1,000-bed temporary hospital at the Jacob K. Javits Convention Center is expected to open March 30, one week after construction started;Three additional sites  South Beach Psychiatric Center, Westchester Square, and Health Alliance will add 695 more emergency beds; and,The Empire State Development Board of Directors approved $7.5 million in business counseling support to 70 non-profit partners across the state. ",,,,,,,,,,,
29-Mar-20," The Governor announced a mobile testing site in Northeast Bronx, which will prioritize individuals that are among the highest risk population. There will be no walk-ins allowed and all patients must be in a vehicle.",,,,,,,,,,,
