date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
6-Mar-20,"Governor Herbert declared astate of emergency, which is part of the states preparedness plan and came at the recommendation of the Governors COVID-19 Task Force.",,,,,,,Y,,,,
2-Mar-20,"Utahe stablished the COVID-19 Community Task Force.On 10 March, the task force recommendedthat hospital and health care systems establish satellite sites for testing.",,,,Y,,,,,,,Y
12-Mar-20,Governor Herbert issued astatement praising the Church of Jesus of Latter-day Saints decision to host sessions of its General Conference remotely and to limit mass gatherings in the immediate future.,,,,,,,,,,,Y
12-Mar-20,"Governor Herbert, in partnership with the Utah COVID-19 Community Task Force, issued official recommendations to: limit gatherings of 100+ people(including church); not participate in group gatherings for individuals over 60 years of age or immunocompromised; and restrict access to long-termcare facilities.",Y,,,,,,,,,,
12-Mar-20,Governor Herbert approved recommendations to the Utah Systems of Higher Education and the Utah State Board of Education to transition to online teaching.,,,,,Y,,,,,,
13-Mar-20,Governor Herbert announced recommendations the implementation of several precautionary measures across the state of Utah to help slow the spread of novel coronavirus.,,,,,,,,,,,Y
16-Mar-20," The Governor announced that Utah's public schools will implement a two-week dismissal, or soft closure, starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities.",Y,,,,Y,,,,,,
17-Mar-20," The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18.",Y,,,,,,,,,,
19-Mar-20,"The Governor issued three executive orders, that will:
Lessen the burden on establishments with liquor licenses by facilitating returns of product to the Department of Alcoholic Beverage Control;
Allow the public to view Board of Pardons and Parole hearings remotely; and
Facilitate the ability of public bodies to conduct meetings electronically.",,,,,,,,,,,Y
19-Mar-20," The Utah Board of Education waived requirements regarding the calendar year, transportation, and assessments. The Board also directed staff to continue to distribute state funding to local education agencies.",,,,,Y,,,,,,
21-Mar-20," The Utah Department of Health amended a recent order, removing a potential criminal penalty association with gathering in groups of 10 or more.",,,,,,,,,,,Y
23-Mar-20," The Governor, State Superintendent, and Acting Commissioner of Technical Education announced that Utahs K-12 public schools will extend their dismissal through May 1, 2020.",Y,,,,Y,,,,,,
24-Mar-20," The Utah Department of Health announced restrictions on non-urgent medical, dental, and veterinary procedures.",Y,,,,,,,,,,
24-Mar-20," The Governor released Utah Leads Together, a comprehensive task force plan, report and economic playbook to mitigate the economic consequences of COVID-19, including recommendations from dozens of Utah state and industry leaders.",,,,,,,,,,,Y
26-Mar-20, The Governor issued an Executive Order suspending sections of the state statute to ease the provision of telehealth care to patients.,,,,,,Y,,,,,
26-Mar-20, The Governor issued an Executive Order suspending certain requirements on signature gathering for candidates seeking to get on the ballot.,,,,,,,,,,,Y
27-Mar-20," The Governor issued a Stay Safe, Stay Home Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",Y,,,,,,,,,,
30-Mar-20, The Child Care Task Force created One Utah Child Care to meet child care needs of essential employees such as healthcare workers.,,,,,,,,,,,Y
30-Mar-20, The Governors Office of Economic Development announced the Utah Leads Together Small Business Bridge Loan program to assist small businesses with 50 or fewer employees.,,,,,,,,,,,Y
30-Mar-20, The Utah State Tax Commissioners approved extensions to tax filing and payment deadlines to July 15.,,,,,,,,,,,Y
30-Mar-20," The Governor lifted restrictions that prevented retirees from public jobs reenter the workforce. This will allow certain public employees return to jobs that are deemed critical to the coronavirus response like first responders, healthcare and public health workers and those in financial services. ",,,,,,Y,,,,,Y
31-Mar-20, The Governor issued an executive order allowing state and local entities participating in the state Retirement Systems to extend work opportunities to recently retired persons to meet needs for critical government functions.,,,,,,,,,,,Y
31-Mar-20, The Governor issued an executive order suspending sections of the state statute to allow the Governors Office of Economic Development to tap into the Industrial Assistant Account to offer zero interest loans to small businesses.,,,,,,,,,,,Y
1-Apr-20," The Governor issued an executive order, extending the closure of dine-in service at food establishments until April 15.",Y,,,,,,,,,,
1-Apr-20, The Governor issued an executive order instituting a moratorium on residential evictions for tenants directly impacts by COVID-19.,,,,,,,,,,,Y
2-Apr-20," The Leads Together Small Business Bridge Loan program uses $11 million in state funds to provide gap funding to Utahs small business and nonprofits. Round one of the program was for Utah-headquartered for-profits. More than 1,000 businesses completed the application process and 500 applicants will receive a total of more than $6 million in funding, with 27% of the round one funds being awarded to rural businesses. During round two (up to April 16), loan applications will be accepted from for-profit and nonprofit organizations.",,,,,,,,,,,Y
9-Apr-20, The Governor issued an Executive Order requiring individuals entering Utah to complete a travel declaration form.,,,,,,,,,,,Y
13-Apr-20, The Governor extended the Stay Safe Stay Home directive until May 1. ,Y,,,,,,,,,,
13-Apr-20," The Centers for Medicare & Medicaid Services (CMS) approved Utahs request for a Section 1135 Medicaid waiver. The approved waiver enables Utah to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,
14-Apr-20, The Governor and State Superintendent announced an extension on the soft closure of public schools until the end of the school year. ,Y,,,,Y,,,,,,
15-Apr-20," The Department of Workforce Services announced the Child Care Operations Grant, available to Utah childcare providers whose operations have been affected by decreased enrollment. ",,,,,,,,,,,Y
15-Apr-20," The state launched its Pandemic Unemployment Assistance benefits, available to those who were previously ineligible for traditional unemployment benefits. ",,,,,,,,,,,Y
17-Apr-20," ProjectProtect announced that it is seeking 10,000 volunteers to help produce five-million medical-grade face masks for frontline health care workers. The project is a collaboration between Intermountain Healthcare, University of Utah Health, Latter-day Saint Charities and several non-profits.",,,,,,Y,,,,,
22-Apr-20, The Governor announced beta testing for the  Healthy Together mobile app to augment contact tracing efforts and slow  the spread of COVID-19.,,,,,,Y,,,,,Y
22-Apr-20," The Governor directed the Utah Department of Health to update its public health order, allowing for the resumption of some elective procedures pursuant to established guidelines. ",,Y,,,,Y,,,,,
23-Apr-20, The Utah COVID-19 Community Task Force announced the creation of a new subcommittee to address language and cultural barriers to providing vulnerable and underserved communities important news and information.,,,,,,,,,,,Y
23-Apr-20, The Utah Department of Workforce Services will issue additional Supplemental Nutrition Assistance Program (SNAP) benefits up to the maximum allotment for the months of April and May. ,,,,,,,,,,,Y
24-Apr-20, The Governors Office of Economic Development announced the recipients of $12 million in loan applications through the Utah Leads Together Small Business Bridge Loan.,,,,,,,,,,,Y
25-Apr-20," The Governor announced the states Utah Moves Together 2.0 plan, to move the state from a high-risk phase to a moderate phase. ",,,,,,,,,,,Y
28-Apr-20," The Governor and Lt. Governor announced A Mask for Every Utahn, a public private partnership through the Utah Manufacturers Association and Cotopaxi, to provide all Utahns with a free face mask.",,,,,,,,,,,Y
30-Apr-20," The Governor issued an executive order, placing the state of Utah under moderate risk protocols beginning May 1. The order stipulates that individuals in high-risk categories should continue to follow high-risk protocols.",,Y,,,,,,,,,
30-Apr-20," The Governor issued an executive order suspending, through May 15, enforcement of statutes for some expiring vehicle registrations. The order will grant time leniency to Utahns given closures and appointment-only registration systems at the Utah Division of Motor Vehicles. ",,,,,,,,,,,Y
30-Apr-20, The Governor Office issued a statement regarding its internal review of a March 31 purchase of compounded chloroquine and hydroxychloroquine from the Utah compounding pharmacy Meds in Motion. ,,,,,,Y,,,,,Y
4-May-20," The Governor announced that iFit Interactive Fitness, headquartered in Utah, donated one million medical-grade surgical masks to the state. ",,,,,,Y,,,,,Y
6-May-20," The Governor signed an Executive Order, clarifying guidelines in the moderate- and low-risk phases of the Utah Leads Together reopening plan.",,Y,,,,,,,,,
6-May-20, The Governors Office of Economic Development announced the COVID-19 Commercial Rental Assistance Program to provide relief to Utah small businesses that rent commercial property.,,,,,,,,,,,Y
8-May-20, The Governor suspended certain statutes to ease the regulatory burden of sudden closures mandated by public health.,,,,,,,,,,,Y
15-May-20," The Governor issued an Executive Order, moving much of the state to a Low Health Risk Status effective on May 16. The order clarifies that Grand County, Summit County and Wasatch County will remain at an Orange Health Risk.",,Y,,,,,,,,,
20-May-20," The Governor released a third version of the Utah Leads Together plan, with guidelines to protect high-risk individuals and address impacts to Utahs multi-cultural communities.",,,,,,,,,,,Y
21-May-20, The Governor issued an executive order moving Summit and Wasatch Counties to Low Health Risk status.,,,,,,,,,,,Y
22-May-20," The Governor, in consultation with the Utah Department of Health, issued an executive order, moving Summit and Wasatch Counties to Yellow, or Low Health Risk Status.",,Y,,,,,,,,,
22-May-20," The Governor, in consultation with the Utah Department of Health, approved requests for the municipalities of Bluff and Mexican Hat to transition to Orange, or Moderate Health Risk.",,Y,,,,,,,,,
27-May-20," The Governor issued an executive order, updating guidelines for areas under a low health risk designation. The order specifically addresses social gatherings, education, businesses, travel, and events.",,Y,,,,,,,,,
29-May-20," The Governor, in consultation with the Utah Department of Health and Local Health Departments, issued an executive order, moving Grand County, West Valley City, and Magna to Low Health Risk Status.",,Y,,,,,,,,,
1-Jun-20, The Utah Department of Health announced COVID-19 Uninsured Testing Coverage for eligible residents.,,,,Y,,,,,,,Y
