State,Date,Action,Restrict/Close,Opening (State),Deferring Decisions to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Other
Alabama,2020-03-06,"Governor Ivey announced the formation of a Coronavirus (COVID-19) Task Force of cabinet and state agency officials, as well as disease specialists in an abundance of caution.  ",,,,,,,,,,Y
Alabama,2020-03-10,"Governor Ivey sent a memo to state agency heads directing state employees to notify their department heads, supervisors, and human resource offices if they have traveled in areas affected by the coronavirus. ",,,,,,,,,,Y
Alabama,2020-03-13,Governor Ivey issued a state of emergency for Alabama.,,,,,,,Y,,,
Alabama,2020-03-14,"Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak.",Y,,,,,,,,,
Alabama,2020-03-15,Governor Ivey authorized directors of all state agencies to put different work schedules into place for state employees.,,,,,,,,,,Y
Alabama,2020-03-15,"The Governor authorized directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",,,,,,,,,,Y
Alabama,2020-03-16,The Alabama Department of Labor announced that state employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits.,,,,,,,,,,Y
Alabama,2020-03-17,The Governor emphasized measures taken by financial regulators to protect the financial system within the state.,,,,,,,,,,Y
Alabama,2020-03-17,"The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week.",Y,,,,,,,,,
Alabama,2020-03-18,The Governor announced the primary runoff election will be delayed to July 14.,,,,,,,,,,Y
Alabama,2020-03-19,"The Governor issued a statewide health order. The order includes the following directives through April 5. All gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited. Any restaurant, bar, brewery or similar establishments are not to permit on-premise consumption of food or drink. All beaches are closed. Preschools and childcare centers are closed. All Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities) shall prohibit visitation of all visitors and nonessential health care personnel, except for certain compassionate care situations such as maternity and end-of-life. All elective dental and medical procedures shall be delayed.",Y,,,,Y,,,,,
Alabama,2020-03-20,"The Governor issued an updated statewide public health order prohibiting all non-work related gatherings of 25 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons. The updated order also expands the availability of child day care in the state as long as certain guidelines are followed, and includes clarifying language regarding senior citizen centers and schools.",Y,,,,,,,,,
Alabama,2020-03-20,"The Governor issued the second supplemental state of emergency proclamation, instructed appropriate agencies to take the necessary steps and issue the appropriate documents to expedite the movement of vehicles transporting emergency equipment, services, and supplies.",,,,,,,Y,,,
Alabama,2020-03-20,The Governor issued authorization to the Adjutant General with the Alabama National Guard to activate up to 100 guardsmen.,,,,,,,,,,Y
Alabama,2020-03-21,The Governor announced small businesses are eligible for assistance under the U.S. Small Business Administration’s Economic Injury Disaster Loan (EIDL) program.,,,,,,,,,,Y
Alabama,2020-03-23,"The Governor announced that the state income tax filing due date is extended from April 15, 2020, to July 15, 2020.",,,,,,,,,,Y
Alabama,2020-03-23,The Centers for Medicare & Medicaid Services (CMS) approved Alabama’s request for a Section 1135 Medicaid waiver. The approved waiver enables Alabama to provide flexibilities in Medicaid provider screening and enrollment and forgo certain pre-admission screening and annual resident review assessments in the state’s Medicaid program.,,,,,,,,,,Y
Alabama,2020-03-26," The Governor issued a memo on flexibilities for unemployment insurance claims. The state is waiving the work search, wait week, and good cause provisions and waiving all charges against employers who file partial unemployment compensation claims on behalf of their employees, until further notice.",,,,,,,,,,Y
Alabama,2020-03-26,The Governor announced the fourth supplemental State of Emergency with the following provisions: Requires all public K-12 schools to implement a plan to complete the 2019-2020 school year using alternate methods of instruction; Extends the licensure period applicable to emergency medical services personnel and provides services; Allows notaries to notarize signatures through videoconferences; Allows state agencies to create and retain electronic records and send and accept electronic signatures; Authorizes law enforcement officers to issue summons and complaint in lieu of custodial arrest for any violation or misdemeanor in certain circumstances; and Permits the county or municipality to set a fee schedule for the summons and complaint that is concurrent with the bail fee and court costs associated with a custodial arrest for the same crime.,,,,,,,Y,,,
Alabama,2020-03-27," The State Health Officer announced an order with the following provisions: Suspending all non-work-related gatherings of 10 persons or more, or non-work-related gatherings of any size that cannot maintain a consistent six-foot distance between persons; Suspending all dental, medical, or surgical procedures with emergency medical exception; Prohibiting visitors to all Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities); and Closing in-person instruction or classes at all schools, public and private",Y,,,,,,,,,
Alabama,2020-03-31," The U.S. Department of Agriculture (USDA) has approved the Alabama Department of Education (ALSDE), Child Nutrition Programs waiver request for the restrictions on site eligibility requirements.",,,,,,,,,,Y
Alabama,2020-04-02, The Governor issued their fifth supplemental state of emergency to adopt measures to expand the capacity of the health care workforce.,,,,,,,Y,,,
Alabama,2020-04-03," The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",Y,,,,,,,,,
Alabama,2020-04-03, The Governor issued their sixth supplemental state of emergency to cease enforcement of any order that would result in the displacement of a person from their place of residence.,,,,,,,Y,,,
Alabama,2020-04-03, The Governor announced the Office of Volunteer Services in partnership with the Alabama Department of Public Health (ADPH) to launch ReadyOp. The program will collect volunteers and potential reserve staff’s information and send out alerts if the help of qualified retired health professionals and medical students and related professionals is needed to support efforts.,,,,,,,,,,Y
Alabama,2020-04-06," The Governor announced the creation of altogetheralabama.org, a hub for information about the state’s response.",,,,,,,,,,Y
Alabama,2020-04-07," The Governor announced the “Ribbons of Hope” campaign to encourage the people of Alabama to tie ribbons around a tree or pole in their front yard as a symbol to remind everyone to pray for medical personnel, first responders, and for one another.",,,,,,,,,,Y
Alabama,2020-04-07, The Governor announced the launch of a job-matching site targeted at those who have lost their job as a result of COVID-19.  ,,,,,,,,,,Y
