State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes,,,
Alaska,3-Mar-20,"The Division of Insurance sent a bulletin allowing access to drug refills during quarantine, promoting utilization of telemedicine, and stating their preparedness plan for COVID-19.",,,,,,,,,,,Y,,,,
Alaska,6-Mar-20,The Division of Insurance issued another bulletin regarding coverage requirements for cost sharing and coverage of respiratory viruses including COVID-19. ,,,,,,,,,,,Y,,,,
Alaska,11-Mar-20,Governor Dunleavy issued a declaration of public health disaster emergency in response to the COVID-19 anticipated outbreak.   ,,,,,,,Y,,,,Y,,,,
Alaska,13-Mar-20," Governor Dunleavy and the Alaska Department of Health and Social Services issued the State of Alaska’s first COVID-19 health mandate suspending and limiting general public visitation to select state institutions. Additionally, between March 16-30 there will be non-student contact days in which students will not be attending school and all after school activities will be suspended.",Y,,,,Y,,,,,,,,,,
Alaska,16-Mar-20," The Governor issued a second COVID-19 health mandate closing state operated libraries, archives, and museums to the public from March 17, 2020 through March 31, 2020. Additionally, residential school programs will begin the process of sending students to their families and home communities by March 27.",Y,,,,,,,,,,,,,,
Alaska,16-Mar-20," The Governor signed two pieces of legislation to help Alaska’s COVID-19 response and preparedness: House Bill 206 provides financial resources to the Department of Health and Social Services for COVID-19 preparedness and response including $4 million in state funds and provides open ended authority to accept any federal funds for COVID-19 response, as requested by the Governor on March 2. House Bill 29 requires health care insurers to provide coverage for telehealth benefits.",,,,,,,,,Y,,Y,,,,
Alaska,17-Mar-20, The Governor announced the creation of the Alaska Economic Stabilization Team to develop a plan to protect the state’s economy from the impact of COVID-19.,,,,,,,,,,,Y,,,,
Alaska,17-Mar-20," The Governor announced a ban on all bars, breweries, restaurants, food and beverage kiosks or trucks, and other establishments serving food or beverages for public dine-in service.",Y,,,,,,,,,,,,,,
Alaska,17-Mar-20, The Governor issued COVID-19 Health Mandate 004 pertaining to travelers coming into Alaska from CDC Level 3 countries (high risk) and anywhere outside of Alaska (medium risk) within the last 14 days. The Mandate also provides guidance for what travelers should do upon returning to Alaska.,Y,,,,,,,Y,,,,,,,
Alaska,17-Mar-20," The Governor announced COVID-19 Health Mandate 003 which closes all bars, breweries, restaurants, food and beverage kiosks or trucks, and other establishments serving food or beverages within in the State of Alaska to public dine-in service. All buffets and salad bars are likewise closed to self-service. The closure remains in effect until April 1, 2020 at 5 p.m.",Y,,,,,,,,,,,,,,
Alaska,20-Mar-20," The Governor unveiled the COVID-19 Economic Stabilization Plan, a statewide approach to provide urgent relief and protect the state’s economy.",,,,,,,,,,,Y,,,,
Alaska,21-Mar-20, The Governor announced businesses can now apply for the U.S. Small Business Administration’s (SBA) low-interest federal disaster loans for working capital to small businesses suffering substantial economic injury.,,,,,,,,,,,Y,,,,
Alaska,23-Mar-20, The Governor announced Health Mandate 009 Personal Care Services & Gatherings Statewide to limit all close contacts (people outside of a family unit) to be farther than six feet from each other to prevent the spread of the virus that causes COVID-19.,Y,,,,,,,,,,,,,,
Alaska,23-Mar-20," The Governor announced Health Mandate 010: International and Interstate Travel, Order for Self-Quarantine requiring all people arriving in Alaska, whether resident, worker or visitor, to self-quarantine for 14 days and monitor for illness.",Y,,,,,,,,,,,,,,
Alaska,26-Mar-20," The Governor signed House Bill 308 expands unemployment insurance benefits by waiving the one-week waiting period, increasing the weekly benefit for dependents from $24 to $75 per week.",,,,,,,,,,,Y,,,,
Alaska,26-Mar-20, The Governor signed Senate Bill 74 providing support for teachers and students in rural school districts that experience extremely high costs for internet. This legislation increases the minimum internet speed for all of Alaska’s schools from 10 megabits per second (Mbps) to 25 Mbps and will benefit 168 schools and 30 school districts.,,,,,,,,,,,Y,,,,
Alaska,26-Mar-20," The Governor issued the following health mandates: Health Mandate 011: Social Distancing – Ordering individuals to practice social distancing, closure of non-essential businesses, and employers to take reasonable precautions. Health Mandated 012: Intrastate Travel – Prohibiting personal travel except as necessary to meet critical personal needs or work in critical infrastructure jobs.",Y,,,,,,,,,Y,,,,,
Alaska,2-Apr-20," The Governor issued an extension to Health Mandate 002 and 003 on State Libraries, Archives, Museums and Residential Schools and on Statewide Closure Restaurants, Bars, Entertainment.",Y,,,,,,,,,,,,,,
Alaska,2-Apr-20," The Centers for Medicare & Medicaid Services (CMS) approved Alaska’s request for a Section 1135 Medicaid waiver. The approved waiver enables Alaska to provide flexibilities in Medicaid provider screening and enrollment, forgo certain preadmission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,,,,,,Y,,,,
Alaska,3-Apr-20, The Governor amended COVID-19 Disaster Order of Suspension No. 2 to include additional suspensions of certain state government fees and fines.,,,,,,,,,,,Y,,,,
Alaska,7-Apr-20," The Governor announced April 10, 2020 as Alaska’s Day of Prayer and Hope, an interfaith day of prayer in which Alaskans are called upon to join in prayer and reflection for Alaska in the midst of the pandemic.",,,,,,,,,,,Y,,,,
Alaska,7-Apr-20, The Governor issued an update to the State of Alaska’s COVID-19 Health Mandate 005 on Elective Medical Procedures to preserve staff personal protective equipment (PPE) and patient care supplies.,,,,,,Y,,,,,Y,,,,
