State,Date,Action,Restrict/Close,Opening (State),Deferring Decisions to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Other,Notes
Arizona,2020-01-26,"Arizona’s Health Emergency Operations Center activated to provide support to public health partners and infrastructure to respond to the outbreak. Given similarities between coronavirus and influenza, Arizona’s coronavirus response is guided by the state’s existing influenza pandemic response plan, which was recently updated in May 2019. The Arizona Department of Health Services is hosting a series of COVID-19 public health webinars tailored to different partners and stakeholders, including law enforcement, health plans, Schools (K-12)/Childcare, EMS/911, businesses, long-term care facilities, and health care providers. ",,,,,,,,,,Y,
Arizona,2020-03-11,Governor Ducey issued a Declaration of Emergency and an Executive Order to provide health officials and administrators with tools and guidance necessary to combat the continued spread of COVID-19 and to reduce financial burdens on Arizonans by lowering healthcare costs associated with the virus. ,,,,,,,,,,Y,
Arizona,2020-03-12," Arizona signed S.B. 1051, legislation introduced by Senator Kate Brophy McGee to appropriate $55 million to the Public Health Emergency Fund to support Arizona’s efforts to combat the continued spread of COVID-19. ",,,,,,,,,Y,,
Arizona,2020-03-15," The Governor and Boys & Girls Clubs Arizona Alliance announced emergency operational funding to support youth impacted by COVID-19 school closures. The partnership will enable state funding to compensate Boys & Girls Clubs to provide expanded services to Arizona families, while encouraging and leveraging private donations from individuals, corporations and foundations. The Governor also announced the closure of all schools from Monday, March 16, 2020 through Friday, March 27, 2020. ",Y,,,,Y,,,,,,
Arizona,2020-03-15, The Governor ordered a statewide closure of schools through at least March 27.,Y,,,,Y,,,,,,
Arizona,2020-03-16," The Governor announced the cancellation of large events and mass gatherings such as conferences, festivals, parades, concerts, sporting events, weddings and other types of assemblies. ",Y,,,,,,,,,,
Arizona,2020-03-15, The Governor ordered a statewide closure of schools through at least March 27.,Y,,,,,,,,,,
Arizona,2020-03-16," The Governor announced large events and mass gatherings such as conferences, festivals, parades, concerts, sporting events, weddings and other types of assemblies should be cancelled. ",Y,,,,,,,,,,
Arizona,2020-03-19," The Governor announced the following executive actions: Activation of the National Guard to assist grocery stores and food banks with re-stocking shelves in the face of heightened demand. Signing of an executive order that halts all elective surgeries to free up medical resources and maintain the capacity for hospitals and providers to continue offering vital services. Signing of an executive order that requires restaurants in counties with confirmed COVID-19 cases to provide dine-out options only, as well as the closure of all bars in those counties. The order allows restaurants to deliver alcoholic beverages with the purchase of food. Signing of an executive order to delay expiration dates on driver licenses ensuring residents over the age of 65 do not need to visit Motor Vehicle Division offices to renew their driver licenses during the public health emergency.",Y,,,,,Y,,,,,
Arizona,2020-03-19, The Governor announced the U.S. Small Business Administration (SBA) approved an Economic Injury Disaster Loan declaration for Arizona that will help small businesses.,,,,,,,,,,Y,
Arizona,2020-03-20,"The Governor announced a two-week extension of school closures through April 10, 2020.",Y,,,,Y,,,,,,
Arizona,2020-03-20," The Governor issued an executive order aimed at providing certainty and economic relief to taxpayers. The order includes the following provisions: Waives the one-week waiting period after an employee loses a job before they apply for unemployment benefits; Waives work search requirements for those receiving unemployment benefits; Adds people who work at a business that has been temporarily closed or has reduced hours because of COVID-19, who have to quarantine because of COVID-19, or who have to care for a family member with COVID-19 to the list of people eligible for unemployment insurance; and Waives any increase in employer payments to the unemployment insurance fund for businesses whose employees receive benefits under this provision.",,,,,,,,,,Y,
Arizona,2020-03-20," The Governor issued an administrative action extending the deadline for filing and paying state income taxes from April 15 to July 15, 2020.",,,,,,,,,,Y,
Arizona,2020-03-23, The Governor issued an executive order implementing an Enhanced Surveillance Advisory that will accelerate tracking of COVID-19 cases and strengthen the ability of the Arizona Department of Health Services to respond to the outbreak.,,,,,,,,,,Y,
Arizona,2020-03-23," The Governor issued an executive order clarifying businesses and operations deemed “essential” by the state and providing certainty to business owners, employees, families and allowing child care to remain open.",,,,,,,,,,Y,
Arizona,2020-03-23,"The Centers for Medicare & Medicaid Services (CMS) approved Arizona’s request for a Section 1135 Medicaid waiver. The approved waiver enables Arizona to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements and extend current prior authorization approvals.",,,,,,Y,,,,,
Arizona,2020-03-24, The Governor issued an executive order delaying the enforcement of eviction action orders for renters remaining in effect for 120 days.,,,,,,,,,,Y,
Arizona,2020-03-24," The Governor announced a partnership to launch Arizona Enrichment Centers to offer childcare for the children of first responders, critical healthcare workers, and essential public sector workers, including child safety workers.",,,,,,,,,,Y,
Arizona,2020-03-24," The Governor notified the Center For Medicare and Medicaid Services (CMS) of his decision to exempt the State of Arizona from a federal regulation requiring Certified Registered Nurse Anesthetists (CRNAs) to be supervised by a physician. The reform will expand access to care, especially in rural areas, and free up physicians for other needed medical services.",,,,,,Y,,,,Y,
Arizona,2020-03-24," The Governor announced a new partnership between the state of Arizona, the BSTRONG Initiative partnering with the Global Empowerment Mission, and the Verstandig Foundation to secure up to 1 million N-95 masks and other equipment for Arizona health care professionals.",,,,,,,,,,Y,
Arizona,2020-03-24," The Governor launched the Arizona Together initiative to connect individuals and businesses to resources, raising money for community organizations and providing information on volunteer opportunities.",,,,,,,,,,Y,
Arizona,2020-03-25," The Governor signed H.B. 2668 to bring more resources into Arizona’s health care system by increasing Arizona Health Care Cost Containment System (AHCCCS) provider rates for hospitals, doctors and more.",,,,,,Y,,,,Y,
Arizona,2020-03-25, The Governor issued an executive order requiring health care insurance companies to expand telemedicine coverage for all services that would normally be covered for an in-person visit.,,,,,,Y,,,,Y,
Arizona,2020-03-25, The Governor announced Arizona has received more than $5.3 million in grant funding from the Department of Health and Human Services (HHS) to help communities provide meals for older adults.,,,,,,,,,Y,,
Arizona,2020-03-26, The Governor announced the Arizona Department of Environmental Quality (ADEQ) will waive emissions testing for vehicle owners 65 and older for up to one year to allow them to renew their vehicle registrations.,,,,,,,,,,Y,
Arizona,2020-03-26," The Governor issued an executive order with the following provisions: State agencies and boards will defer requirements to renew licenses that have an expiration date between March 1, 2020 and September 1, 2020 by six months from the expiration date; State agencies and boards will suspend any rules that prevent or limit the amount of online or alternative learning hours permitted to issue or renew a license; and State agencies and boards will issue provisional licenses to applicants who have met all other requirements of Arizona statute and administrative code but cannot take the exam remotely.",,,,,,,,,,Y,
