State,Date,Action,Restrict/Close,Opening (State),Deferring Decisions to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,PPE,Other,Notes
California,2020-02-02,"The California Department of Public Health activated its Public Health’s Emergency Operations Center to respond to COVID-19 and coordinate with federal authorities quarantining passengers returning to the U.S. from Hubei Province, China, through SFO and LAX. ",,,,,,,,Y,,,,
California,2020-03-02,Governor Newsom is requesting emergency action from the legislature to make available up to $20 million for the COVID-19 response.  ,,,,,,,,,Y,,,
California,2020-03-03,California’s Public Health Department announced that it received federal approval to use some of its emergency planning reserves of 21 million N95 filtering facepiece masks in certain low-risk situations to relieve pressure on the supply chain. ,,,,,,,,,,,Y,
California,2020-03-04, Governor Newsom declared a state of emergency to help state prepare for broader spread of COVID-19,,,,,,,Y,,,,,
California,2020-03-05, California Employee Development Department announced support services to individuals affected by COVID-19 in California. The California Department of Insurance issued similar direction providing cost free medically necessary testing for an additional 2 million Californians. ,,,,Y,,,,,,,Y,
California,2020-03-07," California officials issued updated guidance to schools, colleges and universities, event organizers and public health officials as they plan for further spread of COVID-19. ",,,,,,,,,,,Y,
California,2020-03-11,Governor Newsom announced that gatherings larger than 250 people should be cancelled or postponed.,Y,,,,,,,,,,,
California,2020-03-11, California public health officials issued an updated policy on gatherings to protect public health and slow the spread of COVID-19. The state’s public health experts have determined that gatherings should be postponed or canceled across the state until at least the end of March. ,,,,,,,,,,,Y,
California,2020-03-12,"California issued a new executive order further enhancing California’s ability to respond to the COVID-19 pandemic. The Governor’s order: Waives the one-week waiting period for people who are unemployed and/or disabled as a result of COVID-19; Delays the deadline for state tax filing by 60 days for individuals and businesses unable to file on time based on compliance with public health requirements related to COVID-19 filings; Directs residents to follow public health directives and guidance, including to cancel large non-essential gatherings that do not meet state criteria; Readies the state to commandeer property for temporary residences and medical facilities for quarantining, isolating or treating individuals; Allows local or state legislative bodies to hold meetings via teleconference and to make meetings accessible electronically; and Allows local and state emergency administrators to act quickly to protect public health.   ",Y,,,,,,,,,,,
California,2020-03-13, The Governor released information including support for workers via unemployment insurance (UI) and disability insurance (DI) who have to quarantine or experience reduced hours due to coronavirus.,,,,,,,,,,,Y,
California,2020-03-13," The Governor issued an executive order ensuring California public school districts retain state funding even in the event of physical closure. The order directs school districts to use those state dollars to fund distance learning and high-quality educational opportunities, provide school meals and, as practicable, arrange for the supervision for students during school hours.",,,,,Y,,,,,,Y,
California,2020-03-15," The Governor called for all bars, wineries, nightclubs and brewpubs to close and urged seniors and people with chronic health conditions to isolate themselves at home in a bid to contain the spread of the coronavirus.",Y,,,,,,,,,,,
California,2020-03-15, The Governor announced pilot programs in two counties that will begin mobile testing in the next 24-48 hours.  ,,,,Y,,,,,,,,
California,2020-03-16," The Governor issued an executive order that authorizes local governments to halt evictions for renters and homeowners, slows foreclosures, and protects against utility shutoffs for Californians affected by COVID-19.",,,,,,,,,,,Y,
California,2020-03-16," The Governor issued an executive order directing state health and social services agencies to redirect resources and staff to health care, residential and non-residential facilities licensed by the state, focusing on providing technical assistance and supporting compliance with core health and safety requirements for caregivers and the cared for.",,,,,,,,,,,Y,
California,2020-03-16, The Governor asked the California Legislature for emergency legislative action to combat COVID-19.,,,,,,,,,,,Y,
California,2020-03-17, The Governor signed an executive order to ease restrictions on commercial drivers engaged in support of emergency relief efforts.,,,,,,,,,,,,
California,2020-03-17," The Governor directed the National Guard to be prepared to perform humanitarian missions across the state including food distribution, ensuring resiliency of supply lines, as well as supporting public safety as required.",,,,,,,,,,,Y,National Guard activation
California,2020-03-17, The Governor signed emergency legislation providing up to $1 billion in funding to help California fight COVID-19. The package also provides $100 million in funding for personal protective equipment and cleaning for schools that remain open. It also allows schools to maintain funding despite service disruptions.,,,,,,,,,Y,,,
California,2020-03-18, The Governor authorized $150 million in funding to protect homeless Californians from COVID-19.,,,,,,,,,Y,,,
California,2020-03-18, The Governor issued an executive order to suspend standardized testing for students.,,,,,Y,,,,,,,
California,2020-03-18, The Governor announced the launch of a new COVID-19 public awareness campaign to provide useful information to Californians and inform them of actions they can take to further prevent the spread of the virus.,,,,,,,,,,,Y,
California,2020-03-18," The Governor issued an executive order extending the eligibility period for important safety net services to ensure that California’s most vulnerable residents can continue to receive health care, food assistance and in-home supportive services in a timely manner.",,,,,,,,,,,Y,
California,2020-03-19, The Governor issued an order for all individuals living in the state to stay home or at their place of residence.,Y,,,,,,,,,,,
California,2020-03-20, The Governor announced the deployment of California National Guard members to provide short-term food security to isolated and vulnerable residents.,,,,,,,,,,,Y,
California,2020-03-20, The Governor issued an executive order allowing vote-by-mail in three upcoming special elections and extending deadlines for the presidential primary canvass.,,,,,,,,,,,Y,
California,2020-03-21," The Governor issued an executive order giving the state the ability to increase the health care capacity in clinics, mobile health care units, and adult day health care facilities. The executive order also allows local governments more flexibility to utilize the skills of retired employees and reinforces the importance of the delivery of food, medicine, and emergency supplies.",,,,,,Y,,,,,,
California,2020-03-21, The Governor directed more than $42 million in emergency funding to expand California’s health care infrastructure and secure equipment and services.,,,,,,,,,Y,,,
California,2020-03-22, The Governor announced President Donald Trump has approved California’s Presidential Major Disaster Declaration.,,,,,,,Y,,,,,
California,2020-03-23," The Centers for Medicare & Medicaid Services (CMS) approved California’s request for a Section 1135 Medicaid waiver. The approved waiver enables California to provide flexibilities in Medicaid provider screening and enrollment, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,,,,,,Y,
California,2020-03-24,The Governor issued an executive order directing the California Department of Corrections and Rehabilitation (CDCR) Secretary to temporarily halt the intake and/or transfer of inmates and youth into the state’s 35 prisons and four youth correctional facilities.,,,,,,,,,,,Y,
California,2020-03-24, The California Infrastructure and Development Bank (IBank) offered the following loan programs for small businesses affected by disasters in California: Disaster Relief Loan Guarantee Program which provides loan guarantees of up to $1 million for small business borrowers in declared disaster areas; and Jump Start Loan Program to help low-wealth entrepreneurs in the declared disaster/emergency areas.  ,,,,,,,,,,,Y,
California,2020-03-24, The California Employment Development Department announced employers experiencing a hardship may request up to a 60-day extension to file their state payroll reports and/or deposit state payroll taxes without penalty or interest.  ,,,,,,,,,,,Y,
California,2020-03-24,"The Governor announced a financial relief package with the following provisions: Financial institutions will offer mortgage payment forbearances of up to 90 days to borrowers; Financial institutions will not report derogatory tradelines (e.g., late payments) to credit reporting agencies, consistent with applicable guidelines; For at least 60 days, financial institutions will not initiate foreclosure sales or evictions, consistent with applicable guidelines; and For at least 90 days, financial institutions will waive or refund for select fees and charges.",,,,,,,,,,,Y,
California,2020-03-27," The Governor issued an executive order banning the enforcement of eviction orders for renters through May 31, 2020.",,,,,,,,,,,Y,
California,2020-03-27, The Governor issued an executive order to enhance the authority of California’s Judicial Branch to take emergency action to conduct business and continue to operate.,,,,,,,,,,,Y,
California,2020-03-27, The California Labor & Workforce Development Agency removed waiting periods for unemployment and disability insurance and developed a chart of benefits available for workers affected by COVID-19.,,,,,,,,,,,Y,
California,2020-03-29," The Governor announced leading social media companies, businesses, leaders and individuals from across the state have leapt into action to partner and support the COVID-19 public awareness campaign.",,,,,,,,,,,Y,
California,2020-03-30," The Governor issued an executive order that will provide tax, regulatory and licensing extensions for businesses.",,,,,,,,,,,Y,
California,2020-03-30," The Governor issued an executive order that will temporarily expand the health care workforce and allow health care facilities to staff at least an additional 50,000 hospital beds known as the California Health Corps.",,,,,,,,,,,Y,
