State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes
Georgia,2-Mar-20,"Governor Kemp announced a coronavirus task force to assess the state’s response and procedures for preventing, identifying, and addresses cases of COVID-19.",,,,,,,,,,,Y,
Georgia,12-Mar-20,"Governor Kemp ordered most state employees to work from home, but has not shut down the state capitol. He also initiated a “call to order” for schools and daycare, which allows them to shutdown if local administrators are in agreement to do so.  ",Y,,,,,,,,,,,
Georgia,12-Mar-20,Governor Kemp requested 100 million in state funds to combat COVID-19. ,,,,,,,,,,,Y,
Georgia,13-Mar-20, Governor Kemp issued a public health emergency for the state.,,,,,,,,,,,Y,
Georgia,14-Mar-20," The Governor issued an executive order calling National Guard troops to active duty. The order calls up 2,000 National Guard troops to active duty to assist in response to the coronavirus outbreak in the state.",,,,,,,,,,,Y,National Guard Activation
Georgia,16-Mar-20," The Georgia General Assembly granted the Governor expansive new emergency powers to combat COVID-19, including the ability to: Suspend laws and regulations prescribing state agency procedures; Compel a health care facility to provide services or transfer management to the state; Commandeer or utilize private property; Transfer state treasury funds; and Direct evacuations if necessary.",,,,,,,,,,,Y,
Georgia,17-Mar-20," The Governor ordered all public elementary, secondary, and post-secondary schools to be closed by March 18 through at least March 31.",Y,,,,,,,,,,,
Georgia,17-Mar-20, The Governor in a press conference encouraged Georgians to support local businesses and drive-in/thru restaurants and take out options to bolster the local economy. ,,,,,,,,,,,Y,
Georgia,17-Mar-20, The Governor signed the amended fiscal year 2020 budget  to tap into the state’s rainy-day fund for $100 million to combat COVID-19.,,,,,,,,,,,Y,
Georgia,18-Mar-20, The Governor submitted a letter requesting a U.S. Small Business Administration (SBA) declaration to provide SBA Economic Injury Disaster Loans to the State of Georgia.,,,,,,,,,,,,
Georgia,19-Mar-20, The Governor urged hospitals to cancel elective surgery in order to save life-saving supplies.,,,,,,,,,,,Y,
Georgia,19-Mar-20," The Governor, in consultation with the Georgia Department of Public Health and the Georgia Emergency Management and Homeland Security Agency, asked healthcare providers and the public to conserve COVID-19 test for the most vulnerable populations.",,,,,,,,,,,Y,
Georgia,19-Mar-20, The Governor received an official statewide disaster declaration from the U.S. Small Business Administration.,,,,,,,,,,,Y,
Georgia,20-Mar-20, The Governor announced and named members of the Georgia’s Coronavirus Task Force Committees. The task force is comprised of the following committees: Economic Impact; Primary Care Providers; Emergency Preparedness;  Homeland and Displaced,,,,,,,,,,,Y,
Georgia,20-Mar-20, The Governor issued two executive orders. One executive order authorized the transfer of over 19 million to the Governor’s Emergency Fund to purchase medical supplies and equipment and the other executive order aimed at reducing regulations surrounding COVID-19 response.,,,,,,,,,,,Y,
Georgia,23-Mar-20, The Governor signed an executive order expanding temporary licensing of certain medical professions assisting in the state’s response.,,,,,,,,,,,Y,
Georgia,23-Mar-20," The Governor signed an executive order that limited large gatherings, ordered a “shelter-in-place” for specific populations, and closed bars, nightclubs for 14 days.",Y,,,,,,,,,,,
Georgia,23-Mar-20, The Governor increased the maximum SNAP benefit level per month per household.  ,,,,,,,,,,,Y,
Georgia,24-Mar-20," The Governor called on all Georgia businesses who are able to help the state provide, produce, distribute, or store critical health care items.",,,,,,,,,,,Y,
Georgia,25-Mar-20, The Governor announced that the state’s coronavirus task force will participate in a live town hall.,,,,,,,,,,,Y,
Georgia,25-Mar-20, The Governor signed an executive order that adopted emergency rules and waivers with respect to renewal and suspensions of driver’s licenses and identification cards.,,,,,,,,,,,Y,
Georgia,26-Mar-20, The Governor signed an executive order extending the closure of public schools through April 24.,,,,,,,,,,,Y,
Georgia,26-Mar-20, The Governor signed an executive order to assist the with the state’s response to unemployment insurance claims.,,,,,,,,,,,Y,
Georgia,27-Mar-20, The Governor deployed the national guard medical support team to support the state’s efforts in battling COVID-19.,,,,,,,,,,,Y,
Georgia,27-Mar-20, The President approved Georgia’s disaster declaration and ordered Federal assistance to supplement State and local recovery efforts in Georgia.,,,,,,,,,,,Y,
Georgia,30-Mar-20, The Governor ordered the enforcement of social distancing measures at parks and lakes.,,,,,,,,,,Y,Y,
Georgia,30-Mar-20, The Governor submitted a request to the Centers for Medicare and Medicaid Services (CMS) for an 1135 Medicaid waiver.,,,,,,,,,,,Y,
Georgia,31-Mar-20, The Governor announced a laboratory surge capacity plan to quickly increase the availability of COVID-19 testing. This plan is in partnership with various university and health systems in Georgia.,,,,,,,,,,,Y,
Georgia,1-Apr-20, The Governor announced that the Georgia National Guard will deploy over 100 Guardsmen to any long-term care facility/assisted living facility or nursing home with COVID-19 cases.,,,,,,,,,,,Y,
Georgia,1-Apr-20, The Governor ordered K-12 schools to be closed for the remainder of the school year.,Y,,,,,,,,,,,
Georgia,1-Apr-20, The Governor signed an executive order that authorized the use of real-time audio-visual communication technology to assist in notarizing real estate documents.,,,,,,,,,,,Y,
Georgia,2-Apr-20," The Centers for Medicare & Medicaid Services (CMS) approved Georgia’s request for a Section 1135 Medicaid waiver. The approved waiver enables Georgia to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,,,,,,Y,
Georgia,3-Apr-20," The Governor announced that the University System of Georgia (USG) and the Georgia Emergency Management and Homeland Security Agency, will offer temporary housing to traveling nurses assisting at Phoebe Putney Memorial Hospital in Albany.",,,,,,,,,,,Y,
Georgia,3-Apr-20," The Governor signed an executive order to deputizing sheriffs for enforcement of Executive Order 04.02.20.01 involving businesses, establishments, for-profit and non-profit corporations, and organizations requiring shelter-in-place.",,,,,,,,,,,Y,
Georgia,5-Apr-20, The Governor announced a new Community Outreach Committee as a part of his Coronavirus Task Force Committee.,,,,,,,,,,,Y,
Georgia,5-Apr-20, The Governor issued new guidance to retailers and consumers organization in the state.,,,,,,,,,,,Y,
Georgia,7-Apr-20," The Governor announced that the state would be working with CVS Health to increase access to rapid COVID-19 testing. CVS will be operating drive-thru rapid COVID-19 testing, offered by Abbott Laboratories, at a site on Georgia Tech’s campus. At full capacity, the site will be able to conduct up to 1,000 tests per day.",,,,,,,,,,,Y,
Georgia,8-Apr-20," The Governor announced that he would be extending Georgia’s public health state of emergency through May 13, 2020.",,,,,,,,,,,Y,
Georgia,8-Apr-20, The Governor signed an executive order regarding the safety of employees and residents of nursing homes and long-term care facilities.,,,,,,,,,,,Y,
Georgia,8-Apr-20, The Governor signed an executive order suspending short term rental homes.,,,,,,,,,,,Y,
Georgia,8-Apr-20," The Governor signed an executive order deploying an additional 1,000 national guard soldiers to assist with relief efforts. ",,,,,,,,,,,Y,
Georgia,12-Apr-20, The Governor announced that the state has executed a contract with Pacific Architects and Engineers (PAE) to build a 200-hospital bed alternate care facility at the Georgia World Congress Center (GWCC).,,,,,,,,,,,Y,
Georgia,14-Apr-20," The Governor announced that the Georgia Emergency Management and Homeland Security Agency, in collaboration with the Georgia Department of Public Health, will begin to provide a list of COVID-19 cases in each jurisdiction to 911 centers.",,,,,,,,,,,Y,
Georgia,14-Apr-20," The Governor signed an executive order which designated healthcare institutions and medical facility employees, staff, and contractors as “auxiliary emergency management workers.” This order will limit the civil liability of “auxiliary emergency management workers” engaging in “emergency management activities” while providing patient care if such care results in the death or injury of a patient.",,,,,,,,,,,Y,
Georgia,14-Apr-20, The Governor announced the state’s plans to augment staffing levels for healthcare facilities in various parts of Georgia. The state is working with Jackson Healthcare through its subsidiary Healthcare Workforce Logistics to bring roughly 570 additional healthcare professionals to health systems.,,,,,,,,,,,Y,
Georgia,14-Apr-20, The Governor released a long-term care facility report which tracks the number of COVID-19 cases in these facilities.,,,,,,,,,,,Y,
Georgia,17-Apr-20, The Governor announced the completion of an alternate care facility at the Georgia World Congress Center that can accommodate 200 patients and is operating in cooperation with the Grady Health System.,,,,,,,,,,,Y,
Georgia,17-Apr-20, The Governor urged Congress to pass additional funding for the Paycheck Protection Program (PPP).,,,,,,,,,,,Y,
Georgia,17-Apr-20," The Governor announced that the Georgia Emergency Management and Homeland Security Agency (GEMA/HS) received a donation of 330,000 N-95 masks from Cisco.",,,,,,,,,,,Y,
