State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Other,Notes
Idaho,2020-03-04,Governor Brad Little announced the creation of new Coronavirus Working Group that will support Idaho’s public health agencies and increase coordination and communication.,,,,,,,,,,,
Idaho,2020-03-06,The Idaho Legislature approved Governor Little’s request to transfer $2 million to the Governor’s Emergency Fund to help in Idaho’s response to the coronavirus.,,,,,,,,,,,
Idaho,2020-03-13,Governor Little declared a state of emergency. ,,,,,,,,,,,
Idaho,2020-03-16, The legislature approved the Governor’s request to allocate an additional $1.3 million to ensure essential government services.,,,,,,,,,,,
Idaho,2020-03-16, Idaho Department of Health and Welfare provided care providers payment for eligible children if they remained open during the public health emergency.,,,,,,,,,,,
Idaho,2020-03-18," The Governor announced the State of Idaho is seeking responses from small, non-farm businesses across Idaho whose operations and ability to conduct business have been disrupted by the coronavirus. The information received will determine whether impacted businesses will be eligible for disaster assistance in the form of low interest loans from the U.S. Small Business Administration.",,,,,,,,,,,
Idaho,2020-03-18, The Governor announced that Idaho is adopting the latest guidance from the White House and U.S. Centers for Disease Control and Prevention to slow the spread of coronavirus. This includes recommendations to avoid discretionary travel and social gatherings of 10 or more people.,,,,,,,,,,,
Idaho,2020-03-19, The Governor issued a mandatory isolation order for Blaine County.,,,,,,,,,,,
Idaho,2020-03-23," The Governor signed two proclamations today -  one lifting restrictions in 125 administrative rules to increase healthcare provider capacity and reduce barriers to healthcare access and another extending the state income tax filing and payment deadline to June 15, 2020.",,,,,,,,,,,
Idaho,2020-03-23, The Governor’s request of the U.S. Small Business Administration (SBA) was approved and the SBA is now offering low-interest federal disaster loans for working capital to Idaho small businesses suffering substantial economic injury.,,,,,,,,,,,
Idaho,2020-03-23, The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20.,,,,,,,,,,,
Idaho,2020-03-25,The Governor issued a statewide stay-home order for the state of Idaho.,,,,,,,,,,,
Idaho,2020-03-25," The Governor signed an extreme emergency declaration allowing the state to increase health care capacity, take steps to reduce and slow coronavirus spread, and take rapid steps to improve the condition of unemployed individuals impacted by the pandemic.",,,,,,,,,,,
Idaho,2020-03-27, The Governor indicated that the state will receive close to $1.25 billion in federal aid to offset the impacts of COVID-19 to the state’s economy.,,,,,,,,,,,
Idaho,2020-03-27," The Governor signed multiple executive orders and proclamations that undertake the following actions: Transferring $39.3 million to the Disaster Emergency Account, the maximum allowable amount under the law. Reducing non-COVID-19 related General Fund spending in the fiscal year by 1-percent, which will save approximately $40 million statewide. Helping Idahoans who are temporarily unable to work because of illness, quarantines, layoff or reduction of work related to COVID-19.",,,,,,,,,,,
Idaho,2020-03-30, The Governor announced that there will be no change to the date of Idaho’s primary election date.,,,,,,,,,,,
Idaho,2020-03-31, The Governor stated during a virtual town hall that landlords in Idaho should avoid evicting residents during the outbreak and that he is considering taking action on this issue.,,,,,,,,,,,
Idaho,2020-04-08, The Governor signed an executive order forming a new Coronavirus Financial Advisory Committee to oversee the approximately $1.25 billion in federal funds that Idaho will receive to fight the COVID-19 pandemic.,,,,,,,,,,,
Idaho,2020-04-14, The Governor announced that Idaho lenders and the small business administration are now accepting Paycheck Protection Program applications. ,,,,,,,,,,,
Idaho,2020-04-15, The Governor announced that he would be extending the stay-at-home order until April 30th.,,,,,,,,,,,
Idaho,2020-04-16," The Governor launched Recreate Responsibly Idaho, a new campaign aimed at making outdoor activities safe during the spread of COVID-19.",,,,,,,,,,,
Idaho,2020-04-23," The Governor announced a new plan to reopen Idaho’s economy. The plan will occur in four stages and individuals can track the progress in reopening by visiting the website, rebound.idaho.gov, set up by the governor’s team.",,,,,,,,,,,
Idaho,2020-04-23," The Governor announced the creation of his Economic Recovery Advisory Committee, made up of business leaders across the state. The group will provide recommendations on rebuilding employee and consumer confidence, providing for business stability and growth and eventually, business promotion and attraction.",,,,,,,,,,,
