State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes
Illinois,2-Mar-20,The Illinois Department of Insurance issued a bulletin reinforcing the critical role that health insurance coverage plays during the COVID-19 outbreak. The bulletin encourages providers to be flexible when filling prescriptions in the event of quarantine.,,,,,,,,,,,Y,
Illinois,8-Mar-20,The Illinois Department of Insurance has released an FAQ document about insurance coverage related to COVID-19.,,,,,,,,,,,Y,
Illinois,10-Mar-20,"In a press conference, Governor Pritzker announced that his office would file emergency rules to allow those who are unemployed because they are sick to collect unemployment insurance if permitted under federal law.",,,,,,,,,,,Y,
Illinois,12-Mar-20,Governor Pritzker ordered the closure of public events of more than 1000 people for 30 days. ,Y,,,,,,,,,,,
Illinois,13-Mar-20,"Governor Pritzker announces two-week statewide school closure to minimize covid-19 spread, additional economic measures to reduce burden on Illinois families.",Y,,,,,,,,,,,
Illinois,15-Mar-20, The Governor announced all restaurants and bars will close for on-site consumption starting at 9 PM on Monday March 16.,Y,,,,,,,,,,,
Illinois,15-Mar-20," The Governor, in response to the overcrowding and wait times at Chicago airports, announced that the federal government will be doubling U.S. CBP staff at O’Hare Airport.",,,,,,,,,,,Y,
Illinois,18-Mar-20, The Governor activated the national guard to address the anticipated need for logistical support and medical staff.,,,,,,,,,,,Y,national guard activation
Illinois,18-Mar-20, The Governor stated he is prepared to order travel and quarantine restrictions in Illinois to limit the spread of coronavirus if scientific guidance recommends it.,Y,,,,,,,,,,,
Illinois,19-Mar-20, The Governor signed an executive order to expand telemedicine for individuals with Medicaid and private insurance.,,,,,,,,,,,Y,
Illinois,19-Mar-20," The Governor ordered the Department of Revenue to defer sales tax payments for 24,000 small and medium sized bars and restaurants.",,,,,,,,,,,,
Illinois,20-Mar-20, The Governor issued Executive Order Number 20-10 implementing stay at home and social distancing requirements.,Y,,,,,,,,,Y,,
Illinois,20-Mar-20, The Governor issued an executive order requiring all individuals currently living in the state of Illinois to stay at home.,Y,,,,,,,,,,,
Illinois,21-Mar-20, The Governor announced that healthcare license reinstatement would be processed on an expedited basis and that medical professionals whose licenses are expiring will have their licenses extended through the end of September.,,,,,,,,,,,Y,
