State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Other,Notes
Kansas,2020-03-15,"The Governor recommended K-12 school in Kansas close for the week of March 15. To address the long-term discussion of the status of schools, the Kansas State Board of Education will build a comprehensive plan to address the challenges that schools are facing in light of the COVID-19 pandemic.",,,,,,,,,,,
Kansas,2020-03-12,The Governor declared a state of emergency.,,,,,,,,,,,
Kansas,2020-03-16,"The Governor banned all gatherings larger than 50 people, bringing the entire state in line with restrictions already announced in Wichita and Kansas City.",,,,,,,,,,,
Kansas,2020-03-17,"The Governor ordered, effective Monday, March 23, that state employees state home for two weeks on administrative leave to minimize additional risk of exposure to the virus.",,,,,,,,,,,
Kansas,2020-03-17,The Governor ordered the closure of all K-12 schools in the state until the end of the school year.,,,,,,,,,,,
Kansas,2020-03-17,"The Governor signed an executive order limiting public gathering to no more than 50 people and asked the Kansas Corporation Commission (KCC) to suspend utility disconnects until April 15. This directive covers all electrical, natural gas, water and telecommunications utilities under the KCC’s jurisdiction.",,,,,,,,,,,
Kansas,2020-03-18,The Governor announced Executive Order #20-06 to temporarily prohibit evictions and foreclosures across the state.,,,,,,,,,,,
Kansas,2020-03-19,"The Governor signed three bills: Senate Bill 27 extends unemployment eligibility for workers who filed after January 1, 2020. Senate Bill 142 expands education waiver authorities during disaster emergencies. Senate Bill 102 expands authorities of the judicial branch during disasters.",,,,,,,,,,,
Kansas,2020-03-20,"The Department of Commerce, identified $6.3 million in Community Development Block Grant funds that currently reside with 36 Kansas communities and who use them for revolving loan programs for small businesses.  The Department is providing environmental certifications within 24 hours and the public notice period has also been shortened to 24 hours so that communities can issue working capital loans for small businesses in as little as two days.",,,,,,,,,,,
Kansas,2020-03-20,"The Governor announced that under the state’s disaster declaration Kansas has applied for, and expects to receive, disaster assistance loans from the U.S. Small Business Administration (SBA) to supplement small businesses.",,,,,,,,,,,
Kansas,2020-03-20,"The Governor announced the allocation of 5 million of state funds to establish the Hospitality Industry Relief Emergency (HIRE) Fund to provide short-term, zero-interest loans for Kansas’ hospitality sector",,,,,,,,,,,
Kansas,2020-03-22,The Governor signed an executive order temporarily expanding telemedicine and addressing certain licensing requirements.,,,,,,,,,,,
Kansas,2020-03-22,The Governor signed an executive order for conditional and temporary relief from certain motor carrier rules and regulations.,,,,,,,,,,,
Kansas,2020-03-23,The Governor signed an executive order limiting mass gathering to 10 people.,,,,,,,,,,,
Kansas,2020-03-23,"The Governor signed an executive order preventing all Kansas waste removal providers, trash and recycling, from cancelling or suspending commercial or residential waste or recycling removal services for Kansas residences and businesses as a result of nonpayment due to significant loss of income or increase in expenses resulting from the COVID-19 pandemic.",,,,,,,,,,,
