State,Date,Action,Restrict/Close,Opening (State),Opening (County),Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Notes
Louisiana,2-Mar-20,Gov. John Bel Edwards announced the creation of a COVID-19 Task Force.,,,,,,,,,,,Y,
Louisiana,11-Mar-20,Governor Edwards declared a public health emergency to allow state agencies to thoroughly prepare for any eventuality related to public health needs and deploy additional resources to assist local authorities. The declaration also addresses efforts to prevent price gouging and limits state employee travel. ,,,,,,,,,,,Y,
Louisiana,13-Mar-20,"The Governor signed an executive order postponing elections in Louisiana, including the Louisiana Presidential Primary.",,,,,,,,,,,Y,
Louisiana,13-Mar-20,The Governor signed a proclamation that immediately halts any gathering of more than 250 people until April 13 and closes all K-12 public schools statewide effective March 16 until April 13.,Y,,,,,,,,,,,
Louisiana,"March 17,2020","The Governor ordered bars, gyms and movie theaters to close and limited restaurants to delivery and takeout.",Y,,,,,,,,,,,
Louisiana,17-Mar-20,"The Governor announced measures to reduce the spread of COVID-19, including further limiting the size of gatherings to fewer than 50 people, closing casinos, bars and movie theaters and limiting restaurants to delivery, take out and drive-through orders only.",Y,,,,,,,,,,,
Louisiana,18-Mar-20,The Governor requested the Small Business Administration provide Economic Injury Disaster Loans for Orleans and Jefferson parishes.,,,,,,,,,,,Y,
Louisiana,18-Mar-20,The Governor announced that shelter in place may be necessary for some Louisiana localities to stem the spread of COVID-19.,Y,,,,,,,,,,,
Louisiana,18-Mar-20,The Governor suspended foreclosures and evictions in the state.,,,,,,,,,,,Y,
Louisiana,18-Mar-20,"The Governor announced LA Wallet, the state of Louisiana’s official digital driver’s license, will be made available to residents free of charge. The all-digital identification and driver’s license app will temporarily suspend fees.",,,,,,,,,,,Y,
Louisiana,18-Mar-20,"The Governor sent a letter to President Donald Trump and Vice President Mike Pence requesting temporary changes to several federal programs in response to the COVID-19 pandemic, including:  An expansion of the Department of Agriculture’s Food and Nutrition Service hot food waiver to allow the purchase of hot food in Louisiana restaurants through the Supplemental Nutrition Assistance Program; Statutory and administrative changes related to Community Development Block Grants for Disaster Recovery; Recommendations for FEMA’s Individual Assistance Program and Public Assistance program. ",,,,,,,,,,,Y,
Louisiana,19-Mar-20,The Governor warned President Donald Trump that his state could exceed capacity to treat patients in one week.,,,,,,,,,,,Y,
Louisiana,19-Mar-20,The Governor updated his public health emergency declaration to provide waivers for education requirements and to speed up testing.,,,,,,,Y,,,,Y,
Louisiana,19-Mar-20,The Governor announced that all Louisiana parishes would be eligible for small business disaster aid.,,,,,,,,,,,Y,
Louisiana,19-Mar-20,"The Governor signed and updated to his Public Health Emergency declaration, which waives some education requirements in the law and also suspends some laboratory requirements to speed the process of coronavirus testing.",,,,,,,Y,,,,Y,
Louisiana,20-Mar-20,The Governor signed and updated the Public Health Emergency.  ,,,,,,,Y,,,,Y,
Louisiana,22-Mar-20,The Governor issued a statewide Stay at Home Order.,Y,,,,,,,,,,,stay at home
Louisiana,23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Louisiana’s request for a Section 1135 Medicaid waiver. The approved waiver enables Louisiana to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,,,,,,Y,
Louisiana,24-Mar-20,The Governor requested a Major Disaster Declaration for the State of Louisiana as the number of cases of COVID-19 grow. The declaration would allow the federal government to provide additional support for state and local agencies in dealing with this growing public health threat.,,,,,,,Y,,,,Y,
Louisiana,26-Mar-20,"The Governor signed a proclamation outlining additional response measures in Louisiana, including provisions related to first responders, law enforcement and granting emergency authority to the insurance commissioner.",,,,,,,,,,,Y,
Louisiana,27-Mar-20,"The Governor announced the opening of a Louisiana Economic Development help desk, providing email and hotline support for Louisiana businesses impacted by COVID-19.",,,,,,,,,,,Y,
Louisiana,1-Apr-20,"The Governor announced  a new Loan Portfolio Guaranty Program, which will offer loans of up to $100,000 to Louisiana small businesses of fewer than 100 employees that are impacted by the COVID-19 crisis.",,,,,,,,,,,Y,
Louisiana,2-Apr-20,"The Governor announced eased eligibility requirements for the Taylor Opportunity Program for Students, which provides tuition assistance for Louisiana residents.  ",,,,,,,,,,,Y,
Louisiana,2-Apr-20,The Governor announced a new text alert system that will provide timely COVID-19 updates and other critical guidance directly from the governor’s office to Louisiana residents.,,,,,,,,,,,Y,
Louisiana,2-Apr-20,The Governor formally extended his Stay at Home order until April 30 which extends the length of time that schools and some businesses are closed and continues limits on the size of gatherings.,Y,,,,,,,,,,,
Louisiana,7-Apr-20,"The Governor signed an executive order related to unemployment and other issues related to the Louisiana Workforce Commission, as it seeks to manage the influx in unemployment claims. ",,,,,,,,,,,Y,
Louisiana,9-Apr-20,The Governor’s response fund approved the first grant from the Governor’s COVID-19 Response Fund which will feed children in southern Louisiana. ,,,,,,,,,,,Y,
Louisiana,10-Apr-20,The Governor announced the creation of a Healthy Equity Task Force which will look at how health inequities are affecting communities that are most impacted by the coronavirus.,,,,,,,,,,,Y,
Louisiana,14-Apr-20,The Governor postponed Louisiana’s election again and is now rescheduled for July 11th. ,,,,,,,,,,,Y,
Louisiana,15-Apr-20,"The Governor signed a proclamation closing K-12 public schools in Louisiana to students until the end of the current school year, with students getting their education via remote learning. ",Y,,,,Y,,,,,,,
Louisiana,16-Apr-20,"The Governor announced the creation of Resilient Louisiana, a state commission charged with examining Louisiana’s economy amid the COVID-19 pandemic and making recommendations for more resilient business-related activities and commerce in the coming months.",,,,,,,,,,,Y,
Louisiana,20-Apr-20,The Louisiana Department of Health issued a revised order for medical and surgical procedures. The revised guidelines go into effect April 27th and state that medical and surgical procedures shall only be performed under the following conditions: To treat an emergency medical condition; To avoid further harms from an underlying condition or disease; and To treat time sensitive conditions.,Y,,,,,Y,,,,,,
