date,policy
"March 3, 2020",The state is now allowing coronavirus testing at theNC State Laboratory of Public Health. These tests are coordinated through the Division of PublicHealthsCommunicable Disease Branch.
"March 10, 2020","Governor Cooperdeclaredastate of emergency, which actives the Emergency Operation Center, andallows for control of cost burdens,protects consumers fromprice gouging,and makes it easier to purchase necessary medical supplies.Theexecutive order also makes other recommendations around telework schedules, social gatherings, school closures, and high-risk populations, suchas those in adult living facilities."
"March 12, 2020",Governor Cooperprovidedguidanceto cancel or postpone gatherings over 100 and to telework if possible.
"March 14, 2020",The Governor issued an executive order to close all K-12 public schools for a minimum of two weeks. The executive order also prohibits mass gatherings of more than 100 people. 
"March 16, 2020",- The Governor requested that the Small Business Administration grant a disaster declaration for business owners in the state that are facing economic losses due to COVID-19.
"March 17, 2020"," The Governor signed Executive Order 118 which closes sit down services at restaurants and bars, and makes state unemployment benefits more widely available."
"March 19, 2020", The U.S. Small Business Administration granted the Governors request for a disaster declaration for small businesses to apply for a low interest disaster loan.
"March 20, 2020", The Governor sent a letter to the President requesting the approval of key waivers that will allow the state to adapt federal food and health care programs to better serve North Carolinians.
"March 20, 2020"," The Governor shared a list of funding priorities with the North Carolina Congressional Delegation to help people afford health care, childcare and education needs, while preparing the state for a strong economic recovery."
"March 20, 2020"," The North Carolina Department of Revenue announced an extension of the April 15 tax filing deadline to July 15 for individual, corporate, and franchise taxes."
"March 21, 2020"," The Governor issued an executive order that waives restrictions to increase access to caregivers to provide flexible child care and elder care, provides ways for the Division of Motor Vehicles to enact social distancing protections, and waives some registration requirements to ensure resources can be delivered by truck throughout the state."
"March 23, 2020"," The Governor issued Executive Order 120, which enforces tighter limits on gatherings (50-plus), extends school closures statewide to May 15, closes some businesses that require close social interaction, and limits visitors to long-term care centers."
"March 23, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved North Carolinas request for a Section 1135 Medicaid waiver. The approved waiver enables North Carolina to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines."
"March 24, 2020"," The Governor established a $50 million flexible allotment for public schools to implement remote learning strategies, school nutrition programs, cleaning and sanitizing schools and buses, acquiring protective equipment, and providing child care."
"March 24, 2020"," The Governor requested a major disaster declaration, asking the federal government to provide individual assistance to those affected, including crisis counseling, disaster unemployment assistance and Small Business Administration assistance, among other programs."
"March 24, 2020"," Golden Leaf Foundation announced $15 million in funding for the states COVID-19 Rapid Recovery Lending program which supports North Carolina small businesses and family farms as they recover from the economic impact of COVID-19. The loan helps small businesses bridge the gap until federal loans, insurance payouts, and other relief funds are approved, or businesses have time to recover."
"March 25, 2020",The North CarolinaDepartment of Health and Human Services issued emergency child care operations and finance guidelines requiring emergency centers to register with the state and offering bonus pay to child care teachers.
"March 26, 2020"," The Governor announced the state received a federal disaster declaration, which allows local governments, state agencies and eligible non-profits to be reimbursed for costs incurred by response efforts."
"March 27, 2020", The Governor announced that parents who need food assistance for their children can text a hotline to locate nearby meal sites.
