date,policy
"March 2, 2020",Governor Newsom isrequestingemergency action fromthelegislature to make available up to $20 million for the COVID-19 response.
"March 3, 2020","Californias Public Health Department announced that it received federal approval to use some of its emergency planning reserves of 21 million N95 filtering facepiece masks in certain low-risk situations to relieve pressure on the supply chain. March 4, 2020Governor Newsom declared a state of emergency to help state prepare for broader spread of COVID-19."
"March 5, 2020","March 5,2020 California Employee Development Departmentannouncedsupport services to individuals affected by COVID-19 in California."
"March 5, 2020","March 5,2020 the California Department of Insuranceissuedsimilar direction providing cost free medically necessary testing for an additional 2 million Californians."
"March 7, 2020","March 7,2020 California officialsissuedupdated guidance to schools, colleges and universities, event organizers and public health officials as they plan forfurtherspread of COVID-19."
"March 11, 2020",Governor Newsom announced that gatherings larger than 250 people should be cancelled or postponed.
"March 11, 2020", California public health officialsissuedanupdatedpolicyon gatherings to protect public health and slow the spread of COVID-19. The states public health expertshave determined that gatherings should be postponed or canceled across the state until at least the end of March.
"March 12, 2020"," Californiaissueda new executive order further enhancing Californias ability to respond to the COVID-19 pandemic. The Governors order:

Waives the one-week waiting period for people who are unemployed and/or disabled as a result of COVID-19;
Delays the deadline for state tax filing by 60 days for individuals and businesses unable to file on time based on compliance with public health requirements related to COVID-19filings;
Directs residents to follow public health directives and guidance, including to cancel large non-essential gatherings that do not meet statecriteria;
Readies the state to commandeer property for temporary residences and medical facilities for quarantining, isolating or treatingindividuals;
Allows local or state legislative bodies to hold meetings via teleconference and to make meetings accessible electronically; and
Allows local and state emergency administrators to act quickly to protect public health. 

"
"March 13, 2020", The Governor releasedinformationincluding support for workers via unemployment insurance (UI) and disability insurance (DI) whohave toquarantine or experience reduced hours due to coronavirus.
"March 13, 2020"," The Governor issued an executive order ensuring California public school districts retain state funding even in the event of physical closure. The order directs school districts to use those state dollars to fund distance learning and high-quality educational opportunities, provide school meals and, as practicable, arrange for the supervision for students during school hours."
"March 15, 2020"," The Governor called for all bars, wineries, nightclubs and brewpubs to close and urged seniors and people with chronic health conditions to isolate themselves at home in a bid to contain the spread of the coronavirus."
"March 15, 2020",The Governor announced pilot programs in two counties that will begin mobile testing in the next 24-48 hours.
"March 16, 2020"," The Governor issued an executive order that authorizes local governments to halt evictions for renters and homeowners, slows foreclosures, and protects against utility shutoffs for Californians affected by COVID-19."
"March 16, 2020"," The Governor issued an executive order directing state health and social services agencies to redirect resources and staff to health care, residential and non-residential facilities licensed by the state, focusing on providing technical assistance and supporting compliance with core health and safety requirements for caregivers and the cared for."
"March 16, 2020", The Governor asked the California Legislature for emergency legislative action to combat COVID-19.
"March 17, 2020", The Governor signed an executive order to ease restrictions on commercial drivers engaged in support of emergency relief efforts.
"March 17, 2020"," The Governor directed the National Guard to be prepared to perform humanitarian missions across the state including food distribution, ensuring resiliency of supply lines, as well as supporting public safety as required."
"March 17, 2020", The Governor signed emergency legislation providing up to $1 billion in funding to help California fight COVID-19. The package also provides $100 million in funding for personal protective equipment and cleaning for schools that remain open. It also allows schools to maintain funding despite service disruptions.
"March 18, 2020", The Governor authorized $150 million in funding to protect homeless Californians from COVID-19.
"March 18, 2020", The Governor issued an executive order to suspend standardized testing for students.
"March 18, 2020", The Governor announced the launch of a new COVID-19 public awareness campaign to provide useful information to Californians and inform them of actions they can take to further prevent the spread of the virus.
"March 18, 2020"," The Governor issued an executive order extending the eligibility period for important safety net services to ensure that Californias most vulnerable residents can continue to receive health care, food assistance and in-home supportive services in a timely manner."
"March 19, 2020", The Governor issued an order for all individuals living in the state to stay home or at their place of residence.
"March 20, 2020", The Governor announced the deployment of California National Guard members to provide short-term food security to isolated and vulnerable residents.
"March 20, 2020", The Governor issued an executive order allowing vote-by-mail in three upcoming special elections and extending deadlines for the presidential primary canvass.
"March 21, 2020"," The Governor issued an executive order giving the state the ability to increase the health care capacity in clinics, mobile health care units, and adult day health care facilities. The executive order also allows local governments more flexibility to utilize the skills of retired employees and reinforces the importance of the delivery of food, medicine, and emergency supplies."
"March 21, 2020", The Governor directed more than $42 million in emergency funding to expand Californias health care infrastructure and secure equipment and services.
"March 22, 2020", The Governor announced President Donald Trump has approved Californias Presidential Major Disaster Declaration.
"March 23, 2020"," The Centers for Medicare & Medicaid Services (CMS) approved Californias request for a Section 1135 Medicaid waiver. The approved waiver enables California to provide flexibilities in Medicaid provider screening and enrollment, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines."
"March 24, 2020",The Governor issued an executive order directing the California Department of Corrections and Rehabilitation (CDCR) Secretary to temporarily halt the intake and/or transfer of inmates and youth into the states 35 prisons and four youth correctional facilities.
"March 24, 2020"," The California Infrastructure and Development Bank (IBank) offered the following loan programs for small businesses affected by disasters in California:

Disaster Relief Loan Guarantee Program which provides loan guarantees of up to $1 million for small business borrowers in declared disaster areas; and


Jump Start Loan Program to help low-wealth entrepreneurs in the declared disaster/emergency areas.

"
"March 24, 2020", The California Employment Development Department announced employers experiencing a hardship may request up to a 60-day extension to file their state payroll reports and/or deposit state payroll taxes without penalty or interest.
"March 24, 2020","The Governor announced a financial relief package with the following provisions:

Financial institutions will offer mortgage payment forbearances of up to 90 days to borrowers;


Financial institutions will not report derogatory tradelines (e.g., late payments) to credit reporting agencies, consistent with applicable guidelines;


For at least 60 days, financial institutions will not initiate foreclosure sales or evictions, consistent with applicable guidelines; and


For at least 90 days, financial institutions will waive or refund for select fees and charges.

"
"March 24, 2020","The Governor announced a financial relief package with the following provisions:

Financial institutions will offer mortgage payment forbearances of up to 90 days to borrowers;


Financial institutions will not report derogatory tradelines (e.g., late payments) to credit reporting agencies, consistent with applicable guidelines;


For at least 60 days, financial institutions will not initiate foreclosure sales or evictions, consistent with applicable guidelines; and


For at least 90 days, financial institutions will waive or refund for select fees and charges.

"
"March 27, 2020"," The Governor issued an executive order banning the enforcement of eviction orders for renters through May 31, 2020."
"March 27, 2020", The Governor issued an executive order to enhance the authority of Californias Judicial Branch to take emergency action to conduct business and continue to operate.
"March 27 – The California Labor & Workforce Development Agency removed waiting periods for unemployment and disability insurance and developed a chart of benefits available for workers affected by COVID, 2020",March 27  The California Labor & Workforce Development Agency removed waiting periods for unemployment and disability insurance and developed a chart of benefits available for workers affected by COVID-19. 
"March 29, 2020"," The Governor announced leading social media companies, businesses, leaders and individuals from across the state have leapt into action to partner and support the COVID-19 public awareness campaign."
"March 30, 2020"," The Governor issued an executive order that will provide tax, regulatory and licensing extensions for businesses."
"March 30, 2020"," The Governor issued an executive order that will temporarily expand the health care workforce and allow health care facilities to staff at least an additional 50,000 hospital beds known as the California Health Corps."
"March 31, 2020", The Governor announced the Stay Home. Save Lives. Check In. campaign urging Californians to help combat social isolation and food insecurity among Californians who are over the age of 65.
"April 1, 2020", The Governor issued an executive order that allows for the immediate use of funds from the states Disaster Response-Emergency Operations Account.
"April 1, 2020"," The Governor announced an agreement between teachers, classified employees, school boards, superintendents, and principals to work together to provide distance learning to students as a result of school closures."
"April 2, 2020", The Governor issued an executive order that will restrict water shutoffs to homes and small businesses.
"April 2, 2020"," The Governor announced that the state is allocating $50 million to the California Infrastructure and Economic Development Bank for loan guarantees to small businesses to help eliminate barriers to capital for individuals who do not qualify for federal funds, including low wealth and undocumented immigrant communities."
"April 2, 2020","April 2,2020  In response to a large rise in unemployment claims, the Governor announced that small businesses will be able to defer up to $50,000 in owed sales tax for up to one year to help stabilize them financially until federal aid is available."
"April 3, 2020", The Governor issued an executive order to expand protections to medical providers as they amplify the use of video chats and similar applications to provide routine and non-emergency medical appointments.
"April 3, 2020", The Governor issued an executive order expanding consumer protection against price gouging.
"April 3, 2020", The Governor announced that California has become the first state in the nation to secure FEMA approval to provide safe isolation capacity for tens of thousands of people experiencing homelessness.
"April 3, 2020"," The Governor announced the launch of Project Roomkey, a first-in-the-nation initiative to secure hotel and motel rooms to protect people experiencing homelessness."
"April 4, 2020", The Governor issued an executive order that will facilitate child care for children of essential critical infrastructure workers by allowing the California Department of Education and California Department of Social Services the flexibility to waive certain programmatic and administrative requirements.
"April 4, 2020"," The Governor announced the launch of a new website, covid19supplies.ca.gov, to get critical medical supplies.The Governor also announced the COVID-19 Testing Task Force, a public-private collaboration that will work with stakeholders across the state to quickly and significantly boost Californias testing capacity. "
"April 6, 2020",      The Governor announced that California will loan 500      state-owned ventilators to the Strategic National Stockpile inventory.
"April 7, 2020", The Governor issued an executive order that provides additional support for older adults and vulnerable young children by allowing for a 60-day waiver for In-Home Supportive Services (IHSS) program caseworkers to continue their work.
"April 7, 2020", The Governor issued an executive order to help the state procure necessary medical supplies.
"April 9, 2020", The Governor issued an executive order to address upcoming local elections requiring all mail-in ballot elections.
"April 9, 2020"," The Governor announced California workers who are receiving unemployment benefits will begin receiving an extra $600 on top of their weekly amount, as part of the new Pandemic Additional Compensation (PAC) initiated by the CARES Act."
"April 9, 2020"," The Governor announced a new program to provide doctors, nurses and other critical front-line health care workers access to no-cost or low-cost hotel rooms."
"April 9, 2020"," The Governor announced a partnership with United Airlines, which will provide free, round-trip flights for volunteer medical professionals from across California and the country who join the states health care workforce."
"April 10, 2020"," The Governor announced the release of $100 million to support child care services, and to support child care providers who are stepping up to serve essential infrastructure workers and vulnerable populations and their children during this critical time."
"April 10, 2020", The Governor announced 600 nurses have been retrained to support facility compliance with COVID-19 guidance and to assist facilities with positive cases.The state will call each facility daily to understand needs and get early warning of any symptomatic patients as well.
"April 13, 2020"," The Governor announced $42 million in new investments to protect younger residents who are at heightened risk for abuse and mistreatment. The Governor is making more than $27 million available to help families stay together, nearly $7 million to support social workers and $3 million to support Family Resource Centers."
