,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 10, 2020",Governor DeWineissueda recommendationon limiting large indoor gatherings.,Y,,,,,,,,,,
1,"March 12, 2020","Governor DeWine announced that all schools will be closed for three weeks beginning on Monday, March 16.",Y,,,,Y,,,,,,
2,"March 15, 2020","- The Governor ordered all Ohio bars and restaurants to close, with only take-out and delivery options available.",Y,,,,,,,,,,
3,"March 16, 2020",- The Governor issued an order regarding the closure of all polling locations on March 17.,Y,,,,,,,,,,
4,"March 17, 2020", The Ohio Department of Job and Family Services implemented emergency measures to ensure communities have access to childcare.,,,,,,,,,,,Y
5,"March 18, 2020"," The Governor authorized the Ohio National Guard to assist state and local governments execute laws and respond to state emergencies, such as distributing food and supplies.",,,,,,,,,,,Y
6,"March 19, 2020", The Governor issued an executive order expanding access to health care services through telemedicine for Medicaid beneficiaries.,,,,,,Y,,,,,
7,"March 20, 2020", The Governor ordered all senior living centers to stop providing adult day care services in congregate care settings.,Y,,,,,,,,,,
8,"March 20, 2020", The Ohio Department of Insurance issued an order for insurers to allow employers to offer employees a grace period (up to 60 calendar days from original premium due date) for insurance premiums.,,,,,,,,,,,Y
9,"March 20, 2020"," The Governor announced that adult day services for individuals with developmental disabilities will be ordered to close, with the exceptions for groups of less than 10.",Y,,,,,,,,,,
10,"March 21, 2020", The Ohio Bureau of Workers Compensation announced that insurance premium installment payments due for March through May for the current policy year may be deferred until June 1.,,,,,,,,,,,Y
11,"March 21, 2020", The Ohio Department of Transportation announced the agency will issue waivers on a rolling basis for haulers carrying heavy or oversized loads of essential goods.,,,,,,,,,,,Y
12,"March 21, 2020", The Ohio Department of Health issued a Directors Order closing all internet cafes.,Y,,,,,,,,,,
13,"March 22, 2020"," The Ohio Department of Health issued a Stay at Home order which directs citizens of Ohio to stay at home or place of residence, ceases all non-essential business and operations, prohibits public and private gatherings, and prohibits some travel, among other things.",Y,,,,,,,,,,
14,"March 22, 2020", The Ohio Board of Pharmacy passed a rule relating to prescribing chloroquine and hydroxychloroquine for COVID-19 treatment.,,,,,,Y,,,,,Y
15,"March 23, 2020", The Governor announced that any child care facility that remains open to care for children under a Temporary Pandemic Child Care license must give first priority to front line workers.,,,,,,,,,,,Y
16,"March 26, 2020"," The Governor announced an expanded data dashboard that displays the most recent preliminary data reported to the Ohio Department of Health about COVID-19 cases, hospitalizations, and deaths in Ohio by selected demographics and county of residence.",,,,,,,,,,,Y
17,"March 27, 2020"," The Governor signed House Bill 197 which provides emergency relief to Ohioans. Specifically, the bill, among other things:

Waives state testing requirements for school children this year;
Extends professional licenses to those who cannot get them renewed;
Extends the income tax deadline to July 15, 2020; and,
Provides funding for small businesses, such as day cares and services for the disabled.
March 28, 2020  The Governor made an urgent plea to the U.S. Food and Drug Administration to issue an emergency waiver for the use of new technology that could sterilize up to 160,000 used N95 personal protective face masks per day in the state. Additionally, the Governor issued a plea to LabCorp and Quest Diagnostics to provide COVID-19 testing results to the Ohio Department of Health immediately.

",,,,,Y,,,,,,Y
18,"March 28, 2020"," The Governor made an urgent plea to the U.S. Food and Drug Administration to issue an emergency waiver for the use of new technology that could sterilize up to 160,000 used N95 personal protective face masks per day in the state. Additionally, the Governor issued a plea to LabCorp and Quest Diagnostics to provide COVID-19 testing results to the Ohio Department of Health immediately.",,,,,,Y,,,,,
19,"March 28, 2020"," The Governor made an urgent plea to the U.S. Food and Drug Administration to issue an emergency waiver for the use of new technology that could sterilize up to 160,000 used N95 personal protective face masks per day in the state. Additionally, the Governor issued a plea to LabCorp and Quest Diagnostics to provide COVID-19 testing results to the Ohio Department of Health immediately.",Y,,,,Y,Y,,,,,Y
20,"March 30, 2020"," The Governor made several announcements related to the states ongoing pandemic response:

School closures have been extended through the end of April;


The formation of a Homelessness Team to help people who may rely on homeless shelters, domestic shelters, group homes, and recovery housing;


A forthcoming business advisory group to provide recommendations to mitigate the negative economic impact in Ohio; and,


Inmates incarcerated in state correctional facilities have begun making gowns, cough masks, hand sanitizer, and face shields.

",,,,,,Y,,,,,
21,"March 31, 2020"," The Department of Health issued a Directors Order to require any entity involved in the supply chain, from creation through end use, to report and disclose their inventory of ventilators no later than 5:00PM ET each Wednesday.",,,,,,,,,,,Y
22,"April 1, 2020", The Governor issued Executive Order 2020-08D requesting landlords suspend rent payments for small business commercial tenants and provide a moratorium of evictions of small business commercial tenants for a period of 90 days.,,,,,,Y,,,,,
23,"April 1, 2020"," The Governor announced the establishment of a public-private partnership, the Ohio Manufacturing Alliance to Fight COVID-19, that will coordinate efforts to provide healthcare workers and first responders with personal protective equipment.",,,,Y,,,,,,,
