,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 1, 2020","Governor DeSantis signed anexecutive orderdirecting the state health officer to declare a public health emergency and take any actions needed to protect the public health.

The order directs the Florida Department of Health to actively monitor all persons meeting the CDC definition of a Person Under Investigation (PUI) for at least 14 days or until the PUI tests negative for COVID-19. Active monitoring will include at least: a) a risk assessment within 24 hours of when the individual meets the criteria for a PUI and b) twice daily temperature checks.
The executive order alsodesignated the Florida Department of Health as the lead agency to coordinate emergency response activities.

",,,,,,,,,,,Y
1,"March 9, 2020","GovernorDeSantis declared a state of emergencyallowing nurses and doctors from other states to work in Florida and pharmacists to issue emergency 30-day prescriptions. The order also allows officials to activate the Florida National Guard, purchase medical supplies more swiftly, and establish field hospitals.",,,,,,Y,Y,,,,Y
2,"March 12, 2020",Floridaactivatedof the Business Damage Assessment survey to assess the impact of COVID-19 on Floridas local business operations.,,,,,,,,,,,Y
3,"March 16, 2020"," The Governor activated the Florida Small Business Emergency Bridge Loan Program to support small businesses impacted by COVID-19. The bridge loan program, managed by the Florida Department of Economic Opportunity, will provide short-term, interest-free loans to small businesses that experienced economic injury from COVID-19.",,,,,,,,,,,Y
4,"March 17, 2020", The Florida Division of Emergency Management under direction of the Governor deployed three field hospitals across the state to help combat the spread of COVID-19.,,,,,,,,,,,Y
5,"March 17, 2020",2  The Governor ordered bars and nightclubs in Florida to close for 30 days and directed restaurants to operate at 50% of their maximum capacity to allow for social distancing.,Y,,,,,,,,,,
6,"March 17, 2020"," Florida state school officials closed K-12 public schools until April 15 and announced the suspension of mass campus gatherings, including sports events.",Y,,,,,,,,,,
7,"March 17 – Florida received federal approval for a Section 1135 waiver to provide more flexibility for the health care delivery system to respond to increased cases of COVID, 2020","March17 Florida receivedfederalapprovalfora Section 1135 waiver to provide more flexibility for the health care delivery system to respond to increased cases of COVID-19. The waiver allows Florida to provide flexibilities in Medicaid provider screening, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow the provision of facility services in alternative settings, and extend fair hearing timelines.",,,,,,,,,,,Y
8,"March 23, 2020"," The Governor issued an executive order requiring those who travel to Florida from New York, New Jersey and Connecticut to self-isolate for 14 days upon entering the state.",Y,,,,,,,Y,,,
9,"March 23, 2020", The Governor sent a letter to President Donald Trump formally requesting that he declare a Major Disaster.,,,,,,,,,,,Y
10,"March 25, 2020"," The Governor announced President Donald J. Trump has declared a major disaster exists in the State of Florida and ordered federal assistance to supplement the state, tribal, and local recovery efforts.",,,,,,,,,,,Y
11,"March 24, 2020", The Governor directed the Department of Children and Families to waive work requirements to allow more participation in Supplemental Nutrition Assistance Program (SNAP) & Temporary Assistance for Needy Families (TANF).,,,,,,,,,,,Y
12,"March 27, 2020", The Governor issued an executive order expanding a previous directive that airline travelers from the New York City area self-quarantine for 14 days to include people from Louisiana who enter the state on Interstate 10.,Y,,,,,,,Y,,,
13,"March 27, 2020", The Governor announced he would suspend vacation rentals for two weeks.,Y,,,,,,,,,,
14,"March 30, 2020"," The Governor announced that he is issuing a stay-at-home order for the southern portion of the state including Broward, Miami-Dade, Palm Beach and Monroe counties through the middle of May.",Y,,,,,,,,,,
15,"April 1, 2020"," The Governor issued a statewide stay-at-home that will go into effect Thursday, April 2 at midnight and last for at least 30 days.",Y,,,,,,,,,,
16,"April 2, 2020", The Governor issued an executive order to override restrictions put in place by local governments from shuttering churches and synagogues during the outbreak.,Y,,,,,,,,,,
17,"April 3, 2020"," The Governor ordered all foreclosures and residential evictions in the state halted for 45 days. In addition, blocking the evictions of Florida renters for nonpayment of rent.",,,,,,,,,,,Y
18,"April 6, 2020", The Governor issued an executive order on documentary      stamps for SBA Loans suspending the assessment and collection of taxes.,,,,,,,,,,,Y
19,"April 7, 2020", The Governor announced Project: VITAL to provide elders in assisted living facilities and nursing homes with tablets to safely connect them with their loved ones. ,,,,,,,,,,,Y
20,"April 2, 2020", The state chief financial officer and the Governor announced that first responders who are exposed to COVID-19 on the job will be eligible for workers compensation.,,,,,,,,,,,Y
21,"April 10, 2020"," The Governor issued executive order, extending his suspension of vacations rentals in the state to April 30, 2020.",,,,,,,,,,,Y
22,"April 11, 2020"," The Governor announced more than 32,000 laptop computers are being distributed to 34 mostly small, rural school districts throughout Florida and the Florida A&M University Developmental Research School to support distance learning.",,,,,,,,,,,Y
23,"April 14, 2020"," The Governor announced an stage two task force to explore what stage two of the states coronavirus response will be, including reopening of the states schools, restaurants and other businesses will look like after weeks of lockdown.",,,,,,,,,,,Y
