,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 4, 2020",Governor Reeves established the Mississippi Coronavirus (COVID-19) Preparedness and Response Planning Steering Committee to coordinate efforts across state and local governments.,,,,,,,,,,,Y
1,"March 14, 2020",Governor Reeves declared a state of emergency,,,,,,,Y,,,,
2,"March 16, 2020"," The Governor signed two executive orders which:

Active the National Guard to support mobile testing units;


Require agencies to keep essential employees and send non-essential employees home;


Requests schools develop distance learning protocols and continue providing free or reduced lunches; and


Provides paid leave for state and local employees who miss work due to COVID-19.

",Y,,,Y,Y,,,,,,Y
3,"March 19, 2020", The Governor announced the closing of all public schools through April 17 as well as end-of-year tests and accountability measures.,Y,,,,Y,,,,,,
4,"March 20, 2020", The Governor activated the National Guard.,,,,,,,,,,,Y
5,"March 20, 2020", The Governor announced that the Small Business Administration approved the states request for an Economic Disaster Declaration.,,,,,,,,,,,Y
6,"March 21, 2020", The Governor signed Executive Order 1462 that gives the Mississippi Department of Employment Security the ability to expedite payments to unemployed Mississippians and relax collection requirements on employers.,,,,,,,,,,,Y
7,"March 23, 2020"," The Governor announced that he is not currently ordering businesses to close, or for individuals to stay home.",,,,,,,,,,,Y
8,"March 23, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Mississippis request for a Section 1135 Medicaid waiver. The approved waiver enables Mississippi to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,
9,"March 24, 2020"," The Governor signed Executive Order No. 1463 which:

Limits mass gatherings to 10 or less;


Suspends dine-in services at restaurants and bars;


Restricts visits to hospitals, nursing homes, and long-term care facilities;


Directs businesses to allow employees to work from home; and


Defines essential businesses.

",Y,,,,,,,,,,
10,"March 26, 2020"," The Governor issued a supplement to Executive Order No. 1463 to ensure uniform statewide parameters, such that:

No measures can be adopted that are less restrictive than the executive order.


Any existing local measures can remain in effect under the executive order, as long as they provide the same minimum standards established in the executive order and do not impose restrictions that would prevent essential services from operating.

",,,,,,,,,,,Y
11,"March 30, 2020", The Mississippi Department of Human Services increased the maximum SNAP benefit levels for families impacted by COVID-19.,,,,,,,,,,,Y
12,"March 31, 2020", The Governor issued a shelter in place order for a county in the state due to increased cases in that region.,Y,,,,,,,,,,
13,"April 1, 2020", The Governor issued a stay at home order for the entire state.,Y,,,,,,,,,,
14,"April 3, 2020", The Governor requested a Presidential Major Disaster      Declaration. ,,,,,,,,,,,Y
15,"April 7, 2020", The Governor ordered to waive the in-person requirement for notarizing documents in Mississippi for the duration of the COVID-19 emergency. ,,,,,,,,,,,Y
16,"April 9, 2020"," The Governor issued a statewide burn ban, due to requests from the Mississippi Forestry Commission, which would ease the strain on emergency responders who are responding to the public health emergency. ",,,,,,,,,,,Y
17,"April 10, 2020", The Governor signed an Executive Order restricting all non-essential elective surgeries and medical procedures. ,Y,,,,,Y,,,,,
18,"April 10, 2020", The Governor signed an Executive Order which creates additional protections from civil liability for healthcare workers and facilities assisting outside their normal operations in response to this public health emergency. ,,,,,,Y,,,,,Y
19,"April 14, 2020", The Governor announced that schools in Mississippi will remain closed for the rest of the school year. ,Y,,,,Y,,,,,,
20,"April 15, 2020", The Governor announced two new programs that aim to help those at risk of losing their homes and to provide essential workers access to childcare. ,,,,,,,,,,,Y
21,"April 17, 2020", The Governor extended the states stay-at-home order by one week. ,Y,,,,,,,,,,
22,"April 18, 2020"," The Governor announced the creation of the Governors Commission for Economic Recovery, also called Restart Mississippi.",,,,,,,,,,,Y
23,"April 21, 2020", The Governor announced that Pandemic Unemployment Assistance is now available for residents. ,,,,,,,,,,,Y
24,"April 26, 2020"," The Governor announced a Safer at Home order which encourages residents to stay home, but eases some restrictions on essential business closures. ",,Y,,,,,,,,,Y
25,"May 4, 2020"," The Governor signed an Executive Order which amends the states Safer At Home order, until May 11. The Governor also laid out strict social distancing guidelines to begin the process of reopening restaurants and allowing outdoor recreation.",,Y,,,,,,,,,
26,"May 8, 2020"," The Governor announced a plan for salons, barbershops and gyms to reopen.",,,,,,,,,,,Y
