,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 15, 2020"," The Governor recommended K-12 school in Kansas close for the week of March 15. To address the long-term discussion of the status of schools, the Kansas State Board of Education will build a comprehensive plan to address the challenges that schools are facing in light of the COVID-19 pandemic.",,,,,,,Y,,,,
1,"March 12, 2020", The Governor declared a state of emergency.,Y,,,,Y,,,,,,
2,"March 16, 2020"," The Governor banned all gatherings larger than 50 people, bringing the entire state in line with restrictions already announced in Wichita and Kansas City.",Y,,,,,,,,,,
3,"March 17, 2020"," The Governor ordered, effective Monday, March 23, that state employees state home for two weeks on administrative leave to minimize additional risk of exposure to the virus.",Y,,,,,,,,,,
4,"March 17, 2020", The Governor ordered the closure of all K-12 schools in the state until the end of the school year.,Y,,,,Y,,,,,,
5,"March 17, 2020"," The Governor signed an executive order limiting public gathering to no more than 50 people and asked the Kansas Corporation Commission (KCC) to suspend utility disconnects until April 15. This directive covers all electrical, natural gas, water and telecommunications utilities under the KCCs jurisdiction.",Y,,,,,,,,,,
6,"March 18, 2020", The Governor announced Executive Order #20-06 to temporarily prohibit evictions and foreclosures across the state.,,,,,,,,,,,Y
7,"March 19, 2020"," The Governor signed three bills:

Senate Bill 27 extends unemployment eligibility for workers who filed after January 1, 2020.


Senate Bill 142 expands education waiver authorities during disaster emergencies.


Senate Bill 102 expands authorities of the judicial branch during disasters.

",,,,,,,,,,,Y
8,"March 20, 2020","- The Department of Commerce, identified $6.3 million in Community Development Block Grant funds that currently reside with 36 Kansas communities and who use them for revolving loan programs for small businesses. The Department is providing environmental certifications within 24 hours and the public notice period has also been shortened to 24 hours so that communities can issue working capital loans for small businesses in as little as two days.",,,,,,,,,,,Y
9,"March 20, 2020"," The Governor announced that under the states disaster declaration Kansas has applied for, and expects to receive, disaster assistance loans from the U.S. Small Business Administration (SBA) to supplement small businesses.",,,,,,,,,,,Y
10,"March 20, 2020"," The Governor announced the allocation of 5 million of state funds to establish the Hospitality Industry Relief Emergency (HIRE) Fund to provide short-term, zero-interest loans for Kansas hospitality sector",,,,,,,,,,,Y
11,"March 22, 2020", The Governor signed an executive order temporarily expanding telemedicine and addressing certain licensing requirements.,,,,,,,,,,,Y
12,"March 22, 2020", The Governor signed an executive order for conditional and temporary relief from certain motor carrier rules and regulations.,,,,,,,,,,,Y
13,"March 23, 2020", The Governor signed an executive order limiting mass gathering to 10 people.,Y,,,,,,,,,,
14,"March 23, 2020"," The Governor signed an executive order preventing all Kansas waste removal providers, trash and recycling, from cancelling or suspending commercial or residential waste or recycling removal services for Kansas residences and businesses as a result of nonpayment due to significant loss of income or increase in expenses resulting from the COVID-19 pandemic.",,,,,,,,,,,Y
15,"March 23, 2020"," The Governor signed an executive order extending tax filing deadlines to July 15, 2020, and waiving any interest and penalties for returns and payments made on or before July 15, 2020.",,,,,,,,,,,Y
16,"March 25, 2020", The Governor signed the state budget which also approves $65 million for Kansas coronavirus response.,,,,,,,,,,,Y
17,"March 25, 2020", The Governor signed an executive order establishing the Kansas Essential Function Framework for the COVID-19 response.,,,,,,,,,,,Y
18,"March 25, 2020","- The Centers for Medicare & Medicaid Services (CMS) approved Kansas request for a Section 1135 Medicaid waiver. The approved waiver enables Kansas to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, and extend fair hearing and appeals timelines.",,,,,,,,,,,Y
19,"March 28, 2020"," The Governor signed an executive order instituting a temporary, statewide stay-home order until Sunday, April 19.",Y,,,,,,,,,,
20,"March 31, 2020"," The Governor signed a new executive order making the following changes to the states employment security law:

The waiting week requirement for unemployment benefits will be temporarily waived for all claimants;


The requirement that Kansans receiving unemployment benefits actively seek work each week will be temporarily waived for all claimants to allow Kansans to continue the necessary social distancing practices;


All Kansas employers, as required by the federal Department of Labor, will be required to notify separated employees if they qualify for unemployment insurance.

",,,,,,,,,,,Y
21,"April 7, 2020", The Governor signed an executive order which primarily brings religious institutions and religious and non-religious funerals in line with the a previous order that limited public gatherings to 10 or fewer people.,Y,,,,,,,,,,
22,"April 8, 2020"," The Governor announced legal action against members of the Legislative Coordinating Council (LCC) over its revocation of an executive order she issued that limited mass gatherings to 10 or fewer people. April 9, 2020  The Governor signed an executive order extending professional and occupational licensing. April 9, 2020  The Governor signed an executive order temporary allowing notaries and witnesses to act via audio-video technology. ",,,,,,,,,,,Y
23,"April 9, 2020", The Governor signed an executive order extending professional and occupational licensing. ,,,,,,,,,,,Y
24,"April 9, 2020","April 9, 2020  The Governor signed an executive order temporary allowing notaries and witnesses to act via audio-video technology. ",,,,,,,,,,,Y
25,"April 9, 2020", The Governor signed an executive order extending professional and occupational licensing. , ,,,,,,,,,,Y
26,"April 9, 2020","April 9, 2020  The Governor signed an executive order temporary allowing notaries and witnesses to act via audio-video technology. ",,,,,,,,,,,Y
27,"April 11, 2020"," The Kansas Supreme Court upheld the Governors executive order limiting the size of mass gathering to 10 people, including that of church services and funerals. ",Y,,,,,,,,,,
28,"April 13, 2020", The Governor signed an executive order extending the temporary relief for motor carriers from certain rules and regulations. ,,,,,,,,,,,Y
29,"April 15, 2020", The Governor has extended the stay-at-home order until May 1st. ,,,,,,Y,,,,,Y
30,"April 15, 2020"," The Governor has signed an executive order that brings adult care homes in line with other occupational licensing exemptions. All state agencies working or collaborating with the Kansas Department for Aging and Disability Services shall extend renewal deadlines for any occupational or professional license, certificate or registration as needed.",,,,,,Y,,,,,Y
31,"April 16, 2020", The Governor has signed an executive order extending the stay-at-home order to May 3.,,,,Y,,,,,,,Y
32,"April 16, 2020", The Governor stated that her state and other rural states have struggled to get medical supplies which her public health teams identifies as a prerequisite to easing social distancing requirements. ,,,,,,,,,,,Y
33,"April 20, 2020"," The Governor announced Kansas received additional supplies and personal protective equipment (PPE) from federal partners to expand COVID-19 testing in Finney, Ford, Lyon and Seward counties.",,,,,,,,,,,Y
34,"April 22, 2020", The Governor announced that the Kansas Department of Health and Environment (KDHE) has released new guidelines on COVID-19 testing. People exhibiting two symptoms will now be able to get tested.,,,,,,,,,,,Y
35,"April 22, 2020"," The Governor announced that her administration has been in communication with the states impacted meat processing facilities representatives, their employees and local health officials and those facilities have taken several steps to modify their production and shipping systems. ",,,,,,,,,,,Y
36,"April 21, 2020", The state has coordinated with local agencies to secure temporary emergency housing for some people who have been isolated for observation or quarantined for two weeks in four counties with large meatpacking plants affected by the virus.,,,,,,,,,,,Y
37,"April 22, 2020"," The Governor signed an executive order temporarily waiving physician supervision or collaboration requirements for certain medical licensees, including advanced practice registered nurses, physician assistants and licensed practical nurses. The order also allows out-of-state health care providers to practice in Kansas. ",,Y,,,,,,,,,
38,"April 22, 2020"," The Governor signed an executive order allowing for the sale of alcoholic beverages for carryout consumption and permits the sale of liquor in a container that is not the original container for any establishment holding a class A club license, class B club license or drinking establishment license.",,,,,,,,,,,Y
39,"April 28, 2020", The Governor announced the launch of a new and comprehensive website for resources regarding COVID-19.,,Y,,,,,,,,,
40,"April 30, 2020"," The Governor presented her detailed framework for gradually, safely re-opening the economy and getting Kansas back to work. Phase One will take effect on Monday, May 4, 2020, via Executive Order 20-29, when the statewide stay-home order outlined in Executive Order 20-16 officially lifts.",,,,,,,,,,,Y
41,"May 7, 2020", The Governor announced the appointment of two individuals who will head the team charged with leading Kansas forward in recovery from the far-reaching effects of COVID-19. The Governor selected Cheryl Harrison-Lee as the Recovery Offices executive director and Lyle Butler as the chair.,,,,,,,,,,,Y
42,"May 14, 2020"," The Governor signed Executive Order 20-31, which establishes a new phase to the Ad Astra: Plan to Reopen Kansas. The new 1.5 Phase, effective May 18, 2020, continues reopening efforts while preserving some data-driven restrictions necessary to prevent community transmission of COVID-19.",,,,,,,,,,,Y
43,"May 15, 2020", The Governor signed an executive order that provides temporary relief from certain restrictions concerning shared work programs. The order waives a provision in the law that prohibited a contributing negative account employer to participate in a shared work plan.,,,,,,,,,,,Y
44,"May 15, 2020"," The Governor signed an executive order to extend temporary relief for motor carriers from certain rules and regulations until rescinded, on June 15, 2020, or until the statewide State of Disaster Emergency expires, whichever is earlier. It is an extension of measures put in place by Executive Order #20-22.",,Y,,,,,,,,,
45,"May 17, 2020", The Governor will meet with President Trump at the White House on Wednesday to discuss how to protect the U.S. food supply and agricultural sector amid COVID-19.,,,,,,,,,,,Y
46,"May 19, 2020"," The Governor announced the Strengthening People and Revitalizing Kansas (SPARK) Taskforce to lead the states economic recovery. The Recovery Office team will be responsible for the statewide distribution of significant CARES Act funding. A five-member executive committee will oversee the process, and the office will have a steering committee with an additional 15 members who will form three subcommittees. The three subcommittees will focus on communication and engagement, finance and policy development and implementation and accountability.",,,,,,,,,,,Y
47,"May 19, 2020"," The Governor signed Executive Order 20-34, which moves Kansas into Phase 2 of Ad Astra: A Plan to Reopen Kansas.",,,,,,,,,,,Y
48,"May 26, 2020", The Governor announced a series of actions her administration took to respond to the emergency situation COVID-19 they include:Vetoing House Bill 2054Signed a new state disaster declarationCalled for a special session starting June 3 and deliver an emergency management bill,,,,,,,,,,,Y
49,"June 1, 2020", The Governor announced that the team she appointed to help her plan for the states economic recovery from the coronavirus pandemic will begin discussing this week how to spend $1.25 billion in federal relief funds.,,,Y,,,,,,,,
50,"June 2, 2020", The Governors Strengthening People and Revitalizing Kansas (SPARK) Taskforce Executive Committee reviewed and approved a proposal to distribute $400 million to local governments to help address the health and economic challenges inflicted by COVID-19.,,,,,,,,,,,Y
51,"June 2, 2020", The Governor announced an award of nearly $9 million in Community Development Block Grant Coronavirus Response Supplement (CDBG-CV) funds to 66 Kansas communities.,,,,,,,,,,,Y
52,"June 8, 2020"," The Governor announced that her administration, as well as officials with the Kansas Department of Health and Environment, recommend that most local communities consider moving into Phase 3 of Ad Astra: A Plan to Reopen Kansas.",Y,,,,,,,,,,
53,"June 16, 2020"," The State Finance Council approved the distribution of $400 million in funding from the Coronavirus Relief Fund to local Kansas governments to help combat the health and economic challenges COVID-19 has brought on their communities, and to help prepare for possible future outbreaks of the disease.",,,,,,,,,,,Y
54,"June 17, 2020"," The Governor signed an executive order to help make renewing drivers licenses easier for people across the state. Executive Order #20-46 offers temporary relief from age restrictions that prohibit applicants 50 years of age or older from applying to renew their drivers license online. Under the new order, all drivers under the age of 65 are permitted to use the online renewal system.",,,,Y,,,,,,,
55,"June 22, 2020"," The Governor announced her recommendation that communities do not move into Phase Out of Ad Astra: A Plan to Reopen Kansas, which was originally planned to begin June 22, and instead stay in Phase 3 for at least two more weeks.",,,,,,,,,,,
