date,policy
"March 9, 2020","  Governor Gordonaddressedthe Wyoming legislature      regarding members who attended CPAC, advising members to monitor their      health and followrecommendations of health care      professionals."
"March 13, 2020",  Governor Gordondeclareda state of emergency in Wyoming.
"March 15, 2020", The Governorrecommendedthat      all schools remain closed until April 3. The recommendation must go to      local superintendents and school boards who have final authority on the      issue.
"March 16, 2020", The Governorcreatedfive      task forces each to be headed up by the states top five elected officials      in response to the coronavirus pandemic.
"March 16, 2020", The Wyoming Department of      Healthreleasedpriority      recommendations for Wyoming residents in response to COVID-19.
"March 17, 2020", The Governorannouncedthe      creation of five coronavirus task forces  each led by one of the five      top-elected officials  to coordinate COVID-19 response efforts.
"March 19, 2020"," The Wyoming Department of      Healthissueda      public health order implementing emergency measures to close, restaurants,      bars, theaters, gymnasiums, child care facilities, K-12 schools, colleges,      universities, and trade schools, with certain exceptions."
"March 20, 2020", The Governor and the Wyoming      State Health Officeannounceda      supplemental health order prohibiting gatherings of more than 10 people.
"March 22, 2020", The Governorannouncedthe      eligibility of Wyoming small businesses to apply to the U.S. Small      Business Administration for Economic Injury Disaster Loans.
"March 24, 2020"," The Governor and State Health      Officerorderedthe      state-wide closure of non-essential personal services, including salons;      barber shops; cosmetology, electrology, and aesthetic services; massage      parlors; and tattoo, piercing, and body art shops. The order will remain      in effect until April 3."
"March 25, 2020", The Governoraskedcitizens      to stay home when possible and limit travel to only essential trips.
"March 27, 2020","  The Centers for Medicare &      Medicaid Services (CMS)approvedWyomings      request for a Section 1135 Medicaid waiver. The approved waiver enables      Wyoming to provide flexibilities in Medicaid provider screening and      enrollment, forgo certain pre-admission screening and annual resident      review assessments, lift prior authorization requirements, allow for      reimbursement facility services in alternative settings, and extend fair      hearing timelines"
"March 27, 2020", The Governor and State Health      Officerextendedthe      three existing statewide health orders through April 17.
"March 27, 2020"," The Governor announced the Department of Workforce Services and the Workforce Development Council are offering $300,000 in grants to support businesses in order to avert or shorten layoffs during the COVID-19 pandemic in Wyoming."
"April 2, 2020"," The Wyoming Department of Health announced      that, due to supply shortages, they will be limiting testing available      through the Wyoming Public Health Laboratory. "
"April      3, 2020", The Governor extended      the three existing statewide health orders through April 30.
"April 6, 2020"," The Wyoming Department of Health recommended, in line with the CDC, wearing      cloth face coverings. "
"April 9, 2020", The Governor submitted a request for a federal disaster declaration. 
"April 14, 2020", The Department of Health (WDH) announced the arrival of the Center for Disease Control and Preventions (CDCs) Community Protection Initiative team to supplement the work of the WDH. 
"April 15, 2020", The Governor instructed all state agency directors to identify opportunities to immediately reduce spending in anticipation of COVID-19 economic impacts. 
"April 17, 2020", The Governor announced that current Wyoming public health orders will remain in effect through April 30. 
"April 21, 2020","The Wyoming Business Councils Main Street program, the Wyoming State Chamber of Commerce, the Wyoming Small Business Development Center and the Wyoming Economic Development Association assembled a program to offer support to small business owners facing challenges related to the COVID-19 pandemic."
"April 23, 2020"," The Governor unveiled a new phase of the states COVID-19 response, creating a path to ease restrictions, recover businesses, and resume some activities. The approach will be driven by public health data and will provide flexibility to counties based on local conditions. "
"April 28, 2020"," The Governor announced new public health orders, which will authorize gyms, barber shops, hair salons and other personal care services to reopen under specific operating conditions, beginning May 1. "
"May 1, 2020"," The Wyoming Business Council released a new website that will serve as a one-stop location for citizens to see open businesses in their communities, and how to access services amid the COVID-19 crisis."
"May 7, 2020"," The Governor signed a proclamation, convening a special session of the Legislature, to begin on May 15, to amend and create programs to help businesses and residents impacted by COVID-19."
"May 13, 2020"," The Governor announced updated public health orders that will ease restrictions on several business categories, and will permit restaurants to resume indoor table service statewide."
"May 13, 2020"," The Governor allocated $17 million in federal funding to expand the states testing capacity, improve contact tracing efforts, and increase the states supply of PPE."
"May 20, 2020"," The Governor signed three pieces of legislation, passed by the Wyoming Legislature, establishing a framework for spending $1.25 billion in federal funding awarded to the state in the CARES Act."
"May 27, 2020"," The Governor announced that updated public health orders, effective June 1, will ease restrictions on public gatherings to allow outdoor gatherings of up to 250 people."
"May 28, 2020"," The Governor and representatives from the states largest rodeos announced that six of Wyomings large rodeos and events will not take place in 2020. This decision factored in economics, health concerns and logistics."
"June 4, 2020"," The Governor instructed state agencies to immediately take action to further reduce spending and prepare for deeper cuts; the reduction plan requires agencies to prepare for more drastic scenarios, in addition to a current state hiring freeze and limitation on large contracts."
"June 10, 2020"," The Governor released updated public health orders to take effect on June 15. The orders will continue to ease restrictions on public gatherings; allow indoor gatherings of up to 250 people; and allow K-12 schools, community colleges, the University, and other educational institutions to reopen facilities and resume in-person instruction for all students."
"June 17, 2020"," The Wyoming Department of Health issued updated guidance to allow long-term care facilities to permit in-person visitation outdoors under specific guidance, including designated spacing, limiting visitors to two people, and requiring screening of visitors for symptoms of respiratory illness."
"July 1, 2020"," The Governor announced Care19 Diary, a free mobile application designed to help with the COVID-19 contact tracing."
"July 1, 2020", The Wyoming Superintendent announced the release of a Smart Start guidance document for school districts as they prepare for the fall semester of the 2020-2021 school year.
"July 1, 2020"," The Governor, in partnership with ProudCrowd, announced a free mobile app, Care19 Diary, now available for use in North Dakota and South Dakota. The App creates a diary of users locations, which can be used for contact tracing efforts if the individual later tests positive for COVID-19. The random ID created for users contains no personal information."
