,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 6, 2020","Governor Herbert declared astate of emergency, which is part of thestatespreparedness plan and came at the recommendation of the Governors COVID-19 Task Force.",,,,,,,Y,,,,
1,"March 2, 2020","UtahestablishedtheCOVID-19 Community Task Force.On 10 March, the task forcerecommendedthat hospital and health care systemsestablishsatellite sites for testing.",,,,Y,,,,,,,Y
2,"March 12, 2020",Governor Herbert issued astatementpraising the Church of Jesus of Latter-day Saints decision tohost sessions of its General Conference remotely and to limit mass gatherings in the immediate future.,,,,,,,,,,,Y
3,"March 12, 2020","Governor Herbert, in partnership with theUtah COVID-19 Community Task Force,issuedofficial recommendationsto:limit gatherings of 100+ people(including church);not participate ingroup gatheringsfor individuals over 60 years of age or immunocompromised;and restrict access to long-termcare facilities.",Y,,,,,,,,,,
4,"March 12, 2020",Governor Herbert approvedrecommendationsto the Utah Systems of Higher Education and the Utah State Board of Education to transition to onlineteaching.,,,,,Y,,,,,,
5,"March 13, 2020",Governor Herbertannouncedrecommendationsthe implementation of several precautionary measures across the state of Utah to help slow the spread of novel coronavirus.,,,,,,,,,,,Y
6,"March 16, 2020"," The Governor announced that Utahs public schools will implement a two-week dismissal, or soft closure, starting Monday, March 16. The dismissal is designed to help implement social distancing and slow the spread of novel coronavirus in our communities.",Y,,,,Y,,,,,,
7,"March 17, 2020"," The Utah Department of Health ordered all restaurants and bars to close dining rooms, effective March 18.",Y,,,,,,,,,,
8,"March 19, 2020"," The Governor issued three executive orders, that will:

Lessen the burden on establishments with liquor licenses by facilitating returns of product to the Department of Alcoholic Beverage Control;


Allow the public to view Board of Pardons and Parole hearings remotely; and


Facilitate the ability of public bodies to conduct meetings electronically.

",,,,,,,,,,,Y
9,"March 19, 2020"," The Utah Board of Education waived requirements regarding the calendar year, transportation, and assessments. The Board also directed staff to continue to distribute state funding to local education agencies.",,,,,Y,,,,,,
10,"March 21, 2020"," The Utah Department of Health amended a recent order, removing a potential criminal penalty association with gathering in groups of 10 or more.",,,,,,,,,,,Y
11,"March 23, 2020"," The Governor, State Superintendent, and Acting Commissioner of Technical Education announced that Utahs K-12 public schools will extend their dismissal through May 1, 2020.",Y,,,,Y,,,,,,
12,"March 24, 2020"," The Utah Department of Health announced restrictions on non-urgent medical, dental, and veterinary procedures.",Y,,,,,,,,,,
13,"March 24, 2020"," The Governor released Utah Leads Together, a comprehensive task force plan, report and economic playbook to mitigate the economic consequences of COVID-19, including recommendations from dozens of Utah state and industry leaders.",,,,,,,,,,,Y
14,"March 26, 2020", The Governor issued an Executive Order suspending sections of the state statute to ease the provision of telehealth care to patients.,,,,,,Y,,,,,
15,"March 26, 2020", The Governor issued an Executive Order suspending certain requirements on signature gathering for candidates seeking to get on the ballot.,,,,,,,,,,,Y
16,"March 27, 2020"," The Governor issued a Stay Safe, Stay Home Directive to provide further guidance to individuals and businesses regarding hygiene, gatherings, travel, and outdoor recreation.",Y,,,,,,,,,,
17,"March 30, 2020", The Child Care Task Force created One Utah Child Care to meet child care needs of essential employees such as healthcare workers.,,,,,,,,,,,Y
18,"March 30, 2020", The Governors Office of Economic Development announced the Utah Leads Together Small Business Bridge Loan program to assist small businesses with 50 or fewer employees.,,,,,,,,,,,Y
19,"March 30, 2020", The Utah State Tax Commissioners approved extensions to tax filing and payment deadlines to July 15.,,,,,,,,,,,Y
20,"March 30, 2020"," The Governor lifted restrictions that prevented retirees from public jobs reenter the workforce. This will allow certain public employees return to jobs that are deemed critical to the coronavirus response like first responders, healthcare and public health workers and those in financial services. ",,,,,,Y,,,,,Y
21,"March 31, 2020", The Governor issued an executive order allowing state and local entities participating in the state Retirement Systems to extend work opportunities to recently retired persons to meet needs for critical government functions.,,,,,,,,,,,Y
22,"March 31, 2020", The Governor issued an executive order suspending sections of the state statute to allow the Governors Office of Economic Development to tap into the Industrial Assistant Account to offer zero interest loans to small businesses.,,,,,,,,,,,Y
23,"April 1, 2020"," The Governor issued an executive order, extending the closure of dine-in service at food establishments until April 15.",Y,,,,,,,,,,
24,"April 1, 2020", The Governor issued an executive order instituting a moratorium on residential evictions for tenants directly impacts by COVID-19.,,,,,,,,,,,Y
25,"April 2, 2020"," The Leads Together Small Business Bridge Loan program uses $11 million in state funds to provide gap funding to Utahs small business and nonprofits. Round one of the program was for Utah-headquartered for-profits. More than 1,000 businesses completed the application process and 500 applicants will receive a total of more than $6 million in funding, with 27% of the round one funds being awarded to rural businesses. During round two (up to April 16), loan applications will be accepted from for-profit and nonprofit organizations.",,,,,,,,,,,Y
26,"April 9, 2020", The Governor issued an Executive Order requiring individuals entering Utah to complete a travel declaration form.,,,,,,,,,,,Y
27,"April 13, 2020", The Governor extended the Stay Safe Stay Home directive until May 1. ,Y,,,,,,,,,,
28,"April 13, 2020"," The Centers for Medicare & Medicaid Services (CMS) approved Utahs request for a Section 1135 Medicaid waiver. The approved waiver enables Utah to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,
29,"April 14, 2020", The Governor and State Superintendent announced an extension on the soft closure of public schools until the end of the school year. ,Y,,,,Y,,,,,,
30,"April 15, 2020"," The Department of Workforce Services announced the Child Care Operations Grant, available to Utah childcare providers whose operations have been affected by decreased enrollment. ",,,,,,,,,,,Y
