date,policy
"March 1, 2020","Rhode Islandestablishedan Incident Command System response to organize state agency preparedness and response activities. It includes staff from numerous state agencies, including emergency management, behavioral health, education, human services, environmental management, and others."
"March 1, 2020","The Rhode Island Department of Health is coordinating with other state agencies and community organizations to support anyone doing self-quarantining to ensure that people who are remaining at home have the support services they need. This includes support with everyday needs, such as prescriptions and groceries."
"March 11, 2020",Governor Raimondoissued guidancefor large events in Rhode Islandto help contain the spread of COVID-19.
"March 15, 2020",- The Governor announced guidance directing all child care centers in Rhode Island to close. She also announced that the Rhode Island Department of Education will be working with local school districts to make grab and go meals available to students while schools are closed.
"March 16, 2020",- The Governor issued an executive order regarding restrictions for public meetings.
"March 16, 2020","- The Governor issued an executive order regarding restrictions for restaurants, bars, entertainment venues, and public gatherings."
"March 18, 2020", The Governor announced that public schools should implement distance learning through April 3.
"March 18, 2020", The Governor signed an executive order that directs health insurers to cover telemedicine visits.
"March 18, 2020", The Public Utilities Commission issued an emergency declaration that places a moratorium on public utilities terminating services.
"March 18, 2020", The Department of Health announced that out-of-state health care providers can obtain a temporary 90-day license to practice in the state.
"March 19, 2020"," The Governor made several important announcements about the states evolving response strategy:

State courts will not process any residential or commercial evictions for the next 30 days.


Rhode Islanders who suspect price gouging or COVID-19 scams should report them to the Attorney Generals office.


The state created an online form so organizations can donate laboratory supplies and personal protective equipment to fill gaps in due to increased testing demand.

"
"March 20, 2020"," The Governor activated the Rhode Island National Guard, allowing 1,000 Guardsmen and Guardswomen to train civilian medical personnel, staff call centers, and distribute food and necessities to the most vulnerable."
"March 20, 2020"," The Governor extended the 2019 tax filing and payment deadlines to July 15, consistent with changes made in federal law."
"March 24, 2020", The Governor announced several initiatives designed to assist frontline workers who may need child care services.
"March 25, 2020"," The Governor announced new guidelines for retailers and grocers, which must, among other things:

Allow no more than 20 percent of state fire capacity in the store at a time;


Designate employees to monitor social distancing and assist customers;


Offer exclusive hours for those in high-risk populations; and


Assign employee(s) to ensure the CDC cleaning guidelines are followed.

"
"March 25, 2020"," The Centers for Medicare & Medicaid Services (CMS)approvedRhode Islands request for a Section 1135 Medicaid waiver. The approved waiver enables Rhode Island to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, and extend fair hearingand appeals timelines."
"March 26, 2020", The Governor signed an Executive Order mandating that anyone who has traveled to New York by any form of transportation must self-quarantine for 14 days upon arrival in Rhode Island. The order applies to anyone who has been in New York in the past 14 days and going forward.
"March 26, 2020"," The Governor announced that small business owners can now receive 45 minutes of free tech support via teleconference or over the phone, which is being coordinated by Rhode Island Commerce and staffed by volunteers from some of Rhode Islands tech companies."
"March 26, 2020"," The Governor announced that small business owners can now receive 45 minutes of free tech support via teleconference or over the phone, which is being coordinated by Rhode Island Commerce and staffed by volunteers from tech companies."
"March 27, 2020", The Governor extended several regulations and announced several changes to the states SNAP program to provide maximum relief as provided by the CARES Act.
"March 28, 2020"," The Governor announced several state actions, including:

Issuing a stay-at-home order until April 13;
Ordering anyone coming to Rhode Island by any mode of transportation after visiting another state for a non-work-related purpose to self-quarantine for 14 days;
Limiting gatherings to groups no more than 5; and,
Closing all non-critical retail businesses.

"
"March 29, 2020"," The Governor announced several state actions including:

Directing all out-of-state drivers to pull over at information stations, staffed by the National Guard in partnership with the Department of Health;
Suspending all childcare licenses until April 4;
Suspending all Medicaid terminations at quarterly income verifications; and,
Allowing a 90-day extension on DMV expirations for March or April.

"
"March 30, 2020", The Governor delayed the states presidential primary to June 2 and will send all registered Rhode Islanders a mail ballot application in the coming weeks.
"March 30, 2020"," The Governor mandated all child care providers (centers and families) to close, while the state reevaluates child care license suspensions on a week to week basis."
"March 30, 2020"," The Governor announced several education initiatives:

Rhode Island schools will continue distance learning through the month of April;


All households that have a smart phone with a WiFi hotspot feature and have cell phone service from one of the four most common providers in the state (Verizon, AT&T, T-Mobile, and Sprint) will be able to activate the hot spot feature free of charge;


All Rhode Island students are challenged to read every single day during the month of April  all thirty days; and,


A special press conference will be held this week specifically for kids to have their voices heard and questions answered.

"
"March 31, 2020"," The Superior Court established the Business Recovery Plan, whereby courts will use a non-liquidating receivership model to supervise and provide protections for Rhode Island businesses so they can remain operational, access new working capital, and pay debts."
"March 31, 2020"," The Department of Environmental Management announced the temporary closure of Rhode Island state parks and beaches, along with their parking areas, beginning April 3 and until further notice."
"March 31, 2020"," The Governor announced three fully operational drive-through testing sites that allows the states to expand testing to additional populations: people who are older than 65, people with underlying medical conditions, and critical infrastructure workers  all of which still must be symptomatic and be referred by a medical provider."
"April 1, 2020"," The Governor announced several state initiatives to provide relief for individuals and families, including:

RI Delivers  a connection to help those living in quarantine or isolation so they have the supportive services they need to safely remain at home and monitor their symptoms;


Bridge Loan Program  a partnership with the Local Initiative Support Corporation and the Rhode Island Hospitality Association providing additional funding to restaurants and small businesses (up to 10 employees); and,


Family Court  parents who have join custody of their children and feels a modification to visitation is warranted, they may go to Family Court if a resolution between the parents cant be reached.

"
"April 2, 2020"," The Governor expanded testing criteria to include all Rhode Islanders who have symptoms, while underscoring the critical need for people who are experiencing symptoms to practice social distancing and voluntarily self-isolate."
"April 3, 2020"," The Department of Environmental Management reminded Rhode Islanders that state parks, beaches and campgrounds are closed until at least May 1st. "
"April 3, 2020"," A partnership among Rhode Island Commerce, Local Initiative Support Corporation (LISC), the Rhode Island Hospitality Association and Bank Newport is providing loans to restaurants or business with 1 to 10 employees need immediate cash while they await an SBA Emergency Injury Disaster Loan advance. "
"April 3, 2020"," The Governor announced several actions related to the states ongoing response efforts:Establishing surge sites to provide hospital-level care at the Rhode Island Convention Center, the former Citizens Bank in Cranston, and the former Lowes building at Quonset to treat more than 1,000 people;Encouraging Rhode Islanders to consider wearing cloth face covers when in public;Continuing the suspension of childcare licenses through the month of April;Establishing a $5 million Behavioral Health Fund at the Rhode Island Foundation to assist nonprofit organizations working to address Rhode Islanders behavioral health needs; and,Expanding testing to all Rhode Islanders displaying COVID-19 symptoms. "
"April 6, 2020", The Governor reached an agreement with the Secretary of      State allowing business transactions that require a notary public to      utilize the Remote Online Notarization on a temporary basis. 
"April 7, 2020"," The Governor announced the donation of 208,000 face masks from Rhode Islands Chinese-American Community to support local response efforts. "
"April 7, 2020"," The Governor announced plans to extend the following executive orders until May 8:All gatherings of more than five people are prohibited;Restaurants, bars and cafes will be closed to dine-in services;Public recreation and entertainment businesses and all close-contact businesses will remain closed; Anyone returning to the state from domestic or international travel by any mode of transportation must self-quarantine for 14 days; All open meetings must take place by phone or video conferencing; Health insurers must cover telemedicine for primary care, specialty care and behavioral health; and, Extending the time period that law enforcement has to complete a background check for a gun permit from seven to 30 days. "
"April 7, 2020"," The Governor signed an executive order ensuring that hospitals provide data to the state regarding supplies, patients being treated for COVID-19, and testing. "
"April 8, 2020", The Governor announced      several updates to the states ongoing response efforts:Extending the closure for all non-essential businesses        including residential and commercial evictions  through May 17;Partnering with SalesForce to create a secure database       that will allow RIDOH and the National Guard to conduct contact tracing       more efficiently and effectively;Providing free fabric to all Rhode Island residents to       make their own fabric face coverings. 
"April
9, 2020"," The Governor signed
an executive order, clarifying Rhode Islands requirements around quarantine
and isolation:Anyone
diagnosed with COVID-19 must self-isolate;People
in isolation must self-isolate for at least seven days;People
in quarantine must distance themselves from others, including at home; and, Anyone
who has been in close contact with an individual who has been diagnosed with
COVID-19 must self-quarantine for 14 days. "
"April 10, 2020"," The Governor announced
several updates related to the states ongoing response efforts:Allowing the Department of Labor and Training to have access to the records of every person that has applied for unemployment insurance, speeding up their ability to process claims; and, Limiting capacity on all Public Transit Authority busses to no more than 15 passengers."
"April 13, 2020", The Governor announced that Goldman Sachs committed $10 million for loans for small businesses in Rhode Island through a partnership with Rhode Island Commerce Corporation and with Community Reinvestment Fund. 
