,date,policy
0,"March 9, 2020","Governor Guerrero implemented a Temporary Economic Assistance and Mitigation (TEAM) Plan to help small businesses:

Deferred 40% of BPT access to loans and90 dayinterest only
Financial Institutes are deferring loan payments to interest only

"
1,"March 15, 2020", The Governor declared a public health emergency.
2,"March 15, 2020", The Governor and the Guam Department of Public Health and Social Services implemented a 14-day suspension of non-essential Government of Guam Operations effective Monday March 16.
3,"March 16, 2020", The Governor signed a bill that prevents price gouging during a state of emergency.
4,"March 18, 2020", The Governor signed an executive order which instituted COVID-19 Mandatory Quarantine Protocol measures for all incoming travelers from the Philippines effective immediately. Other non-residents attempting to enter Guam not from the Philippines will also be subject to mandatory quarantine unless they have documentation confirming they have not been exposed to COVID-19.
5,"March 19, 2020"," The Governor ordered that all public spaces in which people come together for food and beverage, entertainment, recreation, and leisure will be closed until March 30. The order goes into effect March 20."
6,"March 20, 2020", The Guam Department of Education launched a Grab-N-Go school meal distribution program. The program will remain in effect through the duration of school closures.
7,"March 22, 2020", The Governors Homeland Security Office of Civil Defense announced that the U.S. Small Business Administration is offering low-interest federal disaster loans to small business in Guam.
8,"March 22, 2020", The Guam Department of Revenue and Taxes announced it would be aligning its income tax filing date with the federal government and pushing back its filling date to July 15.
9,"March 22, 2020", The Governor announced that the Department of Revenue and Taxes has issued nine (9) Notices of Violation (NOV) as part of its efforts to enforce compliance with the Governors Executive Order No. 2020-05 (non-essential business remaining in operation).
10,"March 22, 2020", The Governor announced that Guam will be seeking a major disaster declaration form the federal government.
11,"March 22, 2020", The Guam Department of Labor submitted an application for the Disaster Dislocated Worker grant in an effort to maximize Guams eligibility for federal assistance related to unemployment benefits.
12,"March 23, 2020"," The Governor announced that she will be extending the Public Health Emergency for Guam, an additional 14-days beyond March 30, 2020. She also ordered all public beaches and parks closed immediately and extended school closures until April 13th."
13,"March 26, 2020", The Guam Memorial Hospital Authority suspended viewing of deceased loved ones effective immediately in accordance with the governors executive order.
14,"March 26, 2020"," The Guam Behavioral Health and Wellness Center (GBHWC) has launched telehealth counseling services for medical professionals, frontline heroes, and first responders during this pandemic."
15,"March 26, 2020"," The Governor temporarily suspended parts of the Open Government Law, including the publics right to attend government meetings."
16,"March 27, 2020", The President approved Guams request for a Presidential Disaster Declaration.
17,"March 29, 2020", The Governor signed an agreement between the state government and the U.S. Department of Labor to move forward with the Pandemic Unemployment Assistance Program.
18,"April 3, 2020"," The Governor along with the Guam Department of Labor (GDOL), is working with the U.S. Department of Labor (USDOL) to create the guidelines and application process for the Pandemic Unemployment Assistance (PUA) program; the program will provide weekly benefit payments to workers who traditionally would not qualify for unemployment benefits, and who are unable to work."
19,"April 5, 2020", The Governor signed an executive order to establish COVID-19 Response differential pay policy for employees working in support of the public health emergency.
20,"April 5, 2020", The Governor signed an executive order to extend the public health emergency to May 5th. 
21,"April 7, 2020", The Guam Department of Education (GDOE) closed all GDOE school facilities and      canceled daily classes through the end of School Year. 
22,"April 7, 2020", The Governor signed an executive order further outlining social distancing measures and defining acceptable face covering required to be worn by essential workers. 
23,"April 9, 2020", The government of Guam received approval from the Internal Revenue Service (IRS) for a total estimated cost of $134.8 million of federal Economic Impact Payments to be paid to the Government of Guam.
24,"April 9, 2020", The Department of Public Health and Social Services (DPSS) has waived the requirement for food-handlers to obtain and possess a Health Certificate when employed at a food facility.
25,"April 9, 2020"," The Guam Housing and Urban Renewal Authority (GHURA) was awarded over $2.6 million in Coronavirus Aid, Relief, and Economic Security (CARES) Act funds to be used for non-profit and government service providers to reinforce efforts to bring relief and services to the homeless, individuals with disabilities, renters and homeowners."
26,"April 9, 2020"," The Guam Visitors Bureau (GVB), the Guam Hotel & Restaurant Association (GHRA) and the Guam Chamber of Commerce will conduct outreach to businesses impacted by COVID-19 through the Membership Outreach Movement (MOM), hybrid teams from the three membership based organizations will contact an estimated 800 businesses to help with organizing information for economic relief options available."
27,"April 10, 2020"," The Guam Urban Renewal Authority (GHURA) has been awarded over $2.6 million in Coronavirus Aid, Relief, and Economic Security (CARES) Act to be used for non-profit and government service providers to reinforce their efforts to bring relief and services to the homeless, individuals with disabilities, renters and homeowners."
28,"April 11, 2020"," The Governor wrote a letter to Congressman Bobby Scott, the Chair of the House Committee on Education and Labor, regarding Guams eligibility for Federal Pandemic Unemployment Compensation (FPUC). Guam was later approved by the U.S. Department of Labor for FPUC. "
29,"April 20, 2020"," The Guam Fire Department developed a plan to commission a COVID Transport Unit (CTU): two teams dedicated to transporting symptomatic, but otherwise stable, ambulatory patients."
30,"April 21, 2020"," The Guam Environmental Protection Agency in partnership with the Department of Taxation and Revenue, identified at least five businesses for the retail and distribution of illegal disinfectants that claim to combat SARS-CoV-2, the virus that causes COVID-19. Stop sale orders were issued to these businesses."
31,"April 23, 2020"," The Governor and the Department of Public Health and Social Services (DPHSS) in partnership with the federal government and private partners, launched a COVID-19 Pilot Project Drive-Through/Walk-In Testing of COVID-19 for residents who live in Sagan Linhanyan and Lower Astumbo, Dededo. "
32,"April 24, 2020"," The Governor stated that as long as the data remains favorable, restrictions would likely be lifted gradually on various orders. Other mandates will remain in place on a phased-out basis  likely requiring a 30-day extension of the public health emergency which expires on May 5. Details will be offered in conjunction with the Governors recovery plan next week."
33,"April 24, 2020", The Department pf Public Health and Social Services announced that the Supplemental Nutrition Assistance Program (SNAP) Emergency Allotment for the month of April 2020 will be released on .
34,"April 27, 2020"," The Department of Public Health and Social Services (DPHSS) in collaboration with state, federal and private partners, is expanding the COVID-19 testing drive-through/walk-in. "
35,"April 28, 2020", The Department of Education suspended Grab-N-Go school meal program at the a middle school where a worker has tested positive for COVID-19. 
36,"April 28, 2020"," The Governor announced her intent to extend the public health emergency while lifting some restrictions implemented through the Social Isolation Directive and Department of Public Health and Social Services (DPHSS) Guidance Memoranda 2020-01, 02, and 05."
37,"May 1, 2020"," The state has announced that the Safe Haven Project, an initiative to address Guams homeless population during the COVID-19 pandemic, has been delayed since the site selected would not effectively limit the spread of COVID-19. "
38,"April 30, 2020", The Governor outlined her recovery plan and set a goal of May 9 to slowly reopen.
39,"May 4, 2020", Guam Department of Labor (GDOL) sent a budget request of more than $924 million dollars to help those on the island impacted by COVID-19.
40,"May 4, 2020", The Governor is scheduled to announce two new initiatives: one aimed at helping residents impacted by the health crisis; and the other related to providing transparency for government pandemic spending.
41,"May 5, 2020"," The Governor signed an executive order a direct disaster aid program that will be paid for with the Coronavirus Relief Funds authorized under the CARES Act. This local program supplements and is in addition to the Economic Impact Payment and is not subject to local income taxation. Individuals applying for this program will be given a one-time payment of $300 per eligible person not to exceed $1,200 per household. Factors that determine the household payment are as follows:Household sizeGross monthly income equal to or below 165% of the federal poverty levelHeads of household 18 years of age or older Residency on Guam for at least 6 months"
42,"May
5, 2020"," The Governor signed
an executive order that establishes steps to increasing transparency with the
use of federal funds relative to COVID-19 by establishing the COVID-19 Pandemic
Recovery Office. The Recovery Office is responsible for working with the
Federal Emergency Management Agency relative to the current disaster and is
authorized to provide information, assurances, requests, or justifications on
behalf of the Governor of Guam. Executive branch line agencies will also be
required to publish their responses to requests for documents under the
Sunshine Reform Act of 1999"
43,"May 5, 2020", The Guam Department of Revenue and Taxation (DRT) announced that the Guam Economic Impact Payment (EIP) Implementation Plan has been approved by the Internal Revenue Service (IRS) and the U.S. Treasury.
44,"May 7, 2020", The Department of Public Health and Social Services (DPHSS) issued a Guidance Memo that identifies businesses that are to re-open and operate on a limited basis once Pandemic Condition of Readiness Level 2 (PCOR2) has been declared.
45,"May 7, 2020"," The Department of Public Health and Social Services (DPHSS) advises the community that block grant recipients of Supplemental Nutrition Assistance Program (SNAP), Cash Assistance Programs (CAP), and Child Care Development Fund (CCDF) will have their certification end-date for June 2020 extend up to December 2020."
46,"May 7, 2020"," The Governor signed Executive Order 2020-14, related to the declaration of Pandemic Condition of Readiness (PCOR) 2. The Executive order covers the following:All businesses are to operate by implementing measures as outlined in the document, Minimum Pandemic Workplace Operational Requirements, as issued by the DPHSS.Social gatherings or congregations are limited to no more than ten (10) people.All Government of Guam parks and beaches continue to be closed to all activities except for individual use.All businesses that were allowed to operate during PCOR 1 may continue to operate. Businesses that are allowed to operate will no longer be restricted to selling only essential items.Any place of business or public accommodation shall operate at no greater than 50% occupancy.Regardless of operational status of an agency/department, all government of Guam employees remain on regular work status and are expected to report for duty within two (2) hours of receiving notice from his/her supervisor."
47,"May 9, 2020"," The Governor has stated that the government of Guam cannot afford to pay essential workers double pay, stating that these employees are already receiving differential pay for their work during the COVID-19 response."
48,"May 9, 2020", The Guam Department of Labor (GDOL) was notified of the approval of its initial increment of funds in the amount of $276 million toward the Pandemic Unemployment Assistance (PUA) and Federal Pandemic Unemployment Compensation (FPUC) Programs.
49,"May 12, 2020", The Guam Joint Information Center reported that Guam remains in Pandemic Condition of Readiness (PCOR) 2. PCOR 2 is the level with moderate restrictions and is intended to signal a positive movement toward normalcy.
50,"May 12, 2020", The Governor urged residents to remain vigilant to avoid a potential second wave of COVID-19.
51,"May 13, 2020"," The Guam Joint Information Center announced the following quarantine mandates remain in effect but are subject to change with little to no notice:All inbound passengers to Guam will serve a mandatory quarantine at a government-approved facility for 14 days upon arrival.Travelers may be exempt from the mandatory quarantine at a government-approved facility, with the opportunity to self-quarantine from home, under the following conditions:The traveler obtains a diagnostic specimen test for COVID-19 in the country of origin prior to arrival in Guam. The specimen must be collected and tested no more than 72 hours prior to arrival in Guam."
52,"May 15, 2020"," The Governor signed Executive Order 2020-15 relative to the extension of the Disaster Relief Program  Prugrman Salppe Ayudon I Taotao application period to June 12, 2020."
53,"May 18, 2020"," The Governor announced her support of Bill 359-35, a legislative measure that will compensate classified workers called to work during the COVID-19 pandemic. Under Bill 359-35, any classified employee that worked during the emergency period of March 20th to May 10th, 2020 will be entitled to one hour of additional annual leavefor every hour workednot to exceed 240 hours of annual leave, provided that the classified employee:was required to physically report to work during the emergency period; anddid not receive any additional compensation, administrative leave, or compensatory time off aside from what was provided in Executive Order 2020-08 or any applicable hazardous, night, or overtime differential pay."
54,"May 18, 2020"," The Guam Department of Revenue and Taxation (DRT) processed and released over 50,000 Economic Impact Payments (EIP) totaling $95.9 million."
55,"May 19, 2020", The Guam Economic Development Authority (GEDA) launched the Guam Small Business Pandemic Assistance Grant to aid small businesses affected by the COVID-19 pandemic. The Office of the Governor directed GEDA to administer the grant program utilizing $20 million set aside under the CARES Act and checks will be made by the Department of Administration to grantees.
56,"May 19, 2020", The Governor ordered more than 40 Guam National Guard Soldiers and Airmen to oversee operations of the islands COVID-19 quarantine facilities under Task Force Shield.
57,"May 21, 2020", The U.S. Department of Agriculture (USDA) Food Nutrition Service (FNS) granted the Guam Department of Education (GDOE) an extension to distribute food commodities through Disaster Household Distribution (DHD).
