date,policy
"March 5, 2020","Governor Murphyplaced restrictions on state-related business travel for state employees. New Jersey suspended all international travel for state employees until further notice. All domestic out-of-state travel on state-related business must be approved by the Governors Office, including same-day travel."
"March 9, 2020","Governor Murphysignedan executive orderdeclaring astate ofemergency andpublichealthemergency. Thedeclarationallowsfor certainsafeguards, such as the prohibition of price increases pursuant to New Jerseys Consumer Fraud Act, as well as the ability to expedite the delivery of goods and services essential for preparedness and response efforts."
"March 12, 2020",TheGovernorcancelled all public gatheringswith more than 250 individuals.
"March 15, 2020", The Governor closed all motor vehicle agencies and road-testing facilities until March 30.
"March 15, 2020", The Governor requested the federal government open a Special Enrollment Period for New Jersey residents to allow those uninsured or underinsured to enroll in health coverage.
"March 16, 2020"," The Governor issued closures across the state of restaurants, bars, gyms, and movie theaters, and is limiting restaurants to only delivery and takeout. The Governor also issued a statewide curfew from 8 p.m. to 5 a.m."
"March 16, 2020", The Governor signed an executive order closing all schools in the state (for an unspecified period of time). The order also provides resources for how districts can continue to provide meals to students and creates a process for virtual learning.
"March 16, 2020", The Governor activated the New Jersey National Guard to assist in state efforts to control the COVID-19 outbreak.
"March 16, 2020"," The Governors of Connecticut, New York and New Jersey announced a regional approach to combatting the novel coronavirus throughout the tri-state area."
"March 17, 2020", The Governor announced an administrative order that closes all indoor retail shopping malls and other places of public amusement.
"March 17, 2020", The Governor sent a letter to the president requesting additional support from the U.S. military and Army Corps of Engineers to assist state efforts in expanding hospitals and intensive care unit capacity.
"March 18, 2020"," The Governor announced new amendments and resources for the states Child Care Subsidy program, which will implement temporary flexible enrollment policies and robust payment policy amendments for families and providers that have been impacted by COVID-19."
"March 18, 2020"," The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19. The Governors expanded their previous orders to include:

Limiting crowd capacity for social and recreational gatherings to 50 people;


Closing restaurants and bars for on premise service and move to take-out and delivery services only; and


Temporary closing of movie theaters, gyms, and casinos.

"
"March 18, 2020"," The Department of Human Services outlined new actions within the state to support individuals and families with children, older adults, and individuals with disabilities. Actions also include the issuance of guidance for mental health and substance use disorder services."
"March 18, 2020", The Governor announced new amendments and resources for the New Jerseys Child Care Subsidy Program.
"March 18, 2020"," The Department of Human Services waived requirements for childcare and cash assistance programs, including:

Waiving parent co-pays in the states childcare subsidy for parents who request it due to impacts from COVID-19;
Providing an additional $100 per child per month to childcare providers for children in the State childcare subsidy program to help childcare centers remain open during this critical time to support working parents, emergency and essential personnel;
Automatically extending for 60 days WorkFirst New Jersey cash assistance to individuals whose case is up for renewal in March or April;
Extending all Emergency Assistance cases through April 30; and
Deeming the current state of emergency as a good cause exemption for the work requirements in WorkFirst New Jersey and SNAP and suspending all adverse actions for non-compliance.

"
"March 19, 2020"," The Governor signed Executive Order No. 105, which temporarily changes certain election procedures and changes the date of upcoming elections."
"March 19, 2020"," The Governor announced the opening of a drive-thru community-based testing site, which was established in partnership with FEMA."
"March 19, 2020"," The Governor signed Assembly Bill No. 3859, declaring a moratorium on removing individuals from their homes due to evictions or foreclosures."
