,date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other
0,"March 6, 2020","Governor Iveyannounced the formationof a Coronavirus (COVID-19) Task Force of cabinet and state agency officials, as well as disease specialists in an abundance of caution.",,,,,,,,,,,Y
1,"March 10, 2020","Governor Iveysent a memo to state agency headsdirecting state employees to notify their department heads, supervisors, and human resource offices if they have traveled in areas affected by the coronavirus.",,,,,,,,,,,Y
2,"March 13, 2020",Governor Ivey issued a state of emergency for Alabama.,,,,,,,Y,,,,Y
3,"March 14, 2020"," Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak.",Y,,,,Y,,,,,,
4,"March 15, 2020", Governor Ivey authorized directors of all state agencies to put different work schedules into place for state employees.,,,,,,,,,,,Y
5,"March 15, 2020"," The Governor authorized directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",,,,,,,,,,Y,Y
6,"March 16, 2020", The Alabama Department of Labor announced that state employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits.,,,,,,,,,,,Y
7,"March 17, 2020", The Governor emphasized measures taken by financial regulators to protect the financial system within the state.,,,,,,,,,,,Y
8,"March 17, 2020"," The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week.",Y,,,,,,,,,,
9,"March 18, 2020", The Governor announced the primary runoff election will be delayed to July 14.,,,,,,,,,,,Y
10,"March 19, 2020"," The Governor issued a statewide health order. The order includes the following directives through April 5.

All gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited.


Any restaurant, bar, brewery or similar establishments are not to permit on-premise consumption of food or drink.


All beaches are closed.


Preschools and childcare centers are closed.


All Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities) shall prohibit visitation of all visitors and nonessential health care personnel, except for certain compassionate care situations such as maternity and end-of-life.


All elective dental and medical procedures shall be delayed.

",Y,,,,Y,,,,,,
11,"March 20, 2020"," The Governor issued an updated statewide public health order prohibiting all non-work related gatherings of 25 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons.

The updated order also expands the availability of child day care in the state as long as certain guidelines are followed, and includes clarifying language regarding senior citizen centers and schools.

",Y,,,,,,,,,,
12,"March 20, 2020"," The Governor issued the second supplemental state of emergency proclamation, instructed appropriate agencies to take the necessary steps and issue the appropriate documents to expedite the movement of vehicles transporting emergency equipment, services, and supplies.",,,,,,,Y,,,,Y
13,"March 20, 2020", The Governor issued authorization to the Adjutant General with the Alabama National Guard to activate up to 100 guardsmen.,,,,,,,,,,,Y
14,"March 21, 2020", The Governor announced small businesses are eligible for assistance under the U.S. Small Business Administrations Economic Injury Disaster Loan (EIDL) program.,,,,,,,,,,,Y
15,"March 23, 2020"," The Governor announced that the state income tax filing due date is extended from April 15, 2020, to July 15, 2020.",,,,,,,,,,,Y
16,"March 23, 2020",- The Centers for Medicare & Medicaid Services (CMS) approved Alabamas request for a Section 1135 Medicaid waiver. The approved waiver enables Alabama to provide flexibilities in Medicaid provider screening and enrollment and forgo certain pre-admission screening and annual resident review assessments in the states Medicaid program.,,,,,,,,,,,Y
17,"March 26, 2020"," The Governor issued a memo on flexibilities for unemployment insurance claims. The state is waiving the work search, wait week, and good cause provisions and waiving all charges against employers who file partial unemployment compensation claims on behalf of their employees, until further notice.",,,,,,,,,,,Y
18,"March 26, 2020"," The Governor announced the fourth supplemental State of Emergency with the following provisions:

Requires all public K-12 schools to implement a plan to complete the 2019-2020 school year using alternate methods of instruction;


Extends the licensure period applicable to emergency medical services personnel and provides services;


Allows notaries to notarize signatures through videoconferences;


Allows state agencies to create and retain electronic records and send and accept electronic signatures;


Authorizes law enforcement officers to issue summons and complaint in lieu of custodial arrest for any violation or misdemeanor in certain circumstances; and


Permits the county or municipality to set a fee schedule for the summons and complaint that is concurrent with the bail fee and court costs associated with a custodial arrest for the same crime.

",,,,,,,Y,,,,Y
19,"March 27, 2020"," The State Health Officer announced an order with the following provisions:

Suspending all non-work-related gatherings of 10 persons or more, or non-work-related gatherings of any size that cannot maintain a consistent six-foot distance between persons;
Suspending all dental, medical, or surgical procedures with emergency medical exception;
Prohibiting visitors to all Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities); and
Closing in-person instruction or classes at all schools, public and private

",Y,,,,,,,,,,
20,"March 31, 2020"," The U.S. Department of Agriculture (USDA) has approved the Alabama Department of Education (ALSDE), Child Nutrition Programs waiver request for the restrictions on site eligibility requirements.",,,,,,,,,,,Y
21,"April 2, 2020", The Governor issued their fifth supplemental state of emergency to adopt measures to expand the capacity of the health care workforce.,,,,,,Y,,,,,Y
22,"April 3, 2020"," The Governor issued a Stay-at-Home order statewide. The order will be effective beginning Saturday, April 4, at 5:00 p.m. and will expire Thursday, April 30, 2020 at 5:00 p.m.",Y,,,,,,,,,,
23,"April 3, 2020", The Governorissuedtheir sixth supplemental state of emergency to cease enforcement of any order that would result in the displacement of a person from their place of residence. ,,,,,,,Y,,,,Y
24,"April 3, 2020", The Governor announced the Office of Volunteer Services in partnership with the Alabama Department of Public Health (ADPH) to launch ReadyOp. The program will collect volunteers and potential reserve staffs information and send out alerts if the help of qualified retired health professionals and medical students and related professionals is needed to support efforts. ,,,,,,,,,,,Y
25,"April 6, 2020"," The Governor announced the creation of altogetheralabama.org, a hub for information about the states response.",,,,,,,,,,,Y
26,"April 7, 2020"," The Governor announced the Ribbons of Hope campaign to encourage the people of Alabama to tie ribbons around a tree or pole in their front yard as a symbol to remind everyone to pray for medical personnel, first responders, and for one another.",,,,,,,,,,,Y
