date,policy
"March 9, 2020","Governor Guerrero implemented a Temporary Economic Assistance and Mitigation (TEAM) Plan to help small businesses:

Deferred 40% of BPT access to loans and90 dayinterest only
Financial Institutes are deferring loan payments to interest only

"
"March 15, 2020", The Governor declared a public health emergency.
"March 15, 2020", The Governor and the Guam Department of Public Health and Social Services implemented a 14-day suspension of non-essential Government of Guam Operations effective Monday March 16.
"March 16, 2020", The Governor signed a bill that prevents price gouging during a state of emergency.
"March 18, 2020", The Governor signed an executive order which instituted COVID-19 Mandatory Quarantine Protocol measures for all incoming travelers from the Philippines effective immediately. Other non-residents attempting to enter Guam not from the Philippines will also be subject to mandatory quarantine unless they have documentation confirming they have not been exposed to COVID-19.
"March 19, 2020"," The Governor ordered that all public spaces in which people come together for food and beverage, entertainment, recreation, and leisure will be closed until March 30. The order goes into effect March 20."
"March 20, 2020", The Guam Department of Education launched a Grab-N-Go school meal distribution program. The program will remain in effect through the duration of school closures.
"March 22, 2020", The Governors Homeland Security Office of Civil Defense announced that the U.S. Small Business Administration is offering low-interest federal disaster loans to small business in Guam.
"March 22, 2020", The Guam Department of Revenue and Taxes announced it would be aligning its income tax filing date with the federal government and pushing back its filling date to July 15.
"March 22, 2020", The Governor announced that the Department of Revenue and Taxes has issued nine (9) Notices of Violation (NOV) as part of its efforts to enforce compliance with the Governors Executive Order No. 2020-05 (non-essential business remaining in operation).
"March 22, 2020", The Governor announced that Guam will be seeking a major disaster declaration form the federal government.
"March 22, 2020", The Guam Department of Labor submitted an application for the Disaster Dislocated Worker grant in an effort to maximize Guams eligibility for federal assistance related to unemployment benefits.
"March 23, 2020"," The Governor announced that she will be extending the Public Health Emergency for Guam, an additional 14-days beyond March 30, 2020. She also ordered all public beaches and parks closed immediately and extended school closures until April 13th."
"March 26, 2020", The Guam Memorial Hospital Authority suspended viewing of deceased loved ones effective immediately in accordance with the governors executive order.
"March 26, 2020"," The Guam Behavioral Health and Wellness Center (GBHWC) has launched telehealth counseling services for medical professionals, frontline heroes, and first responders during this pandemic."
"March 26, 2020"," The Governor temporarily suspended parts of the Open Government Law, including the publics right to attend government meetings."
"March 27, 2020", The President approved Guams request for a Presidential Disaster Declaration.
"March 29, 2020", The Governor signed an agreement between the state government and the U.S. Department of Labor to move forward with the Pandemic Unemployment Assistance Program.
"April 3, 2020"," The Governor along with the Guam Department of Labor (GDOL), is working with the U.S. Department of Labor (USDOL) to create the guidelines and application process for the Pandemic Unemployment Assistance (PUA) program; the program will provide weekly benefit payments to workers who traditionally would not qualify for unemployment benefits, and who are unable to work."
"April 5, 2020", The Governor signed an executive order to establish COVID-19 Response differential pay policy for employees working in support of the public health emergency.
"April 5, 2020", The Governor signed an executive order to extend the public health emergency to May 5th. 
"April 7, 2020", The Guam Department of Education (GDOE) closed all GDOE school facilities and      canceled daily classes through the end of School Year. 
"April 7, 2020", The Governor signed an executive order further outlining social distancing measures and defining acceptable face covering required to be worn by essential workers. 
"April 9, 2020", The government of Guam received approval from the Internal Revenue Service (IRS) for a total estimated cost of $134.8 million of federal Economic Impact Payments to be paid to the Government of Guam.
"April 9, 2020", The Department of Public Health and Social Services (DPSS) has waived the requirement for food-handlers to obtain and possess a Health Certificate when employed at a food facility.
"April 9, 2020"," The Guam Housing and Urban Renewal Authority (GHURA) was awarded over $2.6 million in Coronavirus Aid, Relief, and Economic Security (CARES) Act funds to be used for non-profit and government service providers to reinforce efforts to bring relief and services to the homeless, individuals with disabilities, renters and homeowners."
"April 9, 2020"," The Guam Visitors Bureau (GVB), the Guam Hotel & Restaurant Association (GHRA) and the Guam Chamber of Commerce will conduct outreach to businesses impacted by COVID-19 through the Membership Outreach Movement (MOM), hybrid teams from the three membership based organizations will contact an estimated 800 businesses to help with organizing information for economic relief options available."
