date,policy
"March 4, 2020","Governor Baker announced that due to the emergency health situation, the state is urging colleges and universities to cancel upcoming organized international trips."
"March 10, 2020",Governor Bakerdeclaredastate of emergency.
"March 10, 2020",Broad restrictions are imposed on travel for many state employees
"March 12, 2020","Governor Baker signed off on a $15 milliondollarspending billthat willcover costs of monitoring, treating, containing and educating the public aboutCOVID-19."
"March 13, 2020",The stateallowedmedical professionalsfrom other states to obtain aMassachusettslicensein 24 hours.
"March 13, 2020",Governor Baker announced a ban on all gatherings of 250 people or more.
"March 15, 2020"," The Governor announced several new steps to address COVID-19, including the following:

All public and private elementary and secondary schools will be closed for three weeks.


Gatherings of more than 25 people are prohibited.


Visitors are prohibited from entering long-term care facilities and nursing homes.


The administration is filing emergency legislation that will allow new claims to be paid more quickly by waiving the one week waiting period for unemployment benefits.

"
"March 15, 2020"," The Governor announced a new legislative package aimed at supporting municipal governance that allows changes to the postponing of town meetings, adopting lower quorum rules, permitting municipal spending of revolving funds, and other measures."
"March 16, 2020"," The Governor announced a $10 million Small Business Recovery Loan Fund that aims to provide emergency capital (up to $75,000) to businesses in the state impacted by COVID-19."
"March 17, 2020"," The Governor announced four new emergency orders that make the following changes:

Licensed physicians who have retired in the last year, and who are in good standing, may be reactivated for a period of 90 days after the end of the public health emergency.


Providers in good standing from other states can obtain emergency licenses to practice in the state, or practice through telemedicine.


The ability of residents to provide critical services (under supervision) will be expanded.


Allows licenses for nurses, pharmacists and physician assistants, who would otherwise be up for renewal, to extend their licensure status by 90 days after the end of the public health emergency.


Adjusts the minimum standards for ambulance staffing to ensure capacity of EMS services.


Expands telehealth by facilitating those services across state lines.

"
"March 17, 2020", The Governors administration is distributing $5 million in initial emergency funding to address needs of community health boards. Additional funding will support public health emergency resources in cities and towns.
"March 17, 2020"," Building off the Governors emergency loan fund, the Governor formally requested that the Small Business Administration issue a declaration of economic injury so as to expedite the ability for small business to obtain loans."
"March 18, 2020"," The Governor announced that all early education and childcare centers will close on March 23, 2020."
