date,policy
"March 10, 2020","Governor Walzsignedlegislationauthorizingthe state to use an additional$21 million in state investments to support disease investigation, monitoring of the outbreak, public health information, and laboratory analysis of samples."
"March 11, 2020",Proposed legislationwouldgranttheGovernorthe authority to declare a peacetime emergency and allow employees to seek unemployment insurance or paid sick leave should they be quarantined due to COVID-19.
"March 12, 2020",Governor Walz restricted allstate business travel for state employees.
"March 15, 2020"," The Governor signed Executive Order 20-02 authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. Additionally, the order makes provisions for the continuity of mental health services and requires schools to continue providing meals to students in need. The Department of Health also issued comprehensive guidance for public school districts and charter schools on actions to take during these closures."
"March 15, 2020", The Minnesota Department of Labor and Industry released guidance on worker protections for those impacted by COVID-19.
"March 16, 2020"," The Governor issued a statement on economic conditions in the state due to COVID-19, stating that experts anticipate a U.S. recession beginning in the second quarter of 2020 and lasting until the first quarter of 2021."
"March 17, 2020", The Governor signed Ch 70 S.F. 4334 providing $200 million toward an emergency and long-term grant program. Roughly $50 million will go to a response contingency account and $150 million will be used to establish a health care response fund.
"March 18, 2020"," The Governor signed three new executive orders which:

Protect individuals in veterans homes by restricting visitors;


Provide emergency relief to motor carries to support food supplies; and


Provide paid leave for state employees that are unable to work.

"
"March 19, 2020", The Governor signed Executive Order 20-09 requiring health care providers to postpone elective surgeries and procedures and focus state health care capacity and equipment on needed resources.
"March 19, 2020", Minnesota designated grocery employees as emergency workers.
"March 20, 2020", The Governor announced that the state will partner with the YMCA to care for the school-age children of emergency workers.
"March 20, 2020", The Governor announced a 30-day special enrollment period for qualified individuals who are currently without insurance during this public health emergency.
"March 20, 2020"," The Governor signed three Executive Orders that ban price gouging, ensure critical services continue for vulnerable residents, and seek federal authority to waive or modify certain requirements for federal programs, such as the Family Investment Program, Medical Assistance, and MinnesotaCare."
"March 21, 2020", The Governor announced that small businesses in Minnesota are now eligible to apply for disaster assistance through the Small Business Administration loan for economic injury.
"March 23, 2020", The Governor announced that he will self-quarantine for 14 days after learning he had contact with an individual who tested positive.
"March 23, 2020"," The Governor signed Executive Orders 20-14, 20-15, 20-16, and 20-17, which suspend evictions during the peacetime emergency, establish Peacetime Emergency Loans for small businesses, direct non-hospital entities to conduct an inventory of personal protective equipment, and clarify that Executive Order 20-09 on elective surgeries and procedures applies to veterinarians."
"March 23 – The Minnesota Department of Employment and Economic Development created an Emergency Loan Program for Minnesota small businesses.  , 2020",March 23  The Minnesota Department of Employment and Economic Development created an Emergency Loan Program for Minnesota small businesses.
"March 25, 2020"," The Governor signed Executive Order 20-20, directing residents to stay at home, and issued a list of activities for which its permissible to leave, such as for health and safety activities, necessary supplies and services, and for the care of others. The Governor also announced a Stay Home MN public service announcement campaign through local media channels."
