,date,policy
0,"March 4, 2020", Virginias public health and safety expertsestablished an Incident Management Teamacross state governmentto leadthe Commonwealths planning and responsefor COVID-19.
1,"March 11, 2020",Governor Northamissuedastatementaddressing plans to enable state employee teleworking. He also encouragedprivate businesses to explore telework and paid time-off options.
2,"March 12, 2020","Governor Northam declared aState of Emergencyon12 Marchto address COVID-19. Guidance includeda ban on out-of-state travel, implementation of telework policies,cancellingspecially scheduled state events for 30 days, and urging avoidance of large public gatherings."
3,"March 13, 2020", The Governor ordered all K-12 schools in Virginia to close for a minimum of two weeks.
4,"March 15, 2020", The Governor announced a temporary ban on all public events of more than 100 people.
5,"March 16, 2020", The Governor joined the Governor of Maryland and the Mayor of the District of Columbia in calling on the President to add the National Capital Region to the list of priority locations for federal supported COVID-19 testing sites.
6,"March 17, 2020"," The Governor announced additional steps to mitigate the spread of COVID-19, including:

Recommending reduction of public gatherings of more than 10 people, in accordance with federal guidelines;


Encouraging those with chronic health conditions and those aged 65 or older to self-quarantine;


Mandating restaurants, fitness centers, and theaters reduce capacity to 10 people, or to close;


And closing Virginias 75 DMV offices to the public.

"
7,"March 17, 2020"," The Governor moved to increase support to affected workers and employers by:

Directing the Commissioner of the Virginia Employment Commission to waive the one-week waiting period to receive unemployment benefits;


Enhancing unemployment eligibility to include those directed to self-quarantine by a medical or public health official;


Granting affected workers special considerations on deadlines for mandatory re-employment appointments and work search requirements;


Activating regional workforce teams to support employers who have slowed or ceased operations;


Waiving financial penalties for employers who experience an increase in workers requesting unemployment benefits;


Authorizing funding through the Workforce Innovation and Opportunity Act for employers to remain open; and


Directing employers to follow U.S. Department of Labor guidance on workplace safety.

"
8,"March 17, 2020"," The Governor and the Health Commissioner issued a Public Health Emergency Order to enforce a prohibition on more than 10 patrons in restaurants, fitness centers, and theaters."
9,"March 19, 2020"," The Governor announced the following actions.

Increased access to health care for Medicaid members and low-income residents including waived co-pays and expanded access to telehealth.


Modifications to Virginias Child Care Subsidy Program to expand eligibility and ensure continued support for essential personnel.


Approved Economic Injury Disaster Loan to support Virginia small businesses.


Suspension of in-person visitations to state correctional facilities.


Suspension of Motor Vehicle Safety Inspections for 60 days.

"
10,"March 20, 2020", The Governor signed an Executive Order giving hospitals and nursing homes more flexibility to add beds.
11,"March 21, 2020"," The Virginia Department of Health amended testing criteria, giving additional priority to first responders and medical professionals who have had contact with confirmed cases."
12,"March 23, 2020"," The Governor issued Executive Order 53:

Orders the closure of non-essential businesses and permits carry-out food and alcohol services, and delineates essential businesses;


Bans gatherings of more than 10 people;


Closes all K-12 schools for the remainder of the academic school year; and


Urges Virginians to stay home except for essential travel.
The order will remain in effect until April 23.

"
13,"March 23, 2020",- The Centers for Medicare & Medicaid Services (CMS) approved Virginias request for a Section 1135 Medicaid waiver. The approved waiver enables Virginia to lift prior authorization requirements and extend fair hearing and appeals timelines in its Medicaid program.
14,"March 25, 2020", The Governor and the State Health Commissioner directed all hospitals to stop performing elective surgeries or procedures for the preservation of personal protective equipment (PPE).
15,"March 27, 2020", The Governor encouraged Virginians to complete the 2020 Census online.
16,"March 30, 2020"," The Governor issued a Stay at Home executive order, effective until June 10. Violation of the order will be considered a Class 1 misdemeanor."
17,"April 2, 2020", The Governor announced that the state of Virginias request for a federal major disaster declaration was approved.
18,"April 3, 2020", The Governor announced $2.5 million in emergency funding to provide housing options to Virginias homeless population.
19,"April 8, 2020", The Governor requested      the General Assembly to move the May general election and all special      elections scheduled for May 5 to November 3. The Governor also moved the      June 9 primary election to June 23. 
20,"April 8, 2020", The Governor authorized      the Virginia Alcoholic Beverage Control Authority (ABC) to defer annual      fees for licenses and permits that would be up for renewal through June.      The Governor also directed the ABC to allow establishments with mixed      beverage licenses to sell mixed beverages through takeout or delivery. 
21,"April 8, 2020", The Governor announced several      changes to unemployment insurance rules and processes to help make it      easier for people to receive benefits in a timely manner.
22,"April 12, 2020"," The Governor signed a number of laws to protect Virginian workers, including legislation to combat wage theft, ban workplace discrimination, and prohibit non-compete covenants for low-wage workers. "
23,"April 12, 2020", The Governor proposed an increase to minimum wage and the creation of a work-sharing program to support workers impacted by COVID-19. 
