date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
6-Mar-20,"Governor Ivey announced the formation of a Coronavirus (COVID-19) Task Force of cabinet and state agency officials, as well as disease specialists in an abundance of caution.",,,,,,,,,,,Y,
10-Mar-20,"Governor Ivey sent a memo to state agency headsdirecting state employees to notify their department heads, supervisors, and human resource offices if they have traveled in areas affected by the coronavirus.",,,,,,,,,,,Y,
13-Mar-20,Governor Ivey issued a state of emergency for Alabama.,,,,,,,Y,,,,Y,
14-Mar-20,"Governor Ivey closed all Alabama public schools beginning close of business Wednesday, March 18 for two and a half weeks due to the coronavirus outbreak.",Y,,,,Y,,,,,,,
15-Mar-20,Governor Ivey authorized directors of all state agencies to put different work schedules into place for state employees.,,,,,,,,,,,Y,
15-Mar-20,"The Governor authorized directors of all state agencies to implement different telework, flexible work schedules and social distancing practices for the next three weeks.",,,,,,,,,,Y,Y,
16-Mar-20,The Alabama Department of Labor announced that state employees who are unable to work due to COVID-19 will be eligible to file for unemployment benefits.,,,,,,,,,,,Y,
17-Mar-20,The Governor emphasized measures taken by financial regulators to protect the financial system within the state.,,,,,,,,,,,Y,
17-Mar-20,"The Alabama Department of Public Health issued updated guidelines stating any restaurant, bar, or brewery shall not permit on-premises consumption of food or drink for one week.",Y,,,,,,,,,,,
18-Mar-20,The Governor announced the primary runoff election will be delayed to July 14.,,,,,,,,,,,Y,
19-Mar-20,"The Governor issued a statewide health order. The order includes the following directives through April 5. All gatherings of 25 persons or more, or gatherings of any size that cannot maintain a consistent six-foot distance between persons are prohibited. Any restaurant, bar, brewery or similar establishments are not to permit on-premise consumption of food or drink. All beaches are closed. Preschools and childcare centers are closed. All Hospitals and Nursing Home/Long Term Care Facilities (including Assisted Living and Specialty Care Assisted Living Facilities) shall prohibit visitation of all visitors and nonessential health care personnel, except for certain compassionate care situations such as maternity and end-of-life. All elective dental and medical procedures shall be delayed.",Y,,,,Y,,,,,,,
20-Mar-20,"The Governor issued an updated statewide public health order prohibiting all non-work related gatherings of 25 persons or more, or non-work related gatherings of any size that cannot maintain a consistent six-foot distance between persons. The updated order also expands the availability of child day care in the state as long as certain guidelines are followed, and includes clarifying language regarding senior citizen centers and schools.",Y,,,,,,,,,,,
20-Mar-20,"The Governor issued the second supplemental state of emergency proclamation, instructed appropriate agencies to take the necessary steps and issue the appropriate documents to expedite the movement of vehicles transporting emergency equipment, services, and supplies.",,,,,,,Y,,,,Y,
20-Mar-20,The Governor issued authorization to the Adjutant General with the Alabama National Guard to activate up to 100 guardsmen.,,,,,,,,,,,Y,
21-Mar-20,The Governor announced small businesses are eligible for assistance under the U.S. Small Business Administrations Economic Injury Disaster Loan (EIDL) program.,,,,,,,,,,,Y,
23-Mar-20,"The Governor announced that the state income tax filing due date is extended from April 15, 2020, to July 15, 2020.",,,,,,,,,,,Y,
23-Mar-20,The Centers for Medicare & Medicaid Services (CMS) approved Alabamas request for a Section 1135 Medicaid waiver. The approved waiver enables Alabama to provide flexibilities in Medicaid provider screening and enrollment and forgo certain pre-admission screening and annual resident review assessments in the states Medicaid program.,,,,,,,,,,,Y,
26-Mar-20,"The Governor issued a memo on flexibilities for unemployment insurance claims. The state is waiving the work search, wait week, and good cause provisions and waiving all charges against employers who file partial unemployment compensation claims on behalf of their employees, until further notice.",,,,,,,,,,,Y,
