date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
11-Mar-20,Governor Hutchinson signed an executive order to declare a public health emergency to facilitate coordination and provide increased support to state agencies that are involved in response to the virus.,,,,,,,Y,,,,,
11-Mar-20,The Governor announced that members of his cabinet must approve state employees out-of-state business travel for the next 60 days.,,,,,,,,,,,Y,
12-Mar-20,"The Secretary of State ordered the closure of the Arkansas State Capitol to the public, effective March 13. Only authorized personnel will be permitted to enter the building for work purposes.",Y,,,,,,,,,,,
12-Mar-20,"The Governor amended executive order 20-03 to authorize funds from the Governors Disaster Fund, Emergency Response Fund in the amount of $750,000 to defray costs for the Arkansas Division of Emergency Management.",,,,,,,,,Y,,,
13-Mar-20,"The Governor issued executive order 20-05, permitting health care professionals to consult with patients remotely, rather than in person.",,,,,,Y,,,,,,
15-Mar-20,The Governor closed all public schools starting March 17 for on-site instruction until the end of Spring Break.,Y,,,,Y,,,,,,,
15-Mar-20,The Governor announced the activation of the Arkansas National Guard to assist in COVID-19 response.,Y,,,,,,,,,,Y,
17-Mar-20,"The Governor directed the Arkansas Department of Commerce to expedite unemployment benefits to assist Arkansans whose employment status may be impacted by COVID-19, including waiving the waiting period and work-search requirements for 30 days, and allowing the unemployed to apply for benefits online or by telephone.",,,,,,,,,,,Y,
17-Mar-20,The Governor ordered the states three casinos to close for two weeks. He also announced that he was easing requirements for applying for unemployment benefits to help people who lose their jobs as businesses close or scale back operations.,Y,,,,,,,,,,Y,
17-Mar-20,"The Governor issued executive order 20-06, creating greater flexibility for state agencies to waive or suspend statutes and rules in response to the emergency.",,,,,,,,,,,Y,
17-Mar-20,The Arkansas Economic Development Commission established a $7 million loan program to provide assistance to businesses and the Quick Action Loan Program to prioritize small to medium-sized businesses.,,,,,,,,,,,Y,
18-Mar-20,"The Governor made a formal request for a disaster declaration for small businesses, which will open up loans of up to $2 million in working capital from the Community Development Block Grant and the states Quick Action Closing Fund.",,,,,,,,,,,Y,
18-Mar-20,The Governor suspended the renewal process for childcare vouchers for 30 days and will expedite the process once it resumes.,,,,,,,,,,,Y,
18-Mar-20,The Governor announced childcare providers will be allowed to temporarily increase capacity.,,,,,,,,,,,Y,
18-Mar-20,The Governor announced that the Supplemental Nutrition Assistance Program (SNAP) will suspend the work requirement through the end of April.,,,,,,,,,,,Y,
18-Mar-20,The Governor announced that the state would allocate $12 million in block grant money and up to $4 million from the quick-action fund to provide bridge loans to help mid-size companies and nonprofits remain open.,,,,,,,,,Y,,,
19-Mar-20,"The Governor announced schools will remain closed for an additional three weeks through April 17 banned sit-down service at all restaurants and bars. Due to dining restrictions, the state is temporarily allowing restaurants to sell beer and wine for takeout or delivery with the purchase of food.",Y,,,,Y,,,,,,,
19-Mar-20,"The Governor announced the state will move to telecommuting, with on-site work limited to employees needed for the proper function of government. He also ordered hospitals, clinics, and mental health facilities to screen staff and visitors for temperature and potential symptoms of the virus.",Y,,,Y,,,,,,,,
19-Mar-20,The Governor suspended the renewal process for child-care vouchers for 30 days and will expedite the process once it resumes.,,,,,,,,,,,Y,
19-Mar-20,The Governor announced the Department of Human Services (DHS)temporarily relaxed limits on child-care providers to increase capacity by up to five children.,,,,,,,,,,,Y,
19-Mar-20,The Governor announced that the Supplemental Nutrition Assistance Program (SNAP) will suspend the work requirement through the end of April.,,,,,,,,,Y,,Y,
20-Mar-20,The Governor authorized the release of $30 million to the Department of Finance and Administration for the purchase of personal protective equipment (PPE) for health care professionals and first responders.,,,,,,,,,,,Y,
20-Mar-20,The Governor issued an executive order expanding the provisions under the Telemedicine Act. The order includes the following provisions: Suspends provisions that require an in-person encounter or a face-to-face examination to allow time audio and visual means to establish a professional relationship; Allows reimbursement to health care providers who take advantage of this provision; and Suspends the Rules and Regulations of the Arkansas Board of Examiners in Counseling to allow licensed counselors to treat their clients by telephone.,,,,,,Y,,,,,Y,
23-Mar-20,"The Governor announced the extension of the tax filing and payment deadline to July 15, 2020.",,,,,,,,,,,Y,
24-Mar-20,"The Governor issued a directive closing in-person operations of all barbers, body art establishments and schools, cosmetology establishments, massage therapy clinics/spas, and medical spas.",Y,,,,,,,,,,,
24-Mar-20,The Governor issued executive order 20-05 to leverage telehealth allowing doctors to intake new patient over the phone.,,,,,,,,,,,Y,
25-Mar-20,The Governor issued the official call to legislators for an extraordinary session of the 92nd General Assembly to do the following: Create the COVID-19 Rainy Day Fund; Confirm gubernatorial appointees; and Provide for the payment of expenses and per diem of the House of Representatives and the Senate for this extraordinary session.,,,,,,,,,,,Y,
25-Mar-20,The Governor announced the Arkansas State Medical Board has granted emergency temporary licenses to medical residents who have completed at least one year of internship and waived all licensing fees. The medical board has also accelerated its overall licensing process.,,,,,,Y,,,,,Y,
26-Mar-20,"The Governor announced the Arkansas Department of Human Services (DHS) is submitting a Medicaid Section 1115 waiver to the federal Centers for Medicare and Medicaid Services (CMS) to provide $116 million in additional Medicaid funding to protect Arkansas health care workers, their patients, and to support health care providers.",,,,,,,,,Y,,Y,
27-Mar-20,"The Governor announced a new plan with an emphasis on Arkansass rural providers including the following: Waiving of Medicaid regulations, with an estimated cost of $116 million;Providing financial assistance to hospitals with fewer than 65 beds and clinics without the capital to adapt their facilities to new care delivery processes; Providing safe face-to-face service by extending clinic hours or staggering schedules to separate patients; Providing assistance to expand and upgrade telemedicine so doctors can treat patients from their homes, with telemedicine training funded by the state; and Providing funding to companies that provide non-emergency transportation.",,,,,,Y,,,Y,,Y,
28-Mar-20,The Governor signed legislation establishing the COVID-19 Rainy Day Fund with $173 million to support the response and to avoid cutting some agencies budgets. ,,,,,,,,,Y,,Y,
30-Mar-20,"The Governor issued an executive order that created the Arkansas Coronavirus Aid, Relief, and Economic Security Act Steering Committee (Arkansas CARES Act Steering Committee) to identify the needs of the state and make recommendations to the Governor for the best use of the federal CARES Act funding.",,,,,,,,,,,Y,
30-Mar-20,The Governor announced $45 million funding will be allocated to the purchase of personal protective equipment (PPE) and ventilators for health care professionals and first responders as they test and treat patients.,,,,,,,,,Y,,Y,
1-Apr-20,"The Governor implemented day use operations only, effective 8 a.m. on Friday, April 3 for all state parks.",,,,,,,,,,,Y,
1-Apr-20,"The Governor announced a partnership with Walmart and Quest Labs to start a pilot, drive-thru testing site in Benton County for first responders and health care workers.",,,,Y,,,,,,,Y,
2-Apr-20,"The Centers for Medicare & Medicaid Services (CMS) approved Arkansas request for a Section 1135 Medicaid waiver. The approved waiver enables Arkansas to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan.",,,,,,Y,,,,,Y,
4-Apr-20,"The Governor issued an executive order mandating new safety measures for commercial lodgings, short-term rentals, and other institutions for authorized guests such as first responders.",,,,,,,,,,,Y,
4-Apr-20,The Governor announced that President Trump in coordination with the Federal Emergency Management Agency (FEMA) approved Arkansass request for a Presidential Major Disaster Declaration for the state.,,,,,,,Y,,,,Y,
