date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
2-Mar-20,Governor Newsom is requesting emergency action from the legislature to make available up to $20 million for the COVID-19 response.,,,,,,,,Y,,,Y,
3-Mar-20,"California's Public Health Department announced that it received federal approval to use some of its emergency planning reserves of 21 million N95 filtering facepiece masks in certain low-risk situations to relieve pressure on the supply chain. March 4, 2020 Governor Newsom declared a state of emergency to help state prepare for broader spread of COVID-19.",,,,,,,,,Y,,Y,
5-Mar-20,California Employee Development Department announced support services to individuals affected by COVID-19 in California.,,,,,,,,,,,Y,
5-Mar-20,The California Department of Insurance issued similar direction providing cost free medically necessary testing for an additional 2 million Californians.,,,,,,,Y,,,,Y,
7-Mar-20,"California officials issued updated guidance to schools, colleges and universities, event organizers and public health officials as they plan forfurtherspread of COVID-19.",,,,Y,,,,,,,Y,
11-Mar-20,Governor Newsom announced that gatherings larger than 250 people should be cancelled or postponed.,,,,,,,,,,,Y,
11-Mar-20,California public health officials issued an updated policy on gatherings to protect public health and slow the spread of COVID-19. The state's public health expertshave determined that gatherings should be postponed or canceled across the state until at least the end of March.,Y,,,,,,,,,,,
12-Mar-20,"Californiaissueda new executive order further enhancing Californias ability to respond to the COVID-19 pandemic.The Governors order: Waives the one-week waiting period for people who are unemployed and/or disabled as a result of COVID-19; Delays the deadline for state tax filing by 60 days for individuals and businesses unable to file on time based on compliance with public health requirements related to COVID-19filings; Directs residents to follow public health directives and guidance, including to cancel large non-essential gatherings that do not meet statecriteria; Readies the state to commandeer property for temporary residences and medical facilities for quarantining, isolating or treatingindividuals; Allows local or state legislative bodies to hold meetings via teleconference and to make meetings accessible electronically; and Allows local and state emergency administrators to act quickly to protect public health.",,,,,,,,,,,Y,
13-Mar-20,The Governor releasedinformationincluding support for workers via unemployment insurance (UI) and disability insurance (DI) whohave toquarantine or experience reduced hours due to coronavirus.,Y,,,,,,,,,,,
13-Mar-20,"The Governor issued an executive order ensuring California public school districts retain state funding even in the event of physical closure. The order directs school districts to use those state dollars to fund distance learning and high-quality educational opportunities, provide school meals and, as practicable, arrange for the supervision for students during school hours.",,,,,,,,,,,Y,
15-Mar-20,"The Governor called for all bars, wineries, nightclubs and brewpubs to close and urged seniors and people with chronic health conditions to isolate themselves at home in a bid to contain the spread of the coronavirus.",Y,,,,Y,,,,,,Y,
15-Mar-20,The Governor announced pilot programs in two counties that will begin mobile testing in the next 24-48 hours.,,,,Y,,,,,,,,
16-Mar-20,"The Governor issued an executive order that authorizes local governments to halt evictions for renters and homeowners, slows foreclosures, and protects against utility shutoffs for Californians affected by COVID-19.",,,,,,,,,,,Y,
16-Mar-20,"The Governor issued an executive order directing state health and social services agencies to redirect resources and staff to health care, residential and non-residential facilities licensed by the state, focusing on providing technical assistance and supporting compliance with core health and safety requirements for caregivers and the cared for.",,,,,,,,,,,Y,
16-Mar-20,The Governor asked the California Legislature for emergency legislative action to combat COVID-19.,,,,,,,,,,,Y,
17-Mar-20,The Governor signed an executive order to ease restrictions on commercial drivers engaged in support of emergency relief efforts.,,,,,,,,,,,Y,
17-Mar-20,"The Governor directed the National Guard to be prepared to perform humanitarian missions across the state including food distribution, ensuring resiliency of supply lines, as well as supporting public safety as required.",,,,,,,,,,,Y,
17-Mar-20,The Governor signed emergency legislation providing up to $1 billion in funding to help California fight COVID-19. The package also provides $100 million in funding for personal protective equipment and cleaning for schools that remain open. It also allows schools to maintain funding despite service disruptions.,,,,,,,,,Y,,Y,
18-Mar-20,The Governor authorized $150 million in funding to protect homeless Californians from COVID-19.,,,,,,,,,Y,,Y,
18-Mar-20,The Governor issued an executive order to suspend standardized testing for students.,,,,,Y,,,,,,Y,
18-Mar-20,The Governor announced the launch of a new COVID-19 public awareness campaign to provide useful information to Californians and inform them of actions they can take to further prevent the spread of the virus.,,,,,,,,,,,Y,
