date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
2-Mar-20,"In response to new coronavirus cases, Governor Polis announced that the state has raised its emergency preparedness level to level 2, with 10 state agencies having a representative available for contact at all hours of the day.",,,,,,,Y,,,,Y,
10-Mar-20,"Governor Polis signed an executive order declaringa state of emergency and requesting certain actions: The Colorado Department of Labor and Employment (CDLE) is directed to engage in emergency rulemaking to ensure workers in food handling, hospitality, child care, health care, and education can get paid sick leave. For workers who test positive and lack access to paid leave, the Governor is directing CDLE to identify additional supports and wage replacement such as access to unemployment insurance. The Colorado Department of Personnel and Administration will engage in emergency rulemaking regarding state employees. The Department of Revenue is directed to temporarily allow Coloradans over the age of 65 to extend their drivers licenses online to avoid having to congregate at DMVs. The Colorado Department of Public Health and the Environment will be opening a drive-up lab at their facility in Lowry to test anyone who has a note from their doctor stating that they meet the criteria for testing. Governor Polis also encouraged the private sector to voluntarily offer paid sick leave.",,,,Y,,,Y,,,,Y,
11-Mar-20,"Governor Polis issued guidance to all K-12 schools recommending that if they have a student or faculty member who tests positive that they close for 72 hours, allowing for schools to be disinfected and for the epidemiologists to conduct an investigation and recommend next steps for those schools. More details on the guidance are available here.",,,,,,,,,,,Y,
11-Mar-20,"Governor Polis also instructedthe Colorado Department of Public Health and the Environment and the Colorado Department of Human Services to engage in emergency rulemaking to limit visitation to facilities that serve older Coloradans, to screen all employees and visitors to these facilities, and to take necessary steps to protect those in these facilities.",,,,,,,,,,,Y,
13-Mar-20,"The Governor issued guidance for large gatherings, recommending canceling or postponing any events with more than 250 people unless there are steps taken to ensure a distance of at least six feet between smaller parties at the event. The Governor's update also highlighted the following actions: The Division of Insurance has made allowances for seniors to get an extra months supply of prescription medications. The state activated the National Guard to provide additional testing capacity around the state and train other community medical providers on standing up their own mobile testing labs. The Governor instructed the Colorado Department of Regulatory Agencies to cut through red tape on licensing medical professionals so that medical professionals with licenses in other states can be licensed in Colorado as quickly as possible. The state has already contracted to have dozens of nurses from out-of-state arrive on Monday to help with Colorado communities that have been hit the hardest. CDPHE has also authorized every EMT and paramedic in the state to administer the test.",,,,,,,,,,,Y,
14-Mar-20,The Governor issued an executive order directing downhill ski resorts to suspend operations for one week to slow the spread of COVID-19 and conserve medical resources in the states mountain communities.,Y,,,,,,,,,,,
14-Mar-20,"The Governor and the Colorado Department of Public Health and Environment is restricted all visitors at skilled nursing, assisted living, and intermediate care facilities to protect the health of the residents and health care workers at those facilities.",Y,,,,,,,,,,,
16-Mar-20,"The Colorado Department of Public Health and Environment issued a public health order to close bars, restaurants, gyms, theaters, and casinos to slow the spread of COVID-19, effective at 8:00 AM on March 17 for the duration of 30 days.",Y,,,,,,,,,,,
16-Mar-20,The Governor announced Department of Motor Vehicles and all Department of Revenue facilities will be closed to the public for one month from March 18  April 18. All state driver license offices will be closed to the public but will continue to process online license and ID renewals and other DMV online services.,Y,,,,,,,,,,,
16-Mar-20,The Colorado Department of Education has received a waiver from the US Department of Agriculture to continue serving free and reduced meals to r students while schools are closed.,,,,,,,,,,,Y,
16-Mar-20,The State of Colorado welcomed 50 nurses dedicated to help with the states COVID-19 response. This was made possible with funding from the Disaster Emergency Fund freed up by The Governor's March 11 Executive Order.,,,,,,Y,,,,,Y,
16-Mar-20,"The Governor announced the launch of the Doing My Part CO digital campaign to encourage residents to practice proper hygiene and social distancing, as well as getting groceries or medicine for elderly neighbors.",,,,,,,,,,,Y,
17-Mar-20,The Governor signed an executive order and House Bill 20-1359 allowing Colorado's political parties to amend certain rules and procedures governing the conduct of their assemblies and conventions and to limit in-person contact during nominating assemblies and conventions.,,,,,,,,,,,Y,
18-Mar-20,"The Governor announced the launch of the Help Colorado Now effort where Coloradans can donate or volunteer, as well as the Colorado COVID Relief Fund, which has already raised nearly $3 million to help Coloradans impacted by COVID-19.",,,,,,,,,,,Y,
18-Mar-20,"The Governor issued an executive order suspending in-person learning in public and private schools across the state from March 23 to April 17. The executive order also directs the following actions: Colorado school districts and the Charter School Institute will make every effort to provide alternative learning opportunities while taking into account the needs of local communities. The Commissioner of Education will issue guidance to support P-12 school systems in developing and implementing plans to assist families and students in accessing alternative learning, providing free and reduced lunch and breakfast, and offering waivers for instructional time as appropriate.",Y,,,,Y,,,,,,,
18-Mar-20,The Governor issued an executive order extending the suspension of downhill ski area operations through April 6. The order extends his previous order suspending ski area operations until March 22.,Y,,,,,,,,,,,
18-Mar-20, The Colorado Department of Public Health issued a public health order prohibiting gatherings of more than 10 people.,Y,,,,,,,,,,,
18-Mar-20,"The Governor signed two bills: HB 20-1301: Allowing local school district boards of education to adopt policies allowing board members to participate in meetings electronically, as long as a quorum of board members is physically present. SB 20-091: Setting the minimum pay for a member of the Colorado National Guard to be equivalent to the pay rate of an enlisted person holding the rank of E-4 with over six years of service.",,,,,,,,,,,Y,
19-Mar-20,"The Governor signed an executive order temporarily suspending elective and nonessential surgeries and procedures to preserve important medical equipment, like personal protective equipment and ventilators.",,,,,,Y,,,,,Y,
19-Mar-20,The Governor issued an updated executive to limit in-person contact concerning elections operations of the Secretary of States Office.,Y,,,,,,,,,,,
19-Mar-20," The Colorado Department of Public Health and Environment issued an updated public health order closing bars, restaurants, theaters, gyms, and casinos to include nonessential personal services facilities, horse track, and off-track betting facilities statewide.",Y,,,,,,,,,,,
19-Mar-20,The Division of Insurance and Connect for Health Colorado announced Emergency Regulation 20-E-02 will establish a special enrollment period for uninsured Coloradans to get health insurance.,,,,,,,,,,,Y,
19-Mar-20,The Governor secured a federal loan valued at $2 Million for small businesses as part of the Small Business Administrations Economic Injury Disaster Loan program. ,,,,,,,,,Y,,Y,
20-Mar-20,"The Governor established the Colorado Emergency Childcare Collaborative, which will create a system of emergency childcare for essential workers, including healthcare and public safety workers.",,,,,,,,,,,Y,
20-Mar-20,The Governor announced the Department of Regulatory Agencies (DORA) is working with state-chartered financial institutions to address the threat of residential and commercial foreclosures and displacement.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced the Colorado Department of Labor and Employments (CDLE) Unemployment Insurance Division to expedite claim payments during this state of emergency.,,,,,,,,,,,Y,
20-Mar-20,"The Governor announced an executive order extending the income tax payment deadline for all Colorado taxpayers by 90 days until July 15, 2020, without penalty or interest. The order includes the following provisions: Does not impose any caps on the amount of tax that can be deferred. Grants an extension for taxpayers who are required to make estimated income tax payments for the 2020 tax year. Directs the Department of Revenue (DOR) to coordinate with local governments that choose to extend tax payment deadlines for property, sales, and use taxes.",,,,,,,,,,,Y,
20-Mar-20,The Governor announced The Governor's Economic Stabilization and Growth Council.,,,,,,,,,,,Y,
20-Mar-20,"The Governor issued an executive order allowing retailers licensed for the sale of on-premises alcohol consumption to sell, deliver or provide takeout for sealed alcoholic beverages if the customer also purchases food. The order includes the following provisions: Suspends the requirement of a physical examination for a medical marijuana card to be issued; and Suspends the prohibition on online sales for retail marijuana stores.",,,,,,,,,,,Y,
22-Mar-20,The Governor signed an executive order directing all of Colorado's non-critical employers to reduce their in-person workforce by 50 percent. The order includes the following provisions: Directs all employers to implement telework options to the greatest extent possible.,,,,,,,,,,,Y,
22-Mar-20,The Governor launched the states Innovation Response Team (IRT) to bring together public and private sector resources and innovations.,,,,,,,,,,,Y,
25-Mar-20,"The Governor announced a statewide stay-at-home order beginning on Thursday, March 26 at 6:00 a.m. that will last until April 11, 2020.",Y,,,,,,,,,,,
