date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
7-Mar-20,Governor Lamont announced that Connecticut is partnering with United Way of Connecticut to launch an information hotline for questions from the public regarding issues related to the spread of coronavirus (COVID-19).,,,,,,,,,,,Y,
9-Mar-20,The Governor also issued an immediate freeze on state employee travel on state business outside of Connecticut until further notice.,Y,,,,,,,Y,,,,
9-Mar-20,The Department of Insurance has a bulletin which encourages insurers to consider waiving cost sharing forCOVID-19 testing and also highlights other related benefits.,,,,,,,,,,,Y,
10-Mar-20,"Governor Lamont declared civil preparedness and public health emergencies.The declarations trigger price gouging laws, and make clear that municipal leaders have emergency powers to mitigate disasters and emergencies",,,,,,,Y,,,,,
10-Mar-20,The Connecticut Insurance Department is notifying travel insurance companies about the emergency declarations and will be monitoring their compliance with the terms of their policies.,,,,,,,,,,,Y,
10-Mar-20,Governor Lamont announced that his administration is working with health insurance carriers in Connecticut to cover the costs for COVID-19 testingand to assureaccess to maintenance prescription drug medications (excluding controlled substances).,,,,,,,,,,,Y,
11-Mar-20,Connecticut Insurance Department Commissioner Mais issued a notice to all travel insurersconducting business in Connecticut. The notice instructs insurers to accommodate travel cancellation requests under the terms of the policiestaking into account the seriousness of the circumstances and the civil preparedness and public health emergencies issued by Governor Lamont.,,,,,,,,,,,Y,
11-Mar-20,"Governor Lamont made an emergency request from the Strategic National Supply for a total of 540,000 additional N-95 protective masks.",,,,,,Y,,,,,Y,
12-Mar-20,"Connecticut signed an executive order that takes several actions: Prohibits all events in the state with over 250 people; Modifies the state law requiring schools to be in for 180 days; Clarifies visitor restrictions at all nursing and convalescent homes; Authorizes DMV to extend renewal deadlines to reduce crowds at DMV branches; and Relaxes attendance rules for police academy trainees. The Connecticut Department of Motor Vehiclesordereda 90-day extension on all license renewals. Connecticut has made anemergency requestfrom the Strategic National Supply for a total of 540,000 additional N-95 protective masks.",Y,,,,Y,,,,,Y,,
13-Mar-20,"The Governor signed an executive order granting the commissioner of the Department of Public Health additional authority to restrict visitation to facilitates such as nursing home facilities, residential care homes, and chronic disease hospitals.",Y,,,,,,,,,,,
14-Mar-20,"The Governor signed his third executive order since the enactment of the emergency declarations earlier in the week. The latest order: Relaxes in-person open meeting requirements to minimize large gatherings, with safeguards to provide remote public access; Allows pharmacists to compound and sell hand sanitizer; Waives requirements for pharmacists to use certain personal protective equipment when working with non-hazardous, sterile compounds; Authorizes refunds of liquor permit fees for special events that have since been canceled; Waives face-to-face interview requirements for Temporary Family Assistance; Authorizes the Commissioner of Early Childhood to waive certain licensing and other requirements to maintain and increase the availability of childcare; and Authorizes the Office of Health Strategy to waive Certificates of Need and other requirements to ensure adequate availability of healthcare resources and facilities.",Y,,,,,,,,,,Y,
14-Mar-20,"The Governor directed telework requirements to be eased for certain executive branch state employees, allowing an increased number of employees to work from home. He is also providing executive branch state employees who cannot report to work due to COVID-19 14 days of paid time off.",,,,,,,,,,,Y,
14-Mar-20,The Connecticut National Guard is aiding the state with requests for assistance.,,,,,,,,,,,Y,
