date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
7-Mar-20,The District of Columbia announces its first COVID-19 case a Reverend at Christ Church Georgetown.,,,,,,,,,,,Y,
13-Mar-20,"The District of Columbia bans gathering of 50+, cuts restaurant dining room capacity to half, disallows bar/standing service for social distancing, and closes nightclubs.",Y,,,,,,,,,,,
16-Mar-20,D.C. begins offering free student meals at schools.,,,,,,,,,,,Y,
16-Mar-20,District government begins modified operations with some office closures and allowance for telework.,Y,,,,,,,,,,,
16-Mar-20,"D.C. government closes restaurant/bar dining rooms, begins takeout/delivery service only.",Y,,,,,,,,,,,
17-Mar-20,"WMATA, the regional transit authority, moves to an essential-travel-only service schedule for both rail and bus service. (Status of local transit service providers)",Y,,,,,,,Y,,,,
17-Mar-20,"D.C. Council passes its first COVID-19 emergency legislation, the COVID-19 Response Emergency Amendment Act of 2020 (B23-0718 or Act 23-247)",,,,,,,,,,,Y,
17-Mar-20,D.C. becomes an eligible jurisdiction for US Small Business Administration COVID-19 disaster loans.,,,,,,,,,,,Y,
19-Mar-20,"D.C. makes transportation-related adjustments: rush hour parking restrictions are suspended, rush hour reversible lanes on Connecticut Ave & 16th St. are suspended, Circulator fares are suspended to allow all-door boarding and the bus service's National Mall route is suspended, residential street sweeping is suspended, and booting/towing suspended.",,,,,,,,,,Y,Y,
20-Mar-20,The District of Columbia announces that modified government operations and D.C. Public Schools distance learning is extended to April 27.,Y,,,,Y,,,,,,,
22-Mar-20,"In response to crowds ignoring social distancing during cherry blossom peak bloom, D.C. uses road closures to create restricted access zone around the Tidal Basin to mitigate visits to cherry blossoms.",Y,,,,,,,,,,,
24-Mar-20,Mayor Bowser announces all non-essential District businesses must close.,Y,,,,,,,,,,,
24-Mar-20,"Amid social-distancing concerns, the U.S. Department of Agriculture closes the National Arboretum.",Y,,,,,,,,,,,
24-Mar-20,"D.C. schools begin first day of distance learning, following return from early spring break. D.C. also announces the launch of the D.C. Education Equity Fund.",Y,,,,Y,,,,,,,
26-Mar-20,"WMATA will close 19 Metrorail stations and entrances at 9 stations with multiple entries, in a bid to limit employee exposure and save cleaning resources. (map of modified system)",Y,,,,,,,Y,,,,
30-Mar-20,"Following the lead of Maryland and Virginia, Mayor Muriel Bowser issues a stay at home order for the District of Columbia.",Y,,,,,,,,,,,
7-Apr-20,"D.C. Council passes its second COVID-19 response bill, B23-0733 – COVID-19 Response Supplemental Emergency Amendment Act of 2020.",,,,,,,,,,,Y,
8-Apr-20,"Mayor Muriel Bowser issues Mayor's Order 2020-058 mandating that people wear masks in grocery stores, limiting the number of customers who may be in a store at a given time, and closing self-service stations such as salad bars, among other restrictions.",Y,,,,,,,,,,,
10-Apr-20,"Mayor Muriel Bowser requests that the National Park Service (NPS) close Beach Drive to vehicular traffic, to assist with social distancing for people exercising on the popular strip.",Y,,,,,,,,,,,
15-Apr-20,"Mayor Muriel Bowser extends D.C.'s public health emergency to May 15, including school closure, ban on gatherings of 10 or more people, restaurant/public gathering restrictions, limited DC government operations, etc.",Y,,,,,,,,,,,
21-Apr-20,"D.C. Council tweaks its recent COVID-19 response bills, with changes that include a further extension for the mayor’s budget submission and the expansion of a rent-hike prohibition to cover commercial tenants.",,,,,,,,,,,Y,
24-Apr-20,"Pandemic Unemployment Assistance for independent contractors, gig workers, 1099s, new hires and those who have exhausted unemployment insurance becomes available in the District of Columbia via dcnetworks.org.",,,,,,,,,,,Y,
