date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
2-Mar-20,"Governor Kemp announced a coronavirus task force to assess the states response and procedures for preventing, identifying, and addresses cases of COVID-19.",,,,,,,,,,,Y,
12-Mar-20,"Governor Kemp ordered most state employees to work from home, but has not shut down the state capitol. He also initiated a call to order for schools and daycare, which allows them to shutd own if local administratorsare in agreementto do so.",Y,,,,,,,,,,,
12-Mar-20,Governor Kemp requested 100 million in state funds to combat COVID-19.,,,,,,,,,,,Y,
13-Mar-20,Governor Kemp issued a public health emergency for the state.,,,,,,,,,,,Y,
14-Mar-20,"The Governor issued an executive order calling National Guard troops to active duty. The order calls up 2,000 National Guard troops to active duty to assist in response to the coronavirus outbreak in the state.",,,,,,,,,,,Y,
16-Mar-20,"The Georgia General Assembly granted The Governor expansive new emergency powers to combat COVID-19, including the ability to: Suspend laws and regulations prescribing state agency procedures; Compel a health care facility to provide services or transfer management to the state; Commandeer or utilize private property; Transfer state treasury funds; and Direct evacuations if necessary.",,,,,,,,,,,Y,
17-Mar-20,"The Governor ordered all public elementary, secondary, and post-secondary schools to be closed by March 18 through at least March 31.",Y,,,,,,,,,,,
17-Mar-20,The Governor in a press conference encouraged Georgians to support local businesses and drive-in/thru restaurants and take out options to bolster the local economy.,,,,,,,,,,,Y,
17-Mar-20,The Governor signed the amended fiscal year 2020 budget to tap into the states rainy-day fund for $100 million to combat COVID-19.,,,,,,,,,,,Y,
18-Mar-20,The Governor submitted a letter requesting a U.S. Small Business Administration (SBA) declaration to provide SBA Economic Injury Disaster Loans to the State of Georgia.,,,,,,,,,,,,
19-Mar-20,The Governor urged hospitals to cancel elective surgery in order to save life-saving supplies.,,,,,,,,,,,Y,
19-Mar-20,"The Governor, in consultation withThe Georgia Department of Public Health andThe Georgia Emergency Management and Homeland Security Agency, asked healthcare providers and the public to conserve COVID-19 test for the most vulnerable populations.",,,,,,,,,,,Y,
19-Mar-20,The Governor received an official statewide disaster declaration from the U.S. Small Business Administration.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced and named members ofThe Georgias Coronavirus Task Force Committees. The task force is comprised of the following committees: Economic Impact; Primary Care Providers; Emergency Preparedness; Homeland and Displaced.,,,,,,,,,,,Y,
20-Mar-20,The Governor issued two executive orders. One executive order authorized the transfer of over 19 million toThe Governors Emergency Fund to purchase medical supplies and equipment and the other executive order aimed at reducing regulations surrounding COVID-19 response.,,,,,,,,,,,Y,
23-Mar-20,The Governor signed an executive order expanding temporary licensing of certain medical professions assisting in the states response.,,,,,,,,,,,Y,
23-Mar-20,"The Governor signed an executive order that limited large gatherings, ordered a shelter-in-place for specific populations, and closed bars, nightclubs for 14 days.",Y,,,,,,,,,,,
23-Mar-20,The Governor increased the maximum SNAP benefit level per month per household.,,,,,,,,,,,Y,
24-Mar-20,"The Governor called on all Georgia businesses who are able to help the state provide, produce, distribute, or store critical health care items.",,,,,,,,,,,Y,
25-Mar-20,The Governor announced that the states coronavirus task force will participate in a live town hall.,,,,,,,,,,,Y,
25-Mar-20,The Governor signed an executive order that adopted emergency rules and waivers with respect to renewal and suspensions of drivers licenses and identification cards.,,,,,,,,,,,Y,
26-Mar-20,The Governor signed an executive order extending the closure of public schools through April 24.,,,,,,,,,,,Y,
26-Mar-20,The Governor signed an executive order to assist the with the states response to unemployment insurance claims.,,,,,,,,,,,Y,
27-Mar-20,The Governor deployed the national guard medical support team to support the states efforts in battling COVID-19.,,,,,,,,,,,Y,
27-Mar-20, The President approved Georgias disaster declaration and ordered Federal assistance to supplement State and local recovery efforts in Georgia.,,,,,,,,,,,Y,
30-Mar-20,The Governor ordered the enforcement of social distancing measures at parks and lakes.,,,,,,,,,,Y,Y,
30-Mar-20,The Governor submitted a request to the Centers for Medicare and Medicaid Services (CMS) for an 1135 Medicaid waiver.,,,,,,,,,,,Y,
31-Mar-20,The Governor announced a laboratory surge capacity plan to quickly increase the availability of COVID-19 testing. This plan is in partnership with various university and health systems in Georgia.,,,,,,,,,,,Y,
1-Apr-20,The Governor announced thatThe Georgia National Guard will deploy over 100 Guardsmen to any long-term care facility/assisted living facility or nursing home with COVID-19 cases.,,,,,,,,,,,Y,
1-Apr-20,The Governor ordered K-12 schools to be closed for the remainder of the school year.,Y,,,,,,,,,,,
1-Apr-20,The Governor signed an executive order that authorized the use of real-time audio-visual communication technology to assist in notarizing real estate documents.,,,,,,,,,,,Y,
2-Apr-20,"The Centers for Medicare & Medicaid Services (CMS) approved Georgias request for a Section 1135 Medicaid waiver. The approved waiver enables Georgia to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,,,,,,Y,
3-Apr-20,"The Governor announced that the University System of Georgia (USG) andThe Georgia Emergency Management and Homeland Security Agency, will offer temporary housing to traveling nurses assisting at Phoebe Putney Memorial Hospital in Albany.",,,,,,,,,,,Y,
3-Apr-20,"The Governor signed an executive order to deputizing sheriffs for enforcement of Executive Order 04.02.20.01 involving businesses, establishments, for-profit and non-profit corporations, and organizations requiring shelter-in-place. ",,,,,,,,,,,Y,
5-Apr-20,The Governor announced a new Community Outreach Committee as a part of his Coronavirus Task Force Committee. ,,,,,,,,,,,Y,
5-Apr-20,The Governor issued new guidance to retailers and consumers organization in the state. ,,,,,,,,,,,Y,
7-Apr-20,"The Governor announced that the state would be working with CVS Health to increase access to rapid COVID-19 testing. CVS will be operating drive-thru rapid COVID-19 testing, offered by Abbott Laboratories, at a site on Georgia Techs campus. At full capacity, the site will be able to conduct up to 1,000 tests per day.",,,,,,,,,,,Y,
8-Apr-20,"The Governor announced that he would be extending Georgias public health state of emergency through May 13, 2020. ",,,,,,,,,,,Y,
8-Apr-20,The Governor signed an executive order regarding the safety of employees and residents of nursing homes and long-term care facilities. ,,,,,,,,,,,Y,
8-Apr-20,The Governor signed an executive order suspending short term rental homes. ,,,,,,,,,,,Y,
8-Apr-20,"The Governor signed an executive order deploying an additional 1,000 national guard soldiers to assist with relief efforts. ",,,,,,,,,,,Y,
12-Apr-20,The Governor announced that the state has executed a contract with Pacific Architects and Engineers (PAE) to build a 200-hospital bed alternate care facility atThe Georgia World Congress Center (GWCC).,,,,,,,,,,,Y,
14-Apr-20,"The Governor announced thatThe Georgia Emergency Management and Homeland Security Agency, in collaboration withThe Georgia Department of Public Health, will begin to provide a list of COVID-19 cases in each jurisdiction to 911 centers. ",,,,,,,,,,,Y,
14-Apr-20,"The Governor signed an executive order which designated healthcare institutions and medical facility employees, staff, and contractors as auxiliary emergency management workers. This order will limit the civil liability of auxiliary emergency management workers engaging in emergency management activities while providing patient care if such care results in the death or injury of a patient.",,,,,,,,,,,Y,
14-Apr-20,The Governor announced the states plans to augment staffing levels for healthcare facilities in various parts of Georgia. The state is working with Jackson Healthcare through its subsidiary Healthcare Workforce Logistics to bring roughly 570 additional healthcare professionals to health systems.,,,,,,,,,,,Y,
14-Apr-20,The Governor released a long-term care facility report which tracks the number of COVID-19 cases in these facilities. ,,,,,,,,,,,Y,
17-Apr-20,The Governor announced the completion of an alternate care facility atThe Georgia World Congress Center that can accommodate 200 patients and is operating in cooperation with the Grady Health System.,,,,,,,,,,,Y,
17-Apr-20,The Governor urged Congress to pass additional funding for the Paycheck Protection Program (PPP). ,,,,,,,,,,,Y,
17-Apr-20,"The Governor announced thatThe Georgia Emergency Management and Homeland Security Agency (GEMA/HS) received a donation of 330,000 N-95 masks from Cisco.",,,,,,,,,,,Y,
20-Apr-20,"The Governor signed an executive order granting certain businesses permission to reopen later in the week. The designated businesses include barbershops, gyms, and other close contact businesses. ",,Y,,,,,,,,,,
21-Apr-20,The Governor and The Georgia State Board of Cosmetology and Barbers issued guidance for the safe reopening of Georgias salons and spas. The guidance includes: Temperature checks; Screening questions of customers; Limits to the amount of people in each shop at one time; Social distancing; Use of PPED is infection.,,,,,,,,,,,Y,
22-Apr-20,The Georgia Department of Labor announced options that unemployed individuals and small businesses may use as the state incrementally reopens. ,,,,,,,,,,,Y,
24-Apr-20,The Governor announced that Walgreens will open a drive-thru rapid COVID-19 testing site at a location in Alpharetta that will be able to conduct 150 tests a day.,,,,,,,,,,,Y,
26-Apr-20,The Governor announced the launch of a mobile COVID-19 testing initiative to set up drive-thru sites in communities without access to testing. ,,,,,,,,,,,Y,
28-Apr-20,"The Governor announced that the state had administered nearly 13,000 new test in a single day, recording the largest single day in new tests reported. ",,,,,,,,,,,Y,
28-Apr-20,"The Governor stated that he has not made a decision regarding the shelter-in-place order to expire on Thursday, April 30th. ",,,,,,,,,,,Y,
28-Apr-20,"The Governor signed an executive order further outlining specific protective measures food service, entertainment, and other entities must maintain during their reopening, some of this includes: Inspection timelines of restaurants Further defining food establishments Regulating indoor seating of movie theaters ",,,,,,,,,,,Y,
29-Apr-20,"The Governor announced that ninety-five facilities have signed up to use the free Battelle Critical Care Decontamination System (CCDS), a self-contained device that uses concentrated hydrogen peroxide to decontaminate N95 masks.",,,,,,,,,,,Y,
30-Apr-20,"The Governor signed an executive order requiring business to operate with social distancing measures through May 31st. Additionally, the executive order requires medically fragile and elderly individuals to shelter in place until June 12th. ",,Y,,,,,,,,,,
30-Apr-20,The Governor announced that he is suspending the road test requirement for acquiring a drivers license. ,,,,,,,,,,,Y,
1-May-20,The Governor urged all Georgians to continue to follow safe daily habits to reduce our risk of exposure and to continue to wear masks in public. ,,,,,,,,,,Y,Y,
1-May-20,"The Governors Coronavirus Task Force Community Outreach Committee partnered with Georgia Department of Public Health and the DeKalb County Board of Public Health to establish free testing at a pop-up site at the House of Hope in Decatur for May 4, 2020. ",,,,,,,,,,,Y,
5-May-20,"The Governor and The Georgia Department of Public Health announced there are currently sixty-six active COVID-19 specimen collection sites across Georgia. The state added nineteen sites in the past eleven days, including one-day-only sites. ",,,,,,,,,,,Y,
