date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
9-Mar-20,Governor Guerrero implemented a Temporary Economic Assistance and Mitigation (TEAM) Plan to help small businesses: Deferred 40% of BPT access to loans and 90 dayinterest only Financial Institutes are deferring loan payments to interest only.,,,,,,,,,,,Y,
15-Mar-20,The Governor declared a public health emergency.,,,,,,,,,,,Y,
15-Mar-20,The Governor and the Guam Department of Public Health and Social Services implemented a 14-day suspension of non-essential Government of Guam Operations effective Monday March 16.,Y,,,,,,,,,,,
16-Mar-20,The Governor signed a bill that prevents price gouging during a state of emergency.,,,,,,,,,,,Y,
18-Mar-20,The Governor signed an executive order which instituted COVID-19 Mandatory Quarantine Protocol measures for all incoming travelers from the Philippines effective immediately. Other non-residents attempting to enter Guam not from the Philippines will also be subject to mandatory quarantine unless they have documentation confirming they have not been exposed to COVID-19.,Y,,,,,,,,,,,
19-Mar-20,"The Governor ordered that all public spaces in which people come together for food and beverage, entertainment, recreation, and leisure will be closed until March 30. The order goes into effect March 20.",Y,,,,,,,,,,,
20-Mar-20,The Guam Department of Education launched a Grab-N-Go school meal distribution program.The program will remain in effect through the duration of school closures.,,,,,,,,,,,Y,
22-Mar-20,The Governors Homeland Security Office of Civil Defense announced that the U.S. Small Business Administration is offering low-interest federal disaster loans to small business in Guam.,,,,,,,,,,,Y,
22-Mar-20,The Guam Department of Revenue and Taxes announced it would be aligning its income tax filing date with the federal government and pushing back its filling date to July 15.,,,,,,,,,,,Y,
22-Mar-20,The Governor announced that the Department of Revenue and Taxes has issued nine (9) Notices of Violation (NOV) as part of its efforts to enforce compliance with the Governors Executive Order No. 2020-05 (non-essential business remaining in operation).,,,,,,,,,,,Y,
22-Mar-20,The Governor announced that Guam will be seeking a major disaster declaration form the federal government.,,,,,,,,,,,Y,
22-Mar-20,The Guam Department of Labor submitted an application for the Disaster Dislocated Worker grant in an effort to maximize Guams eligibility for federal assistance related to unemployment benefits.,,,,,,,,,,,Y,
23-Mar-20,"The Governor announced that she will be extending the Public Health Emergency for Guam, an additional 14-days beyond March 30, 2020. She also ordered all public beaches and parks closed immediately and extended school closures until April 13th.",Y,,,,,,,,,,,
