date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
4-Mar-20,Governor Brad Little announced the creation of new Coronavirus Working Group that will support Idahos public health agencies and increase coordination and communication.,,,,,,,,,,,Y,
6-Mar-20,The Idaho Legislature approved Governor Littles request to transfer $2 million toThe Governor's Emergency Fund to help in Idahos response to the coronavirus.,,,,,,,,,,,Y,
13-Mar-20,Governor Little declared a state of emergency.,,,,,,,Y,,,,Y,
16-Mar-20,The legislature approved The Governors request to allocate an additional $1.3 million to ensure essential government services.,,,,,,,,,,,Y,
16-Mar-20,Idaho Department of Health and Welfare provided care providers payment for eligible children if they remained open during the public Health emergency.,,,,,,,,,,,Y,
18-Mar-20,"The Governor announced the State of Idaho is seeking responses from small, non-farm businesses across Idaho whose operations and ability to conduct business have been disrupted by the coronavirus. The information received will determine whether impacted businesses will be eligible for disaster assistance in the form of low interest loans from the U.S. Small Business Administration.",,,,,,,,,,,Y,
18-Mar-20,The Governor announced that Idaho is adopting the latest guidance from the White House and U.S. Centers for Disease Control and Prevention to slow the spread of coronavirus. This includes recommendations to avoid discretionary travel and social gatherings of 10 or more people.,Y,,,,,,,,,,,
19-Mar-20,The Governor issued a mandatory isolation order for Blaine County.,Y,,,,,,,,,,,
23-Mar-20,"The Governor signed two proclamations today  one lifting restrictions in 125 administrative rules to increase healthcare provider capacity and reduce barriers to healthcare access and another extending the state income tax filing and payment deadline to June 15, 2020.",,,,,,,,,,,Y,
23-Mar-20,The Governors request of the U.S. Small Business Administration (SBA) was approved and the SBA is now offering low-interest federal disaster loans for working capital to Idaho small businesses suffering substantial economic injury.,,,,,,,,,,,Y,
23-Mar-20, The Idaho State Board of Education directed all public school districts and charter schools to immediately start a soft closure of all classroom facilities through April 20.,Y,,,,Y,,,,,,Y,
25-Mar-20,The Governor issued a statewide stay-home order for the state of Idaho.,Y,,,,,,,,,,,
25-Mar-20,"The Governor signed an extreme emergency declaration allowing the state to increase health care capacity, take steps to reduce and slow coronavirus spread, and take rapid steps to improve the condition of unemployed individuals impacted by the pandemic.",,,,,,Y,,,,,Y,
27-Mar-20,The Governor indicated that the state will receive close to $1.25 billion in federal aid to offset the impacts of COVID-19 to the states economy.,,,,,,,,,,,Y,
