date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
2-Mar-20,The Illinois Department of Insurance issued a bulletin reinforcing the critical role that health insurance coverage plays during the COVID-19 outbreak. The bulletin encourages providers to be flexible when filling prescriptions in the event of quarantine.,,,,,,,,,,,Y,
8-Mar-20,The Illinois Department of Insurance has released anFAQ documentabout insurance coverage related to COVID-19.,,,,,,,,,,,Y,
10-Mar-20,"In a press conference, Governor Pritzker announced that his office would file emergency rules to allow those who are unemployed because they are sick to collect unemployment insuranceif permitted under federal law.",,,,,,,,,,,Y,
12-Mar-20,Governor Pritzker ordered the closure of public events of more than 1000 people for 30 days.,Y,,,,,,,,,,,
13-Mar-20,"Governor Pritzker announces two-week statewide school closure to minimize covid-19 spread, additional economic measures to reduce burden on Illinois families.",Y,,,,,,,,,,,
15-Mar-20,The Governor announced all restaurants and bars will close for on-site consumption starting at 9 PM on Monday March 16.,Y,,,,,,,,,,,
15-Mar-20,"The Governor, in response to the overcrowding and wait times at Chicago airports, announced that the federal government will be doubling U.S. CBP staff at OHare Airport.",,,,,,,,,,,Y,
18-Mar-20,The Governor activated the national guard to address the anticipated need for logistical support and medical staff.,,,,,,,,,,,Y,
18-Mar-20,The Governor stated he is prepared to order travel and quarantine restrictions in Illinois to limit the spread of coronavirus if scientific guidance recommends it.,Y,,,,,,,,,,,
19-Mar-20,The Governor signed an executive order to expand telemedicine for individuals with Medicaid and private insurance.,,,,,,,,,,,Y,
19-Mar-20,"The Governor ordered the Department of Revenue to defer sales tax payments for 24,000 small and medium sized bars and restaurants.",,,,,,,,,,,,
20-Mar-20,The Governor issued Executive Order Number 20-10 implementing stay at home and social distancing requirements.,Y,,,,,,,,,Y,,
20-Mar-20,The Governor issuedan executive order requiring all individuals currently living in the state of Illinois to stay at home.,Y,,,,,,,,,,,
21-Mar-20,The Governor announced that healthcare license reinstatement would be processed on an expedited basis and that medical professionals whose licenses are expiring will have their licenses extended through the end of September.,,,,,,,,,,,Y,
22-Mar-20,The Governor called for healthy individuals to assist with the states efforts during the crisis by going to serve.illinois.gov to be matched with service organizations to support the response effort.,,,,,,,,,,,Y,
23-Mar-20,"The Illinois Department of Financial and Professional Regulation issued a proclamation to allow out-of-state physicians, nurses, physician assistants, and respiratory care therapists to provide care to Illinois residents.",,,,,,,,,,,Y,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Illinoiss request for a Section 1135 Medicaid waiver. The approved waiver enables Illinois to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,Y,
24-Mar-20,"The Governor signed an executive order suspending healthcare worker background checks for individuals who are certified as a nurse assistant, but are currently inactive on the Health Care Worker Registry, may be hired under certain provisions.",,,,,,,,,,,Y,
25-Mar-20,"Under the leadership ofThe Governor, the Department of Commerce and Economic Opportunity launched emergency small business assistance initiatives including the: Hospitality Emergency Grant Program to support hospitality businesses during COVID-19. Illinois Small Business Emergency Loan Fund to offer small businesses low interest loans of up to $50,000. Downstate Small Business Stabilization Program to support small businesses in downstate/rural counties in Illinois  repurposing $20 million in Community Development Block Grant funds for small businesses of up to 50 employees to partner with local governments to obtain grants of $25,000. ",,,,,,,,,,,Y,
26-Mar-20,The Governor announced a partnership with United Way of Illinois and Alliance of Illinois Community Foundations to launch the Illinois COVID-19 Response Fund to support nonprofit organizations who are serving those who lives have been upended by this pandemic.,,,,,,,,,,,Y,
27-Mar-20,"The Governor signed an executive order relaxing the approval process schools would need to adjust their school term, suspending the method of the calculation for pupil school attendance, granting the Illinois State Board of Education the ability to define Remote Learning Days, allowing schools that receive grant funds around early-childhood education to provide childcare services to essential employees, and other provisions.",,,,,,,,,,,Y,
28-Mar-20,The Governor suspended the repossession of vehicles and in-person training for private security personnel during the ongoing COVID-19 outbreak.,,,,,,,,,,,Y,
29-Mar-20,"The Governor signed an executive order extending the deadline for various cannabis grower, transporter, and infuser licenses due to the impacts of COVID-19.",,,,,,,,,,,Y,
30-Mar-20,"The Governor announced plans for 3,000-bed alternate care setting at McCormick Place to treat COVID-19 patients with mild symptoms.",,,,,,,,,,,Y,
30-Mar-20,"The Governor announced a series of actions in the area of consumer borrowing, servicing, and collections.The Governor also provided guidance to its regulated entities, state banks, credit unions, installment lenders, payday lenders, title loan lenders, sales finance lenders including auto loans, currency exchanges, student loan servicers, mortgage servicers, and collection agencies concerning their lending, servicing, and collection during the COVID-19 pandemic.",,,,,,,,,,,Y,
1-Apr-20,The Governor signed a proclamation extending the stay-at-home order in the state to April 30th.,Y,,,,,,,,,,,
3-Apr-20,The Governor recommended that individuals wear masks for the duration of the pandemic. ,,,,,,,,,,Y,,
5-Apr-20,The Governor announced The expansion of emergency childcare and additional financial support for emergency childcare centers.,,,,,,,,,,,Y,
8-Apr-20,The Governor expanded how real-time electronic technologies may be utilized. Remote notarization can be used for the duration of governors stay at home order. ,,,,,,,,,,,Y,
9-Apr-20,"The Governor signed executive order 23 that allows the Secretary of the Department of Financial & Professional Regulation to take certain actions to increase the number of licensed professionals responding to the disaster, and ensure that any impacted licensed professionals are aiding in the response to the disaster.",,,,,,,,,,,Y,
14-Apr-20,The Illinois Emergency Management Agency (IEMA) and the Illinois Department of Public Health launched a new public service campaign to remind Illinois residents to continue to follow the Stay at Home order enacted byThe Governors executive order. ,Y,,,,,,,,,,,
16-Apr-20,"The Governor has joined a partnership with 6 other states in the region (Michigan, Ohio, Wisconsin, Minnesota, Indiana, and Kentucky) to develop a plan for reopening the region economy. ",,Y,,,,,,,,,,
17-Apr-20,The Governor announced that all Illinois schools will remain closed for the remainder of the school year. ,Y,,,,Y,,,,,,,
22-Apr-20,"The Governor announced that given that new modeling data suggests the states peak may be mid-May, there will likely be changes to the state's stay-at-home orders. ",,,,,,,,,,,Y,
