date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
6-Mar-20,Governor Holcomb signed an executive order declaring a public health emergency to increase coordination across all levels of government in the states response,,,,,,,Y,,,,,
12-Mar-20,"Governor Holcomb initiatedseveral actionson March 12, including requiring thatthat non-essential gatheringsbelimited to 250 people, schools provide a 20-day waiver of the required 180 days of instructions, nursing homes restrict and screen visitors, and daycare facilities implement social distancing practices.The Indiana Department of Corrections has suspended visitation at all facilities.Those who run senior centers and congregate meal services are advised to consider suspending congregate meals and services and arrange for home delivery.The Governor is also encouraging businesses to utilize telework policies, if available.",Y,,,,,,,,,,,
13-Mar-20,The Governor announced additional steps the state is taking to assist with its COVID-19 response: All state agencies are evaluating rules and regulations that should be suspended or modified to assist Hoosiers during this public emergency. The Family Social Services Administration has asked federal officials to approve a request to temporarily waive the renewal process for Hoosiers who need SNAP or TANF benefits. State officials are collaborating with the Indiana Department of Education to discuss solutions regarding student assessments and meals for children whose schools have closed.,,,,,,,,,,,Y,
16-Mar-20,"The Governor announcedthe following updates regarding COVID-19: Indiana will adhere to CDC guidance for large events and mass gatherings. The guidance recommends canceling or postponing in-person events of more than 50 people during the next eight weeks. Under the current guidance for schools, 273 public school districts are closed, using e-learning days, or on spring break and have announced a future closure. The Department of Education is working with the remaining 16 school corporations to determine their next steps and needs. Bars, nightclubs and restaurants are required to close to in-person patrons and may provide take-out and delivery services through the end of March. Hospitals and ambulatory surgical centers should cancel and/or postpone elective and non-urgent surgical procedures immediately. The states Emergency Operations Center has been raised to a Level 1 status and will work in conjunction with the incident command center at the Indiana State Department of Health for planning, coordination, predictive analysis and other functions. State employees will maximize the use of remote work and meet virtually whenever possible while maintaining operations. Non-essential in-person meetings will be limited to 10 persons or less and should meet virtually whenever possible. High-risk individuals should not attend meetings in person. State employees over the age of 60 with underlying health conditions are advised to work from home, and agencies should identify work that can be accomplished remotely for those individuals. The Department of Workforce Development (DWD) suspended rules requiring certain unemployment insurance claimants to physically appear at a Work One location to engage in reemployment services for the next four weeks. The DWD will also request flexibility under federal and state law to expand eligibility for claimants and ease burdens on employers. The Indiana Economic Development Corporation will postpone the inaugural Indiana Global Economic Summit, scheduled for April 26-28. Communities are encouraged to work together to provide child care options for all who need assistance and delivery services of meals and other necessities for senior citizens.",Y,,,,,,,,,,,
17-Mar-20,The Governor signed an executive order activating the national guard to support the COVID-19 response.,,,,,,,,,,,Y,
18-Mar-20,"The Governor and the Indiana State Department of Health announced a new partnership with Eli Lilly and Company, with support from the Food and Drug Administration, to accelerate testing in Indiana for COVID-19.",,,,Y,,,,,,,Y,
18-Mar-20,The Governor requested the U.S. Small Business Administration issue an Economic Injury Disaster Loan declaration to support small businesses impacted by the coronavirus outbreak in Indiana.,,,,,,,,,,,Y,
18-Mar-20,The Governor announced that all Indiana public schools are now closed and are using alternative learning options like e-learning.,Y,,,,Y,,,,,,Y,
19-Mar-20,"The Governor took the following actions: Extended the current state of emergency for an additional 30 days. Ordered all K-12 school to remain closed until May 1. Private schools are also ordered closed. Coordinated with the U.S. Department of Education to receive federal waivers needed to cancel the requirements for accountability, chronic absenteeism and state-mandated assessments. Aligned with the federal government for the collection date of state income tax. Halted several capital projects that would have used $300 million from the states reserves. Prohibited utilities from cutting off services. Prohibited evictions from residential homes and communities. Ordered the state Insurance Commissioner to request health insurers to cover COVID-19 testing costs and to not increase prices or coverage costs for medical care for COVID-19. Ordered the DMV to limit the number of in-branch transactions. Eased licensure requirements for health care professionals and promoted tele-health support. Relaxed requirements for veterans to qualify for awards under the Military Relief Fund.",Y,,,,,,Y,,,,Y,
20-Mar-20,The Governor announced that Indiana will move its primary election from May 5th to June 2nd.,,,,,,,,,,,Y,
23-Mar-20,"The Governor signed an executive order requiring residents to stay at home, unless they are engaging in essential activities including: Activities for health and safety, necessary supplies and services, outdoor activity, certain types of essential work, and taking care of others",Y,,,,,,,,,,,
