date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
10-Mar-20,Governor Reynolds announced in a news conference that 18 of the 22 Iowans quarantined on the Grand Princess cruise ship will be returning home on a chartered flight to Iowa. The Department of Public Health will screen the returning people before they begin their travel back to Iowa and direct people to a screening center when they arrive.,,,,,,,,,,,Y,
15-Mar-20,The Governor recommended Iowa schools close for four weeks.,Y,,,,Y,,,,,,,
16-Mar-20,The Governor announced various forms of assistance to workers and employers in the face of potential COVID-19 layoffs or furloughs.,,,,,,,,,,,Y,
17-Mar-20,"The Governor signed legislation that creates emergency measures and supplemental appropriations for key government services to combat the spread of COVID-19. Supplemental appropriations and emergency measurers include: Supplemental appropriations for Medicaid ($88.98 million). Supplemental appropriations other health programs ($1.8 million). Supplemental appropriations for state hygienic lab ($525,000). Limits some standing appropriations (non-public school transportation, instructional support, AEA funding). Requires the Department of Management and the Legislative Service Agency to review FY 2020 appropriations and to make appropriations for the first two months of FY 2021. Emergency appropriations from the Economic Emergency Fund of up to 10% to the DOM for purposes approved byThe Governor, through August 31. AuthorizesThe Governor to waive school instructional time requirements for schools that close due to COVID-19. ",,,,,,,Y,,,,Y,
17-Mar-20,"The Governor issued state of public health disaster emergency. The measure closes all restaurants and bars to the public until March 31, excluding take-out and drive thru options.",Y,,,,,,Y,,,,,
18-Mar-20,"The Governor signed legislation that expands the roles of physician assistants in Iowa. The legislation aimed at combating COVID-19 makes changes related to the practice of a PA by allowing for full prescriptive rights, legal protections similar to other health care professions, the ability to be reimbursed by Medicaid and a range of other changes.",,,,,,,,,,,Y,
20-Mar-20,"The Governor signed an additional State Public Health Emergency Declaration, its provisions include: Temporarily suspends penalties and interest related to collection of property taxes until the end of this proclamation. Temporarily suspends some evictions under the Iowa Uniform Residential Landlord and Tenant Act or the Manufactured Home Communities or Mobile Home Parks Residential Landlord and Tenant Act in certain circumstances. Extends expiration deadline for a permit to carry and a permit to acquire a firearm and additional measures. Permits the sale of carry-out, delivery, drive-thru alcohol for unopened bottles of alcohol for bars and restaurants and suspends some fees. Permits public meetings or hearings by electronic means to improve the functions of government while maintaining social distancing practices. Suspends certain regulations to ease the transportation of agricultural supplies and commodities, food, medical supplies, cleaning products, and other household goods on all highways in Iowa. The proclamation also allows related state agencies to implement the states public health emergency plan.",Y,,,,,,Y,,,,,
20-Mar-20,"The Economic Development Authority announced that federally-funded Community Development Block Grant funds are available to counties for new or expanded public services in support of the states infectious disease response such as: job training to expand the pool of health care workers; providing additional testing, diagnosis or other services at a fixed or mobile location; providing additional equipment, supplies and materials necessary to carry-out a public service; or creating an expanded meal delivery service for quarantined individuals.",,,,,,,,,,,Y,
21-Mar-20,The Governor announced the U.S. Small Business Administration will issue an Economic Injury Disaster Loan declaration for Iowa.,,,,,,,,,,,Y,
22-Mar-20,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration. Components include: The closure of salons, medical spas, barbershops, tattoo establishments, tanning facilities, massage therapy establishments, and swimming pools until March 31. Suspends all foreclosures on residential, commercial, and agricultural real property. Professional licensing relief.",Y,,,,,,,,,,,
23-Mar-20,The Governor announced a Small Business Relief Grant Program to assist small businesses and tax deferrals to Iowa businesses impacted by COVID-19. Deadline of March 31. ,,,,,,,,,,,Y,
23-Mar-20,"The Governor announced that first quarter unemployment tax payments that are due April 30th will be delayed till the end of the 2nd quarter, July 31, 2020. Eligible employers include those employers with 50 or fewer employees.",,,,,,,,,,,Y,
25-Mar-20,"The Governor received notification that President Trump has approved her request for a Presidential Major Disaster Declaration for COVID-19, removing a $5 million cap on federal funds as well as making available the Community Disaster Loan program.",,,,,,,Y,,,,,
25-Mar-20,The Centers for Medicare & Medicaid Services (CMS) approved Iowas request for a Section 1135 Medicaid waiver. The approved waiver enables Iowa to forgo certain pre-admission screening and annual resident review assessments in its Medicaid program.,,,,,,Y,,,,,Y,
26-Mar-20,"The Economic Development Authority created a COVID-19 Targeted Small Business Sole Operator Fund to support small businesses with zero employees  designed to help women, individuals with minority status, service-connected disabled veterans and individuals with disabilities overcome hurdles to start or grow a small business.",,,,,,,,,,,Y,
26-Mar-20,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration, suspending elective and nonessential medical and dental procedures, extending and expanding retail business closures, ordering health care facilities and nursing homes to engage in advanced health care screenings.",,,,,,Y,,,,,Y,
31-Mar-20,The Governor signed a new proclamation continuing the state public health emergency declaration.,,,,,,Y,,,,,,
2-Apr-20,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration. The proclamation orders the closure of schools, waiving time requirements as long as school districts put in place a continuous learning plan until April 30th.",,,,,,Y,,,,,,
4-Apr-20,The Governor announced that $44 million has been obligated to the State of Iowa for reimbursement of expenses related to the COVID-19 response.,,,,,,,,,,,Y,
6-Apr-20,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration, ordering additional closures and relaxing additional regulations. ",,,,,,Y,,,,,,
8-Apr-20,"The Governor announced the state is expanding a grant program for small businesses, after receiving thousands of applications requesting assistance",,,,,,,,,,,Y,
16-Apr-20,"The Governor signed new proclamation continuing the State Public Health Emergency Declaration and requiring additional protective measures in Region 6 (Northeastern Iowa). These restrictions include: Limiting social, community, recreational, leisure, and sporting gatherings in Region 6 to only people who live together in the same household; Continuing to limit weddings, funerals, and other spiritual or religious gatherings to no more than 10 people.",Y,,,,,,,,,,Y,
16-Apr-20,"The Governor has released an updated dashboard on coronavirus.iowa.gov that will be updated daily to include comprehensive tracking of COVID-19 in Iowa. The new dashboard includes cases, deaths, and tests conducted in each county. The state will also be providing demographic information that was not previously provided as well as Iowas epidemiological curve.",,,,,,,,,,,Y,
17-Apr-20,The Governor announced plans to reopen Iowa through a phased-in manner following the guidelines issued by the president. ,,Y,,,,,,,,,,
19-Apr-20,The Governor announced that all school districts and nonpublic schools will be closed for the remainder of the school year.,Y,,,,Y,,,,,,,
20-Apr-20,The Governor announced that Iowa meatpacking plants will stay open. ,,,,,,,,,,,Y,
21-Apr-20,"The Governor launched the Test Iowa Initiative to expand testing capacity to limit the spread of COVID-19 in Iowa. The state is partnering with Nomi Health and DOMO, which are part of a partnership that launched a similar initiative in the state of Utah. ",,,,Y,,,,,,,Y,
24-Apr-20,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration. The proclamation permits health care providers to begin the process of resuming some elective surgeries and procedures through a phased approach, permits farmers markets to begin limited operations with appropriate public health precautions, and outlines other measures.",,Y,,,,,,,,,Y,
27-Apr-20,"The Governor signed a new proclamation continuing the State Public Health Emergency Declaration until May 27, 2020. The proclamation loosens social distancing measures in 77 Iowa counties effective Friday, May 1 and continues other restrictions until 11:50 p.m. on Friday, May 15, 2020. In the 77 counties, the proclamation permits restaurants, fitness centers, malls, libraries, racetracks, and certain other retail establishments to reopen in a limited fashion with public health measures in place.",,Y,,,,,Y,,,,,
27-Apr-20,"The Governor, U.S. Senators Joni Ernst and Chuck Grassley, and Iowa Secretary of Agriculture Mike Naig wrote a letter to the Vice President asking for additional support from the administration for the states pork producers.",,,,,,,,,,,Y,
29-Apr-20,"The Governors Iowa Workforce Development Agency, stated that during gradual reopen procedures if an employee refuses to return to work at a business that is opening again, that it would be considered as a voluntary quit, this would disqualify them from receiving unemployment benefits. ",,,,,,,,,,,Y,
4-May-20,The Governor has pledged that the state would clear its backlog of COVID-19 test results at the State Hygienic Laboratory by the end of Monday May 4th. ,,,,Y,,,,,,,Y,
5-May-20,The Governor announced that she will travel to Washington to meet with President Donald Trump and Vice President Mike Pence to discuss Iowas response to the coronavirus pandemic.,,,,,,,,,,,Y,
6-May-20,"The Governor signed a new proclamation continuing the Public Health Disaster Emergency. The proclamation permits dental services to resume in compliance with guidelines adopted by the Iowa Dental Board, permits some additional businesses and establishments to reopen throughout Iowa in a limited fashion with appropriate public health measures in place, and provides additional regulatory relief to assist Iowans affected by this disaster.",,Y,,,,,Y,,,,Y,
7-May-20,"The Centers for Medicare and Medicaid Services (CMS) approved Iowas second request for a Medicaid 1135 waiver. The waiver allows Iowa to provide flexibilities in Medicaid provider screening and enrollment, forgo evaluation and assessment requirements for home and community-based services, and allow for reimbursement facility services in alternative settings.",,,,,,Y,,,,,Y,
11-May-20,The Governor announced that she will be following modified quarantine plan after learning a member of Vice President Mike Pences staff tested positive for the virus. Gov. Reynolds says her temperature is being taken before she enters the building prior to her press briefing and she is being tested everyday.,,,,,,,,,,,Y,
11-May-20,"The Governor will update her offices public health guidelines in an updated proclamation, according to information provided during her daily coronavirus briefing.",,,,,,,,,,,Y,
