date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
2-Mar-20,Gov. John Bel Edwards announced the creation of a COVID-19 Task Force.,,,,,,,,,,,Y,
11-Mar-20,Governor Edwards declared a public health emergencyto allow state agencies to thoroughly prepare for any eventuality related to public health needs and deploy additional resources to assist local authorities.The declaration also addresses efforts to prevent price gouging and limits state employee travel.,,,,,,,,,,,Y,
13-Mar-20,"The Governor signed an executive order postponing elections in Louisiana, including the Louisiana Presidential Primary.",,,,,,,,,,,Y,
13-Mar-20,The Governor signed a proclamation that immediately halts any gathering of more than 250 people until April 13 and closes all K-12 public schools statewide effective March 16 until April 13.,Y,,,,,,,,,,,
17-Mar-20,"The Governor ordered bars, gyms and movie theaters to close and limited restaurants to delivery and takeout.",Y,,,,,,,,,,,
17-Mar-20,"The Governor announced measures to reduce the spread of COVID-19, including further limiting the size of gatherings to fewer than 50 people, closing casinos, bars and movie theaters and limiting restaurants to delivery, take out and drive-through orders only.",Y,,,,,,,,,,,
18-Mar-20,The Governor requested the Small Business Administration provide Economic Injury Disaster Loans for Orleans and Jefferson parishes.,,,,,,,,,,,Y,
18-Mar-20,The Governor announced that shelter in place may be necessary for some Louisiana localities to stem the spread of COVID-19.,Y,,,,,,,,,,,
18-Mar-20,The Governor suspended foreclosures and evictions in the state.,,,,,,,,,,,Y,
18-Mar-20,"The Governor announced LA Wallet, the state of Louisianas official digital drivers license, will be made available to residents free of charge. The all-digital identification and drivers license app will temporarily suspend fees.",,,,,,,,,,,Y,
18-Mar-20,"The Governor sent a letter to President Donald Trump and Vice President Mike Pence requesting temporary changes to several federal programs in response to the COVID-19 pandemic, including: An expansion of the Department of Agricultures Food and Nutrition Service hot food waiver to allow the purchase of hot food in Louisiana restaurants through the Supplemental Nutrition Assistance Program; Statutory and administrative changes related to Community Development Block Grants for Disaster Recovery; Recommendations for FEMAs Individual Assistance Program and Public Assistance program. ",,,,,,,,,,,Y,
19-Mar-20,The Governor warned President Donald Trump that his state could exceed capacity to treat patients in one week.,,,,,,,,,,,Y,
19-Mar-20,The Governor updated his public health emergency declaration to provide waivers for education requirements and to speed up testing.,,,,,,,Y,,,,Y,
19-Mar-20,The Governor announced that all Louisiana parishes would be eligible for small business disaster aid.,,,,,,,,,,,Y,
19-Mar-20,"The Governor signed and updated to his Public Health Emergency declaration, which waives some education requirements in the law and also suspends some laboratory requirements to speed the process of coronavirus testing.",,,,,,,Y,,,,Y,
20-Mar-20,The Governor signed and updated the Public Health Emergency.,,,,,,,Y,,,,Y,
22-Mar-20,The Governor issued a statewide Stay at Home Order.,Y,,,,,,,,,,,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Louisianas request for a Section 1135 Medicaid waiver. The approved waiver enables Louisiana to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,Y,
24-Mar-20,The Governor requested a Major Disaster Declaration for the State of Louisiana as the number of cases of COVID-19 grow. The declaration would allow the federal government to provide additional support for state and local agencies in dealing with this growing public health threat.,,,,,,,Y,,,,Y,
26-Mar-20,"The Governor signed a proclamation outlining additional response measures in Louisiana, including provisions related to first responders, law enforcement and granting emergency authority to the insurance commissioner.",,,,,,,,,,,Y,
