date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
3-Mar-20,Governor Whitmer announced the creation of four task forces to combat the spread of coronavirus and assess the impact it may have on Michiganders day-to-day lives.,,,,,,,,,,,Y,
10-Mar-20,Governor Whitmer declared a state of emergency.,,,,,,,Y,,,,,
12-Mar-20,"Governor Whitmer ordered closure of all K-12 school buildings, public, private, and boarding schools in the state until April 6, 2020.",Y,,,,Y,,,,,,,
15-Mar-20,"The Governor signed Executive Order 2020-8, effective until April 13, 2020, which imposes enhanced restrictions on price gouging of goods, materials, emergency supplies, and consumer food items.",,,,,,,,,,,Y,
16-Mar-20,The Governor issued guidance that limits mass gatherings of more than 50 people.,Y,,,,,,,,,,,
16-Mar-20,"The Governor signed four executive orders to address COVID-19: Executive Order 2020-9 orders the temporary closure of bars, casinos and theatres, and limits restaurants to only serve carry-out and delivery orders. Executive Order 2020-10 orders the temporary expansion of eligibility for unemployment benefits. Executive Order 2020-11 orders a temporary prohibition on large gatherings and temporary closure of elementary and secondary schools. Executive Order 2020-12 orders the lifting of weight restrictions for vehicles carrying and delivering necessary items, such as medical supplies, testing and treatment equipment needed to respond to COVID-19 outbreaks in the state.",Y,,,,Y,Y,,,,,Y,
17-Mar-20,The Governor signed Executive Order 2020-13 to temporarily lift regulatory requirements on hospitals and other care facilities in an effort to expand the number of health care providers able to respond to community needs.,,,,,,Y,,,,,,
17-Mar-20,The Department of Employment and Economic Opportunity provided guidance to Michigan employers on how to avoid potential layoffs related to COVID-19.,,,,,,,,,,,Y,
18-Mar-20,"The Governor called on the state National Guard to support its Department of Health and Human Services by gathering critical personal protective gear like gloves, gowns, and face shields.",,,,,,Y,,,,,Y,
18-Mar-20,"The Governor signed Executive Order 2020-14 extending the deadline for residents to pay back taxes, as well as avoid foreclosure on their property.",,,,,,,,,,,Y,
18-Mar-20,"The Governor signed Executive Order 2020-15,which states that public bodies (such as boards, committees, councils, etc.) subject to the Open Meetings Act can use telephonic methods to continue meeting and conducting business.",,,,,,,,,,,Y,
19-Mar-20,The Governor wrote a letter to President Trump requesting federal funding to support the Michigan National Guard.,,,,,,,,,,,Y,
19-Mar-20,"The Governor announced that the Small Business Administration (SBA) approved her request for a statewide Economic Injury Disaster Loan declaration, allowing small businesses to access loans from the SBA.",,,,,,,,,,,Y,
20-Mar-20,"The Governor signed Executive Order 2020-16, which expands child care access during the public health emergency.",,,,,,,,,,,Y,
20-Mar-20,"The Governor signed Executive Order 2020-17, which imposes temporary restrictions on non-essential medical and dental procedures.",Y,,,,,,,,,,,
20-Mar-20,"The Governor signed Executive Order 2020-18, which includes minor clarifications of her executive order that temporarily imposed enhanced restrictions on the excessive pricing of goods, materials, emergency supplies, and consumer food items.",,,,,,,,,,,Y,
20-Mar-20,"The Governor signed Executive Order 2020-19, which allows tenants and mobile homeowners to remain in their homes during the pandemic even if they are unable to stay current on their rent.The order also relieves courts from certain statutory restrictions to enable them to postpone eviction-related proceedings until after the public health emergency has passed.",,,,,,,,,,,Y,
20-Mar-20,"The Michigan Economic Development Corporation announced it will provide up to $20 million in support for small businesses through the Michigan Small Business Relief program.The funding is divided between $10 million in small business loans to support businesses facing drastic reductions in cash flow and $10 million in small business grants.The grant funding will go to local or nonprofit economic development organizations to provide grants up to $10,000 to support small businesses that have realized a significant financial hardship as a result of COVID-19.",,,,,,,,,,,Y,
21-Mar-20,"The Governor signed Executive Order 2020-20, which makes clear that all facilities that provide non-essential personal care services must temporarily close.",Y,,,,,,,,,,,
23-Mar-20,"The Governor signed Executive Order 2020-21, directing all Michigan businesses and operations to temporarily suspend in-person operations that are not necessary to sustain or protect life.",Y,,,,,,,,,,,
24-Mar-20,The Governor called on residents and businesses to donate essential medical supplies and personal protective equipment to hospitals.,,,,,,Y,,,,,,
25-Mar-20,"The Governor signed Executive Order 2020-22, which extends the deadline to complete the canvass of the March 10 primary to April 24.",,,,,,,,,,,Y,
25-Mar-20,The Governor signed an Executive Order that allows the Michigan Employment Relations Commission to temporarily carry out more of their operations digitally.The order allows for Unemployment Insurance hearings to take place via teleconference and for e-signatures on related documents.,,,,,,,,,,,Y,
26-Mar-20,The Governor announced her request for a Major Disaster Declaration.,,,,,,,,,,,Y,
27-Mar-20,"The Governor signed Executive Order 2020-26, which pushes all April 2020 state and city income tax filing deadlines in Michigan to July 2020.",,,,,,,,,,,Y,
27-Mar-20,"The Governor signed Executive Order 2020-27, encouraging residents to vote absentee by allowing the Department of State to assist local jurisdictions in mailing absentee ballot applications to every registered voter, and to provide absentee ballots directly to new registrants.",,,,,,,,,,,Y,
28-Mar-20,"The states request for a Major Disaster declaration was approved by the President. In this request, funding was approved for the Crisis Counseling Program and for Emergency Protective Measures from the Public Assistance Category.",,,,,,Y,,,,,Y,
28-Mar-20,"The Governor announced the launch of a new volunteer website, www.michigan.gov/fightcovid19, where trained medical professionals can register to serve their fellow residents by assisting hospitals in responding to this public health emergency.",,,,,,Y,,,,,Y,
