date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
10-Mar-20,"Governor Walz signed legislation authorizing the state to use an additional $21 million in state investments to support disease investigation, monitoring of the outbreak, public health information, and laboratory analysis of samples.",,,,,,,,,,,Y,
11-Mar-20,Proposed legislation would grant the Governor the authority to declare a peacetime emergency and allow employees to seek unemployment insurance or paid sick leave should they be quarantined due to COVID-19.,,,,,,,Y,,,,,
12-Mar-20,Governor Walz restricted all state business travel for state employees.,Y,,,,,,,,,,,
15-Mar-20,"The Governor signed Executive Order 20-02 authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. Additionally, the order makes provisions for the continuity of mental health services and requires schools to continue providing meals to students in need.The Department of Health also issued comprehensive guidance for public school districts and charter schools on actions to take during these closures.",Y,,,,Y,,,,,,Y,
15-Mar-20,The Minnesota Department of Labor and Industry released guidance on worker protections for those impacted by COVID-19.,,,,,,Y,,,,,,
16-Mar-20,"The Governor issued a statement on economic conditions in the state due to COVID-19, stating that experts anticipate a U.S. recession beginning in the second quarter of 2020 and lasting until the first quarter of 2021.",,,,,,,,,,,Y,
17-Mar-20,The Governor signed Ch 70 S.F. 4334 providing $200 million toward an emergency and long-term grant program. Roughly $50 million will go to a response contingency account and $150 million will be used to establish a health care response fund.,,,,,,,,,,,Y,
18-Mar-20,The Governor signed three new executive orders which: Protect individuals in veterans homes by restricting visitors; Provide emergency relief to motor carries to support food supplies; and Provide paid leave for state employees that are unable to work.,Y,,,,,,,,,,,
19-Mar-20,The Governor signed Executive Order 20-09 requiring health care providers to postpone elective surgeries and procedures and focus state health care capacity and equipment on needed resources.,Y,,,,,Y,,,,,,
19-Mar-20, Minnesota designated grocery employees as emergency workers.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced that the state will partner with the YMCA to care for the school-age children of emergency workers.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced a 30-day special enrollment period for qualified individuals who are currently without insurance during this public health emergency.,,,,,,Y,,,,,,
20-Mar-20,"The Governor signed three Executive Orders that ban price gouging, ensure critical services continue for vulnerable residents, and seek federal authority to waive or modify certain requirements for federal programs, such as the Family Investment Program, Medical Assistance, and MinnesotaCare.",,,,,,,,,,,Y,
21-Mar-20,The Governor announced that small businesses in Minnesota are now eligible to apply for disaster assistance through the Small Business Administration loan for economic injury.,,,,,,,,,,,Y,
23-Mar-20,The Governor announced that he will self-quarantine for 14 days after learning he had contact with an individual who tested positive.,,,,,,,,,,,Y,
23-Mar-20,"The Governor signed Executive Orders 20-14, 20-15, 20-16, and 20-17, which suspend evictions during the peacetime emergency, establish Peacetime Emergency Loans for small businesses, direct non-hospital entities to conduct an inventory of personal protective equipment, and clarify that Executive Order 20-09 on elective surgeries and procedures applies to veterinarians.",,,,,,Y,,,,,Y,
23-Mar-20,The Minnesota Department of Employment and Economic Development created an Emergency Loan Program for Minnesota small businesses.,,,,,,,,,,,Y,
25-Mar-20,"The Governor signed Executive Order 20-20, directing residents to stay at home, and issued a list of activities for which its permissible to leave, such as for health and safety activities, necessary supplies and services, and for the care of others. The Governor also announced a Stay Home MN public service announcement campaign through local media channels.",Y,,,,,,,,,,,
26-Mar-20,The Governor announced that six Minnesota Initiative Foundations will launch an Emergency Child Care Grant Program to provide financial support to licensed child care providers in Greater Minnesota serving families of essential workers needed to respond to this public health emergency.,,,,,,,,,,,Y,
27-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Minnesota's request for a Section 1135 Medicaid waiver. The approved waiver enables Minnesota to provide flexibilities in Medicaid provider screening and enrollment, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing timelines, and waive public comment and tribal consultation requirements for certain changes to the Medicaid state plan",,,,,,Y,,,,,,
27-Mar-20,"The Governor signed Executive Orders 20-21, 20-22, 20-23, and 20-24, which: Keep health care workers in the workforce by giving health-related licensing boards flexibility in licensing requirements. Allow the State Auditor to work with local governments to adjust reporting deadlines for various financial reports, to prevent municipalities from having to divert resources that should be used to respond to communities critical needs during this public health emergency. Amend Executive Order 20-07 to allow constitutional officers to implement leave for both classified and unclassified employees and to reassign and redeploy staff as needed. Provide hours of service and weight restriction relief for commercial vehicle drivers hauling livestock.",,,,,,Y,,,,,Y,
28-Mar-20,"The Governor signed HF 4531, which allocates $330 million in COVID-19 aid and includes actions such as, expanding support to small businesses, supporting food banks, providing assistance for veterans, and creating peacetime emergency child care grants.",,,,,,,,,,,Y,
30-Mar-20,The Governor launched a Stay at Home MN public service announcement campaign.,,,,,,,,,,,Y,
30-Mar-20,"The Governor announced the Small Business Loan Guarantee Program, which temporarily provides another option for financing to help small businesses weather this difficult time by guaranteeing $20 million to $25 million in loans for Minnesota small businesses. This program: Waived work requirements for able-bodied adults without children who receive Supplemental Nutrition Assistance Program (SNAP) benefits. Temporarily suspended sanctions in the Minnesota Family Investment Program (TANF).",,,,,,,,,,,Y,
31-Mar-20,The Governor signed Executive Orders 20-25 and 20-26 to extend licenses for first responders and to allow the medical cannabis program to continue safely serving residents.,,,,,,Y,,,,,Y,
1-Apr-20,"The Governor granted the Department of Human Services emergency temporary authority to change administrative and regulatory requirements for food assistance, home care, public health care and other state programs in response to the COVID-19 pandemic.",,,,,,Y,,,,,,
1-Apr-20,The Governor announced that he will deliver his second State of the State address on April 5.,,,,,,,,,,,Y,
2-Apr-20,The Governor announced that Minnesota's health plans have agreed to waive cost-sharing for treatment of COVID-19.,,,,,,Y,,,,,,
3-Apr-20,"The Governor signed Executive Order 20-27 to lift hours of service requirements for truck drivers transporting livestock feed or fertilizer, in order to support Minnesota's agriculture community while they work to keep residents fed during this public health emergency. ",,,,,,,,,,,Y,
3-Apr-20,"The Governor unveiled a new State of Minnesota COVID-19 dashboard that tracks the virus in Minnesota and provides the latest available data on available ventilators, ICU beds, personal protective equipment, and testing.The dashboard will be updated daily and is available at https://mn.gov/covid19/.",,,,,,Y,,,,,,
5-Apr-20,The Governor sent a letter to President Donald Trump requesting a major disaster declaration to authorize emergency protective measures. ,,,,,,,,,,,Y,
6-Apr-20,"The Governor announced that of the $6.2 million in total funding that was included in the COVID-19 response package passed by the legislature, veterans in the state may be eligible for financial assistance grants from this package. ",,,,,,,,,,,Y,
