date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
4-Mar-20,Governor Reeves established the Mississippi Coronavirus (COVID-19) Preparedness and Response Planning Steering Committee to coordinate efforts across state and local governments.,,,,,,,,,,,Y,
14-Mar-20,Governor Reeves declared a state of emergency.,,,,,,,Y,,,,,
16-Mar-20,The Governor signed two executive orders which: Activate the National Guard to support mobile testing units; Require agencies to keep essential employees and send non-essential employees home; Requests schools develop distance learning protocols and continue providing free or reduced lunches; and Provides paid leave for state and local employees who miss work due to COVID-19.,Y,,,Y,Y,,,,,,Y,
19-Mar-20,The Governor announced the closing of all public schools through April 17 as well as end-of-year tests and accountability measures.,Y,,,,Y,,,,,,,
20-Mar-20,The Governor activated the National Guard.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced that the Small Business Administration approved the states request for an Economic Disaster Declaration.,,,,,,,,,,,Y,
21-Mar-20,The Governor signed Executive Order 1462 that gives the Mississippi Department of Employment Security the ability to expedite payments to unemployed Mississippians and relax collection requirements on employers.,,,,,,,,,,,Y,
23-Mar-20,"The Governor announced that he is not currently ordering businesses to close, or for individuals to stay home.",,,,,,,,,,,Y,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Mississippis request for a Section 1135 Medicaid waiver.The approved waiver enables Mississippi to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,,
24-Mar-20,"The Governor signed Executive Order No. 1463 which: Limits mass gatherings to 10 or less; Suspends dine-in services at restaurants and bars; Restricts visits to hospitals, nursing homes, and long-term care facilities; Directs businesses to allow employees to work from home; and Defines essential businesses.",Y,,,,,,,,,,,
