date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
13-Mar-20,Governor Parsons signs a state of emergency declaration.,,,,,,,Y,,,,,
15-Mar-20,The Governor issued guidance limiting mass gatherings of 50 or more individuals.,Y,,,,,,,,,,,
17-Mar-20,"The Governor announced that casinos will be closing, and that a total of 432 public school districts and charter schools either have closed or will close soon. He also encouraged facilities who have a large concentration of senior citizens to put in place restrictions on visitors or consider closures.",Y,,,,Y,,,,,,,
18-Mar-20,The Governor signed Executive Order 20-04 which: Enables doctors to diagnose and treat patients through telemedicine. Extends the hours commercial drivers can operate on Missouri roadways in order to deliver essential supplies; and Removes barriers to entering the education profession in order to mitigate teacher shortages.,,,,,Y,Y,,,,,Y,
19-Mar-20,The Governor directed the Missouri State Emergency Management Agency and the Department of Economic Development to seek assistance through the Small Business Administrations Economic Injury Disaster Loan Program.,,,,,,,,,,,Y,
21-Mar-20,The Governor directed the Director of the Department of Health & Senior Services to issue an order on all residents to practice social distancing.,Y,,,,,,,,,Y,,
21-Mar-20,The Governor granted flexibility for the Missouri Department of Social Services to provide reassurance and clarity regarding services for the states most vulnerable populations.,,,,,,,,,,,Y,
23-Mar-20,The Governor signed Executive Order 20-05 suspending any prohibition on the sale of unprepared food by restaurants to the public.,,,,,,,,,,,Y,
23-Mar-20,The Governor announced that his administration is continuing to streamline government process through a multitude of actions such as waiving some existing statutes to assist pharmacists in dispensing medications and extending the time a temporary permit is valid for nurses.,,,,,,Y,,,,,Y,
24-Mar-20,"The Governor, along with the Department of Elementary and Secondary Education and Department of Health and Senior Services released new guidance related to school closures, meal delivery for students, childcare, financial aid, scholarship requirements, and social distancing protocols.",Y,,,,Y,,,,,,,
25-Mar-20,"The Governor requested that the President approve the states Major Disaster Declaration. In addition to other activities, the declaration requested FEMAs Public Assistance Program to assist local governments and qualifying nonprofit agencies with emergency response expenses.",,,,,,,,,,,Y,
25-Mar-20,"The Centers for Medicare & Medicaid Services approved Missouris request for a Section 1135 Medicaid waiver. The approved waiver enables Missouri to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, extend fair hearing and appeals timelines, and waive certain submission deadlines and public comment requirements for Medicaid State Plan Amendments.",,,,,,Y,,,,,,
26-Mar-20,"In a press briefing, the Governor emphasized the importance of mental health during this public health emergency, and along with the Department of Transportation, announced a free, temporary overweight permit that allows haulers to transport up to 100,000 pounds on any Missouri highway.",,,,,,Y,,,,,,
26-Mar-20,The Governor announced that the President approved his request for a major disaster declaration.,,,,,,,,,,,Y,
27-Mar-20,"The Governor signed Executive Order 20-06 which mobilized the Missouri National Guard, to assist with community-based testing, intrastate transportation of personnel and equipment for medical or testing support, logistical support for state responders, and continued assessment, and construction of temporary medical facilities. This order also directed the DHSS Director to prohibit the operation of coin-operated amusement devices, such as slot machines, and closed state park campgrounds and lodging through April 30.",,,,,,Y,,,,,Y,
30-Mar-20,The Governor announced that he has approved a waiver granting full reciprocity for physicians and surgeons from other states who wish to assist Missourians during this public health emergency.,,,,,,Y,,,,,,
30-Mar-20,The Missouri Department of Economic Development activated a statewide network of more than 400 local economic development groups to answer questions and offer assistance to employers impacted by coronavirus (COVID-19). ,,,,,,,,,,,Y,
31-Mar-20,The Governor announced that the state's National Guard is seeking alternate care sites for COVID-19 patients and the Department of Economic Development is doing outreach to business leaders for help in procuring and producing additional personal protective equipment and other emergency supplies.,,,,,,Y,,,,,,
1-Apr-20,"The Governor announced $180 million in expenditure restrictions to ensure a balanced state budget and the necessary funds to respond to this public health emergency, which include reduced funding for several state departments including the Department of Higher Education and Workforce Development, Department of Transportation, Office of Administration, Department of Natural Resources, and the Department of Economic Development.",,,,,,,,,Y,,,
