date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
3-Mar-20,Governor Bullock activated the Governors Coronavirus Task Force to coordinate efforts across state government responding to COVID-19.,,,,,,,,,,,Y,
12-Mar-20,"Governor Bullock declared a state of emergency, which gives him the authority to use $16 million dollars in state fundsand additional personnel from the National Guardto respond to COVID-19.",,,,,,,Y,,,,,
15-Mar-20,"The Governor issued guidance closing all public elementary and secondary education schools, limiting mass gatherings of more than 50 people and suspending visitors from all nursing homes. Additionally, the guidance increases the legal weight limit for commercial vehicles by 10%, in an effort to provide more supplies and resources for the state, as well as mobilizing the National Guard to respond when necessary.",Y,,,,Y,,,,,,Y,
16-Mar-20,The Governor activated eight Montana Army National Guard soldiers to assist in the arrival and transport of Montana residents returning from quarantine.,,,,,,,,,,,Y,
17-Mar-20,The Governor announced that uninsured residents who receive a recommendation from their provider will be eligible to receive coverage for COVID-19 testing and treatment.,,,,,,,,,,,Y,
17-Mar-20,"The Governor announced emergency rules to make unemployment benefits accessible to workers who have been laid off due to COVID-19, while also waiving the waiting period for receiving benefits.",,,,,,,,,,,Y,
18-Mar-20,The Governor expanded access to telemedicine services to ensure Montana Medicaid patients receive quality health care in their homes to prevent unnecessary gatherings at health care facilities.,,,,,,Y,,,,,,
19-Mar-20,The Governor issued a quarantine advisory of 14 days to all residents who have traveled internationally.,,,,,,,,,,,Y,
20-Mar-20,"The Governor announced measures to close dine-in food services, alcoholic beverage businesses, health clubs, and other facilities across the state.",Y,,,,,,,,,,,
20-Mar-20,The Governor extended the payment and filing deadlines for 2019 individual income taxpayers to July 15 in accordance with the new federal filing deadline.,,,,,,,,,,,Y,
24-Mar-20,"The Governor announced new measures that give local governments the flexibility they need to adhere to social distancing guidelines, such as suspending certain office hour requirements in state law to allow for limited closures where local governments cannot safely operate within social distancing guidelines.",,,Y,,,,,,,,Y,
24-Mar-20,The Governor issued a directive to extend closures of public schools and dine-in food service and alcoholic beverage businesses through April 10 as well as mandating social distancing measures.,Y,,,,Y,,,,,,,
26-Mar-20,"The Governor requested a waiver from the Centers for Medicare & Medicaid Services to allow Montana health care providers to adapt operations to respond to the emergency based on Montanas specific and evolving need, such as making it easier to set up alternative testing or treatment sites, and expedited enrollment for new providers, and better information sharing and coordination to health trace and prevent the spread of COVID.",,,,,,Y,,,,,,
26-Mar-20,The Governor issued a directive requiring Montanans to stay home and temporarily closes all nonessential businesses and operations.,Y,,,,,,,,,,,
30-Mar-20,The Governor announced a 14-day quarantine for travelers arriving from another state or country to Montana for non-work-related purposes.,Y,,,,,,,,,,,
30-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved Montanas request for a Section 1135 Medicaid waiver. The approved waiver enables Montana to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing timelines.",,,,,,Y,,,,,,
31-Mar-20,"The Governor announced protections to lessen the economic impacts of this public health emergency, by stopping evictions, foreclosures and cancellation of utility services including water, heating and internet service.",,,,,,,,,,,Y,
31-Mar-20,"The Governor announced a directive that allows Montana hospitals and related facilities to receive financing, under the Montana Facility Finance Authority Act, to remain open and acquire the supplies needed to respond to this public health emergency.",,,,,,Y,,,,,,
2-Apr-20,The Governor issued a Directive allowing residents to renew their drivers licenses online and by mail and extended the deadline to complete title and registration paperwork.,,,,,,,,,,,Y,
3-Apr-20,"The Governor announced that, through the flexibility and funding of the CARES Act, he will extend federal food assistance to more than 100,000 Montanans, increase food supplies at emergency food pantries and food banks, and streamline nutrition assistance for new mothers and children. ",,,,,,,,,,,Y,
7-Apr-20,The Governor announced a measure that will allow first responders to be notified in advance of potential exposure to COVID-19 and ensure they can take appropriate measures to safely perform their duties and avoid exposing other patients. ,,,,,,Y,,,,,Y,
7-Apr-20,The Governor issued a directive to waive the current requirement that local and county governments implement a 2 mill emergency levy in order to access new funding coming to the state through the CARES Act. ,,,,,,,,,,,Y,
7-Apr-20,"The Governor extended, through April 24, directives he previously issued to protect residents. ",Y,,,,,,,,,,,
7-Apr-20,The Governor announced the state successfully sold $33 million in bonds at a historically low interest rate that will allow the state to begin construction projects that will create jobs and stimulate the economy after this public health emergency. ,,,,,,,,,,,Y,
2-Apr-20,The Governor updated his essential business designation to include childcare workers in order to ensure consistent care for children of other essential workers. ,,,,,,,,,,,Y,
13-Apr-20,The Governor issued a Directive to provide emergency rental assistance to help families with limited financial resources make ends meet during this unprecedented economic situation.The program also includes relief funds specifically for households with children eligible for TANF. ,,,,,,,,,,,Y,
14-Apr-20,"The Governor released a report produced by state epidemiologists examining 377 cases of COVID-19 in Montana that helps the state understand who is impacted by the new virus, how it spreads, and patient outcomes.",,,,,,Y,,,,,,
16-Apr-20,The Governor announced a Coronavirus Relief Task Force that will provide guidance and advice on how to best use $1.25 billion appropriated to Montana through the Federal CARES Act. ,,,,,,,,,,,Y,
20-Apr-20,"The Governor announced that 5,000 nasal swabs arrived to the states DPHHS warehouse from FEMA.",,,,,,Y,,,,,,
21-Apr-20,"The Governor announced that he secured hundreds of thousands of face masks, shields and gloves from private market distributors to fill the needs of front-line health care workers. ",,,,,,Y,,,,,,
22-Apr-20,"The Governor announced a gradual and phased reopening of the state beginning Sunday, April 26 for individuals, and extending to businesses on Monday, April 27.",,Y,,,,,,,,,,
22-Apr-20,The Governor issued two directives to increase frontline health care provider capacity to respond to COVID-19 and expand insurance coverage to allow Montanans to access routine health care services while social distancing.,,,,,,Y,,,,,Y,
27-Apr-20,The Governor sent a letter U.S. Department of Agriculture Secretary to allow some local processing in order to avoid food waste and get local meat to Montana food banks for residents hardest hitby this public health emergency. ,,,,,,,,,,,Y,
30-Apr-20,The Governor announced the state received a Battelle Critical Care Decontamination System to begin cleaning and disinfecting used N95 respirators.,,,,,,Y,,,,,,
30-Apr-20,"The Governor outlined a framework to ramp up testing capacity in Montana over the next several months with a goal to eventually conduct 60,000 tests per month and prioritize testing for vulnerable populations. ",,,,Y,,,,,,,,
6-May-20,The Governor announced $10 million in federal CARES Act funding is now available to Montana childcare providers.,,,,,,,,,,,Y,
11-May-20,"The Governor announced additional Phase One guidelines that will allow gyms and fitness studios, movie theaters and museums the option to reopen beginning Friday, May 15.",,Y,,,,,,,,,,
11-May-20,"The Governor announced he secured 19,500 swabs and 9,000 viral transport medium that have arrived from the federal government to support the effort to continue testing symptomatic residents.",,,,,,Y,,,,,,
13-May-20,"The Montana Department of Public Health and Human Services is providing grants of up to $1,000 per individual to purchase equipment to assist Montanans with disabilities access telework equipment.",,,,,,,,,,,Y,
14-May-20,The Governor announced he is directing $5 million in federal CARES Act funds to expand assistance to thousands of Montanans struggling to afford their home energy needs due to financial strain caused by the pandemic.,,,,,,,,,,,Y,
18-May-20,"The Governor announced that Montana received a shipment of 500,000 N95 masks from FEMA to the states warehouse.",,,,,,Y,,,,,,
19-May-20,The Governor announced the state will move to Phase Two of the Reopening the Big Sky plan and will lift the 14-day out-of-state travel quarantine beginning June 1.,,Y,,,,,,,,,,
22-May-20,The Governor announced Montanas unemployment rate was at 11.3% in April due to impacts created by the pandemic.,,,,,,,,,,,Y,
17-Jun-20,"The Governor announced the creation of the Montana Loan Deferment Program, which will allow businesses and other entities to defer payments on existing loans for six to twelve months and free up a significant amount of otherwise dedicated capital for the borrower to leverage on a monthly basis.",,,,,,,,,,,Y,
17-Jun-20,"The Governor announced $108,550 in grants to six organizations to continue operating emergency food services in response to the pandemic.",,,,,,,,,,,Y,
18-Jun-20,"The Governor visited the Confederated Salish and Kootenai Tribes, whose community testing event marks the completion of the first round of COVID-19 community testing in Montana’s tribal communities.",,,,Y,,,,,,,Y,
26-Jun-20,The Governor announced that over $1 million in grant funding has been awarded from the Montana Agriculture Adaptability Program which is designed to provide relief to small and medium-sized food and agriculture businesses.,,,,,,,,,,,Y,
2-Jul-20,The Governor released the Governor’s Plan for Reopening Safe and Healthy Schools for Montana to provide flexible guidance for public schools to prepare to offer in-person instruction in the fall.,,,,,Y,,,,,,,
15-Jul-20,"The Governor and First Lady announced that $83,750 through Montana No Kid Hungry has been awarded to 16 organizations to help with the cost of operating local summer meal programs across the state.",,,,,,,,,,,Y,
15-Jul-20,The Governor issued a directive requiring face coverings in certain indoor spaces and for certain organized outdoor activities in counties currently experiencing four or more active cases.,Y,,,,,,,,,,,
6-Aug-20,Governor Bullock directed up to $20 Million to support Montana University System testing strategy,,,,Y,,,,,Y,,,
12-Aug-20,Governor Bullock announced $10 million to provide long term viability for live entertainment industry,,,,,,,,,Y,,Y,
10-Sep-20,Governor Bullock announced COVID-19 outbreak response protocols for schools,,,,,Y,,,,,,,
19-Oct-20,Department of Public Health and Human Services (DPHHS) Director Sheila Hogan announced that Montana has submitted its draft COVID-19 vaccine distribution plan to the Centers for Disease Control and Prevention (CDC) for review,,,,,,,,,,,,Y
2-Nov-20,Governor Steve Bullock announced that nursing teams secured last week from the U.S. Department of Health and Human Services are now assisting hospitals in Central and Eastern Montana communities,,,,,,Y,,,,,,
23-Nov-20,The Department of Public Health and Human Services (DPHHS) announced the formation of the COVID-19 Vaccination Plan Coordination Team ,,,,,,,,,,,,Y
7-Dec-20,Governor Bullock Announces First Round COVID-19 Vaccine Plan,,,,,,,,,,,,Y
30-Dec-20,Governor Bullock today announced the state’s COVID-19 vaccine distribution plan has been updated to incorporate the new federal recommendations for allocation to critical groups in Montana and an estimated timeline.,,,,,,,,,,,,Y
13-Jan-21,"Governor Gianforte Lifts Restrictions on Small Businesses With New Directive.The governor’s directive repeals onerous, arbitrary regulations on Montana small businesses, including restrictions on hours of operation and capacity. The directive also replaces the 25-person limit on public gatherings with simple guidance that “any public gatherings or events should be managed in a way that accommodates CDC social distancing guidelines.”",Y,,,,,,,,,Y,,
19-Jan-21,Greg Gianforte announced that Montana is moving into Phase 1B of the COVID-19 vaccine distribution plan.,,,,,,,,,,,,Y
1-Feb-21,"Governor Greg Gianforte announced he received federal approval to redirect 19,500 unused COVID-19 vaccine doses to vulnerable Montanans. The 19,500 doses identified by the state were originally provided to CVS and Walgreens under contract by the federal government to vaccinate residents and staff in long-term care facilities and assisted living facilities.",,,,,,,,,,,,Y
12-Feb-21,"Governor Gianforte Issues New Directives, the new directive allows the statewide mask mandate to expire. Local jurisdictions may still choose to implement their own mask requirements.",,,Y,,,,,,,,Y,
12-Feb-21,"Governor Gianforte signed S.B. 65 into law which provides a liability shield to businesses, nonprofits, and others who protect their workers, their customers, and their clients from the spread of COVID-19.",,,,,,,,,,,Y,
2-Mar-21,"Governor Gianforte announced the state will expand its efforts to protect the most vulnerable Montanans by entering Phase 1B+ of the state’s vaccine distribution plan on March 8, 2021. In Phase 1B+, COVID-19 vaccines will be available to Montanans 60 years of age and older and Montanans 16 to 59 years of age with additional qualifying medical conditions like asthma, cystic fibrosis, and liver disease",,,,,,,,,,,,Y
16-Mar-21,Governor Gianforte: COVID-19 Vaccine Open to All Montanans on April 1,,,,,,,,,,,,Y
17-Mar-21,Department of Public Health and Human Services (DPHHS) officials announced today the state now has 19 total confirmed cases of COVID-19 virus variant strains. The U.S. Centers for Disease Control and Prevention (CDC) notified DPHHS late yesterday (March 16) and today (March 17) of 11 additional variant cases that match two California variant strains and a New York variant strain.,,,,,,,,,,,Y,
30-Jun-21,Governor Gianforte Ends State of Emergency in Montana,,,,,,,Y,,,,,
15-Dec-21,"Gov. Gianforte, DPHHS: Schools Have Received $2.7 Million for COVID-19 Testing",,,,Y,,,,,Y,,,
25-Jan-22,"DPHHS Make Available 650,000 At-Home COVID-19 Tests for Montanans",,,,,Y,,,,,,,
