date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
12-Mar-20,"Governor Sununu announced a new order, issued by the state's Insurance Commissioner, requiring health insurers to cover services associated with testing of COVID-19. It outlines a series of actions that health insurers must take, such as offering telehealth services and expanding access to prescription drug refills.",,,,,,Y,,,,,Y,
15-Mar-20,The Governor issued an emergency order closing all public schools in the state while also providing guidance to districts on remote learning plans.,Y,,,,Y,,,,,,,
16-Mar-20,The Governor limited scheduled public gatherings over 50 people and required that all bars and restaurants transition to offsite eating options.,Y,,,,,,,,,,,
16-Mar-20,The Governor sent a memo to municipal officials and state boards and commissioners on compliance with the states Right to Know law.,,,,,,,,,,,Y,
17-Mar-20,The Governor issued three emergency orders that: Prohibit service providers from disconnecting or discontinuing services for non-payments; Prohibit evictions for those impacted by COVID-19; and Provide immediate access to unemployment benefits for those impacted by COVID-19.,,,,,,,,,,,Y,
17-Mar-20,The New Hampshire Insurance Department posted Frequently Asked Questions about Business Interruption Insurance Coverage and the Novel Coronavirus 2019 (COVID-19).,,,,,,,,,,,Y,
18-Mar-20,"The Governor issued Executive orders 6, 7, and 8 which: Allow for temporary authorization for takeout or delivery of beer or wine; Modify data and privacy governance plans to allow school district to have greater flexibility in developing remote learning software tools; and Expand access to telehealth services.",,,,,Y,Y,,,,,Y,
18-Mar-20,The Department of Motor Vehicles transitioned to phone and online services.,,,,,,,,,,,Y,
19-Mar-20,The Governor issued Emergency Order 9 establishing the Emergency Healthcare System Relief Fund.,,,,,,,,,,,Y,
20-Mar-20,The Governor sent a letter to Leader McConnell and Speaker Pelosi regarding the Disaster Unemployment Assistance program.,,,,,,,,,,,Y,
20-Mar-20,The Governor and state delegation sent a letter to President Trump urging him to take additional steps to speed up the production and distribution of medical supplies needed to combat this public health emergency.,,,,,,Y,,,,,Y,
21-Mar-20,The Governor issued an Executive Order requiring all grocers and retail stores to temporarily transition to the use of single use paper or plastic bags in order to reduce the transmission of the virus.,,,,,,,,,,,Y,
23-Mar-20,"The Governor issued Emergency Orders 11, 12, 13, 14, and 15 which: Provide temporary authority perform secure remote online notarization. Provide temporary modification of public access to meetings under RSA 91-A. Temporarily allow pharmacists and pharmacies to compound and sell hand sanitizer over the counter and allow pharmacy technicians to perform non-dispensing tasks remotely. Temporarily authorize out-of-state pharmacies to act as licensed mail-order facilities within the State of New Hampshire. Temporarily authorize out-of-state medical providers to provide medically necessary services, as well as services through telehealth.",,,,,,Y,,,,,Y,
23-Mar-20,The Governor sent a letter to Leader McConnell and Speaker Pelosi regarding short-term and long-term steps that can be taken to provide economic assistance to small businesses.,,,,,,,,,,,Y,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved New Hampshires request for a Section 1135 Medicaid waiver.The approved waiver enables New Hampshire to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,,
24-Mar-20,The Governor issued Emergency Order 16 which prohibits mass gatherings of 10 or more people.,Y,,,,,,,,,,,
24-Mar-20,The Governor announced that the state has mobilized three websites to coordinate volunteer efforts in response to this public health emergency.,,,,,,,,,,,Y,
26-Mar-20,"The Governor issued Emergency Order 17, which directed the closure of non-essential businesses and required residents to shelter in place.",Y,,,,,,,,,,,
26-Mar-20,"The Department of Health and Human Services established an Emergency Child Care Collaborative, a public-private partnership to meet the needs of essential workers.",,,,,,,,,,,Y,
27-Mar-20,"The Governor issued Emergency Orders 18 and 19, which temporarily modify Department of Safety Laws and Regulations, and extend Emergency Order 1 by requiring schools to maintain remote learning for all public K-12 school districts.",Y,,,,Y,,,,,,Y,
30-Mar-20,"The Governor signed the Relief for Workers Affected by Coronavirus [CARES] Act agreement which provides New Hampshire with 100 percent funding from the U.S. Department of Labor to support benefit payments to people receiving unemployment. This activity supports the program by: For those eligible under Pandemic Unemployment Assistance, there will be an increase of the minimum weekly benefit amount from $32/week to $168/week, which includes people earning less than $15,500 during their base period. An additional $600 per week to be added to an individuals weekly benefits for all weeks claimed starting this week  100% federally funded. Extends the length of time a person can receive benefits by 13 weeks, totaling 39 weeks  100% federally funded.",,,,,,,,,,,Y,
30-Mar-20,The Governor announced that the Department of Education is suspending standardized testing requirements.,,,,,Y,,,,,,,
30-Mar-20,The Governor announced that the State will be extending business tax payment deadlines to June 15 for 98% of New Hampshire small businesses.,,,,,,,,,,,Y,
31-Mar-20,The Governor signed Emergency Order 2020-04 which provides temporary emergency wage enhancement for New Hampshire Liquor Commission retail employees.,,,,,,,,,,,Y,
31-Mar-20,The Governor sent a letter to the states lead disability organization on New Hampshires commitment to providing appropriate educational opportunities for students with disabilities as students learn remotely.,,,,,Y,,,,,,,
31-Mar-20,The Governor sent a letter to Secretary Alex Azar and Administrator of the Centers for Medicare and Medicaid Services Seema Verma requesting an 1135 waiver for New Hampshire.,,,,,,Y,,,,,,
1-Apr-20,"The Governor issued Emergency Order 21, which aims to ensure that domestic and sexual violence crisis centers have the resources needed to provide critical services to victims of domestic violence.",,,,,,,,,,,Y,
1-Apr-20,"The Governor issued Emergency Order 22, which authorizes emergency funding for child protection services, including domestic violence support, substance use support, the Strength to Success program, technology to support youth family services families, and the family resiliency support line.",,,,,,,,,,,Y,
1-Apr-20,"The Governor issued Emergency Order 23, which provides provisions to municipalities such as being relieved of complying from statutory or local deadlines, the postponement of town meetings, and guidelines on construction activities.",,,,,,,,,,,Y,
2-Apr-20,The Governor sent a letter to Secretary Mnuchin regarding the CARES Act and requested state guidance on the timeliness of funding.,,,,,,,,,,,Y,
3-Apr-20,"The Governor issued Executive Order 2020-05, renewing the Declaration of a State of Emergency, and Executive Order 24, which modified Emergency Order 4 regarding the temporary prohibition evictions and foreclosures. He additionally issued Executive Order 25 which provides temporary modification of interest penalty for late payment of property taxes. ",,,,,,,Y,,,,Y,
4-Apr-20,"The Governor issued Emergency Order 26 which is a continuation of Emergency Orders 2, 6, and 16. ",,,,,,,,,,,Y,
6-Apr-20,"The Governor responded to a letter form Congresswoman Kuster regarding the availability of substance use disorder services, including medication assisted treatment, across the state during this public health emergency. ",,,,,,Y,,,,,,
6-Apr-20,"The Governor signed Emergency Order 27, which restricts all lodging providers within the state to provide lodging only for vulnerable populations and essential workers. ",Y,,,,,,,,,,Y,
7-Apr-20,"The Governor sent a letter to state House and Senate leaders outlining the formation of the Governor's Office for Emergency Relief and Recovery, which will be charged with the investment and oversight of COVID-19 relief and stimulus funds provided by the federal government. ",,,,,,,,,,,Y,
