date,policy,Restrict/Close,Opening (State),Deferring to County,Testing,Education,Health/Medical,Emergency Level,Transportation,Budget,Social Distancing,Other,Vaccine
5-Mar-20,"Governor Murphy placed restrictions on state-related business travel for state employees. New Jersey suspended all international travel for state employees until further notice. All domestic out-of-state travel on state-related business must be approved by the Governor's Office, including same-day travel.",Y,,,,,,,,,,,
9-Mar-20,"Governor Murphy signed an executive order declaring astate ofemergency and public health emergency.The declaration allows for certain safeguards, such as the prohibition of price increases pursuant to New Jersey's Consumer Fraud Act, as well as the ability to expedite the delivery of goods and services essential for preparedness and response efforts.",,,,,,,Y,,,,,
12-Mar-20,The Governor cancelled all public gatheringswith more than 250 individuals.,Y,,,,,,,,,,,
15-Mar-20,The Governor closed all motor vehicle agencies and road-testing facilities until March 30.,Y,,,,,,,,,,,
15-Mar-20,The Governor requested the federal government open a Special Enrollment Period for New Jersey residents to allow those uninsured or underinsured to enroll in health coverage.,,,,,,,,,,,Y,
16-Mar-20,"The Governor issued closures across the state of restaurants, bars, gyms, and movie theaters, and is limiting restaurants to only delivery and takeout. The Governor also issued a statewide curfew from 8 p.m. to 5 a.m.",Y,,,,,,,,,,,
16-Mar-20,The Governor signed an executive order closing all schools in the state (for an unspecified period of time). The order also provides resources for how districts can continue to provide meals to students and creates a process for virtual learning.,Y,,,,Y,,,,,,,
16-Mar-20,The Governor activated the New Jersey National Guard to assist in state efforts to control the COVID-19 outbreak.,,,,,,,,,,,Y,
16-Mar-20,"The Governors of Connecticut, New York and New Jersey announced a regional approach to combatting the novel coronavirus throughout the tri-state area.",,,,,,,,,,,Y,
17-Mar-20,The Governor announced an administrative order that closes all indoor retail shopping malls and other places of public amusement.,Y,,,,,,,,,,,
17-Mar-20,The Governor sent a letter to the president requesting additional support from the U.S. military and Army Corps of Engineers to assist state efforts in expanding hospitals and intensive care unit capacity.,,,,,,Y,,,,,Y,
18-Mar-20,"The Governor announced new amendments and resources for the states Child Care Subsidy program, which will implement temporary flexible enrollment policies and robust payment policy amendments for families and providers that have been impacted by COVID-19.",,,,,,,,,,,Y,
18-Mar-20,"The Governors of Connecticut, New York and New Jersey announced that the Governor of Pennsylvania is joining their coalition to implement a regional approach to combatting COVID-19.The Governors expanded their previous orders to include: Limiting crowd capacity for social and recreational gatherings to 50 people; Closing restaurants and bars for on premise service and move to take-out and delivery services only; and Temporary closing of movie theaters, gyms, and casinos.",Y,,,,,,,,,,,
18-Mar-20,"The Department of Human Services outlined new actions within the state to support individuals and families with children, older adults, and individuals with disabilities. Actions also include the issuance of guidance for mental health and substance use disorder services.",,,,,,Y,,,,,,
18-Mar-20,The Governor announced new amendments and resources for the New Jerseys Child Care Subsidy Program.,,,,,,,,,,,Y,
18-Mar-20,"The Department of Human Services waived requirements for childcare and cash assistance programs, including: Waiving parent co-pays in the state's childcare subsidy for parents who request it due to impacts from COVID-19; Providing an additional $100 per child per month to childcare providers for children in the State childcare subsidy program to help childcare centers remain open during this critical time to support working parents, emergency and essential personnel; Automatically extending for 60 days WorkFirst New Jersey cash assistance to individuals whose case is up for renewal in March or April; Extending all Emergency Assistance cases through April 30; and Deeming the current state of emergency as a good cause exemption for the work requirements in WorkFirst New Jersey and SNAP and suspending all adverse actions for non-compliance.",,,,,,,,,,,Y,
19-Mar-20,"The Governor signed Executive Order No. 105, which temporarily changes certain election procedures and changes the date of upcoming elections.",,,,,,,,,,,Y,
19-Mar-20,"The Governor announced the opening of a drive-thru community-based testing site, which was established in partnership with FEMA.",,,,Y,,,,,,,,
19-Mar-20,"The Governor signed Assembly Bill No. 3859, declaring a moratorium on removing individuals from their homes due to evictions or foreclosures.",,,,,,,,,,,Y,
19-Mar-20,The Governor announced an administrative order that mandates the indefinite closure of all personal care businesses and social clubs.,Y,,,,,,,,,,,
19-Mar-20,The Governor signed legislation expanding to telehealth services and allowing professional and occupation licensing boards to expedite licensure of out-of-state professionals.,,,,,,Y,,,,,,
20-Mar-20,The Governor announced the waiving of fees for COVID-19 testing for the uninsured.,,,,,,,,,,,Y,
20-Mar-20,The Governor urged the federal government to consider a fiscal stimulus in the form of a direct cash assistance program to combat this public health emergency.,,,,,,,,,,,Y,
20-Mar-20,The Governor announced a new private sector partnership to increase the availability of testing.,,,,Y,,,,,,,,
20-Mar-20,The Department of Banking and Insurance issued a bulletin encouraging entities regulated by the department to work with and assist customers who have been adversely affected by this public health emergency.,,,,,,,,,,,Y,
20-Mar-20,"The Governor signed Assembly Bill 3848, which prohibits an employer, during the ongoing public health emergency, from terminating or refusing to reinstate an employee who has, or is likely to have, an infectious disease which requires the employee to miss time at work.",,,,,,,,,,,Y,
20-Mar-20,"The Governor signed close to a dozen bills and resolutions, which include but are not limited to, requiring school districts to provide meals to students eligible for free or reduced meals, providing extension deadline adoption of county or municipal budgets, and urging the FCC to take temporary measures to secure broadband access.",,,,,,,,,,,Y,
21-Mar-20,"The Governor signed Executive Order No. 107, directing all residents to stay at home until further notice.",Y,,,,,,,,,,,
22-Mar-20,The Governor announced the opening of a Community-Based Testing Site at the PNC Bank Arts Center in Holmdel.,,,,Y,,,,,,,,
22-Mar-20,"The Governor announced departmental actions from the Department of Human Services, Department of Banking and Insurance, Department of Treasury, Department of Health, Department of Children and Family Services and the New Jersey Division of Consumer Affairs to ensure residents have access to telehealth and tele-mental health services to the greatest extent possible.",,,,,,Y,,,,,,
23-Mar-20,"The Governor signed Executive Order No. 109, suspending all elective surgeries and invasive procedures performed on adults.",Y,,,,,,,,,,,
23-Mar-20,The Governors administration sent a letter to commercial laboratory operators directing them to send the reporting of all COVID-19 test results to the Department of Health.,,,,Y,,,,,,,,
23-Mar-20,The Governors announced that the Department of Health issued guidance to health care professionals statewide on how to safely evaluate patients who may have COVID-19 and how to care for them.,,,,,,Y,,,,,,
23-Mar-20,"The Centers for Medicare & Medicaid Services (CMS) approved New Jerseys request for a Section 1135 Medicaid waiver.The approved waiver enables New Jersey to provide flexibilities in Medicaid provider screening and enrollment, forgo certain pre-admission screening and annual resident review assessments, lift prior authorization requirements, allow for reimbursement facility services in alternative settings, and extend fair hearing and appeals timelines.",,,,,,Y,,,,,,
24-Mar-20,The Governor announced the launch of a new online portal to connect New Jersey residents with jobs in critical industries responding to this public health emergency.,,,,,,,,,,,Y,
24-Mar-20,"The Governor announced an Administrative Order, permitting additional retail businesses, such as mobile phone retailers, livestock feed stores, and garden centers, to operate during their normal business hours.",,Y,,,,,,,,,,
25-Mar-20,The Governor signed Executive Order No. 110 directing all child care centers in New Jersey to solely serve as emergency child care centers for the children of essential workers.,,,,,,,,,,,Y,
25-Mar-20,"The Governor signed S2304, which expands the State's Temporary Disability Insurance and Family Leave Insurance programs to provide more workers with access to paid leave benefits during public health emergencies.",,,,,,,,,,,Y,
26-Mar-20,The Governor announced that the President has issued a Major Disaster Declaration for the state which will provide federal assistance to supplement statewide recovery efforts.,,,,,,,,,,,Y,
26-Mar-20,"The Governor and New Jersey Economic Development Authority approved a suite of new programs designed to support businesses and workers facing economic hardship, such as a grant program for small businesses, a zero-interest loan program for mid-size companies, support for private-sector lenders and Community Development Finance Institutions, funding for entrepreneurs, and a variety of resources providing technical support and marketplace information.",,,,,,,,,,,Y,
26-Mar-20,The Governor announced a new state website for reporting personal protective equipment as well as the donation process.,,,,,,Y,,,,,,
27-Mar-20,The Governor and Human Services Department announced a $70 million supplemental payment that allows residents who receive food assistance through SNAP to receive extra benefit payments.,,,,,,,,,,,Y,
28-Mar-20,"The Governor announced a $140 million pre-payment to health care providers to support preparations for the public health emergency, and announced that the New Jersey Health Care Facilities Financing Authority has launched a $6 million emergency loan program to assist New Jerseys health care organizations.",,,,,,Y,,,,,,
28-Mar-20,"The Governor announced that financial institutions will provide mortgage forbearance, such as a 90-day grace period for mortgage payments, and financial protections, such as a moratorium on initiating foreclosure sales or evictions, for residents facing economic hardship.",,,,,,,,,,,Y,
28-Mar-20,"The Governor signed Executive Order No. 111, directing health care facilities to report daily data concerning their capacity and supplies to the New Jersey Office of Emergency Management.",,,,,,Y,,,,,,
30-Mar-20,"The Governors Administration announced the formation of a joint federal-state task force to investigate and prosecute a wide range of misconduct arising from the pandemic, including the unlawful hoarding of medical supplies, price gouging, charity scams, procurement fraud, insurance fraud, phishing schemes, and false and misleading investment opportunities.",,,,,,,,,,,Y,
30-Mar-20," In an effort to address concerns of potential drug shortages caused by the inappropriate prescribing and hoarding of drugs that have touted as potential treatments, the Governors Administration announced a statewide restriction for prescribing and dispensing those medications.",,,,,,Y,,,,,,
30-Mar-20,The Division of Consumer Affairs announced that they are allowing supervising nurses to conduct required plan-of-care evaluations by phone or video-chat instead of in person for the elderly and fragile populations.,,,,,,Y,,,,,,
31-Mar-20,"The Department of Labor and Workforce Development urged employers to keep employees on the payroll throughout the pandemic and to take advantage of a 100 percent, dollar for dollar, payroll tax credit provided under the Families First Coronavirus Response Act.",,,,,,,,,,,Y,
1-Apr-20,"The Governor signed Executive Order No. 112, which authorizes the Division of Consumer Affairs to temporarily reactivate the licenses of recently retired health care professionals and grant temporary licenses to doctors licensed in foreign countries.The order also temporarily permits certain health care professionals to perform acts outside of their ordinary scope of practice and grants broad civil immunity to health care professionals and facilities providing services.",,,,,,Y,,,,,,
2-Apr-20,The Governor's Administration issued guidance for the Emergency Child Care Assistance Program for children of workers designated as essential under Governor Murphys Executive Order 110.,,,,,,,,,,,Y,
2-Apr-20,"The Governor signed Executive Order No. 113, authorizing the New Jersey State Director of Emergency Management to use the Governor's full authority under the Disaster Control Act to commandeer personal services and/or real or personal property, including personal protective equipment from private companies and institutions.",,,,,,,,,,,Y,
4-Apr-20,The Governor announced an Administrative Order allowing municipalities and counties to impose additional restrictions on short-term rentals. ,,,Y,,,,,,,,,
6-Apr-20,"The Governor signed Executive Order No. 115, which allows retirees to return to state and local government employment without impacting their retirement pensions and removes restrictions on law enforcements ability to temporarily supplement their ranks. ",,,,,,,,,,,Y,
7-Apr-20,"The Governor signed Executive Order No. 117, which waives 2019-2020 statutory school year assessment requirements for eighth grade students and twelfth grade students who have not yet met the graduation assessment requirement due to this public health emergency. ",,,,,Y,,,,,,,
7-Apr-20,"The Governor announced Executive Order 118, closing all state parks and forests and county parks to further social distancing measures.",Y,,,,,,,,,,,
7-Apr-20,"The Governor signed Executive Order No. 119, which extends the Public Health Emergency for another 30 days. ",Y,,,,,,,,,,,
8-Apr-20,"The Governor signed Executive Order No. 120,  postponing primary elections on June 2nd to July 7th.      ",,,,,,,,,,,Y,
8-Apr-20,"The Governor signed Executive Order No. 121, allowing an increase in the maximum weight limit on certain interstate highways and toll roads for vehicles transporting relief supplies. ",,,,,,,,,,,Y,
8-Apr-20,"The Governor signed Executive Order No. 122, ceasing all non-essential construction projects and imposing additional mitigation requirements on essential retail businesses and essential industries to limit the spread.The order also outlines specific protections and policies for all essential retail, manufacturing, and warehousing businesses, as well as businesses engaged in essential construction projects. ",Y,,,,,,,,,,,
